N	2gram	Tiupa_Hudo	Tragedij
109	уже не	6	2
110	к тому	4	2
111	о том	2	2
112	перед нами	1	2
113	не имеет	1	2
114	и я	1	2
115	в данном	4	2
116	только к	1	2
117	отличие от	7	2
118	раз и	1	2
119	то и	1	2
120	потому что	3	2
121	я к	1	2
122	личности и	3	2
123	так что	1	2
124	времени в	2	2
125	в рассказе	3	2
126	он не	4	2
127	по поводу	1	2
128	в частности	18	2
129	в это	1	2
130	другим в	1	2
131	точно так	1	2
132	в одном	3	2
133	говорит что	2	2
134	в глаза	2	2
135	в отличие	7	2
136	его за	1	2
137	отношение к	7	2
138	в ходе	5	2
139	о его	2	2
140	до конца	1	2
141	столь же	2	2
142	что она	2	2
143	который в	2	2
144	одна из	2	2
145	что говорит	1	2
146	с его	6	2
147	а как	1	2
148	поведение в	2	2
149	тем что	1	2
150	не просто	2	2
151	не случайно	3	2
152	только о	2	2
153	и ее	3	2
154	никогда не	2	2
155	в известной	1	2
156	жизнью и	1	2
157	друг друга	1	2
158	в той	3	1
159	в особенности	1	1
160	ситуации и	1	1
161	то в	2	1
162	от него	1	1
163	этом случае	1	1
164	могут быть	5	1
165	только не	1	1
166	проникает в	1	1
167	мы видим	1	1
168	в центре	1	1
169	это тот	1	1
170	и мира	1	1
171	мы встречаем	1	1
172	таким образом	3	1
173	сам же	1	1
174	под маской	1	1
175	предстает перед	1	1
176	после того	1	1
177	на вопрос	1	1
178	местом в	1	1
179	свидетельствует о	1	1
180	первый том	1	1
181	если он	1	1
182	в последней	2	1
183	которой не	1	1
184	и который	2	1
185	цвет глаз	1	1
186	с одной	3	1
187	что даже	1	1
188	с этой	3	1
189	дело с	1	1
190	стола и	1	1
191	в финале	2	1
192	к числу	1	1
193	иллюзии и	1	1
194	но от	2	1
195	неизмеримо более	1	1
196	на деле	3	1
197	содержит в	1	1
198	подчеркнуть что	1	1
199	с этими	1	1
200	того что	5	1
201	тем не	3	1
202	по слову	1	1
203	не как	2	1
204	а затем	2	1
205	для нас	1	1
206	одному из	1	1
207	части романа	1	1
208	своею и	1	1
209	одно из	2	1
210	в такое	1	1
211	xix века	2	1
212	пусть пусть	1	1
213	раз необходимо	1	1
214	которым человек	1	1
215	в результате	1	1
216	в виду	5	1
217	иными словами	1	1
218	быть может	1	1
219	и теперь	1	1
220	только в	7	1
221	позиции в	1	1
222	не столько	7	1
223	по себе	2	1
224	перед другим	1	1
225	есть высшая	2	1
226	в самой	2	1
227	хозяина и	1	1
228	а на	5	1
229	и притом	3	1
230	не было	1	1
231	но он	3	1
232	здесь мы	1	1
233	мы понимаем	1	1
234	до этого	1	1
235	говорит в	2	1
236	знал и	1	1
237	черт ивана	1	1
238	и некоторыми	1	1
239	а также	6	1
240	самом общем	1	1
241	тот кто	2	1
242	заключается в	2	1
243	и гордости	1	1
244	на нее	1	1
245	одним из	2	1
246	мысль о	1	1
247	же по	1	1
248	позицию по	1	1
249	что не	1	1
250	не есть	1	1
251	xviii века	1	1
252	именно в	2	1
253	ведет к	2	1
254	и пусть	1	1
255	я и	7	1
256	но самое	1	1
257	тому что	2	1
258	из тех	2	1
259	деятельность не	1	1
260	в связи	3	1
261	лишь на	1	1
262	его трагического	1	1
263	с ними	2	1
264	с такими	1	1
265	приходит в	1	1
266	есть в	3	1
267	на земле	1	1
268	сливается с	1	1
269	в своей	7	1
270	рядом с	1	1
271	вместе с	1	1
272	что ж	1	1
273	жизни ее	1	1
274	на этом	2	1
275	при таком	1	1
276	создает и	1	1
277	жизни в	2	1
278	роль в	2	1
279	не менее	5	1
280	это происходит	1	1
281	перед собой	1	1
282	бы не	2	1
283	в такой	1	1
284	полноте и	2	1
285	со своей	4	1
286	но у	1	1
287	между собой	2	1
288	роли в	4	1
289	глаза ее	1	1
290	в иной	3	1
291	именно эта	1	1
292	это было	1	1
293	для публики	1	1
294	героя и	5	1
295	в чем	2	1
296	в момент	3	1
297	но мы	1	1
298	последней главе	1	1
299	тогда как	15	1
300	этом состоит	1	1
301	именно таков	1	1
302	всем его	1	1
303	становится не	1	1
304	случае как	1	1
305	бы в	1	1
306	в них	2	1
307	на них	1	1
308	во всех	3	1
309	к одному	1	1
310	и создается	1	1
311	которых можно	1	1
312	и потому	2	1
313	это и	2	1
314	о себе	2	1
315	но как	2	1
316	более чем	1	1
317	друг перед	1	1
318	он же	1	1
319	не является	5	1
320	развернута в	1	1
321	в котором	1	1
322	же я	1	1
323	виду не	3	1
324	не сводится	9	1
325	творческий процесс	1	1
326	не могли	2	1
327	восходит к	1	1
328	карамазова в	1	1
329	связи с	3	1
330	о счастье	1	1
331	того чтобы	5	1
332	одну из	1	1
333	но не	13	1
334	в другом	4	1
335	дистанции между	1	1
336	этом мире	2	1
337	силе и	1	1
338	между тем	4	1
339	представляет собой	11	1
340	быть не	1	1
341	не быть	1	1
342	понимаем что	1	1
343	эта деталь	1	1
344	с совершенно	1	1
345	в условиях	1	1
346	самом деле	2	1
347	самого автора	1	1
348	характеризуется своей	1	1
349	в развитии	1	1
350	в которой	3	1
351	лишь в	7	1
352	ориентация на	1	1
353	а не	13	1
354	а по	1	1
355	значение для	1	1
356	только на	1	1
357	свою жизнь	2	1
358	не могла	1	1
359	это была	1	1
360	вещами и	2	1
361	в форме	4	1
362	за пределы	2	1
363	но только	2	1
364	тем и	1	1
365	добро и	1	1
366	в смерти	1	1
367	в xix	1	1
368	не вполне	2	1
369	в истории	1	1
370	по своей	7	1
371	человека с	3	1
372	ту же	1	1
373	это может	2	1
374	так он	1	1
375	человека и	2	1
376	жизни на	2	1
377	перед ним	1	1
378	на новую	1	1
379	и т.д	4	1
380	полагал что	2	1
381	он еще	1	1
382	всего что	1	1
383	могло быть	2	1
384	известной степени	3	1
385	я в	13	1
386	именно такого	1	1
387	к ним	1	1
388	но без	1	1
389	в эпизоде	1	1
390	ту сторону	1	1
391	как мы	1	1
392	у себя	1	1
393	не для	1	1
394	и особенно	2	1
395	и о	4	1
396	ее не	1	1
397	родного дома	1	1
398	его как	1	1
399	на уровне	1	1
400	эстетическая позиция	1	1
401	над собою	1	1
402	и служит	1	1
403	роман и	2	1
404	той же	1	1
405	люди но	3	1
406	и др	2	1
407	искусства но	4	1
408	человеческая личность	1	1
409	встреч и	1	1
410	характерно что	1	1
411	обратимся к	1	1
412	именно так	1	1
413	облекается в	2	1
414	слова в	3	1
415	и от	1	1
416	и есть	1	1
417	с которым	1	1
418	входят в	1	1
419	он показывает	1	1
420	и зло	1	1
421	является необходимой	1	1
422	исходит из	1	1
423	всю жизнь	1	1
424	для понимания	2	1
425	этого слова	2	1
426	например в	4	1
427	писателя в	1	1
428	себя а	1	1
429	всех людей	1	1
430	право на	2	1
431	нем по	1	1
432	но если	1	1
433	как система	2	1
434	о своих	1	1
435	в литературе	2	1
436	в сфере	1	1
437	в области	8	1
438	и по	2	1
439	нуждается в	1	1
440	перед читателем	1	1
441	ее содержание	1	1
442	на котором	2	1
443	глаза в	2	1
444	чтобы не	2	1
445	и совершенно	1	1
446	говорит не	1	1
447	перед другом	1	1
448	людей в	1	1
449	чем у	1	1
