N	2gram	Berdyaev_N	Istorich
195	это значит	1	8
196	во всяком	1	8
197	конечно не	3	8
198	с другими	1	8
199	есть еще	1	8
200	большинстве случаев	1	8
201	на нем	1	8
202	также что	1	8
203	подобно тому	3	8
204	и потому	4	8
205	значит что	4	8
206	но она	2	8
207	не с	1	8
208	для этого	2	8
209	роль в	2	8
210	можно сказать	1	8
211	в зависимости	1	8
212	что его	1	8
213	и из	1	8
214	что такое	3	8
215	вообще не	1	8
216	не имеют	2	8
217	должен быть	5	8
218	тому как	3	8
219	в жизни	5	8
220	от того	1	8
221	на это	1	8
222	не столько	1	7
223	и когда	1	7
224	будто бы	1	7
225	не есть	3	7
226	в эту	1	7
227	мы опять	1	7
228	большую роль	4	7
229	нет в	1	7
230	на них	1	7
231	не по	1	7
232	еще в	1	7
233	в области	1	7
234	в каких	1	7
235	как на	1	7
236	в конце	1	7
237	уже давно	1	7
238	себе и	1	7
239	ли это	2	7
240	того же	1	7
241	когда мы	2	7
242	не знал	2	7
243	то он	1	7
244	того чтобы	2	7
245	всяком случае	1	7
246	эти формы	3	7
247	земли и	1	7
248	думать что	2	7
249	в большинстве	1	7
250	героя но	1	7
251	же и	1	6
252	уже нет	1	6
253	не могла	2	6
254	равно как	2	6
255	оно может	1	6
256	на место	1	6
257	в одну	2	6
258	с миром	1	6
259	нет ничего	1	6
260	одна сторона	1	6
261	в русском	2	6
262	это конечно	1	6
263	отличие от	1	6
264	одну из	1	6
265	не случайно	1	6
266	для того	1	6
267	говорит что	1	6
268	с большим	1	6
269	жить в	1	6
270	к жизни	3	6
271	что все	2	6
272	к чему	1	6
273	не на	1	6
274	со всех	4	6
275	это показывает	1	6
276	формы и	2	6
277	ничем не	1	6
278	и оно	1	6
279	не хочет	1	5
280	в виду	1	5
281	и очень	1	5
282	во все	1	5
283	и мы	4	5
284	или не	1	5
285	эти слова	1	5
286	по своей	1	5
287	них не	1	5
288	для чего	2	5
289	с ее	5	5
290	для них	1	5
291	оно не	1	5
292	о природе	1	5
293	особого рода	1	5
294	можно назвать	2	5
295	это время	1	5
296	в каком	1	5
297	в которую	1	5
298	и начал	1	5
299	в отличие	1	5
300	не означает	3	5
301	этом он	1	5
302	по своему	4	5
303	тоже не	1	5
304	в религии	2	5
305	только для	1	5
306	всего что	1	5
307	ней и	1	5
308	мы в	1	5
309	такого рода	2	5
310	xix века	5	5
311	до этого	1	5
312	он также	1	5
313	всех сторон	4	5
314	вступить в	1	5
315	переходит в	1	5
316	это уже	1	5
317	дальше и	1	5
318	попал в	1	5
319	вступление в	1	5
320	знает что	1	5
321	том числе	1	5
322	чтобы быть	1	5
323	мира и	2	5
324	это было	3	5
325	может иметь	1	5
326	поставлен вопрос	1	5
327	что образ	1	5
328	в самом	1	4
329	но наряду	1	4
330	в мир	1	4
331	людей и	1	4
332	и формы	2	4
333	неба и	1	4
334	и во	1	4
335	так на	1	4
336	царь или	1	4
337	в наше	3	4
338	вера в	1	4
339	он находится	1	4
340	от нее	1	4
341	это одна	1	4
342	хочет его	1	4
343	и сейчас	1	4
344	под этим	1	4
345	сами по	1	4
346	быть не	1	4
347	а это	1	4
348	не существует	3	4
349	есть в	2	4
350	перейти к	3	4
351	свою противоположность	1	4
352	в свои	2	4
353	человека и	3	4
354	люди не	2	4
355	явление в	1	4
356	или нет	1	4
357	и которые	1	4
358	и возвращается	1	4
359	вопрос этот	1	4
360	перед собой	1	4
361	силы и	2	4
362	посвящения в	1	4
363	все время	2	4
364	они сами	1	4
365	который в	2	4
366	так много	1	4
367	не будут	2	4
368	все в	1	4
369	и этот	1	4
370	и должно	2	4
371	себя и	1	4
372	все они	2	4
373	ни к	2	4
374	новые формы	1	4
375	и через	1	4
376	другой же	1	4
377	в глубине	1	4
378	не могу	1	4
379	к тем	1	4
380	в человеческом	1	4
381	как не	8	4
382	слова в	1	4
383	быть только	1	4
384	было так	1	3
385	он выходит	1	3
386	не хотят	2	3
387	эти черты	1	3
388	я могу	1	3
389	не могли	2	3
390	бога и	3	3
391	переход от	1	3
392	из всех	1	3
393	будет сказать	1	3
394	изнутри а	1	3
395	но можно	1	3
396	и быть	1	3
397	средние века	7	3
398	и другая	1	3
399	но тут	1	3
400	совсем не	12	3
401	через женщину	2	3
402	центр тяжести	2	3
403	слишком далеко	1	3
404	к таким	1	3
405	том смысле	1	3
406	народов и	1	3
407	небом и	1	3
408	нельзя сказать	1	3
409	то они	1	3
410	же стороны	1	3
411	пришли к	1	3
412	это всегда	1	3
413	от всех	1	3
414	всегда есть	1	3
415	долгое время	1	3
416	нет у	1	3
417	в такой	1	3
418	ему не	1	3
419	и хочет	1	3
420	жизнью и	1	3
421	для всех	1	3
422	которая в	1	3
423	и нет	1	3
424	как существо	1	3
425	этого мира	1	3
426	в средние	3	3
427	духа и	3	3
428	он узнает	1	3
429	ему все	1	3
430	и весь	2	3
431	должно быть	4	3
432	чтобы понять	1	3
433	в наши	3	3
434	может идти	1	3
435	магический характер	1	3
436	в тайны	1	3
437	она сама	1	3
438	быть понят	1	3
439	с душой	1	3
440	во власти	1	3
441	очень сложное	1	3
442	и вполне	1	3
443	оно есть	1	3
444	которые могут	1	3
445	и до	1	3
446	жизни народа	1	3
447	нет ни	1	3
448	и было	2	3
449	в формах	1	3
450	в эпоху	9	3
451	и погоня	1	3
452	и власть	1	3
453	она должна	1	3
454	еще до	2	3
455	бы он	1	3
456	рода и	1	3
457	в эти	1	3
458	женщины в	1	2
459	они являются	1	2
460	был и	1	2
461	это тем	1	2
462	вопросу о	1	2
463	и дух	1	2
464	в центре	2	2
465	приобщиться к	2	2
466	жизнь в	1	2
467	по небу	1	2
468	в дальний	1	2
469	как думает	1	2
470	из их	1	2
471	особое место	1	2
472	в прошлом	3	2
473	и еще	1	2
474	в основу	1	2
475	чего он	1	2
476	к ее	3	2
477	и процесс	1	2
478	природу и	1	2
479	которое можно	1	2
480	человек а	1	2
481	характер и	1	2
482	к вопросу	1	2
483	вопрос об	1	2
484	есть признак	1	2
485	и народы	1	2
486	значение и	1	2
487	мы всегда	1	2
488	не были	1	2
489	часто не	1	2
490	ней нет	1	2
491	был в	1	2
492	всю жизнь	1	2
493	в глубину	1	2
494	по всем	1	2
495	богом он	1	2
496	и оттуда	1	2
497	к ложным	1	2
498	уже оказывается	1	2
499	нет никакого	1	2
500	стоят на	2	2
501	что вообще	1	2
502	к той	1	2
503	вернуться но	1	2
504	дальнейшее развитие	1	2
505	должна перейти	1	2
506	он часто	1	2
507	в новой	7	2
508	получает все	1	2
509	и вся	1	2
510	и ему	1	2
511	от других	1	2
512	как например	1	2
513	вот этот	1	2
514	нет и	2	2
515	власти от	1	2
516	глубже чем	1	2
517	не имел	1	2
518	только потому	1	2
519	обратиться к	1	2
520	перестает быть	4	2
521	хозяйственной жизни	2	2
522	играют большую	1	2
523	очень долго	1	2
524	слова а	1	2
525	от своих	1	2
526	между небом	1	2
527	и совсем	1	2
528	далеко еще	1	2
529	стремление к	2	2
530	к античности	1	2
531	к одному	1	2
532	случае если	1	2
533	борьбы со	1	2
534	могли не	1	2
535	числе и	1	2
536	на путь	1	2
537	место в	2	2
538	был ли	1	2
539	человек не	1	2
540	к богу	2	2
541	мир не	1	2
542	более высокой	1	2
543	над нами	1	2
544	изнутри и	1	2
545	одному из	1	2
546	в познании	1	2
547	а во-вторых	1	2
548	помнить что	2	2
549	свои интересы	1	2
550	к более	2	2
551	в христианстве	1	2
552	духа в	2	2
553	жили в	1	2
554	гораздо больше	1	2
555	на западе	1	2
556	погружается в	1	2
557	это делали	1	2
558	которых не	2	2
559	говорить о	1	2
560	быть признан	1	2
561	страны в	1	2
562	вернуться к	2	2
563	совсем нет	1	2
564	быть в	2	2
565	как я	1	2
566	него как	1	2
567	другого мира	1	2
568	смысле и	1	2
569	той роли	1	2
570	в мире	3	2
571	всех народов	1	2
572	должны помнить	1	2
573	но нет	1	2
574	есть вместе	1	2
575	не значит	3	2
576	путь на	1	2
577	ни за	1	2
578	на ее	1	2
579	в сущности	1	2
580	для борьбы	1	2
581	он действует	1	2
582	так называемый	1	2
583	и жизни	1	2
584	есть вопрос	1	2
585	истории не	3	2
586	не должно	1	2
587	он есть	1	2
588	а во	1	2
589	сам себя	1	2
590	свидетельствует о	1	2
591	о человеке	1	2
592	от мира	1	2
593	всего мира	1	2
594	не для	1	2
595	есть уже	1	2
596	века и	2	2
597	отказаться от	1	2
598	они будут	1	2
599	и начинается	2	2
600	мира а	2	2
601	но я	2	2
602	во многом	1	2
603	этой системы	1	2
604	все другие	1	2
605	ее он	1	2
606	лишь в	6	2
607	на заре	1	2
608	культуры но	1	2
609	к новому	7	2
610	все более	1	2
611	она могла	1	2
612	совершается в	1	2
613	не к	2	2
614	этого идет	1	1
615	труд и	1	1
616	более не	2	1
617	и имеет	1	1
618	людей но	1	1
619	социальная жизнь	1	1
620	а отцы	1	1
621	государство и	2	1
622	теми которые	1	1
623	из ее	2	1
624	есть результат	1	1
625	небесный свод	1	1
626	быть признана	1	1
627	мы живем	5	1
628	ни одна	2	1
629	сам собой	1	1
630	приобретает характер	1	1
631	античный мир	1	1
632	волн и	1	1
633	в природе	2	1
634	мир и	2	1
635	борьба за	1	1
636	скрывается в	1	1
637	было и	1	1
638	умер он	1	1
639	о берег	1	1
640	человека не	1	1
641	нас и	1	1
642	времени в	2	1
643	что вся	1	1
644	это представляется	2	1
645	было то	1	1
646	нужно быть	1	1
647	не признают	1	1
648	она через	1	1
649	формах и	1	1
650	когда ей	1	1
651	в значительной	1	1
652	века но	2	1
653	своем развитии	1	1
654	такое разнообразие	1	1
655	бог не	1	1
656	с ужасом	1	1
657	возвращение к	3	1
658	и красота	1	1
659	народы в	1	1
660	духовной культуры	1	1
661	выразить свое	1	1
662	его хотят	1	1
663	жизни отдельных	1	1
664	право и	3	1
665	вступили в	1	1
666	или иная	1	1
667	чего оно	1	1
668	нужно окончательно	1	1
669	того и	1	1
670	не ставится	1	1
671	а живой	1	1
672	верований но	1	1
673	это должно	1	1
674	античности к	1	1
675	не стоят	1	1
676	трудно будет	2	1
677	к такой	1	1
678	в политических	1	1
679	время когда	1	1
680	вот что	1	1
681	перед лицом	1	1
682	за человеком	1	1
683	вполне возможно	1	1
684	можно вернуться	1	1
685	приобщается к	1	1
686	до начала	1	1
687	класса на	1	1
688	высшей степени	6	1
689	в пристани	1	1
690	характерно также	1	1
691	жизни а	1	1
692	к старым	1	1
693	на иной	1	1
694	вот этой	1	1
695	или к	1	1
696	что нет	1	1
697	имя своих	1	1
698	пришла и	1	1
699	формы жизни	1	1
700	и начало	3	1
701	еще при	1	1
702	человека на	1	1
703	отнесены к	1	1
704	я ищу	3	1
705	очень любят	1	1
706	ничего нет	1	1
707	огромную роль	1	1
708	жизни мы	1	1
709	и начали	1	1
710	времени он	1	1
711	и извне	1	1
712	бог и	1	1
713	внутреннему содержанию	1	1
714	ночи у	1	1
715	ограничен и	1	1
716	но сам	1	1
717	ли есть	2	1
718	должны стать	1	1
719	видят в	1	1
720	предстоит быть	1	1
721	в мировой	2	1
722	мира не	1	1
723	во времени	1	1
724	но знаем	1	1
725	формы к	1	1
726	к лицу	3	1
727	окончательно и	1	1
728	обращена к	1	1
729	уступить место	1	1
730	и развивается	1	1
731	в старых	1	1
732	мир в	1	1
733	есть такой	1	1
734	к ночи	1	1
735	в силах	1	1
736	ним она	1	1
737	и могущества	1	1
738	в исторический	1	1
739	к единству	1	1
740	становится все	1	1
741	делается в	1	1
742	только церковь	1	1
743	через них	1	1
744	древнего египта	1	1
745	к самой	2	1
746	играла в	1	1
747	перестала быть	1	1
748	живем в	5	1
749	как ни	1	1
750	пр в	1	1
751	и всеми	1	1
752	то нужно	1	1
753	и элементы	1	1
754	не через	1	1
755	это была	1	1
756	не хотел	1	1
757	не осталось	1	1
758	огромное значение	1	1
759	дни и	1	1
760	эту мысль	1	1
761	общества и	2	1
762	к образованию	2	1
763	и трудно	1	1
764	в той	1	1
765	получает свое	1	1
766	вот отчего	1	1
767	человеческой жизни	1	1
768	из сторон	1	1
769	средних веков	1	1
770	что религия	1	1
771	думаю что	1	1
772	не типа	1	1
773	в социальной	1	1
774	значение они	1	1
775	которые будут	1	1
776	в средневековой	1	1
777	чтобы эти	1	1
778	давно уже	1	1
779	от религии	2	1
780	были еще	1	1
781	выход из	1	1
782	вверх ногами	1	1
783	он стремится	1	1
784	жизнью в	2	1
785	к своим	1	1
786	обращение к	2	1
787	на человека	1	1
788	вступаем в	4	1
789	ей было	1	1
790	звезды в	1	1
791	имея в	1	1
792	на формальной	1	1
793	стороны из	1	1
794	существу своему	1	1
795	разными путями	1	1
796	я думаю	1	1
797	и верованиями	1	1
798	жизни которые	3	1
799	еще по	1	1
800	культуру и	1	1
801	во франции	1	1
802	доля истины	1	1
803	оно же	1	1
804	проходит через	1	1
805	смысле как	1	1
806	прогресса в	1	1
807	еще достаточно	1	1
808	на протяжении	2	1
809	конечно есть	1	1
810	смысле в	1	1
811	будет но	1	1
812	уносит в	3	1
813	было думать	1	1
814	значительной степени	1	1
815	какую угодно	1	1
816	каждого человека	2	1
817	не их	1	1
818	и служить	1	1
819	имеют никакого	1	1
820	но ведь	1	1
821	и русской	1	1
822	становится под	1	1
823	в другие	1	1
824	христианство и	1	1
825	теперь и	1	1
826	она становится	1	1
827	средневековья и	2	1
828	вопроса о	1	1
829	не был	1	1
830	всех своих	1	1
831	бы к	1	1
832	был уже	1	1
833	самый процесс	2	1
834	глядит из	1	1
835	этом смысле	2	1
836	в новое	3	1
837	нее входит	1	1
838	частной собственности	1	1
839	оба они	1	1
840	эпохи в	1	1
841	с идеями	1	1
842	ни одно	1	1
843	он создает	1	1
844	речи о	1	1
845	существования и	1	1
846	она с	1	1
847	в судьбах	2	1
848	для себя	1	1
849	в советской	1	1
850	живущий на	1	1
851	природе и	2	1
852	переходит от	1	1
853	от этой	1	1
854	для сознания	1	1
855	не ставит	2	1
856	это есть	7	1
857	идут на	1	1
858	сами могут	1	1
859	власти и	1	1
860	быть отнесены	1	1
861	как некогда	1	1
862	находит она	1	1
863	и начала	2	1
864	них нельзя	1	1
865	социальное значение	1	1
866	те формы	1	1
867	же представляется	1	1
868	самая постановка	1	1
869	и отдельных	1	1
870	не живут	1	1
871	солнце его	1	1
872	который и	1	1
873	который не	1	1
874	и поставил	1	1
875	истории но	1	1
876	должны перейти	1	1
877	этот переход	1	1
878	в известном	1	1
879	привел и	1	1
880	труда самый	1	1
881	времени и	2	1
882	признак возвращения	1	1
883	нем не	1	1
884	к созданию	2	1
885	начала xix	1	1
886	оно должно	1	1
887	будет в	1	1
888	не верит	1	1
889	на растерзание	1	1
890	время до	1	1
891	этого она	1	1
892	на гибель	2	1
893	будет поставлен	1	1
894	с большей	1	1
895	мира но	1	1
896	религия в	1	1
897	переход к	2	1
898	с богом	1	1
899	лицом к	3	1
900	мы вновь	1	1
901	и никакой	1	1
902	явление он	1	1
903	человека это	1	1
904	не больше	1	1
905	он видел	1	1
906	разлагаются и	1	1
907	замечательно что	1	1
908	в новом	2	1
909	единству и	1	1
910	войны и	2	1
911	но те	1	1
912	этого нельзя	1	1
913	том случае	1	1
914	а к	1	1
915	и царства	1	1
916	так будет	1	1
917	противоположен принципу	1	1
918	переходе от	2	1
919	вся жизнь	1	1
920	ведь и	2	1
921	он пожирает	1	1
922	если нет	2	1
923	и ночи	2	1
924	и всех	1	1
925	эпохи и	4	1
926	в духовный	1	1
927	сказать ни	1	1
928	в высшей	6	1
929	права и	2	1
930	также еще	1	1
931	нуждается в	1	1
932	вперед а	1	1
933	не удалось	1	1
934	бытия в	2	1
935	дня а	1	1
