N	2gram	Propp_Morf	Poddanst
124	со стороны	5	2
125	точек зрения	1	2
126	не нужно	1	2
127	по характеру	1	2
128	в эту	1	2
129	из них	4	2
130	но к	1	2
131	о и	1	2
132	есть не	1	2
133	есть в	1	2
134	в е	1	2
135	этих двух	1	1
136	охватывает только	1	1
137	были бы	1	1
138	как к	1	1
139	более мелких	1	1
140	во всяком	2	1
141	тем в	1	1
142	могли бы	2	1
143	ни к	2	1
144	не есть	1	1
145	собственном смысле	3	1
146	и то	1	1
147	но как	3	1
148	чтобы это	1	1
149	момент когда	3	1
150	мы можем	5	1
151	и эти	1	1
152	мы видим	15	1
153	а с	2	1
154	в данном	2	1
155	что от	1	1
156	с его	3	1
157	и многие	1	1
158	ее по	3	1
159	подобных целей	1	1
160	и более	2	1
161	можно говорить	1	1
162	те же	1	1
163	и здесь	7	1
164	основная задача	1	1
165	в иных	4	1
166	и на	1	1
167	отличие от	1	1
168	можно причислить	1	1
169	вопрос о	10	1
170	и очень	1	1
171	не означает	2	1
172	он пришел	1	1
173	они не	3	1
174	может не	2	1
175	она должна	1	1
176	этой области	1	1
177	в момент	1	1
178	только что	3	1
179	таковые как	1	1
180	вероятно что	1	1
181	с двух	1	1
182	в наши	2	1
183	к этой	1	1
184	поисков и	1	1
185	исходить из	1	1
186	что каждая	1	1
187	очень далеко	1	1
188	она не	2	1
189	должна быть	2	1
190	при отсутствии	1	1
191	более или	2	1
192	применении к	1	1
193	связана с	3	1
194	только как	1	1
195	того чтобы	4	1
196	к соединению	1	1
197	более широкой	1	1
198	равным образом	1	1
199	по всему	3	1
200	в применении	1	1
201	и иных	2	1
202	и менее	1	1
203	вопросу о	2	1
204	представляет собой	17	1
205	в отдельности	1	1
206	прошлому хотя	1	1
207	формы в	1	1
208	во многих	1	1
209	для победы	1	1
210	что это	3	1
211	не более	1	1
212	конечно и	1	1
213	одно и	1	1
214	есть путь	1	1
215	с трудом	1	1
216	эти могут	1	1
217	есть у	1	1
218	думается что	1	1
219	вот как	2	1
220	что при	3	1
221	победы в	1	1
222	в формах	1	1
223	р с	1	1
224	все основные	1	1
225	из этих	2	1
226	что с	1	1
227	как таковые	4	1
228	связанные с	1	1
229	именно на	1	1
230	тех частей	1	1
231	не как	1	1
232	и другие	6	1
233	только один	1	1
234	об отношении	1	1
235	а затем	10	1
236	в каждом	1	1
237	эта мысль	1	1
238	и вслед	1	1
239	только на	1	1
240	где он	1	1
241	лиц и	1	1
242	и этим	7	1
243	не исключает	2	1
244	не с	2	1
245	что эта	2	1
246	например с	2	1
247	да в	1	1
248	в других	5	1
249	и при	3	1
250	и что	3	1
251	ощущается как	2	1
252	вопрос вопрос	1	1
253	в различных	2	1
254	на основании	1	1
255	что и	10	1
256	тем и	2	1
257	связывается с	3	1
258	эта задача	1	1
259	другой стороны	5	1
260	с того	3	1
261	иными словами	1	1
262	еще в	1	1
263	как ни	1	1
264	ни были	1	1
265	и охватывает	1	1
266	как явление	1	1
267	далеко не	5	1
268	в этих	17	1
269	не вполне	1	1
270	что все	1	1
271	как по	1	1
272	в ином	3	1
273	так же	4	1
274	также и	6	1
275	его в	4	1
276	в церковь	1	1
277	тем больше	1	1
278	в большинстве	3	1
279	известных в	1	1
280	и наоборот	4	1
281	мы вполне	1	1
282	в г	1	1
283	все же	9	1
284	и притом	1	1
285	чтобы в	1	1
286	родителей и	1	1
287	в настоящее	3	1
288	е а	2	1
289	теми же	1	1
290	но на	1	1
291	рассматривать как	1	1
292	что его	4	1
293	в результате	8	1
294	в рамках	1	1
295	в которой	3	1
296	от тех	1	1
297	не связаны	1	1
298	котором говорит	1	1
299	в этой	3	1
300	от разрешения	1	1
301	не сумеем	2	1
302	прежде чем	5	1
303	из нее	1	1
304	к первому	1	1
305	и где	1	1
306	духа в	1	1
307	и которая	1	1
308	себя в	2	1
309	из двух	3	1
310	исторической действительности	1	1
311	оно есть	1	1
312	настоящее время	3	1
313	она может	1	1
314	что не	1	1
315	если мы	6	1
316	тем же	2	1
317	но для	3	1
318	в каком	2	1
319	может идти	1	1
320	в ходе	5	1
321	но есть	3	1
322	ведет к	1	1
323	свои собственные	1	1
324	церковь и	1	1
325	возможно что	1	1
326	если он	2	1
327	учреждений и	1	1
328	и другим	3	1
329	находится в	1	1
330	представляют собою	2	1
331	представляют собой	16	1
332	в какой	3	1
333	ясно что	5	1
334	эти явления	1	1
335	с собой	3	1
336	как и	4	1
337	также в	2	1
338	некоторое средство	1	1
339	зрения исторической	1	1
340	или иной	1	1
341	в собственном	3	1
342	многих других	2	1
343	случаях когда	2	1
344	по одному	1	1
345	начала в	1	1
346	большинстве случаев	3	1
347	одновременно и	1	1
348	стремления к	1	1
349	все еще	3	1
350	вопросом о	1	1
351	дело идет	1	1
352	на то	3	1
353	этого сборника	1	1
354	по количеству	1	1
355	ее нужно	1	1
356	в поиски	6	1
357	и по	3	1
358	этот вывод	1	1
359	к следующему	1	1
360	там где	5	1
361	в эти	1	1
362	т д	60	1
363	тех пор	1	1
364	он живет	1	1
365	и только	3	1
366	это сделать	1	1
367	что именно	2	1
368	друг с	1	1
369	всяком случае	2	1
370	нисколько не	1	1
371	о котором	1	1
372	бы мы	1	1
373	не все	6	1
374	когда в	2	1
375	друг друга	3	1
376	общий вопрос	1	1
377	многие из	1	1
378	в это	1	1
379	с ее	1	1
380	более как	1	1
381	с другом	1	1
382	он был	1	1
383	не имеет	2	1
384	есть и	4	1
385	однако же	1	1
386	р м	1	1
387	одно из	1	1
388	или менее	2	1
389	и ее	5	1
390	в которые	1	1
391	которыми могут	1	1
392	грань между	1	1
393	совершенно ясно	1	1
394	из этой	1	1
395	бы нас	1	1
396	еще не	4	1
