N	2gram	Berdyaev_M	NovoeSre
296	и быть	2	1
297	в более	4	1
298	которая должна	1	1
299	до сих	5	1
300	и человека	5	1
301	а к	2	1
302	изжит и	1	1
303	как ни	1	1
304	бога в	2	1
305	содержания жизни	1	1
306	и более	2	1
307	бы он	2	1
308	и этот	4	1
309	в котором	9	1
310	я ни	1	1
311	видел не	1	1
312	из сторон	1	1
313	по природе	2	1
314	по преимуществу	4	1
315	находится во	1	1
316	и мира	3	1
317	значение в	1	1
318	и всех	1	1
319	нет уже	3	1
320	то это	1	1
321	быть принята	2	1
322	ее он	2	1
323	сам человек	1	1
324	выходит за	1	1
325	творческое явление	1	1
326	отличие от	1	1
327	истории для	1	1
328	христианской культуры	1	1
329	мир в	3	1
330	приблизиться к	1	1
331	де местр	1	1
332	нет ни	3	1
333	возможно лишь	1	1
334	же и	2	1
335	более глубоком	1	1
336	еще люди	1	1
337	они не	4	1
338	человеческих сил	2	1
339	к ней	6	1
340	был уже	1	1
341	она должна	1	1
342	как формальное	1	1
343	и красота	1	1
344	все еще	2	1
345	нельзя мыслить	1	1
346	на нем	1	1
347	женской природы	1	1
348	испытание человеческой	5	1
349	пришли к	1	1
350	нет бога	4	1
351	предположении что	1	1
352	отпадения от	1	1
353	также что	1	1
354	случае если	1	1
355	принудить к	1	1
356	он также	2	1
357	мужское начало	2	1
358	о человеке	24	1
359	никакой силы	1	1
360	есть вместе	1	1
361	мы уже	1	1
362	жизни а	3	1
363	бог и	8	1
364	переходит в	23	1
365	не останется	1	1
366	своей природе	1	1
367	теократии не	1	1
368	в глубочайшем	2	1
369	говорим что	1	1
370	не могу	4	1
371	уже в	6	1
372	и нечеловеческой	1	1
373	не интересуется	1	1
374	эти слова	2	1
375	повсюду раскрывается	1	1
376	во власти	5	1
377	вели к	1	1
378	ней нужно	1	1
379	до последних	3	1
380	к себе	3	1
381	в свою	5	1
382	в значительной	2	1
383	от мира	2	1
384	есть прежде	4	1
385	в состоянии	1	1
386	для себя	1	1
387	и оттуда	1	1
388	во всяком	1	1
389	его было	1	1
390	она оказалась	1	1
391	русского народа	1	1
392	можно лишь	1	1
393	все свои	1	1
394	смысле в	2	1
395	и поставил	1	1
396	есть бог	2	1
397	в покое	1	1
398	земли и	1	1
399	весь смысл	1	1
400	платоновском смысле	1	1
401	не должно	1	1
402	с миром	1	1
403	но во	1	1
404	но также	2	1
405	природе своей	2	1
406	для того	4	1
407	п верховенского	3	1
408	в глубину	5	1
409	это я	1	1
410	он часто	1	1
411	не по	1	1
412	принятии истины	1	1
413	быть не	2	1
414	к старой	1	1
415	как конец	1	1
416	не быть	2	1
417	протяжении всей	1	1
418	не для	2	1
419	нужно признать	1	1
420	свободе в	5	1
421	истину и	2	1
422	ее жизни	1	1
423	лишь для	1	1
424	и зло	2	1
425	более всего	1	1
426	это значит	3	1
427	есть соединение	1	1
428	не всегда	1	1
429	характерны для	1	1
430	революция духа	1	1
431	в этот	2	1
432	истории он	2	1
433	христианского мира	6	1
434	имея в	1	1
435	духа есть	1	1
436	он и	2	1
437	что вся	1	1
438	или нет	1	1
439	было бы	11	1
440	мы должны	1	1
441	и из	1	1
442	в сущности	2	1
443	к небытию	2	1
444	то нет	4	1
445	не знающее	1	1
446	хочет перейти	1	1
447	и учителей	1	1
448	этом он	4	1
449	уже от	1	1
450	мира так	1	1
451	в его	10	1
452	значительной степени	2	1
453	в вечной	1	1
454	когда она	1	1
455	к тем	2	1
456	ли это?	1	1
457	средних веков	1	1
458	о свободе	18	1
459	от этой	2	1
460	но ведь	1	1
461	народная стихия	1	1
462	и вся	1	1
463	значение для	1	1
464	должны быть	3	1
465	и через	1	1
466	космоса но	1	1
467	бытия как	1	1
468	и их	3	1
469	в совершенную	1	1
470	говорить о	1	1
471	не с	1	1
472	во времена	1	1
473	мира то	1	1
474	вступает в	1	1
475	всего как	1	1
476	одна сторона	1	1
477	бытия и	1	1
478	общество не	1	1
479	не были	2	1
480	и ему	1	1
481	есть и	6	1
482	не способен	6	1
483	гуманистической морали	1	1
484	теми которые	1	1
485	но сам	1	1
486	у нас	13	1
487	не достигается	2	1
488	и когда	2	1
489	это была	1	1
490	для них	3	1
491	с богом	1	1
492	духа свобода	1	1
493	человек выходит	1	1
494	не столько	1	1
495	совести и	2	1
496	истории с	1	1
497	людей и	5	1
498	говорит что	3	1
499	они будут	1	1
500	себя на	1	1
501	социализм есть	4	1
502	последние пределы	1	1
503	вопроса о	1	1
504	в виду	2	1
505	или к	4	1
506	не больше	1	1
507	еще в	4	1
508	есть переход	1	1
509	в мир	3	1
510	исторического пути	1	1
511	превращается в	1	1
512	и до	1	1
513	слова а	1	1
514	духовной культуры	1	1
515	осталось ни	1	1
516	революции духа	4	1
517	с собой	5	1
518	весь мир	1	1
519	духа как	2	1
520	добро и	4	1
521	беспредельной свободы	1	1
522	христовых и	1	1
523	природу и	2	1
524	привела к	2	1
525	идут на	1	1
526	только в	7	1
527	равенства в	1	1
528	движения в	2	1
529	не на	1	1
530	не могут	6	1
531	есть уже	8	1
532	имя человека	1	1
533	по своей	4	1
534	власти и	1	1
535	от того	4	1
536	в нее	1	1
537	он есть	1	1
538	него как	2	1
539	есть еще	1	1
540	она становится	1	1
541	человеческой свободы	12	1
542	в боге	7	1
543	в зависимости	1	1
544	отпавшего от	1	1
545	творчества и	1	1
546	а во	1	1
547	оно не	3	1
548	на смену	3	1
549	всякое подлинное	1	1
550	потребность в	1	1
551	как существо	1	1
552	другая сторона	1	1
553	со злом	3	1
554	замкнутости и	1	1
555	что нет	2	1
556	а на	1	1
557	свобода человека	3	1
558	о природе	1	1
559	особого рода	1	1
560	принадлежит уже	2	1
561	всего что	2	1
562	конце новой	1	1
563	образ человека	8	1
564	что революция	2	1
565	в платоновском	1	1
566	но он	17	1
567	есть проблема	1	1
568	быть признана	1	1
569	идеями и	1	1
570	значение и	1	1
571	в которой	8	1
572	антихристов дух	1	1
573	защитником свободы	1	1
574	этого мира	3	1
575	века не	1	1
576	человек от	2	1
577	не хотел	5	1
578	заключает в	3	1
579	в этой	12	1
580	жизни это	4	1
581	академическая философия	1	1
582	что ничего	2	1
583	к чему	5	1
584	умственной жизни	1	1
585	человеческой жизни	4	1
586	человек а	1	1
587	общество и	1	1
588	а также	1	1
589	и еще	3	1
590	жизнь в	4	1
591	и начал	1	1
592	формальное право	1	1
593	новый мир	1	1
594	духом человек	1	1
595	как на	1	1
596	и тьмой	1	1
597	установить что	1	1
598	общества в	1	1
599	человеческого общества	3	1
600	в отличие	1	1
601	так называемый	2	1
602	про себя	2	1
603	он в	4	1
604	такова судьба	1	1
605	будто бы	3	1
606	него и	3	1
607	лишь знаки	1	1
608	путь на	1	1
609	жизни которыми	1	1
610	самом себе	1	1
611	на нее	1	1
612	возможно что	1	1
613	на путь	2	1
614	и возвращается	2	1
615	оно есть	1	1
616	в принятии	1	1
617	теперь и	1	1
618	всегда есть	1	1
619	переход от	1	1
620	нем не	2	1
621	непосредственно реально	1	1
622	о русском	1	1
623	себя а	1	1
624	из всех	1	1
625	не понимали	1	1
626	менее всего	10	1
627	что не	3	1
628	но все	1	1
629	не осталось	1	1
630	в глубине	10	1
631	он видел	1	1
632	тем что	7	1
633	вера в	3	1
634	жизни его	1	1
635	духовной глубине	2	1
636	есть всегда	2	1
637	проблема о	1	1
638	россии и	1	1
639	нет возврата	3	1
640	к социализму	2	1
641	социализма в	1	1
642	и во	5	1
643	не хочет	3	1
644	мир который	1	1
645	только одна	1	1
646	и истребление	1	1
647	свободы к	4	1
648	к этой	3	1
649	это тем	1	1
650	но нет	1	1
651	то время	2	1
652	всякого духовного	1	1
653	возможны только	1	1
654	в христианстве	3	1
655	она неизбежно	1	1
656	в конце	11	1
657	вообще не	2	1
658	слишком далеко	1	1
659	свободу как	3	1
660	или иная	1	1
661	к отрицанию	13	1
662	столь чуждую	1	1
663	сама истина	2	1
664	мы опять	1	1
665	судьба и	1	1
666	так много	1	1
667	них не	1	1
668	в рабстве	1	1
669	так как	10	1
670	замечательно что	1	1
671	в образе	4	1
672	бога нет	1	1
673	к которому	1	1
674	в своем	17	1
675	процессы в	1	1
676	давно уже	1	1
677	в космосе	1	1
678	эту мысль	1	1
679	антропологии и	1	1
680	глубже чем	1	1
681	есть по	1	1
682	уже нет	3	1
683	человечества и	1	1
684	долгое время	2	1
685	личности с	1	1
686	русские люди	3	1
687	сих пор	5	1
688	подозрительностью и	1	1
689	истину он	1	1
690	в социализме	4	1
691	культуру и	1	1
692	что он	16	1
693	на себя	1	1
694	направлена на	2	1
695	природа социализма	1	1
696	человека это	2	1
697	и она	5	1
698	зла в	4	1
699	глубину в	2	1
700	свобода избрания	2	1
701	их в	1	1
702	в силу	1	1
703	были еще	1	1
704	боге и	2	1
705	он может	1	1
706	сама идея	1	1
707	всей нашей	1	1
708	всю жизнь	7	1
709	движения духа	1	1
710	в атмосфере	3	1
711	как часто	1	1
712	борьбы за	1	1
713	не та	1	1
714	перестать быть	1	1
715	что мы	1	1
716	и вместе	4	1
717	но под	1	1
718	выходит к	1	1
719	человека на	7	1
720	от духовного	1	1
721	человеке и	8	1
722	в этих	6	1
723	в период	1	1
724	я хочу	3	1
725	эпохе по	1	1
726	том смысле	2	1
727	перед лицом	1	1
728	он переходит	1	1
729	но если	4	1
730	перед собой	2	1
731	человеческого но	1	1
732	по себе	2	1
733	не свободен	1	1
734	христианской истины	2	1
735	последних пределов	3	1
736	от веры	1	1
737	приводит к	2	1
738	только для	1	1
739	нет у	6	1
740	в области	1	1
741	в такой	4	1
742	все более	1	1
743	с ним	5	1
744	изнутри она	1	1
745	грядущей революции	1	1
746	мыслей и	1	1
747	и только	1	1
748	во франции	1	1
749	этой теме	1	1
750	человек не	17	1
751	который я	1	1
752	революции революция	1	1
753	есть только	2	1
754	ли он	2	1
755	от всех	2	1
756	человеческого духа	31	1
757	ней нет	1	1
758	всяком случае	1	1
759	исключительно мужская	1	1
760	глубочайшем смысле	2	1
761	перед богом	1	1
762	духа все	3	1
763	обречен на	2	1
764	речи о	1	1
765	человекобожества в	1	1
766	и оно	1	1
767	была лишь	1	1
768	путь нового	1	1
769	зависимости от	1	1
770	во время	1	1
771	та или	1	1
772	друг друга	12	1
773	идей и	3	1
774	только потому	1	1
775	и истории	1	1
776	в эти	1	1
777	будет в	1	1
778	идея принудительного	2	1
779	с большей	1	1
780	в это	1	1
781	если есть	1	1
782	в каком-то	2	1
783	себя отрицает	1	1
784	мира не	3	1
785	наиболее всечеловеческий	1	1
786	знает что	1	1
787	на поверхности	9	1
788	был ли	2	1
789	не случайно	1	1
790	себе всякое	1	1
791	в чем	3	1
792	в каком	2	1
793	ничего нет	1	1
794	нет в	5	1
795	не был	8	1
796	дальше и	2	1
797	в какие	1	1
798	себя человек	1	1
799	и трудно	1	1
800	есть своя	1	1
801	и его	13	1
802	конец гуманизма	1	1
803	что вообще	1	1
804	свою противоположность	4	1
805	и у	3	1
806	мы выходим	1	1
807	для вечности	1	1
808	на это	1	1
809	себе и	4	1
810	но дух	1	1
811	за его	2	1
812	был в	4	1
813	истории на	1	1
814	жизни с	1	1
815	огромную роль	1	1
816	раньше чем	1	1
817	человека не	6	1
818	к идее	1	1
819	он принадлежал	1	1
820	производить впечатление	1	1
821	лишь по	1	1
822	совершается в	1	1
823	связано с	5	1
824	истины о	1	1
825	от этого	4	1
826	мира с	2	1
827	явление нового	1	1
828	и нет	3	1
829	лишь те	2	1
830	обратиться к	1	1
831	бытия а	1	1
832	который и	2	1
833	себя и	6	1
834	к нему	8	1
835	хаос но	1	1
836	становится в	1	1
837	на них	1	1
838	движение к	1	1
839	людей в	3	1
