N	2gram	Nazirov_Vr	Stilisti
311	всех их	1	1
312	ввел в	1	1
313	знаком и	1	1
314	все свои	1	1
315	его жизни	1	1
316	служит для	1	1
317	о котором	1	1
318	более всего	1	1
319	из которого	1	1
320	целым рядом	1	1
321	у достоевского	4	1
322	в сторону	1	1
323	в чем	3	1
324	конечно гораздо	1	1
325	при виде	1	1
326	тем более	2	1
327	по крайней	1	1
328	именно этот	1	1
329	дома и	1	1
330	этот мотив	1	1
331	еще один	1	1
332	в русской	3	1
333	еще до	1	1
334	не менее	2	1
335	нам не	1	1
336	в стиле	1	1
337	это и	1	1
338	одна из	2	1
339	это конечно	1	1
340	того в	1	1
341	для создания	1	1
342	и ушел	1	1
343	что этот	1	1
344	истории человечества	1	1
345	которой он	1	1
346	раз и	1	1
347	к типу	2	1
348	но которая	1	1
349	это как	1	1
350	типичным представителем	1	1
351	совпадает с	1	1
352	чтобы он	3	1
353	только как	1	1
354	ему и	1	1
355	их другими	1	1
356	вышел из	1	1
357	во время	2	1
358	говорить не	1	1
359	постепенно в	1	1
360	к своей	1	1
361	героев достоевского	1	1
362	позволяет нам	1	1
363	в развитии	1	1
364	в те	3	1
365	их общий	1	1
366	и лишь	1	1
367	но зато	1	1
368	но они	1	1
369	говорить о	1	1
370	что эта	1	1
371	этого как	1	1
372	в поэме	1	1
373	и что	8	1
374	не будем	1	1
375	как он	1	1
376	и выражение	1	1
377	не могла	1	1
378	конечно в	1	1
379	вслед за	1	1
380	только слова	1	1
381	его личность	2	1
382	же на	1	1
383	в истории	4	1
384	к людям	1	1
385	как по	1	1
386	при помощи	2	1
387	хотел было	2	1
388	с другой	1	1
389	и разнообразных	1	1
390	говорит о	1	1
391	к ним	2	1
392	взял в	1	1
393	несколько минут	1	1
394	и о	3	1
395	ее не	1	1
396	и никогда	1	1
397	что для	1	1
398	что тот	1	1
399	во внимание	1	1
400	наряду с	3	1
401	и во	3	1
402	сказав что	1	1
403	как тот	1	1
404	на свою	1	1
405	не совсем	1	1
406	за него	1	1
407	в высшей	1	1
408	в своем	3	1
409	имя и	1	1
410	разрыва не	1	1
411	это дает	1	1
412	и есть	1	1
413	во всей	1	1
414	столь же	2	1
415	в силу	1	1
416	же в	2	1
417	каком направлении	1	1
418	на то	3	1
419	брата и	1	1
420	из произведений	1	1
421	в эти	2	1
422	своим собственным	1	1
423	глаза в	1	1
424	еще в	1	1
425	всех этих	1	1
426	того же	1	1
427	же он	1	1
428	нетрудно заметить	1	1
429	не был	1	1
430	только о	1	1
431	вне его	1	1
432	одного и	1	1
433	ключ к	1	1
434	этот материал	1	1
435	человека но	1	1
436	может как	1	1
437	в подобных	1	1
438	высшей степени	1	1
439	заявляет о	1	1
