N	2gram	Tiupa_Hudo	VerxiiNi
113	каждая из	2	3
114	в значительной	2	3
115	представляет собой	11	3
116	так что	1	3
117	а после	1	3
118	так называемые	1	3
119	точно так	1	3
120	в одном	3	3
121	и те	1	3
122	не вполне	2	3
123	в рамках	13	3
124	к ним	1	3
125	и о	4	3
126	отношению к	10	3
127	в своем	4	3
128	уже не	6	3
129	своей индивидуальности	1	3
130	того что	5	3
131	бы то	2	2
132	все что	1	2
133	для всех	1	2
134	один из	2	2
135	и здесь	1	2
136	и на	3	2
137	свидетельствует о	1	2
138	мы имеем	6	2
139	не с	2	2
140	ни было	2	2
141	только не	1	2
142	те же	1	2
143	не как	2	2
144	прежде всего	5	2
145	из своих	1	2
146	требует от	1	2
147	одно из	2	2
148	в русском	1	2
149	не могут	1	2
150	когда же	1	2
151	со всеми	1	2
152	в них	2	2
153	не было	1	2
154	к его	3	2
155	этой точки	2	2
156	не в	9	2
157	без остатка	2	2
158	а также	6	2
159	в виду	5	2
160	одним из	2	2
161	направляется к	1	2
162	мысль о	1	2
163	именно в	2	2
164	и действительно	1	2
165	героев и	1	2
166	между этими	1	2
167	можно назвать	1	2
168	одновременно и	1	2
169	в одно	2	2
170	при таком	1	2
171	области духовной	1	2
172	никем не	2	2
173	по своему	3	2
174	приводит к	6	2
175	только для	1	2
176	отличается от	2	2
177	по своим	1	2
178	о котором	1	2
179	после его	1	2
180	еще не	4	2
181	во всех	3	2
182	и мир	1	2
183	начиная с	2	2
184	совершенно иной	2	2
185	если не	1	2
186	наконец в	1	2
187	то ни	2	2
188	либо в	2	2
189	между тем	4	2
190	в свою	3	2
191	не всегда	2	2
192	есть как	2	2
193	быть и	2	2
194	и больше	2	2
195	не могло	2	2
196	и является	1	2
197	заключает в	1	2
198	тем и	1	2
199	вслед за	2	2
200	и это	2	2
201	превращается в	2	2
202	по своей	7	2
203	же время	7	2
204	или иное	1	2
205	состоит в	20	2
206	жизни по	1	2
207	же самое	1	2
208	человек должен	1	2
209	общего с	1	2
210	сказать что	4	2
211	которые в	1	2
212	не могла	1	2
213	к которому	4	2
214	или иной	9	2
215	те и	1	2
216	жизни и	1	2
217	но если	1	2
218	иной раз	1	2
219	оно является	1	2
220	на то	1	2
221	из этого	2	2
222	с его	6	2
223	для этого	1	2
224	то или	1	2
225	в самой	2	2
226	и особенно	2	2
227	тот же	1	2
228	той или	5	2
229	его можно	1	2
230	можно только	1	2
231	или иным	4	1
232	души и	1	1
233	в той	3	1
234	индивидуальности и	1	1
235	культура есть	1	1
236	представить себе	1	1
237	мире и	2	1
238	то в	2	1
239	на почве	4	1
240	первую очередь	1	1
241	не так	1	1
242	к общему	1	1
243	не принадлежат	2	1
244	в свое	1	1
245	во втором	4	1
246	случае мы	1	1
247	или к	1	1
248	в состав	6	1
249	мы видим	1	1
250	в душе	9	1
251	в повседневном	1	1
252	можно говорить	1	1
253	не позволяет	1	1
254	значение в	1	1
255	этого в	1	1
256	тоже не	1	1
257	и конечно	1	1
258	свою очередь	2	1
259	жизнь это	1	1
260	они не	1	1
261	может не	1	1
262	что такое	2	1
263	рефлексия не	1	1
264	в момент	3	1
265	миропорядка и	3	1
266	живое существо	1	1
267	должно быть	1	1
268	новой жизни	1	1
269	время и	1	1
270	зависит от	1	1
271	не удовлетворяясь	1	1
272	как к	5	1
273	несколько иной	1	1
274	с системой	1	1
275	для себя	4	1
276	обе эти	1	1
277	это не	4	1
278	что сама	2	1
279	именно к	1	1
280	а тот	1	1
281	дело с	1	1
282	идет о	2	1
283	связей с	2	1
284	не для	1	1
285	а и	1	1
286	он усматривает	1	1
287	представляют собой	1	1
288	неизмеримо более	1	1
289	с ним	2	1
290	однако этот	1	1
291	о чем	3	1
292	внутренней стороны	1	1
293	в сущности	1	1
294	в ее	6	1
295	как раз	3	1
296	такое же	1	1
297	одном и	1	1
298	он решительно	1	1
299	чем у	1	1
300	все и	1	1
301	и через	1	1
302	как объекты	1	1
303	как субъекты	1	1
304	существующее в	2	1
305	сама жизнь	1	1
306	слове о	2	1
307	по образцу	1	1
308	у нас	1	1
309	на которой	1	1
310	это и	2	1
311	в миропорядке	8	1
312	ни в	5	1
313	и делает	1	1
314	в широком	1	1
315	картина мира	5	1
316	существенно отличается	1	1
317	другой стороны	6	1
318	но одно	1	1
319	прямо от	1	1
320	к не	1	1
321	не является	5	1
322	с их	2	1
323	весь мир	1	1
324	таком случае	2	1
325	все прочие	3	1
326	у него	2	1
327	за это	1	1
328	в их	5	1
329	в данном	4	1
330	его в	4	1
331	высокое место	1	1
332	а можно	1	1
333	в своих	1	1
334	чтобы в	1	1
335	это всегда	1	1
336	к искусству	1	1
337	в соответствии	1	1
338	не более	1	1
339	самом деле	2	1
340	в первом	1	1
341	и некоторые	2	1
342	как видно	1	1
343	а во-вторых	1	1
344	к чему	1	1
345	этом может	1	1
346	о мире	1	1
347	этом не	1	1
348	жизнь в	1	1
349	что его	1	1
350	всех его	1	1
351	в особый	1	1
352	этим и	1	1
353	заключается в	2	1
354	которое в	1	1
355	одновременно с	1	1
356	тем что	1	1
357	за свою	1	1
358	и том	1	1
359	значения и	2	1
360	если он	1	1
361	том или	1	1
362	в жизни	3	1
363	отношения к	4	1
364	видно из	1	1
365	и другим	1	1
366	ценностей и	1	1
367	лишь на	1	1
368	личности с	2	1
369	как и	3	1
370	среди прочих	1	1
371	с ними	2	1
372	многих других	1	1
373	к нам	1	1
374	и вокруг	1	1
375	их в	3	1
376	вследствие того	1	1
377	а именно	3	1
378	на земле	1	1
379	ничто в	1	1
380	не есть	1	1
381	только то	1	1
382	в своей	7	1
383	в слове	4	1
384	над тем	1	1
385	на этом	2	1
386	как в	2	1
387	никто не	3	1
388	мира и	2	1
389	перед собой	1	1
390	как с	1	1
391	ли не	1	1
392	смерти в	1	1
393	от этого	1	1
394	или ином	1	1
395	остается лишь	1	1
396	в такой	1	1
397	эту сторону	1	1
398	связь со	1	1
399	тем или	2	1
400	однако это	1	1
401	после того	1	1
402	другому человеку	1	1
403	бесконечно и	1	1
404	в себя	4	1
405	это было	1	1
406	себя не	1	1
407	вследствие этого	2	1
408	роль в	2	1
409	на его	1	1
410	в сторону	2	1
411	более как	1	1
412	в каждой	1	1
413	всей своей	2	1
414	в чем	2	1
415	в каком	2	1
416	жизни на	2	1
417	нет в	1	1
418	культуры в	3	1
419	это тоже	2	1
420	жизни то	2	1
421	в одной	1	1
422	тем более	2	1
423	не затрагивая	1	1
424	спрашивает себя	1	1
425	казалось бы	1	1
426	что они	1	1
427	бы в	1	1
428	в ритмическом	1	1
429	мере в	1	1
430	на них	1	1
431	людей в	1	1
432	с этим	1	1
433	все они	1	1
434	и того	3	1
435	еще и	2	1
436	могли бы	1	1
437	ни к	2	1
438	в первую	1	1
439	бы и	1	1
440	в уста	1	1
441	не существует	1	1
442	что от	1	1
443	жизни а	2	1
444	и более	2	1
445	не могли	2	1
446	и состоит	3	1
447	да и	1	1
448	когда на	1	1
449	и пр	1	1
450	отличие от	7	1
451	между собой	2	1
452	что высшей	1	1
453	на задний	1	1
454	не означает	1	1
455	по тем	1	1
456	эти последние	1	1
457	круговорот бытия	1	1
458	единое целое	2	1
459	каждом из	1	1
460	которой не	1	1
461	до нас	1	1
462	роли в	4	1
463	мира как	1	1
464	других для	1	1
465	духовной жизни	2	1
466	чистом виде	1	1
467	что этому	1	1
468	совпадает с	2	1
469	эти два	1	1
470	чему не	1	1
471	входит в	4	1
472	именно потому	1	1
473	чтобы такое	1	1
474	полку игореве	2	1
475	живет в	1	1
476	имеются и	2	1
477	ничто не	1	1
478	не должно	1	1
479	одну из	1	1
480	отчет в	1	1
481	не по	1	1
482	героем и	1	1
483	о полку	2	1
484	и одной	1	1
485	дело не	2	1
486	а через	1	1
487	является его	1	1
488	всегда так	1	1
489	что касается	1	1
490	а по	1	1
491	только на	1	1
492	в которую	1	1
493	с эпохи	1	1
494	речь идет	2	1
495	к одному	1	1
496	к области	3	1
497	в строгом	1	1
498	начинается с	1	1
499	их расположение	1	1
500	иметь в	1	1
501	или его	1	1
502	по отношению	10	1
503	не следует	4	1
504	к нашим	1	1
505	от своего	2	1
506	из нас	1	1
507	на каждом	1	1
508	участвовать в	1	1
509	тогда как	15	1
510	себе в	1	1
511	в самостоятельный	1	1
512	когда мы	1	1
513	не совпадает	1	1
514	в глаза	2	1
515	всего что	1	1
516	смысла и	1	1
517	на это	1	1
518	было бы	1	1
519	имеем в	3	1
520	этого мира	1	1
521	задний план	1	1
522	чем с	1	1
523	вступают в	1	1
524	в отличие	7	1
525	следит за	1	1
526	человеческой жизни	3	1
527	настоящее время	1	1
528	впервые в	1	1
529	времени старого	1	1
530	однако в	4	1
531	в сфере	1	1
532	тем же	1	1
533	затем в	1	1
534	по себе	2	1
535	на не	1	1
536	ролью в	1	1
537	могут быть	5	1
538	о его	2	1
539	человека и	2	1
540	душевное состояние	1	1
541	соответствии с	1	1
542	у всякого	1	1
543	культуры например	1	1
544	в нашем	2	1
545	с этими	1	1
546	может показаться	1	1
547	и есть	1	1
548	место в	5	1
549	во всей	3	1
550	более высокое	1	1
551	том же	1	1
552	неизбежно заключает	1	1
553	времени в	2	1
554	в сознании	1	1
555	же в	1	1
556	что она	2	1
557	бытия и	1	1
558	культуры ибо	1	1
559	бы быть	1	1
560	в уме	1	1
561	происходит в	1	1
562	и прежде	3	1
563	чаще всего	1	1
564	этого слова	2	1
565	до известной	2	1
566	и его	12	1
567	мира в	2	1
568	известной степени	3	1
569	под именем	1	1
570	к новой	1	1
571	образ его	1	1
572	а как	1	1
573	v если	1	1
574	что даже	1	1
575	даже в	3	1
576	события в	2	1
577	может и	1	1
578	нет никаких	1	1
579	к этим	1	1
580	друг друга	1	1
581	с ее	6	1
582	чтобы не	2	1
583	в настоящее	1	1
584	технических средств	1	1
585	но для	1	1
586	и совершенно	1	1
587	своей ролью	1	1
588	дает ему	1	1
589	настоящего времени	1	1
590	пришлось бы	1	1
591	себя в	8	1
592	и ее	3	1
593	здесь не	2	1
594	одного и	3	1
595	есть не	1	1
596	могли быть	1	1
597	совершается в	1	1
598	то время	1	1
599	мира с	2	1
600	искусства не	1	1
601	он должен	3	1
602	той же	1	1
603	котором он	1	1
