N	3gram	Tiupa_Lite	StatiiOP
224	одно и то	1	1
225	и во всей	1	1
226	стороны тогда как	1	1
227	разумеется не все	1	1
228	но в большинстве	1	1
229	своих современников в	1	1
230	однако и в	1	1
231	у кого из	1	1
232	это уже не	1	1
233	на два года	1	1
234	именно в том	1	1
235	он не мог	1	1
236	в общее дело	1	1
237	у него нет	1	1
238	не могут быть	1	1
239	уже в году	2	1
240	во второй половине	1	1
241	том что не	1	1
242	каждый из нас	1	1
243	и не только	1	1
244	к литературным фактам	1	1
245	тот или иной	1	1
246	пушкина в русской	1	1
247	в году писал	1	1
