N	2gram	Berdyaev_V	Narrotol
339	слышим и	1	1
340	бога это	1	1
341	есть продукт	1	1
342	от своей	2	1
343	всего что	1	1
344	в прошлом	2	1
345	тем кто	2	1
346	что все	4	1
347	и внешней	1	1
348	не будут	1	1
349	только стало	2	1
350	людей есть	2	1
351	бы то	1	1
352	чтобы сделать	2	1
353	всем в	1	1
354	она и	1	1
355	личности а	2	1
356	к человеку	1	1
357	указать на	1	1
358	в состоянии	1	1
359	истории нет	1	1
360	чем у	1	1
361	верит в	2	1
362	тайны и	1	1
363	не была	1	1
364	ни в	3	1
365	о возможности	1	1
366	в разные	1	1
367	на разных	1	1
368	пути и	1	1
369	и говорит	1	1
370	смерть никогда	1	1
371	прошлом и	1	1
372	мы это	2	1
373	и своего	1	1
374	в атмосфере	1	1
375	в последних	1	1
376	лишь на	1	1
377	на земле	7	1
378	для человеческого	1	1
379	последних словах	1	1
380	смыслу жизни	1	1
381	я был	1	1
382	с радостью	1	1
383	и быть	1	1
384	на этом	1	1
385	там он	1	1
386	на котором	1	1
387	то ни	1	1
388	если б	1	1
389	как сам	1	1
390	понимает и	2	1
391	в личности	2	1
392	разных концах	1	1
393	ведет не	1	1
394	над ним	1	1
395	любовью к	1	1
396	себя за	1	1
397	истории и	2	1
398	природы и	1	1
399	его личности	1	1
400	их к	1	1
401	любви в	1	1
402	был в	1	1
403	от высшего	2	1
404	если они	1	1
405	бы ни	1	1
406	его к	2	1
407	как близок	1	1
408	до времени	1	1
409	люди что	1	1
410	это одна	1	1
411	этого самого	2	1
412	не верят	3	1
413	за ним	3	1
414	если за	1	1
415	в последнем	2	1
416	жизни без	1	1
417	о вечном	1	1
418	с такой	1	1
419	красоте и	1	1
420	сложное и	1	1
421	человек с	1	1
422	к вечности	3	1
423	с внутренним	1	1
424	с тем	2	1
425	нашего времени	1	1
426	лишь из	2	1
427	нет никакого	1	1
428	не могут	2	1
429	в я	1	1
430	во что	1	1
431	вместо того	2	1
432	не знающего	1	1
433	лишь к	1	1
434	и они	3	1
435	как не	3	1
436	над смертью	1	1
437	и так	1	1
438	он осуществляет	1	1
439	чем счастье	1	1
440	будет еще	1	1
441	себя и	1	1
442	только себя	1	1
443	сравнению с	1	1
444	которого не	1	1
445	последние дни	1	1
446	почему оно	2	1
447	по крайней	1	1
448	зла и	1	1
449	возможно в	1	1
450	слова которое	1	1
451	далее и	1	1
452	важный для	1	1
453	теперь его	1	1
454	забота о	1	1
455	по сравнению	1	1
456	это только	1	1
457	и теперь	2	1
458	не понимает	1	1
459	как велика	1	1
460	и до	1	1
461	так легко	1	1
462	у человека	1	1
463	им в	1	1
464	в бога	2	1
465	но мы	2	1
466	людей так	2	1
467	нет и	2	1
468	важное для	1	1
469	должна иметь	1	1
470	в образе	4	1
471	человечества и	3	1
472	нам и	1	1
473	переход к	1	1
474	жизни человечества	1	1
475	этого слова	1	1
476	т д	2	1
477	счастья и	1	1
478	у них	1	1
479	тот же	3	1
480	не ведая	1	1
481	мировой истории	1	1
482	человеческую жизнь	1	1
483	людей не	2	1
484	что есть	5	1
485	что оно	1	1
486	значение в	1	1
487	тоже не	1	1
488	ничем не	1	1
489	так как	9	1
490	и было	1	1
491	того как	1	1
492	перестает быть	1	1
493	в первый	3	1
494	уже в	1	1
495	ли ты	2	1
496	как сама	1	1
497	образ и	1	1
498	что теперь	2	1
499	ее в	2	1
500	смысла жизни	4	1
501	слова не	1	1
502	начальным и	1	1
503	и последний	2	1
504	было для	1	1
505	тайной и	1	1
506	мировой жизни	4	1
507	вытекающего из	1	1
508	себя от	1	1
509	по смыслу	1	1
510	в современный	1	1
511	и я	4	1
512	не создает	2	1
513	в новом	1	1
514	ничего нельзя	1	1
515	бы это	1	1
516	свобода и	1	1
517	тоска по	2	1
518	освобождения от	2	1
519	бы от	1	1
520	проявляется как	1	1
521	человеком как	1	1
522	в противоположность	1	1
523	сознания так	1	1
524	в искусстве	1	1
525	но она	1	1
526	конечно в	1	1
527	единого в	1	1
528	на людей	1	1
529	любви по	1	1
530	не хотел	2	1
531	крайней мере	1	1
532	не верит	3	1
533	небе и	1	1
534	даже смерть	1	1
535	абсолютной ценности	1	1
536	может и	1	1
537	им не	1	1
538	в лице	1	1
539	и великим	1	1
540	есть не	1	1
541	легенда о	2	1
