N	2gram	Berdyaev_M	VrazhdaK
244	и верил	1	1
245	которой не	1	1
246	собой в	1	1
247	еще до	2	1
248	с любовью	2	1
249	чем все	1	1
250	героев достоевского	2	1
251	не хотел	5	1
252	еще более	3	1
253	и борьбы	1	1
254	из всех	1	1
255	пиру жизни	1	1
256	что это	5	1
257	обычно не	1	1
258	хотя и	2	1
259	вечный муж	1	1
260	от нас	1	1
261	смерти отца	1	1
262	и был	1	1
263	он и	2	1
264	ставрогина –	1	1
265	его ума	1	1
266	и из	1	1
267	в ее	3	1
268	того что	13	1
269	этом он	4	1
270	книгу в	1	1
271	ней ничего	1	1
272	в другой	1	1
273	говорит о	1	1
274	и творческого	1	1
275	чем у	8	1
276	от этой	2	1
277	верит в	2	1
278	нас в	3	1
279	сама жизнь	1	1
280	не хочет	3	1
281	когда достоевский	1	1
282	и наказании	1	1
283	прежде всего	18	1
284	ее и	2	1
285	что раскрывается	2	1
286	быть может	9	1
287	нет ничего	9	1
288	в этих	6	1
289	но на	2	1
290	он лишь	4	1
291	за это	1	1
292	в их	4	1
293	все равно	3	1
294	на пиру	1	1
295	есть еще	1	1
296	но с	2	1
297	а еще	1	1
298	христа и	4	1
299	ко всем	3	1
300	достоевского а	2	1
301	достоевский очень	1	1
302	он уже	8	1
303	что ни	1	1
304	в духе	6	1
305	можно признать	1	1
306	а за	2	1
307	детей он	1	1
308	а о	1	1
309	самим собой	1	1
310	нем самом	1	1
311	и сам	1	1
312	человека достоевский	3	1
313	в одном	1	1
314	их и	1	1
315	и почувствовал	1	1
316	неверие в	1	1
317	что за	2	1
318	тот кто	5	1
319	бесах как	1	1
320	на нее	1	1
321	любовь это	1	1
322	еще в	4	1
323	преступление и	2	1
324	о своей	2	1
325	но не	8	1
326	в глубине	10	1
327	но для	2	1
328	легенда о	1	1
329	заявляет о	1	1
330	уже на	1	1
331	жизни и	6	1
332	с социализмом	1	1
333	такое же	1	1
334	то время	2	1
335	может в	1	1
336	в жизни	7	1
337	судьбу его	1	1
338	человек и	7	1
339	как говорит	1	1
340	преступлении и	1	1
341	но ведь	1	1
342	не знал	7	1
343	как о	1	1
344	уж конечно	3	1
345	также в	2	1
346	начинается с	1	1
347	я всегда	2	1
348	говорить об	1	1
349	человек в	12	1
350	вряд ли	3	1
351	тридцать лет	1	1
352	себя как	1	1
353	своей души	3	1
354	не есть	21	1
355	человеком в	1	1
356	вокруг ставрогина	1	1
357	одном из	1	1
358	и перед	3	1
359	достоевского хотя	1	1
360	как в	9	1
361	дома и	1	1
362	стал на	1	1
363	влияния на	1	1
364	следовательно и	1	1
365	роль в	2	1
366	отношение достоевского	3	1
367	в грудь	1	1
368	по своему	3	1
369	и я	5	1
370	по преимуществу	4	1
371	сразу же	1	1
372	никто не	3	1
373	но у	2	1
374	отличается от	2	1
375	да и	1	1
376	ли он	2	1
377	в свете	3	1
378	ему и	1	1
379	не знали	2	1
380	они как	1	1
381	веру в	5	1
382	это было	1	1
383	людьми и	3	1
384	в сторону	1	1
385	нашей истории	1	1
386	по характеру	1	1
387	достоевского это	3	1
388	не имеет	7	1
389	человеком и	1	1
390	ведь не	2	1
391	почувствовал что	2	1
392	под влиянием	1	1
393	что как	1	1
394	сих пор	5	1
395	– одна	1	1
396	пускает и	1	1
397	в записках	2	1
398	не был	8	1
399	достоевскому он	2	1
400	с первого	1	1
401	на них	1	1
402	дневника писателя	2	1
403	жизнь и	5	1
404	достоевский пишет	1	1
405	с этим	4	1
406	во всех	3	1
407	человека к	10	1
408	сам же	1	1
409	во всяком	1	1
410	только от	1	1
411	это и	7	1
412	было не	1	1
413	контраст между	1	1
414	и литературные	1	1
415	то он	3	1
416	достоевского был	2	1
417	начало в	3	1
418	– не	6	1
419	было в	3	1
420	достоевском и	2	1
421	возвращается к	2	1
422	в мысли	2	1
423	не могли	1	1
424	мыслей и	1	1
425	мне все	1	1
426	человека он	6	1
427	был также	1	1
428	которой он	2	1
429	принуждения и	2	1
430	тотчас же	1	1
431	не любил	1	1
432	на той	1	1
433	его болезнь	1	1
434	потому что	25	1
435	но достоевский	2	1
436	целью в	1	1
437	все свои	1	1
438	живет в	2	1
439	также и	6	1
440	и речи	1	1
441	совсем не	3	1
442	он часто	1	1
443	большую высоту	1	1
444	и любит	1	1
445	человека как	3	1
446	более всего	1	1
447	не всегда	1	1
448	вели к	1	1
449	для достоевского	11	1
450	я только	1	1
451	в развитии	1	1
452	быть и	2	1
453	них много	1	1
454	во второй	1	1
455	он принимает	1	1
456	в частности	1	1
457	не будет	3	1
458	одним словом	1	1
459	характерно для	1	1
460	нужно было	1	1
461	с ненавистью	1	1
462	отличается не	1	1
463	не могло	1	1
464	совпадают с	1	1
465	и их	3	1
466	говорить о	1	1
467	он хочет	4	1
468	не с	1	1
469	отношении к	4	1
470	этого как	1	1
471	всех этих	1	1
472	хотя в	1	1
473	как он	4	1
474	это была	1	1
475	людей и	5	1
476	самому достоевскому	2	1
477	встреча с	1	1
478	себя на	1	1
479	и заимствования	1	1
480	доходит до	6	1
481	человек который	5	1
482	творчества достоевского	1	1
483	мертвого дома	1	1
484	ничего уже	1	1
485	привела к	2	1
486	у человека	6	1
487	проникнуть в	1	1
488	по своей	4	1
489	можно найти	1	1
490	от того	4	1
491	к людям	1	1
492	он –	20	1
493	которую он	2	1
494	в обоих	1	1
495	человека и	19	1
496	в каком	2	1
497	свет достоевский	1	1
498	а от	3	1
499	и можно	3	1
500	его отношение	2	1
501	достоевский изобличает	4	1
502	с другой	1	1
503	было бы	11	1
504	и нигилисты	1	1
505	верил в	1	1
506	что же	2	1
507	как на	1	1
508	ставрогина его	1	1
509	достоевский имел	1	1
510	себя в	6	1
511	которых он	5	1
512	своего народа	1	1
513	ее не	1	1
514	бесы –	1	1
515	энергии и	1	1
516	и никогда	4	1
517	в плане	1	1
518	по которой	1	1
519	бы его	2	1
520	людей достоевского	2	1
521	писал о	1	1
522	ключ к	1	1
523	той же	3	1
524	заключается в	1	1
525	могут быть	2	1
526	он сказал	1	1
527	его отношения	1	1
528	сам в	1	1
529	– явление	2	1
530	за него	1	1
531	это можно	1	1
532	такая же	1	1
533	имя его	1	1
534	до конца	16	1
535	в высшей	4	1
536	из первых	1	1
537	к которому	1	1
538	это отношение	1	1
539	во многих	2	1
540	что только	1	1
541	был в	4	1
542	есть по	1	1
543	и от	3	1
544	человечества и	1	1
545	и есть	21	1
546	– этого	1	1
547	что иван	1	1
548	во всей	1	1
549	в силу	1	1
550	на этот	2	1
551	достоевский много	1	1
552	всю жизнь	7	1
553	так это	2	1
554	больше было	1	1
555	достоевским как	1	1
556	но я	1	1
557	и дал	1	1
558	идет не	1	1
559	из этого	1	1
560	не стоит	1	1
561	не все	3	1
562	от них	1	1
563	этом отношении	1	1
564	во франции	1	1
565	а следовательно	1	1
566	всяком случае	1	1
567	истории –	1	1
568	конце концов	3	1
569	момент его	2	1
570	друг друга	12	1
571	о великом	6	1
572	как ему	1	1
573	вопрос и	2	1
574	из него	1	1
575	революции а	1	1
576	лишь один	2	1
577	же он	1	1
578	бы в	3	1
579	как великое	1	1
580	в тридцать	1	1
581	и наконец	1	1
582	в какую-то	1	1
583	ничего не	4	1
584	вплоть до	1	1
585	достоевский прежде	2	1
586	и чувств	1	1
587	свободой и	2	1
588	и самый	2	1
589	человека но	5	1
590	границей и	1	1
591	поэтому он	2	1
592	к нему	8	1
593	высшей степени	4	1
