N	2gram	Berdyaev_M	PoTuStor
391	века в	2	1
392	в свете	3	1
393	теряет свой	1	1
394	за ней	1	1
395	зависимости от	1	1
396	это было	1	1
397	влияния на	1	1
398	в душу	1	1
399	роль в	2	1
400	идеи и	2	1
401	на его	1	1
402	человека какое	1	1
403	в смысле	1	1
404	на своем	4	1
405	но если	4	1
406	философии но	2	1
407	делает его	1	1
408	их во	1	1
409	говорит об	1	1
410	вовсе не	1	1
411	но к	2	1
412	уже не	8	1
413	к тому	6	1
414	в философии	1	1
415	самое замечательное	1	1
416	свете сознания	1	1
417	связано с	5	1
418	на одном	1	1
419	которые были	1	1
420	а для	2	1
421	не был	8	1
422	влечет его	1	1
423	а потом	1	1
424	считает все	1	1
425	как последняя	1	1
426	и мир	2	1
427	сам же	1	1
428	нет ничего	9	1
429	ко всему	2	1
430	с чего	2	1
431	его и	2	1
432	человека в	26	1
433	и всему	1	1
434	он был	18	1
435	на сторону	2	1
436	а с	1	1
437	и быть	2	1
438	и часто	2	1
439	наука о	1	1
440	механизм в	1	1
441	существует для	1	1
442	отличается от	2	1
443	и социального	2	1
444	вопрос о	7	1
445	вернемся к	1	1
446	имеет очень	1	1
447	не имеют	2	1
448	быть при	1	1
449	мы увидим	4	1
450	в самых	2	1
451	и духовно	2	1
452	даже и	2	1
453	и социальной	1	1
454	то и	1	1
455	разных местах	2	1
456	с новыми	2	1
457	она не	9	1
458	не интересуется	1	1
459	близко к	1	1
460	в течение	1	1
461	в свою	5	1
462	входит в	3	1
463	и почти	1	1
464	его не	5	1
465	того чтобы	4	1
466	не дает	1	1
467	ничто не	1	1
468	бы из	1	1
469	в другом	1	1
470	для того	4	1
471	тому как	2	1
472	но всегда	1	1
473	явления и	1	1
474	быть не	2	1
475	в ней	23	1
476	у самого	2	1
477	ли у	1	1
478	у меня	1	1
479	человека как	3	1
480	не всегда	1	1
481	соединиться с	1	1
482	человека все	1	1
483	значение и	1	1
484	это сознание	1	1
485	от всех	2	1
486	когда он	3	1
487	у порога	1	1
488	что если	1	1
489	одним словом	1	1
490	новых и	2	1
491	а не	36	1
492	есть то	2	1
493	к тем	2	1
494	ли это?	1	1
495	увидим что	5	1
496	из мира	1	1
497	значение для	1	1
498	должны быть	3	1
499	имеем в	1	1
500	всего как	1	1
501	не преодолевается	1	1
502	психологов и	1	1
503	и та	2	1
504	хотя в	1	1
505	и что	4	1
506	как он	4	1
507	и об	1	1
508	теми которые	1	1
509	же что	2	1
510	отказ от	1	1
511	для человека	5	1
512	отношений между	2	1
513	этим не	1	1
514	в нашей	1	1
515	еще в	4	1
516	к чему	5	1
517	привела к	2	1
518	уже и	1	1
519	можно ли	2	1
520	она хочет	1	1
521	от того	4	1
522	чего же	2	1
523	из одного	1	1
524	человека и	19	1
525	говорили что	1	1
526	а во	1	1
527	вопрос можно	1	1
528	его отношение	2	1
529	в землю	1	1
530	как совершенно	1	1
531	на это	1	1
532	с другой	1	1
533	лишь в	8	1
534	нем и	1	1
535	не интересует	1	1
536	черты своего	1	1
537	я в	1	1
538	истории и	2	1
539	что же	2	1
540	как на	1	1
541	так называемого	1	1
542	его интересует	1	1
543	и еще	3	1
544	выходит из	1	1
545	на наших	1	1
546	жизнь как	1	1
547	под ним	2	1
548	ее не	1	1
549	энергии и	1	1
550	она может	2	1
551	культуры и	2	1
552	и самого	2	1
553	этом пути	4	1
554	по которой	1	1
555	некоторое преимущество	1	1
556	и борьба	1	1
557	когда человек	5	1
558	той же	3	1
559	только одна	1	1
560	что есть	7	1
561	которые в	2	1
562	свою противоположность	4	1
563	в самую	5	1
564	него все	1	1
565	но нет	1	1
566	для нашего	1	1
567	бы он	2	1
568	исключительно на	1	1
569	о его	1	1
570	что я	1	1
571	в высшей	4	1
572	в нашем	2	1
573	ничего но	1	1
574	процессы в	1	1
575	конце пути	2	1
576	надо только	1	1
577	во многих	2	1
578	с чем	1	1
579	лучше всего	1	1
580	даже самого	1	1
581	с которым	2	1
582	все время	3	1
583	в духе	6	1
584	что она	5	1
585	в атмосфере	3	1
586	не сразу	1	1
587	и прежде	1	1
588	говорить об	1	1
589	его веры	1	1
590	иной раз	1	1
591	любви к	14	1
592	искусства в	1	1
593	в период	1	1
594	в свой	2	1
595	право на	1	1
596	этот момент	1	1
597	бы ни	2	1
598	по поводу	1	1
599	катарсис очищение	1	1
600	его к	2	1
601	были в	1	1
602	не осталось	1	1
603	для достижения	1	1
604	человек не	17	1
605	это в	1	1
606	не будут	2	1
607	к этим	3	1
608	что иное	4	1
609	мы должны	1	1
610	есть ли	2	1
611	из него	1	1
612	тянется в	1	1
613	к ее	1	1
614	не найдут	1	1
615	не случайно	1	1
616	мы еще	4	1
617	двойственное отношение	1	1
618	мир но	2	1
619	себя в	6	1
620	может наиболее	1	1
621	точку зрения	1	1
622	мало общего	1	1
623	тот же	1	1
624	ничего не	4	1
625	на путях	4	1
626	было с	2	1
627	иное как	4	1
628	что до	1	1
629	и самый	2	1
630	человека но	5	1
631	из этой	2	1
632	к нему	8	1
633	высшей степени	4	1
