N	2gram	Savitsky_P	RusskieA
425	вдали от	1	1
426	и мир	1	1
427	определенном смысле	1	1
428	на человеческую	1	1
429	и усилению	1	1
430	м и	2	1
431	и дети	2	1
432	так называемые	2	1
433	и смысла	1	1
434	в периоды	1	1
435	не могла	1	1
436	православия и	2	1
437	эти сроки	1	1
438	к первому	1	1
439	вознесение и	1	1
440	болгар сербов	1	1
441	о русском	1	1
442	что во	1	1
443	и г	2	1
444	люди и	1	1
445	и есть	2	1
446	с которым	1	1
447	теми же	1	1
448	в общем	2	1
449	иной раз	1	1
450	с того	1	1
451	бы ни	2	1
452	которые были	1	1
453	земледелия но	1	1
454	и чем	1	1
455	в число	1	1
456	сливаются в	1	1
457	в статье	2	1
458	собственном смысле	1	1
459	его нет	1	1
460	как одна	1	1
461	н и	8	1
462	переходит в	1	1
463	в о	7	1
464	и который	1	1
465	должна быть	1	1
466	и менее	1	1
467	менее ясно	1	1
468	никак не	2	1
469	равным образом	1	1
470	два явления	1	1
471	на заре	1	1
472	христианства к	1	1
473	для каждого	1	1
474	в современной	1	1
475	нужно обратиться	1	1
476	о котором	1	1
477	со стороны	2	1
478	в которые	1	1
479	ли они	1	1
480	составляют часть	1	1
481	ни на	1	1
482	что мы	3	1
483	в значительной	2	1
484	эти могут	1	1
485	только один	1	1
486	в начальные	1	1
487	в хозяйстве	2	1
488	отношении к	5	1
489	и духовные	1	1
490	вслед за	3	1
491	в истории	1	1
492	знаем что	1	1
493	в каком	1	1
494	подошел к	2	1
495	и будущее	1	1
496	перед каждым	1	1
497	тем же	1	1
498	перед тем	1	1
499	бы как	1	1
500	к поздним	1	1
501	в колосьях	1	1
502	обратиться к	1	1
503	как раз	2	1
504	кто к	1	1
505	бы за	1	1
506	мир в	1	1
507	многих других	1	1
508	может не	1	1
509	г о	4	1
510	обе эти	1	1
511	народов как	1	1
512	но где	1	1
513	xix веке	2	1
514	чем тот	1	1
515	из числа	1	1
516	и некоторых	1	1
517	и где	1	1
518	и которая	1	1
519	он начнет	1	1
520	и самих	1	1
521	более что	1	1
522	как она	1	1
523	стремление к	1	1
524	ли не	1	1
525	когда-то и	1	1
526	что некоторая	1	1
527	и эти	1	1
528	области и	1	1
529	в полной	2	1
530	пр в	1	1
531	ей в	3	1
532	которую мы	2	1
533	при посредстве	2	1
534	обычное в	1	1
535	с основной	1	1
536	также и	1	1
537	собою как	1	1
538	взывает к	1	1
539	есть как	1	1
540	нужно было	2	1
541	или его	1	1
542	стороны и	2	1
543	как явление	1	1
544	человека с	1	1
545	и преимущественно	1	1
546	когда ее	1	1
547	именно здесь	1	1
548	идет речь	1	1
549	рассматривать как	1	1
550	россии и	4	1
551	в отрыве	1	1
552	религия есть	1	1
553	имеет к	1	1
554	говорить об	1	1
555	все еще	1	1
556	есть не	2	1
