N	2gram	Propp_Russ	KFilosof
488	место это	1	1
489	быть лучше	1	1
490	мы уже	2	1
491	которой и	1	1
492	где есть	2	1
493	во все	1	1
494	на некоторых	1	1
495	время от	1	1
496	совпадает с	1	1
497	можно установить	2	1
498	всяком случае	1	1
499	эти слова	1	1
500	нет даже	1	1
501	который по	1	1
502	все свои	1	1
503	так чтобы	2	1
504	нет но	2	1
505	также и	1	1
506	ту же	2	1
507	но эти	3	1
508	из жизни	1	1
509	не отличаются	2	1
510	но ему	1	1
511	другой в	1	1
512	и затем	1	1
513	только так	1	1
514	является и	1	1
515	и другой	5	1
516	эта картина	1	1
517	из их	1	1
518	а через	1	1
519	в этот	19	1
520	и неясно	1	1
521	и чтобы	1	1
522	а мои	1	1
523	мы должны	3	1
524	по поводу	1	1
525	поэтому мы	1	1
526	жизни основы	1	1
527	с которой	1	1
528	когда он	3	1
529	себе несколько	1	1
530	только тогда	3	1
531	и теперь	1	1
532	можно сделать	3	1
533	не могло	1	1
534	только на	4	1
535	должны быть	1	1
536	он должен	2	1
537	смысл который	1	1
538	не с	5	1
539	может служить	1	1
540	при такой	1	1
541	в различных	3	1
542	связь между	2	1
543	жизни это	1	1
544	в форме	3	1
545	и некоторое	1	1
546	говоря о	1	1
547	главным образом	5	1
548	и до	3	1
549	имеем здесь	1	1
550	том кто	1	1
551	пр и	1	1
552	что ее	3	1
553	в истории	1	1
554	и находит	1	1
555	он есть	2	1
556	первые три	1	1
557	этих случаях	1	1
558	себе в	1	1
559	в большинстве	2	1
560	до того	3	1
561	свою очередь	2	1
562	и цели	1	1
563	через него	2	1
564	связанных с	2	1
565	их и	3	1
566	еще на	1	1
567	всего этого	1	1
568	неясным остается	1	1
569	когда мы	2	1
570	быть признан	1	1
571	как из	1	1
572	же на	1	1
573	за этим	1	1
574	но мы	1	1
575	пока еще	1	1
576	по всей	4	1
577	все следующие	1	1
578	что подобные	1	1
579	к ней	4	1
580	настоящее время	3	1
581	содержанием и	1	1
582	она может	1	1
583	и во	2	1
584	и каждый	1	1
585	и др	4	1
586	о каких	1	1
587	это приводит	2	1
588	игра в	1	1
589	темно и	1	1
590	и необходимое	1	1
591	такая же	1	1
592	ее а	1	1
593	в нашем	2	1
594	находится в	3	1
595	согласиться с	1	1
596	от времени	1	1
597	на которого	1	1
598	в первой	1	1
599	и от	2	1
600	относится к	1	1
601	что все	2	1
602	с которым	1	1
603	и смысла	1	1
604	том же	6	1
605	же в	5	1
606	что она	4	1
607	к пониманию	1	1
608	такой же	3	1
609	и о	4	1
610	с нашим	1	1
611	говорить об	1	1
612	одна из	12	1
613	где под	1	1
614	что именно	3	1
615	глядит в	1	1
616	на то	2	1
617	так называемые	1	1
618	здесь и	1	1
619	быть правильно	1	1
620	от них	4	1
621	и по	10	1
622	в противном	2	1
623	время вместе	1	1
624	все другие	1	1
625	она будет	1	1
626	это в	1	1
627	или не	2	1
628	оставить в	1	1
629	месте в	1	1
630	все для	1	1
631	к этим	1	1
632	еще менее	1	1
633	и живут	1	1
634	друг друга	3	1
635	того же	1	1
636	не просто	3	1
637	не случайно	2	1
638	в настоящее	3	1
639	в один	2	1
640	оторванное от	1	1
641	не можем	5	1
642	подойти к	2	1
643	как мы	11	1
644	и иные	1	1
645	не к	3	1
646	ее не	1	1
647	себя но	1	1
648	любви и	1	1
649	во второй	1	1
