N	2gram	Medvedev_U	Myshleni
118	у него	1	17
119	то и	1	17
120	обе эти	1	17
121	и только	5	17
122	в которых	1	16
123	мы имеем	1	16
124	и даже	1	16
125	является в	2	15
126	что при	1	15
127	и это	1	15
128	и является	2	15
129	данном случае	1	15
130	тем более	1	15
131	хотя бы	5	15
132	которое мы	1	15
133	ничего не	2	15
134	это значит	1	14
135	думается что	2	14
136	но что	1	14
137	очевидно что	3	14
138	понятий с	1	14
139	что для	1	14
140	первую очередь	1	14
141	связанные с	1	14
142	одним из	2	14
143	от слова	1	14
144	о чем	2	14
145	в первую	1	14
146	с его	2	14
147	об этом	1	14
148	в понятии	1	13
149	в виде	1	13
150	на его	1	13
151	отнюдь не	1	13
152	она не	1	13
153	человека и	1	13
154	для всех	2	13
155	с которыми	1	12
156	на первый	2	12
157	но он	1	12
158	за пределы	1	12
159	и потому	1	12
160	только к	3	12
161	первый план	1	12
162	в ней	1	12
163	входит в	1	12
164	не столько	2	11
165	иначе говоря	1	11
166	друг другу	1	11
167	нас в	2	11
168	одно из	1	11
169	что этот	1	11
170	вот почему	7	11
171	в конце	2	11
172	тех и	1	11
173	он в	1	11
174	или менее	1	11
175	в пределах	1	11
176	но для	1	10
177	что такое	4	10
178	этот процесс	1	10
179	у нас	3	10
180	каждом шагу	2	10
181	и у	2	10
182	вопроса о	2	10
183	если не	2	10
184	в конечном	4	10
185	на каждом	2	10
186	относится к	1	10
187	и слово	1	10
188	конечном счете	4	9
189	теории и	1	9
190	более или	1	9
191	оно является	1	9
192	что же	1	9
193	к изучению	1	9
194	только для	1	9
195	больше чем	1	9
196	в системе	2	9
197	не то	1	9
198	представляется нам	2	9
199	он может	1	9
200	само по	1	9
201	не как	3	8
202	о котором	1	8
203	в этот	1	8
204	этот путь	1	8
205	что только	1	8
206	сам по	1	8
207	в течение	1	8
208	еще один	1	8
209	нам известно	1	8
210	относятся к	1	8
211	к проблеме	1	8
212	остается в	1	8
213	и др	1	8
214	мы снова	1	8
215	этой области	3	8
216	тому чтобы	1	8
217	в таком	1	7
218	всех этих	2	7
219	и делает	1	7
220	его и	2	7
221	в значительной	1	7
222	находятся в	1	7
223	восприятия и	1	7
224	самое что	1	7
225	имеет свою	1	7
226	же в	1	7
227	это в	1	7
228	не существует	1	7
229	должна быть	2	7
230	но по	1	7
231	признать что	1	7
232	уже не	1	6
233	это же	1	6
234	то о	1	6
235	фактов и	2	6
236	такое что	1	6
237	в словах	1	6
238	бы и	2	6
239	нет и	1	6
240	а это	1	6
241	представлений и	1	6
242	или даже	1	6
243	что было	1	6
244	его на	1	6
245	нашему мнению	3	6
246	в различных	1	6
247	очень часто	1	6
248	задачи и	1	6
249	как таковой	2	6
250	природе и	1	6
251	это было	2	6
252	она должна	1	6
253	чем к	1	6
254	по нашему	3	6
255	формы в	3	5
256	в большей	1	5
257	только как	1	5
258	может служить	1	5
259	слово как	1	5
260	все его	1	5
261	как такового	3	5
262	как основной	1	5
263	в свое	1	5
264	что ему	1	5
265	все они	2	5
266	к построению	1	5
267	т.е в	2	5
268	что по	1	5
269	гораздо больше	1	5
270	но даже	2	5
271	что еще	1	5
272	быть в	1	5
273	научного мышления	1	5
274	по мнению	1	5
275	вообще в	1	5
276	содержания и	1	5
277	этой основной	1	5
278	не для	1	5
279	существенным для	1	5
280	о которой	1	5
281	общего и	1	5
282	без этого	1	5
283	и понятий	1	5
284	конце концов	2	5
285	исходить из	1	4
286	является с	1	4
287	на эту	2	4
288	они относятся	1	4
289	конечно не	4	4
290	бы то	3	4
291	она в	1	4
292	почему в	1	4
293	не было	1	4
294	как таковое	1	4
295	до предела	1	4
296	смысле можно	1	4
297	и вся	1	4
298	только при	1	4
299	как всякая	1	4
300	к которой	1	4
301	или по	1	4
302	строго говоря	1	4
303	в некоторых	2	4
304	в наиболее	1	4
305	стороны в	1	4
306	почти не	1	4
307	превращается в	2	4
308	мы полагаем	1	4
309	ни было	3	4
310	понятие не	1	4
311	эта работа	1	4
312	а как	2	4
313	является наиболее	1	4
314	слова у	1	4
315	меньшей мере	1	4
316	находящихся в	1	4
317	формы и	2	4
318	и эта	1	4
319	к области	2	4
320	или иных	2	3
321	должна была	2	3
322	ее как	1	3
323	это верно	1	3
324	до крайности	1	3
325	развитие в	1	3
326	вне которой	1	3
327	а для	1	3
328	верно и	1	3
329	но прежде	1	3
330	этот анализ	1	3
331	как возможно	1	3
332	есть ли	1	3
333	на слово	1	3
334	к сожалению	3	3
335	сводится к	2	3
336	и единственно	1	3
337	является одним	1	3
338	не входит	1	3
339	и независимо	1	3
340	впервые в	1	3
341	является только	1	3
342	именно к	1	3
343	связанных с	1	3
344	о нем	1	3
345	функция а	1	3
346	по его	1	3
347	к проблемам	1	3
348	степени и	1	3
349	нам представляется	2	3
350	направлено на	1	3
351	значительной мере	1	3
352	точно и	1	3
353	и всей	1	3
354	смысле и	1	3
355	то ни	3	3
356	не приходится	2	3
357	полагая что	1	3
358	но также	1	3
359	очень легко	1	3
360	же время	3	3
361	она все	1	3
362	имеем в	1	3
363	но именно	1	3
364	материал и	1	3
365	этого термина	2	3
366	на одно	1	3
367	же не	2	3
368	равенства между	1	3
369	или иначе	1	3
370	как таковая	1	3
371	язык в	1	3
372	при таком	2	3
373	в период	1	3
374	знак равенства	1	3
375	он прежде	1	3
376	далеко не	1	3
377	в отдельности	1	3
378	он и	1	3
379	быть не	1	3
380	в порядке	1	3
381	тех или	2	3
382	таком понимании	1	2
383	сам автор	1	2
384	время не	1	2
385	первых мест	1	2
386	из самых	1	2
387	мы получаем	2	2
388	ее к	1	2
389	он был	1	2
390	с проблемой	2	2
391	не делает	1	2
392	сделать больше	1	2
393	и формы	3	2
394	с самим	1	2
395	образом на	1	2
396	для изучения	1	2
397	нем но	1	2
398	в сторону	2	2
399	свое место	1	2
400	для тех	1	2
401	только одним	1	2
402	более чем	2	2
403	его как	1	2
404	существует в	1	2
405	бы ни	1	2
406	сходных с	1	2
407	от самых	1	2
408	с каждым	1	2
409	функциональное и	1	2
410	и так	1	2
411	поэзии и	1	2
412	к созданию	1	2
413	в словесном	1	2
414	тезис о	1	2
415	этой тенденции	1	2
416	как феномен	1	2
417	из первых	1	2
418	именно этот	1	2
419	автор видит	1	2
420	для второго	1	2
421	этих слов	1	2
422	слова а	1	2
423	элементарным и	1	2
424	пытается заменить	1	2
425	бы это	1	2
426	которые могли	1	2
427	не следует	3	2
428	и вне	1	2
429	анализу и	1	2
430	идет не	1	2
431	вся система	1	2
432	оно все	1	2
433	что основной	1	2
434	содержание в	1	2
435	случае он	1	2
436	слово является	1	2
437	в точном	1	2
438	установку на	2	2
439	художественное произведение	5	2
440	обращение к	1	2
441	представлениями и	1	2
442	перестает быть	5	2
443	тем в	1	2
444	которых она	1	2
445	так то	1	2
446	понимая под	1	2
447	своими собственными	1	2
448	самим же	1	2
449	и через	2	2
450	не обладает	1	2
451	закон и	1	2
452	столько же	1	2
453	знает только	1	2
454	так много	1	2
455	работы по	2	2
456	функции это	1	2
457	именно как	2	2
458	не связанных	1	2
459	для первого	1	2
460	себя на	1	2
461	даже не	1	2
462	их и	2	2
463	он пытается	1	2
464	делает и	1	2
465	переходит в	1	2
466	и этого	1	2
467	основной проблемой	1	2
468	т.д в	1	2
469	формы слова	1	2
470	и действительно	1	2
471	анализа в	1	2
472	состоит из	1	2
473	этого материала	1	2
474	этого общего	1	2
475	если у	1	2
476	этого сложного	1	2
477	другом не	1	2
478	заключенных в	1	2
479	полагаем что	1	2
480	этого не	1	2
481	общее правило	1	2
482	только историческая	1	2
483	часто бывает	1	2
484	важным и	1	1
485	точном смысле	1	1
486	без точного	1	1
487	счете оно	1	1
488	возражать против	1	1
489	о необходимости	1	1
490	еще раз	1	1
491	с момента	1	1
492	нас до	1	1
493	более высокую	1	1
494	большей или	1	1
495	принцип построения	1	1
496	широком смысле	1	1
497	но нам	1	1
498	случае все	1	1
499	а между	2	1
500	содержания в	1	1
501	изучение всех	1	1
502	отдельности и	1	1
503	эта кажется	1	1
504	сдвиг в	1	1
505	понятий без	1	1
506	к следующему	1	1
507	проблем связанных	1	1
508	тенденции в	1	1
509	крайней мере	2	1
510	этом плане	1	1
511	для начала	1	1
512	но верно	1	1
513	как нам	1	1
514	он выдвигает	2	1
515	ему приходится	1	1
516	своей совокупности	1	1
517	как таковым	1	1
518	и основного	2	1
519	бы только	1	1
520	формы является	1	1
521	объект он	1	1
522	метода как	2	1
523	наличием и	1	1
524	с новой	1	1
525	подобным образом	1	1
526	в исторической	1	1
527	что нельзя	1	1
528	где же	1	1
529	тем сам	1	1
530	но понятие	1	1
531	звуковой формы	1	1
532	взятого в	1	1
533	когда нужно	1	1
534	несомненно и	1	1
535	момент является	1	1
536	приходится признать	2	1
537	не случайно	2	1
538	еще одно	1	1
539	доказывает что	1	1
540	он уже	1	1
541	и материал	1	1
542	и свое	1	1
543	есть язык	1	1
544	так или	1	1
545	целого но	1	1
546	представляется чрезвычайно	1	1
547	содержание и	1	1
548	тем менее	2	1
549	достаточно ясно	1	1
550	встречаются с	1	1
551	в противоположную	1	1
552	для читателя	1	1
553	этих функций	1	1
554	есть основной	1	1
555	было сделать	1	1
556	понятия также	1	1
557	художественных произведений	2	1
558	и простое	1	1
559	и содержание	1	1
560	в механическое	1	1
561	почему она	1	1
562	верно но	1	1
563	утверждением что	1	1
564	выхода в	1	1
565	когда мне	1	1
566	какие мы	1	1
567	сделать более	1	1
568	в преодолении	1	1
569	он становится	1	1
570	и лингвистика	1	1
571	единства и	1	1
572	как метод	2	1
573	в широком	2	1
574	превратилось бы	1	1
575	от синтаксиса	1	1
576	материал для	2	1
577	самое общее	1	1
578	таковы в	1	1
579	и вы	1	1
580	существу то	1	1
581	его раскрывает	1	1
582	склонен рассматривать	1	1
583	по теории	1	1
584	все черты	1	1
585	случайной и	1	1
586	не все	2	1
587	ряда и	1	1
588	буквальном смысле	1	1
589	эти тенденции	1	1
590	часто встречается	1	1
591	отсюда и	1	1
592	котором говорил	1	1
593	лет с	1	1
594	говорить не	1	1
595	и существенным	1	1
596	но такое	1	1
597	у кого	1	1
598	все кошки	1	1
599	поставить знак	1	1
600	на большую	1	1
601	сколько и	1	1
602	несомненно что	1	1
603	которой все	1	1
604	быть по	1	1
605	самими предметами	1	1
606	ней не	1	1
607	учителя и	1	1
608	не меньшей	1	1
609	только этот	1	1
610	будет не	1	1
611	ему вообще	1	1
612	и своеобразным	1	1
613	не простой	1	1
614	равно как	1	1
615	находит себе	1	1
616	наша задача	1	1
617	в противовес	2	1
618	это содержание	1	1
619	важных моментов	1	1
620	даже и	2	1
621	работа была	1	1
622	в не	1	1
623	не вполне	1	1
624	всего что	1	1
625	представляется что	1	1
626	группы и	1	1
627	от смысла	1	1
628	и теоретической	1	1
629	и систематически	1	1
630	настолько насколько	1	1
631	этого и	1	1
632	научного анализа	1	1
633	его работы	1	1
634	один пример	1	1
635	быть тем	1	1
636	начала и	1	1
637	в буквальном	2	1
638	они в	1	1
639	чуждых друг	1	1
640	предметами не	1	1
641	связанных и	1	1
642	мировоззрения и	1	1
643	не о	3	1
644	перестают быть	1	1
645	в совокупности	1	1
646	приемов и	2	1
647	в последние	1	1
648	крайним выражением	1	1
649	во главу	1	1
650	которой и	1	1
651	объясняется и	1	1
652	необходимо изучать	1	1
653	самое ее	1	1
654	ничего существенно	1	1
655	присущи и	1	1
656	единицы и	1	1
657	или меньшей	1	1
658	ли для	1	1
659	для подобного	1	1
660	рассматривать не	1	1
661	со смысловой	1	1
662	не значит	1	1
663	методических приемов	1	1
664	шаг к	1	1
665	только более	1	1
666	в чистое	1	1
667	впрочем в	1	1
668	вся работа	2	1
669	как особую	1	1
670	кто думает	1	1
671	пройти мимо	1	1
672	отказ от	1	1
673	не ставит	1	1
674	как самостоятельной	1	1
675	при построении	1	1
676	сложного и	1	1
677	более точно	1	1
678	он будет	1	1
679	есть слово	1	1
680	и роль	2	1
681	правда не	1	1
682	на знание	1	1
683	в итоге	2	1
684	по крайней	2	1
685	восприятия а	1	1
686	чем то	1	1
687	объекта в	1	1
688	мыслей о	1	1
689	в современном	1	1
690	таковым в	1	1
691	эту книгу	1	1
692	только часть	1	1
693	присущей ему	1	1
694	и важный	1	1
695	где бы	1	1
696	пришлось бы	3	1
697	толстой в	1	1
698	все элементы	1	1
699	без них	1	1
700	т.е то	1	1
701	материала и	2	1
702	себе нового	1	1
703	лучше и	1	1
704	ценность в	1	1
705	любопытно что	1	1
706	элементы из	1	1
707	а о	2	1
708	ссылка на	1	1
709	главу угла	1	1
710	основной методологический	1	1
711	речи чтобы	1	1
712	нового в	1	1
713	о сущности	1	1
714	конечно это	1	1
715	случилось с	1	1
716	сводит все	1	1
717	чем была	1	1
718	это для	1	1
719	не словами	1	1
720	течение многих	1	1
721	это то	1	1
722	этого конечно	1	1
723	что под	1	1
724	со своими	1	1
725	насколько мы	1	1
726	самых крайних	1	1
727	и прежде	1	1
728	читателя который	1	1
729	интереса к	2	1
730	как целого	1	1
