N	2gram	Tiupa_Disk	EvropaiE
244	в сторону	4	2
245	друг от	1	2
246	не нужно	2	2
247	в других	1	2
248	а именно	1	2
249	к той	4	2
250	на них	1	2
251	большей части	1	2
252	не говоря	2	2
253	но как	2	2
254	духовной жизни	1	2
255	и других	1	2
256	и более	1	2
257	в котором	7	2
258	следовало бы	1	2
259	же к	1	2
260	и что	2	2
261	более чем	3	2
262	она не	1	2
263	в значительной	3	2
264	он не	4	2
265	мы должны	1	2
266	и теперь	1	2
267	и существенно	1	2
268	вопросом не	1	2
269	а не	35	2
270	в одном	5	2
271	частности в	2	2
272	целый ряд	2	2
273	тому или	1	2
274	далеко не	10	2
275	в истории	5	2
276	по своей	15	2
277	при помощи	1	2
278	а в	5	2
279	в большинстве	3	2
280	или иному	1	2
281	культурной традиции	1	2
282	задаться вопросом	1	2
283	в этой	5	2
284	что же	4	2
285	и еще	1	2
286	как их	2	2
287	заметить что	2	2
288	мог бы	1	2
289	наряду с	1	2
290	начиная с	1	2
291	могут быть	5	2
292	но именно	1	2
293	без посредства	1	2
294	в силу	5	2
295	на этот	1	2
296	же в	1	2
297	жизни и	2	2
298	такой же	1	2
299	для понимания	2	2
300	всего к	1	2
301	как будто	3	2
302	он сам	2	2
303	можно утверждать	1	2
304	в случае	2	2
305	точка зрения	3	2
306	и чем	1	2
307	меньшей степени	1	2
308	или точнее	1	2
309	исключительно в	1	2
310	не устраняет	1	2
311	и наконец	2	2
312	что на	3	2
313	не к	3	2
314	к нему	1	2
315	жизни но	2	1
316	питается и	1	1
317	в сочетании	1	1
318	в формировании	1	1
319	ближе к	2	1
320	во всем	2	1
321	об их	1	1
322	мире и	2	1
323	нельзя признать	1	1
324	и другие	1	1
325	в мировом	1	1
326	оно определяется	1	1
327	в свое	3	1
328	сводить к	1	1
329	знание в	1	1
330	а другие	1	1
331	для всех	2	1
332	один из	3	1
333	человеческой жизни	2	1
334	значение в	1	1
335	таковы например	2	1
336	выходит за	1	1
337	она и	1	1
338	мир в	1	1
339	не важнейшим	1	1
340	как таковой	1	1
341	аналогии с	2	1
342	как с	1	1
343	любой из	1	1
344	различие между	3	1
345	и было	3	1
346	но из	1	1
347	указать на	3	1
348	должно быть	2	1
349	в случаях	1	1
350	которая в	3	1
351	в явлениях	1	1
352	том числе	3	1
353	уже в	2	1
354	например в	4	1
355	в жизни	2	1
356	внимание на	5	1
357	общение с	1	1
358	в состоянии	1	1
359	для себя	6	1
360	том же	1	1
361	к сфере	1	1
362	дело с	2	1
363	групп и	1	1
364	характер как	2	1
365	при этом	22	1
366	должно происходить	1	1
367	для него	9	1
368	к числу	2	1
369	свои особые	1	1
370	но от	1	1
371	бы на	1	1
372	мире в	1	1
373	для возникновения	1	1
374	которые лежат	1	1
375	в разных	1	1
376	тем как	1	1
377	многие из	1	1
378	с некоторым	1	1
379	это обстоятельство	1	1
380	но сама	1	1
381	в формах	2	1
382	лежали в	1	1
383	что с	2	1
384	являет собой	5	1
385	не как	5	1
386	истории в	2	1
387	в принципе	4	1
388	которые по	1	1
389	поэтому в	2	1
390	возникающих в	1	1
391	нас в	2	1
392	например то	1	1
393	не являются	1	1
394	составляющая его	1	1
395	с природой	1	1
396	к выводу	1	1
397	со своим	1	1
398	к сознанию	1	1
399	придает ей	1	1
400	выступает в	1	1
401	следует добавить	1	1
402	состояния в	1	1
403	связывается с	1	1
404	как нечто	2	1
405	с их	3	1
406	приходит к	1	1
407	в третьем	1	1
408	качестве примера	2	1
409	можно рассматривать	1	1
410	различия между	3	1
411	тому же	5	1
412	однако не	1	1
413	оно не	2	1
414	входящие в	1	1
415	существует поскольку	1	1
416	не было	9	1
417	связи с	4	1
418	более или	2	1
419	особого рода	3	1
420	открытым вопрос	1	1
421	о возможности	1	1
422	с некоторыми	2	1
423	отказаться от	1	1
424	цель и	1	1
425	на которых	1	1
426	продолжение в	1	1
427	на свой	1	1
428	живет и	1	1
429	не о	2	1
430	но все	2	1
431	к некоторому	1	1
432	историческом и	1	1
433	и сам	2	1
434	наблюдений над	1	1
435	с ней	3	1
436	с таким	1	1
437	это были	1	1
438	что его	1	1
439	по природе	6	1
440	мысль о	3	1
441	по отношению	13	1
442	одновременно с	2	1
443	пользоваться преимущественно	1	1
444	что не	4	1
445	как его	2	1
446	вхождения в	1	1
447	не одной	1	1
448	именно о	1	1
449	в построении	2	1
450	значение так	2	1
451	или на	3	1
452	не делает	1	1
453	сводится к	7	1
454	или иная	1	1
455	принадлежат к	3	1
456	понимать как	1	1
457	можно назвать	2	1
458	с той	3	1
459	в связи	1	1
460	данной сферы	1	1
461	лишь на	1	1
462	те же	1	1
463	прав и	1	1
464	следует понимать	1	1
465	с ними	1	1
466	в соответствии	4	1
467	и радикально	1	1
468	для каждого	1	1
469	если и	1	1
470	в определенной	1	1
471	все эти	2	1
472	себя как	1	1
473	эти две	1	1
474	на земле	1	1
475	поскольку в	2	1
476	с еще	1	1
477	мнение что	1	1
478	не утратила	1	1
479	все же	8	1
480	при таком	1	1
481	противном случае	1	1
482	рассказывает что	2	1
483	своего существования	1	1
484	этого слова	1	1
485	одно из	4	1
486	к концу	1	1
487	ли не	3	1
488	в такой	1	1
489	быть сведена	1	1
490	в исторической	2	1
491	железных дорог	1	1
492	поэзии и	1	1
493	который не	2	1
494	в новом	2	1
495	о которых	1	1
496	о котором	2	1
497	если можно	2	1
498	и следовательно	1	1
499	которое не	1	1
500	по самой	1	1
501	войти в	1	1
502	же касается	4	1
503	с большей	1	1
504	ни для	4	1
505	речь идет	2	1
506	единой для	1	1
507	и это	3	1
508	в каждой	3	1
509	об этом	3	1
510	говорит об	1	1
511	или менее	2	1
512	к созданию	1	1
513	тогда как	28	1
514	что как	1	1
515	уже не	7	1
516	в одной	4	1
517	и вообще	2	1
518	он мог	3	1
519	отметим что	1	1
520	года или	2	1
521	в любой	2	1
522	а для	1	1
523	к жизни	1	1
524	людей в	1	1
525	было у	1	1
526	даже помимо	1	1
527	но его	1	1
528	дальнейшее развитие	1	1
529	не менее	6	1
530	большей или	2	1
531	том случае	1	1
532	полной мере	1	1
533	своей судьбой	1	1
534	некоторые из	1	1
535	рассматривать как	2	1
536	нужно и	1	1
537	а к	3	1
538	в основе	11	1
539	не перед	1	1
540	и сами	1	1
541	не сводится	7	1
542	зависит от	2	1
543	несомненным что	1	1
544	отличие от	13	1
545	такие же	1	1
546	отношений или	1	1
547	на этом	3	1
548	когда мы	1	1
549	собой такое	1	1
550	и подражания	1	1
551	случае если	1	1
552	по большей	1	1
553	не несут	1	1
554	до настоящего	1	1
555	то и	1	1
556	чем то	1	1
557	человеческого бытия	1	1
558	говорить не	1	1
559	и иных	1	1
560	более того	2	1
561	этом мире	2	1
562	другой в	1	1
563	не быть	1	1
564	вопрос следует	1	1
565	на такие	1	1
566	с совершенно	1	1
567	именно поэтому	1	1
568	времени в	3	1
569	в отношениях	1	1
570	уже о	2	1
571	или же	1	1
572	а через	1	1
573	в этот	1	1
574	на пересечении	1	1
575	производство и	1	1
576	этом явлении	1	1
577	в современном	3	1
578	слова и	2	1
579	быть и	2	1
580	преимущественно к	1	1
581	в изучении	1	1
582	мы все	2	1
583	не заключает	2	1
584	должны быть	3	1
585	но они	3	1
586	или иных	1	1
587	и их	1	1
588	говорить о	3	1
589	на его	4	1
590	при самом	1	1
591	склада и	1	1
592	занимающей нас	1	1
593	в тех	2	1
594	к области	2	1
595	за пределы	2	1
596	на примере	3	1
597	не обязательно	4	1
598	в начале	2	1
599	еще в	6	1
600	входит в	2	1
601	и до	2	1
602	даже не	1	1
603	своем значении	2	1
604	значительной степени	3	1
605	какому же	1	1
606	и те	1	1
607	впоследствии к	1	1
608	перед лицом	2	1
609	от своей	1	1
610	чтобы не	2	1
611	на практике	1	1
612	к которой	1	1
613	определенного рода	1	1
614	также от	1	1
615	в обоих	1	1
616	что из	1	1
617	только это	1	1
618	и наоборот	1	1
619	необходимо понять	1	1
620	этот период	1	1
621	будучи в	1	1
622	как известно	1	1
623	в каких	1	1
624	которая как	1	1
625	состоит в	20	1
626	непосредственным образом	1	1
627	с понятиями	1	1
628	потому и	1	1
629	лишь в	4	1
630	чем это	1	1
631	в рамках	11	1
632	сведена к	1	1
633	некоторое время	1	1
634	претендовать на	3	1
635	и быта	1	1
636	или меньшей	2	1
637	то чтобы	2	1
638	числе и	3	1
639	степи и	2	1
640	в отличие	13	1
641	он в	1	1
642	можно усмотреть	2	1
643	соответствии с	5	1
644	одного из	5	1
645	было отмечено	1	1
646	оставляя открытым	1	1
647	та или	1	1
648	стран с	1	1
649	той же	2	1
650	тех случаях	1	1
651	которые в	1	1
652	пребывает в	1	1
653	их к	1	1
654	и ее	5	1
655	сам в	1	1
656	которое мы	1	1
657	такая же	1	1
658	быть в	1	1
659	что может	1	1
660	и несколько	1	1
661	в нашем	2	1
662	к которому	2	1
663	двух противоположных	1	1
664	то она	2	1
665	вплоть до	2	1
666	области культуры	1	1
667	а впоследствии	1	1
668	же будет	1	1
669	бытия и	1	1
670	в полном	2	1
671	приобщения к	1	1
672	который по	3	1
673	ней в	1	1
674	и о	4	1
675	имеют дело	1	1
676	себя с	2	1
677	одна из	1	1
678	все еще	1	1
679	включает в	1	1
680	или из	2	1
681	с его	9	1
682	и его	4	1
683	ряд иных	1	1
684	его к	1	1
685	и морем	1	1
686	чем та	1	1
687	тех или	1	1
688	в противном	1	1
689	что во	1	1
690	есть к	1	1
691	что даже	2	1
692	это в	4	1
693	с теми	1	1
694	в нем	16	1
695	образования как	1	1
696	но это	3	1
697	от того	1	1
698	для этого	1	1
699	с ее	3	1
700	всех этих	1	1
701	для всего	1	1
702	настоящего времени	2	1
703	лицо и	2	1
704	в большей	1	1
705	одного и	5	1
706	мире как	1	1
707	на рубеже	2	1
708	жизнью и	1	1
709	каких же	1	1
710	в чьих	1	1
711	мировой истории	1	1
712	фигурирует в	1	1
713	своего развития	1	1
714	проистекает из	1	1
715	как некий	1	1
