N	2gram	Tiupa_Vved	VLabPisa
221	того как	1	2
222	зависит от	3	2
223	картины в	1	2
224	при всей	3	2
225	с одной	9	2
226	том числе	1	2
227	должна быть	3	2
228	внимание на	4	2
229	реакции на	1	2
230	получает в	1	2
231	с нею	1	2
232	говорить о	5	2
233	да и	3	2
234	хотя и	10	2
235	подчеркнуть что	5	2
236	о чем	4	2
237	не приходится	1	2
238	по слову	1	2
239	одном и	1	2
240	в науке	1	2
241	что такое	23	2
242	как у	3	2
243	и через	2	2
244	для них	3	2
245	не столько	5	2
246	с другими	1	2
247	его от	1	2
248	по себе	2	2
249	частности в	2	2
250	но с	1	2
251	в своих	5	2
252	и даже	3	2
253	мышления в	1	2
254	и наконец	2	2
255	этого рода	1	2
256	и слова	2	2
257	не о	2	2
258	а о	1	2
259	а во-вторых	1	2
260	ни одна	1	2
261	всех его	2	2
262	мысль о	2	2
263	как об	1	2
264	что она	2	2
265	но не	9	2
266	в ней	5	2
267	но вот	1	2
268	вот это	1	2
269	в жизни	7	2
270	стороны в	1	2
271	свидетельствуют о	1	2
272	начинается с	2	2
273	к его	5	2
274	не подлежит	2	2
275	же как	1	2
276	между прочим	1	2
277	что мы	2	2
278	на этом	1	2
279	не вполне	4	2
280	противном случае	2	2
281	не менее	4	2
282	можно ли	1	2
283	так сказать	2	2
284	ли не	2	2
285	бы не	3	2
286	на то	3	2
287	которая не	2	2
288	в чем	2	2
289	числе и	1	2
290	так например	2	2
291	могло бы	4	2
292	на отсутствие	1	2
293	и отдельные	1	2
294	справедливо говорит	1	2
295	а для	2	2
296	легко и	1	2
297	от них	2	2
298	еще не	8	2
299	все они	2	2
300	иметь в	1	2
301	во всяком	3	2
302	и потому	2	2
303	еще и	2	2
304	того или	1	2
305	человека в	2	2
306	восприятия и	2	2
307	а к	3	2
308	было в	2	2
309	а как	1	2
310	в целях	1	2
311	ли это	2	2
312	лица и	1	2
313	в течение	2	2
314	всяком случае	3	2
315	одной стороны	9	2
316	относится к	1	2
317	также и	6	2
318	в другом	2	2
319	не по	4	2
320	не всегда	2	2
321	по крайней	1	2
322	лишь в	4	2
323	связана с	1	2
324	каждой из	1	2
325	результате чего	1	2
326	не с	4	2
327	не об	1	2
328	в различных	1	2
329	о своем	1	2
330	можно было	2	2
331	часто не	1	2
332	даже не	1	2
333	в течении	2	2
334	стороны и	4	2
335	и сам	2	2
336	даже самая	1	2
337	пока еще	6	2
338	как известно	2	2
339	воображения в	1	2
340	ни одного	1	2
341	он и	2	2
342	к ним	4	2
343	же самое	2	2
344	он в	1	2
345	братьев карамазовых	1	2
346	будто бы	3	2
347	в сфере	7	2
348	заключается в	2	2
349	начиная с	3	2
350	и у	2	2
351	в известной	1	2
352	одной из	1	2
353	дня и	1	2
354	в образе	1	2
355	на него	3	2
356	он не	6	2
357	во всей	1	2
358	или иной	5	2
359	он может	1	2
360	который в	5	2
361	сознания субъекта	2	2
362	он сам	1	2
363	в области	5	2
364	в противном	2	2
365	только с	1	2
366	у них	3	2
367	нет никаких	1	2
368	к этим	1	2
369	три года	1	2
370	и для	8	2
371	но для	1	2
372	крайней мере	1	2
373	войны и	5	2
374	ни с	2	2
375	но в	14	2
376	толстой в	1	2
377	персонажей и	2	2
378	вплоть до	2	2
379	в той	5	1
380	с которой	1	1
381	личного опыта	1	1
382	ответа на	1	1
383	ситуации и	4	1
384	такова природа	1	1
385	это на	1	1
386	что автор	1	1
387	об их	1	1
388	то в	1	1
389	наконец наиболее	1	1
390	на почве	1	1
391	именно к	2	1
392	созерцание и	1	1
393	однако и	3	1
394	этом случае	1	1
395	и составляет	3	1
396	смерть и	1	1
397	и то	1	1
398	ответ на	2	1
399	а потому	1	1
400	форм и	1	1
401	доме или	1	1
402	ее и	2	1
403	это одна	1	1
404	образом и	1	1
405	и ошибок	1	1
406	и автор	1	1
407	мы видим	1	1
408	но на	2	1
409	еще одну	1	1
410	в более	1	1
411	в очерке	1	1
412	интерпретации в	1	1
413	сознании о	1	1
414	связано с	3	1
415	и мы	1	1
416	для определения	1	1
417	мы и	2	1
418	у гоголя	2	1
419	для проникновения	1	1
420	на протяжении	2	1
421	в формировании	1	1
422	смысле что	1	1
423	опирается на	1	1
424	хоть и	1	1
425	любой из	1	1
426	полноту и	2	1
427	данном случае	15	1
428	действий в	1	1
429	ее разрешению	1	1
430	то есть	13	1
431	не слишком	1	1
432	писателя с	3	1
433	которой должна	1	1
434	свидетельствует о	5	1
435	роль и	1	1
436	рассказ о	1	1
437	которые не	2	1
438	к этой	1	1
439	высокий но	1	1
440	следует ли	1	1
441	один с	1	1
442	мы не	6	1
443	наконец рассказ	1	1
444	а тот	1	1
445	или по	1	1
446	дело с	4	1
447	его последователей	1	1
448	еще более	2	1
449	несмотря на	2	1
450	из того	1	1
451	для характеристики	1	1
452	не для	1	1
453	проявляется в	1	1
454	которых он	1	1
455	к истине	1	1
456	к необходимости	1	1
457	слов в	2	1
458	какова же	1	1
459	своего свободного	1	1
460	с ним	3	1
461	по выражению	3	1
462	фактов и	1	1
463	называет ее	1	1
464	только со	2	1
465	о нем	1	1
466	предполагает наличие	1	1
467	не как	2	1
468	аналогии с	2	1
469	проникновения в	2	1
470	воплощенной в	1	1
471	о свободе	1	1
472	для нас	4	1
473	из записок	1	1
474	например с	1	1
475	для данной	1	1
476	представлений о	1	1
477	этих рассказов	2	1
478	своей судьбы	1	1
479	с кристаллизацией	1	1
480	они в	1	1
481	сходятся в	1	1
482	таков в	2	1
483	большею частью	1	1
484	смешивать с	1	1
485	чем он	1	1
486	раскрывается в	1	1
487	не ограничивается	1	1
488	анне карениной	1	1
489	и создает	1	1
490	по мере	2	1
491	исторического развития	1	1
492	таком случае	1	1
493	у этого	1	1
494	в этих	5	1
495	более высокой	1	1
496	в виде	1	1
497	связанная с	1	1
498	определяется как	1	1
499	силу его	1	1
500	для писателя	2	1
501	романтического типа	1	1
502	теперь на	1	1
503	этого процесса	1	1
504	о природе	1	1
505	сами по	1	1
506	она к	1	1
507	материал для	1	1
508	в духе	1	1
509	случае он	1	1
510	все то	1	1
511	непосредственное воспроизведение	1	1
512	но он	2	1
513	самом деле	6	1
514	в несколько	1	1
515	еще раз	1	1
516	герои не	2	1
517	сознания на	1	1
518	этого не	2	1
519	и вдруг	1	1
520	в классическом	1	1
521	или иначе	2	1
522	а также	12	1
523	не обязательно	2	1
524	жизнь в	1	1
525	что будет	1	1
526	таково в	1	1
527	не получил	1	1
528	сумасшедшем доме	1	1
529	определял как	1	1
530	и которая	1	1
531	и все	8	1
532	по аналогии	4	1
533	они могут	1	1
534	целый ряд	2	1
535	на себя	5	1
536	тем что	2	1
537	с анной	3	1
538	непосредственно как	1	1
539	когда все	1	1
540	качестве одной	1	1
541	при которой	3	1
542	в таком	2	1
543	очень много	1	1
544	том или	1	1
545	между этими	1	1
546	к их	1	1
547	свидетельство о	1	1
548	можно назвать	2	1
549	которой было	1	1
550	не тождественны	1	1
551	простой и	2	1
552	бы быть	1	1
553	в анне	2	1
554	в движение	1	1
555	и без	1	1
556	в какой	4	1
557	и петрова	1	1
558	я всегда	1	1
559	в соответствии	8	1
560	значения и	2	1
561	а именно	3	1
562	или даже	2	1
563	после обеда	2	1
564	это время	2	1
565	и так	1	1
566	следует забывать	1	1
567	чехова и	3	1
568	на эту	1	1
569	при таком	2	1
570	смысла в	1	1
571	как в	8	1
572	собой не	1	1
573	образом для	1	1
574	говорят о	2	1
575	его собственному	1	1
576	и понимания	3	1
577	по своему	3	1
578	себя и	1	1
579	не имеет	3	1
580	быть сведена	1	1
581	зрения и	1	1
582	между собой	2	1
583	служит для	1	1
584	определенной цели	1	1
585	о котором	5	1
586	частности из	1	1
587	сравнению с	1	1
588	которое не	2	1
589	том смысле	1	1
590	быть определена	1	1
591	его индивидуальную	1	1
592	в итоге	4	1
593	с большей	1	1
594	речь идет	3	1
595	в известном	1	1
596	в следующей	2	1
597	и это	2	1
598	бывает как	1	1
599	очень существенно	1	1
600	в каждой	1	1
601	а только	3	1
602	к числу	1	1
603	типа наконец	1	1
604	на себе	1	1
605	похожи на	1	1
606	на другом	1	1
607	героя и	5	1
608	обращение к	1	1
609	следует подчеркнуть	5	1
610	не все	2	1
611	систему персонажей	2	1
612	как произведение	1	1
613	в математике	1	1
614	это явление	1	1
615	из другого	1	1
616	освобождается от	1	1
617	той или	5	1
618	чтобы понять	1	1
619	или ином	1	1
620	абсолютной истины	1	1
621	жизнь и	1	1
622	особый род	1	1
623	всех видов	1	1
624	нет ничего	2	1
625	еще до	2	1
626	и тех	1	1
627	ни к	3	1
628	его и	1	1
629	собою не	1	1
630	характер этой	1	1
631	совершенно не	2	1
632	функцию в	1	1
633	исходя из	4	1
634	в прозе	1	1
635	в рецептивном	1	1
636	а с	4	1
637	в данном	22	1
638	и развязка	2	1
639	сознания а	1	1
640	число раз	1	1
641	а порой	1	1
642	в основе	6	1
643	в сумасшедшем	1	1
644	тут и	1	1
645	вытекает из	1	1
646	и мира	5	1
647	его развития	1	1
648	в классической	1	1
649	тем более	3	1
650	слова все	1	1
651	хотя ни	1	1
652	оно в	1	1
653	художественного целого	2	1
654	что этот	1	1
655	художественной литературы	1	1
656	приемов в	1	1
657	не означает	1	1
658	одного лица	1	1
659	чехова с	1	1
660	говоря в	1	1
661	тех же	2	1
662	которой он	1	1
663	или целиком	1	1
664	он был	1	1
665	ильфа и	1	1
666	есть в	2	1
667	так называемой	2	1
668	при отсутствии	3	1
669	что самое	1	1
670	десять лет	3	1
671	входит в	2	1
672	нам в	1	1
673	наконец в	1	1
674	уже в	2	1
675	его общей	1	1
676	следует смешивать	1	1
677	бытия в	3	1
678	по сравнению	1	1
679	однако если	1	1
680	фактов не	1	1
681	сложности и	1	1
682	другой в	2	1
683	не один	2	1
684	существенно не	1	1
685	к композиционному	1	1
686	ряда других	1	1
687	под понятие	1	1
688	объективных условий	1	1
689	друг друга	1	1
690	пока в	1	1
691	различных его	1	1
692	потому что	7	1
693	в свою	5	1
694	сознания в	4	1
695	и тем	3	1
696	слова и	3	1
697	кажется что	1	1
698	у чехова	11	1
699	быть и	2	1
700	если б	1	1
701	в него	2	1
702	понимает и	1	1
703	оно и	1	1
704	всеми этими	1	1
705	а по	1	1
706	процессов и	1	1
707	не могло	2	1
708	но она	2	1
709	значение для	1	1
710	со стороны	15	1
711	текста к	1	1
712	только на	2	1
713	если же	1	1
714	для этого	2	1
715	действительностью и	1	1
716	одно и	1	1
717	может служить	4	1
718	на его	2	1
719	и ему	1	1
720	и если	1	1
721	и та	1	1
722	хотя в	2	1
723	дети он	1	1
724	и что	2	1
725	в каком-то	1	1
726	своей работе	1	1
727	дело не	2	1
728	на четыре	1	1
729	к области	1	1
730	как если	1	1
731	к анализу	1	1
732	но только	1	1
733	заключает в	4	1
734	подобного рода	3	1
735	в начале	3	1
736	у достоевского	1	1
737	еще в	3	1
738	слова с	1	1
739	это то	1	1
740	слова вполне	1	1
741	и жизни	1	1
742	в истории	1	1
743	как оно	2	1
744	этом смысле	1	1
745	своих персонажей	2	1
746	то или	1	1
747	имеет свои	1	1
748	что до	2	1
749	наблюдений над	1	1
750	самого начала	1	1
751	каждый из	1	1
752	и играть	1	1
753	себе в	1	1
754	свою очередь	5	1
755	и наоборот	1	1
756	или иное	1	1
757	в глаза	1	1
758	однако такая	1	1
759	не случайно	1	1
760	мира однако	1	1
761	порой и	1	1
762	рассказа о	2	1
763	бесконечное число	1	1
764	в словесной	1	1
765	право говорить	1	1
766	попытки этого	1	1
767	личности и	1	1
768	и той	1	1
769	сведена к	1	1
770	служит не	1	1
771	же на	1	1
772	и еще	1	1
773	исключительно в	3	1
774	отношение к	5	1
775	определена как	1	1
776	как мы	5	1
777	одного дня	3	1
778	элементов в	1	1
779	входит как	1	1
780	соответствии с	8	1
781	и ряд	1	1
782	же не	1	1
783	жизни не	2	1
784	мертвых душ	4	1
785	в данной	2	1
786	это вовсе	1	1
787	и борьба	1	1
788	бы его	1	1
789	заметить что	2	1
790	к ее	3	1
791	образов но	2	1
792	и благодаря	1	1
793	в ходе	3	1
794	и во	2	1
795	от которой	1	1
796	что есть	1	1
797	особенностей и	1	1
798	их к	1	1
799	в театре	3	1
800	мы бы	1	1
801	бы он	1	1
802	благодаря этому	1	1
803	и чисто	1	1
804	обратимся к	2	1
805	быть в	1	1
806	что может	1	1
807	обыкновенно не	2	1
808	уже не	7	1
809	имеем дело	5	1
810	фраз и	1	1
811	в футляре	2	1
812	слова в	3	1
813	сказать не	1	1
814	так не	1	1
815	лев толстой	2	1
816	или иного	1	1
817	забывать что	1	1
818	рассказе о	1	1
819	на этот	2	1
820	жизнью и	1	1
821	это что	1	1
822	не имели	2	1
823	персонажа а	2	1
824	реализуется в	1	1
825	происходит в	1	1
826	повествования по	1	1
827	свести к	1	1
828	как будто	6	1
829	искусства это	1	1
830	здесь не	2	1
831	можно свести	1	1
832	о своих	1	1
833	оно может	1	1
834	и следует	1	1
835	этом у	1	1
836	увидим ниже	1	1
837	единой и	1	1
838	или не	3	1
839	приходится признать	1	1
840	этой системе	1	1
841	о романе	1	1
842	все для	1	1
843	связаны с	1	1
844	но это	4	1
845	определить его	1	1
846	не хватает	1	1
847	такого типа	1	1
848	однако все	1	1
849	своей индивидуальности	1	1
850	с ее	3	1
851	из него	2	1
852	путем не	1	1
853	во времени	2	1
854	именно это	1	1
855	строго говоря	2	1
856	в едином	3	1
857	дело обстоит	2	1
858	или точнее	2	1
859	каждого из	2	1
860	в историю	2	1
861	героями а	1	1
862	и особенно	1	1
863	собственно говоря	1	1
864	тому же	6	1
865	с возникновением	1	1
866	что на	4	1
867	судя по	3	1
868	с того	3	1
869	мира в	8	1
870	не к	4	1
871	его можно	1	1
872	у которого	2	1
873	персонажей в	4	1
874	воззрения на	1	1
