N	2gram	Propp_Morf	SlovoVZh
372	в обоих	2	1
373	совершенно ясно	1	1
374	и независимо	1	1
375	у нее	2	1
376	этом основании	1	1
377	самого начала	1	1
378	непосредственно к	1	1
379	в большинстве	3	1
380	материала но	2	1
381	свою очередь	1	1
382	так мы	1	1
383	не стремится	1	1
384	ко второму	1	1
385	это один	1	1
386	когда мы	1	1
387	как например	2	1
388	связи с	12	1
389	положения в	1	1
390	им в	1	1
391	более или	2	1
392	бы по	1	1
393	материал для	1	1
394	он имеет	1	1
395	рассматривать как	1	1
396	здесь мы	3	1
397	с ее	1	1
398	время как	3	1
399	мы понимаем	1	1
400	одной формой	1	1
401	было бы	5	1
402	не знает	2	1
403	как особая	2	1
404	к тому	5	1
405	связанные со	1	1
406	именно и	1	1
407	образом во	1	1
408	из двух	3	1
409	героя может	1	1
410	найти его	1	1
411	это позволит	1	1
412	задачи в	4	1
413	как необходимая	1	1
414	из нее	1	1
415	что здесь	1	1
416	равно как	1	1
417	героя с	1	1
418	только об	1	1
419	особую форму	5	1
420	как мы	8	1
421	это мы	2	1
422	что она	2	1
423	показать что	4	1
424	этого нельзя	2	1
425	как его	1	1
426	и вне	3	1
427	если мы	6	1
428	тем же	2	1
429	он вдруг	1	1
430	наряду с	7	1
431	но есть	3	1
432	именно в	1	1
433	и таким	2	1
434	включает и	1	1
435	они должны	1	1
436	то время	3	1
437	но эта	1	1
438	с большим	1	1
439	не можем	1	1
440	в таком	1	1
441	но прежде	1	1
442	формы для	1	1
443	формы в	1	1
444	какую-нибудь иную	1	1
445	следующим образом	4	1
446	оно по	1	1
447	например в	2	1
448	что я	1	1
449	тот же	1	1
450	в высшей	1	1
451	относятся к	2	1
452	может получить	1	1
453	эти вопросы	1	1
454	особой формой	1	1
455	теперь когда	1	1
456	все вопросы	1	1
457	же оно	2	1
458	многое что	1	1
459	что все	1	1
460	то она	1	1
461	и она	1	1
462	какова будет	1	1
463	есть в	1	1
464	него но	1	1
465	том кто	1	1
466	из его	2	1
467	момент в	2	1
468	быть изучена	2	1
469	деле в	1	1
470	как будто	2	1
471	определяет его	1	1
472	весь этот	1	1
473	что именно	2	1
474	противном случае	1	1
475	а эта	2	1
476	но если	10	1
477	они не	3	1
478	он выбирает	1	1
479	ли кто-нибудь	1	1
480	обходится без	1	1
481	тех или	1	1
482	все более	1	1
483	и только	3	1
484	один и	1	1
485	определить как	1	1
486	можно сравнить	2	1
487	в окно	1	1
488	которые имеют	1	1
489	может и	1	1
490	важное значение	1	1
491	здесь же	3	1
492	друг друга	3	1
493	в эти	1	1
494	для этой	3	1
495	природой и	1	1
496	к вопросу	2	1
497	так если	3	1
498	как явление	1	1
499	если она	2	1
500	для одной	1	1
501	не всегда	10	1
502	мы еще	1	1
503	является то	1	1
504	не нужно	1	1
505	из этой	1	1
506	в одной	2	1
507	в целом	5	1
508	ничего общего	1	1
509	одна форма	2	1
510	в лице	1	1
511	себя в	2	1
512	это бывает	1	1
513	и становится	1	1
514	или менее	2	1
515	в который	1	1
516	вовсе не	6	1
517	на другие	2	1
518	другого и	2	1
519	думать что	1	1
520	не то	1	1
521	ряд вопросов	1	1
522	на эту	1	1
523	другими формами	1	1
524	что до	2	1
525	перед нами	14	1
526	его место	1	1
527	всяком случае	2	1
528	которые в	1	1
529	только для	2	1
530	нашу задачу	2	1
531	высшей степени	1	1
