N	2gram	Propp_Russ	TeoriaLi
108	к тому	4	4
109	этого слова	3	4
110	никогда не	1	4
111	и того	1	4
112	это не	14	4
113	хотя и	3	4
114	в литературе	1	4
115	слова в	3	4
116	в их	5	4
117	его в	9	4
118	но он	3	4
119	не знает	1	4
120	или даже	3	4
121	так в	5	4
122	по своему	2	4
123	а только	1	4
124	в свою	3	4
125	и что	8	4
126	в форме	3	4
127	далеко не	5	4
128	того же	1	4
129	одного и	1	4
130	в силу	2	4
131	в целом	2	4
132	и ее	3	4
133	и к	3	3
134	во втором	1	3
135	в таком	5	3
136	для себя	1	3
137	с этой	2	3
138	говорит и	1	3
139	о чем	7	3
140	подобно тому	3	3
141	если бы	1	3
142	все эти	5	3
143	а именно	2	3
144	именно в	3	3
145	например в	3	3
146	в жизни	2	3
147	имеет место	3	3
148	их в	7	3
149	в иной	1	3
150	тем не	3	3
151	перед нами	2	3
152	но их	1	3
153	свою очередь	2	3
154	между собой	4	3
155	в роли	1	3
156	потому что	15	3
157	одной стороны	1	3
158	между двумя	2	3
159	в одном	4	3
160	на две	3	3
161	во всей	2	3
162	не все	4	3
163	из этих	6	3
164	и для	3	3
165	таким образом	10	3
166	и то	2	3
167	с одной	1	3
168	и потому	3	3
169	с точки	3	3
170	к которому	1	3
171	как раз	1	3
172	есть в	2	3
173	прежде всего	2	3
174	а на	8	3
175	и притом	1	3
176	связи с	6	3
177	или в	7	3
178	одним из	2	3
179	в равной	2	3
180	в связи	4	3
181	и как	2	3
182	во всех	6	3
183	а с	6	3
184	тому как	3	3
185	в которой	3	3
186	не будет	1	3
187	он должен	2	3
188	не с	5	3
189	говоря о	1	3
190	человека с	1	3
191	равной степени	2	3
192	в этой	4	3
193	и др	4	3
194	и по	10	3
195	слова как	1	3
196	отнюдь не	3	3
197	в той	1	2
198	и другие	24	2
199	один из	10	2
200	и здесь	3	2
201	и на	14	2
202	если в	3	2
203	от имени	1	2
204	и который	1	2
205	к числу	2	2
206	на этом	6	2
207	из которых	2	2
208	а затем	5	2
209	в году	5	2
210	не могут	1	2
211	в них	10	2
212	оно не	2	2
213	и даже	1	2
214	здесь мы	3	2
215	самом деле	1	2
216	на свою	1	2
217	значения и	2	2
218	в одно	2	2
219	с ними	6	2
220	к нам	2	2
221	вместе с	16	2
222	дома и	1	2
223	не вполне	1	2
224	себя и	2	2
225	всей своей	1	2
226	к другому	2	2
227	о том	14	2
228	при всем	1	2
229	это и	1	2
230	еще и	1	2
231	вытекает из	1	2
232	и состоит	1	2
233	к нему	3	2
234	на основе	1	2
235	не всегда	4	2
236	не могло	1	2
237	только на	4	2
238	может служить	1	2
239	о своем	1	2
240	и это	2	2
241	превращается в	1	2
242	у и	2	2
243	ногами и	2	2
244	и наоборот	1	2
245	в глаза	3	2
246	прихода в	1	2
247	тем же	1	2
248	что она	4	2
249	который в	2	2
250	здесь не	1	2
251	в противном	2	2
252	он и	1	2
253	не просто	3	2
254	только о	1	2
255	для такого	1	2
256	как способ	1	2
257	что они	8	2
258	при котором	1	2
259	не принадлежат	1	2
260	но на	1	2
261	общей теории	1	2
262	вокруг него	2	2
263	в коем	1	2
264	несмотря на	4	2
265	ее в	7	2
266	все это	12	2
267	что и	8	2
268	у нас	11	2
269	не ограничивается	1	2
270	что каждый	2	2
271	к жизни	3	2
272	таком случае	1	2
273	у него	2	2
274	и некоторые	3	2
275	дело в	1	2
276	на себя	4	2
277	не могли	1	2
278	в конце	1	2
279	тому что	4	2
280	случае не	1	2
281	в какой	3	2
282	противном случае	1	2
283	не от	1	2
284	в чем	1	2
285	об этом	11	2
286	должен быть	2	2
287	жизни то	1	2
288	тем более	1	2
289	начальные и	1	2
290	как уже	6	2
291	дело не	2	2
292	в случае	1	2
293	быть и	3	2
294	к такой	1	2
295	в первом	1	2
296	однако эта	1	2
297	но она	3	2
298	не сами	1	2
299	человека и	1	2
300	в большинстве	2	2
301	следует признать	2	2
302	могла бы	1	2
303	так же	7	2
304	и особенно	1	2
305	для обозначения	2	2
306	тот кто	2	2
307	как будто	6	2
308	право на	2	2
309	однако все	1	2
310	чем и	1	2
311	чтобы не	1	2
312	в особенности	3	1
313	с которыми	1	1
314	это на	2	1
315	от него	1	1
316	былинах и	1	1
317	однако и	1	1
318	все что	2	1
319	можно говорить	2	1
320	за ним	3	1
321	многообразие этих	1	1
322	же и	1	1
323	другие в	2	1
324	такая форма	1	1
325	встреча не	1	1
326	также что	2	1
327	различные системы	1	1
328	его с	4	1
329	живет в	1	1
330	не знают	1	1
331	или после	1	1
332	случае мы	1	1
333	первую очередь	1	1
334	жизнь но	1	1
335	образа и	1	1
336	можно назвать	1	1
337	процессы которые	1	1
338	развития но	1	1
339	представляют собой	13	1
340	что это	4	1
341	с ним	2	1
342	природе и	1	1
343	никак не	1	1
344	в другой	1	1
345	говорит о	3	1
346	те же	1	1
347	не как	1	1
348	и лучше	2	1
349	в область	1	1
350	из того	1	1
351	разного рода	1	1
352	по образцу	1	1
353	и другими	3	1
354	особенно если	1	1
355	быть может	1	1
356	не бывает	1	1
357	целом ряде	1	1
358	с собой	4	1
359	смысла в	1	1
360	которые будут	1	1
361	хозяина и	1	1
362	должен был	3	1
363	их не	2	1
364	стоит в	3	1
365	он уже	1	1
366	все то	1	1
367	на свой	1	1
368	труда а	1	1
369	от одного	2	1
370	в собственном	1	1
371	с ней	7	1
372	жизнь в	1	1
373	смысла и	1	1
374	значение в	2	1
375	слова с	1	1
376	в различные	2	1
377	на руках	2	1
378	тем что	7	1
379	говорят о	1	1
380	из всего	1	1
381	и действительно	2	1
382	то время	3	1
383	если он	1	1
384	принадлежат к	1	1
385	всего два	1	1
386	видно из	1	1
387	и другим	3	1
388	хранится в	1	1
389	и должен	1	1
390	с тем	14	1
391	необходимо для	1	1
392	и вокруг	1	1
393	с такими	1	1
394	что по	7	1
395	все же	7	1
396	быть назван	1	1
397	не имеет	9	1
398	как более	1	1
399	но у	1	1
400	обращения к	1	1
401	о котором	1	1
402	зависимости от	1	1
403	в это	4	1
404	на каждом	3	1
405	нет в	2	1
406	на первый	3	1
407	включая и	1	1
408	случае как	1	1
409	в своего	1	1
410	первый взгляд	1	1
411	с этим	4	1
412	только одно	2	1
413	обращает на	1	1
414	своем значении	1	1
415	можно в	1	1
416	нам не	1	1
417	года на	2	1
418	исходя из	2	1
419	разница в	1	1
420	в первую	1	1
421	он же	4	1
422	ее к	2	1
423	мы рассмотрим	5	1
424	в котором	2	1
425	из других	2	1
426	зависит от	1	1
427	и такие	1	1
428	когда на	2	1
429	и пр	4	1
430	вопрос о	4	1
431	к понятию	1	1
432	сливается с	1	1
433	не представляет	1	1
434	по тем	1	1
435	тех же	1	1
436	действительности которая	1	1
437	то и	4	1
438	смерти но	1	1
439	в центральной	1	1
440	в лесу	9	1
441	собой как	2	1
442	наконец в	1	1
443	служить и	1	1
444	и поэтому	3	1
445	из жизни	1	1
446	в отдельности	2	1
447	во многих	14	1
448	а после	1	1
449	с нашим	1	1
450	а через	1	1
451	имея в	1	1
452	обычно в	2	1
453	даже самых	1	1
454	с которой	1	1
455	и теперь	1	1
456	жизни и	1	1
457	в значении	1	1
458	из своего	1	1
459	две части	1	1
460	точно так	1	1
461	теми которые	1	1
462	в различных	3	1
463	переходит к	1	1
464	е годы	2	1
465	на основании	1	1
466	первые два	1	1
467	а между	1	1
468	и соответствующих	1	1
469	в эпосе	1	1
470	одно из	6	1
471	целый ряд	1	1
472	и до	3	1
473	и те	3	1
474	не что	3	1
475	в совершенно	1	1
476	в истории	1	1
477	и находит	1	1
478	руках и	1	1
479	не так	1	1
480	это имеет	4	1
481	и том	1	1
482	каждый из	3	1
483	автора его	1	1
484	когда же	1	1
485	в былинах	3	1
486	в прошлом	2	1
487	на которые	1	1
488	времени его	1	1
489	к ним	4	1
490	случаи когда	1	1
491	из наиболее	2	1
492	настоящее время	3	1
493	ее не	1	1
494	она может	1	1
495	предметом теоретического	1	1
496	нас на	1	1
497	него не	1	1
498	затем в	1	1
499	по которым	1	1
500	и служит	1	1
501	в лес	4	1
502	революции в	1	1
503	русском языке	1	1
504	ее как	1	1
505	над этим	1	1
506	его труда	1	1
507	за него	1	1
508	до конца	5	1
509	с нею	1	1
510	у себя	1	1
511	с этими	1	1
512	только при	1	1
513	в одной	1	1
514	окна и	1	1
515	что все	2	1
516	лавку в	1	1
517	этом так	1	1
518	том же	6	1
519	те и	1	1
520	одна из	12	1
521	смысла не	1	1
522	тем это	3	1
523	но если	2	1
524	здесь и	1	1
525	если первое	1	1
526	несут в	1	1
527	по поводу	1	1
528	под именем	3	1
529	не имело	1	1
530	в отдельных	1	1
531	по этой	1	1
532	нет никаких	1	1
533	к этим	1	1
534	друг друга	3	1
535	и учеными	1	1
536	они могут	1	1
537	в настоящее	3	1
538	и становится	1	1
539	из них	12	1
540	тот же	2	1
541	д и	1	1
542	лишает их	1	1
543	ближе к	1	1
544	представить себе	1	1
545	все мы	1	1
546	говорилось выше	1	1
547	такое же	2	1
548	этом случае	9	1
549	одном и	1	1
550	обе стороны	2	1
551	к различным	1	1
552	мы видим	2	1
553	в более	2	1
554	собой и	2	1
555	так как	25	1
556	многих других	1	1
557	так слово	1	1
558	что иное	3	1
559	они не	1	1
560	может не	1	1
561	после того	3	1
562	не во	1	1
563	свидетельствует о	1	1
564	ее на	3	1
565	должно быть	2	1
566	несколько иной	1	1
567	в состоянии	1	1
568	от первого	1	1
569	обе эти	1	1
570	жизни человека	1	1
571	народной жизни	1	1
572	нее как	1	1
573	обратил внимание	1	1
574	форму в	1	1
575	чем у	2	1
576	своему происхождению	2	1
577	как у	2	1
578	для нас	12	1
579	и сама	1	1
580	и одна	1	1
581	и через	2	1
582	же явления	1	1
583	из своих	2	1
584	и е	1	1
585	вытекающее из	1	1
586	по типу	1	1
587	на которой	2	1
588	этим словом	1	1
589	слово в	1	1
590	весь мир	1	1
591	в одиночку	2	1
592	в третьем	1	1
593	в русском	4	1
594	не путем	1	1
595	тому же	1	1
596	от своих	1	1
597	не была	1	1
598	в таких	3	1
599	не было	3	1
600	как видно	1	1
601	и более	3	1
602	что его	1	1
603	самые разнообразные	1	1
604	но эта	2	1
605	на нее	5	1
606	которое в	2	1
607	по существу	7	1
608	что не	1	1
609	виду что	2	1
610	и свободы	1	1
611	характерное для	1	1
612	из мифа	1	1
613	с одним	1	1
614	с той	2	1
615	и без	1	1
616	долгое время	1	1
617	также в	5	1
618	можно предположить	2	1
619	смысла слова	1	1
620	на земле	3	1
621	большинстве случаев	2	1
622	между прочим	2	1
623	рядом с	1	1
624	при таком	1	1
625	выступать в	1	1
626	ли не	1	1
627	за это	1	1
628	от этого	2	1
629	в такой	1	1
630	может рассматриваться	1	1
631	по его	2	1
632	в двух	2	1
633	к вопросу	2	1
634	или их	2	1
635	себе и	1	1
636	точек зрения	1	1
637	в каждой	1	1
638	из этого	1	1
639	встречаются в	2	1
640	о своих	1	1
641	связаны с	6	1
642	ему не	1	1
643	на них	4	1
644	же как	5	1
645	на которую	1	1
646	остается в	1	1
647	в каждом	2	1
648	проявляет себя	1	1
649	вошел в	1	1
650	что от	4	1
651	в полной	1	1
652	или смерть	1	1
653	жизнь и	2	1
654	в своих	3	1
655	оно в	1	1
656	не означает	2	1
657	в поле	18	1
658	до нас	1	1
659	не составляет	1	1
660	имен и	1	1
661	две стороны	1	1
662	если не	1	1
663	она не	4	1
664	зрения в	1	1
665	не дает	1	1
666	ту же	2	1
667	совсем не	1	1
668	собою как	1	1
669	на поле	3	1
670	либо его	1	1
671	части и	2	1
672	с совершенно	1	1
673	стоит и	1	1
674	так что	4	1
675	не более	2	1
676	на колени	2	1
677	или же	2	1
678	так называемые	1	1
679	говорить об	1	1
680	себя внимание	2	1
681	это по	1	1
682	в развитии	1	1
683	из окна	1	1
684	соответствующих ему	1	1
685	что касается	1	1
686	а по	1	1
687	и их	4	1
688	не могла	1	1
689	можно было	3	1
690	тем и	4	1
691	иметь в	2	1
692	ни одно	2	1
693	или его	1	1
694	стороны и	1	1
695	в xix	13	1
696	время они	1	1
697	также и	1	1
698	этих случаях	1	1
699	магический обряд	2	1
700	означает что	2	1
701	в иных	2	1
702	когда мы	2	1
703	еще на	1	1
704	этом не	2	1
705	было бы	3	1
706	не по	1	1
707	из нее	2	1
708	ту сторону	1	1
709	в древнерусской	1	1
710	он в	1	1
711	так называемый	2	1
712	как мы	11	1
713	к изучению	1	1
714	общего с	1	1
715	что для	4	1
716	его как	2	1
717	каждый человек	1	1
718	которые в	2	1
719	когда они	2	1
720	приводят к	1	1
721	этом и	1	1
722	материал из	1	1
723	это ни	1	1
724	даже если	1	1
725	и от	2	1
726	и есть	1	1
727	по этому	4	1
728	с которым	1	1
729	теми же	1	1
730	и определяется	1	1
731	же в	5	1
732	к пониманию	1	1
733	иной раз	1	1
734	чаще всего	3	1
735	идет не	1	1
736	направления в	2	1
737	на то	2	1
738	полагая что	4	1
739	бы ни	1	1
740	нуждается в	1	1
741	образ его	1	1
742	независимо от	3	1
743	в него	2	1
744	для этого	6	1
745	таким же	4	1
746	именно это	1	1
747	или точнее	1	1
748	каждого из	1	1
749	как знак	1	1
750	собой так	1	1
751	и иные	1	1
752	иное как	3	1
753	в е	2	1
