N	2gram	Potebnia_M	Morfolog
376	но так	3	2
377	д а	1	2
378	себя в	1	2
379	хотя эти	1	2
380	для него	14	2
381	не означает	1	2
382	в свое	2	2
383	ответ на	3	2
384	то они	1	2
385	или наоборот	2	2
386	приведены в	1	2
387	ничем не	1	2
388	что иное	1	2
389	может не	1	2
390	данном случае	3	2
391	на вопрос	2	2
392	непосредственно за	1	2
393	и заставляет	1	2
394	с одной	8	2
395	и за	1	2
396	ни было	2	2
397	этом отношении	2	2
398	для нас	40	2
399	все это	4	2
400	с другими	9	2
401	чем в	2	2
402	но с	1	2
403	развитию и	1	2
404	что действительно	2	2
405	отсюда видно	2	2
406	не знает	4	2
407	этого не	3	2
408	с двумя	1	2
409	входить в	1	2
410	одним из	3	2
411	исходят из	1	2
412	вообще не	1	2
413	между собою	13	2
414	менее она	1	2
415	же оно	1	2
416	у него	3	2
417	не от	3	2
418	перейти к	1	2
419	по своему	2	2
420	за другим	4	2
421	к вопросу	1	2
422	в чем	6	2
423	а другой	1	2
424	или менее	6	2
425	и таким	1	2
426	это так	2	2
427	в одной	1	2
428	бы в	3	2
429	существовать без	1	2
430	а потом	2	2
431	совершенно другой	1	2
432	доказательств что	1	2
433	могли бы	3	2
434	о происхождении	1	2
435	а с	4	2
436	можно сравнить	2	2
437	случае если	2	2
438	и даже	3	2
439	явление это	1	2
440	в самых	1	2
441	она не	4	2
442	сказке о	1	2
443	что ни	3	2
444	нет но	1	2
445	здесь только	4	2
446	не по	1	2
447	быть и	1	2
448	из этих	10	2
449	можно сделать	1	2
450	должны быть	3	2
451	что эта	3	2
452	тем и	5	2
453	если например	2	2
454	в нее	5	2
455	которых один	1	2
456	можно бы	4	2
457	из его	1	2
458	однако в	1	2
459	это можно	4	2
460	ее из	1	2
461	и качества	1	2
462	или другими	1	2
463	если они	1	2
464	как будто	1	2
465	право на	1	2
466	следует заметить	1	2
467	сказать о	2	2
468	других случаях	2	2
469	но они	1	2
470	должны будем	3	2
471	иное как	1	2
472	что до	3	2
473	во второй	1	2
474	в той	2	1
475	он пользуется	1	1
476	были бы	1	1
477	во всем	2	1
478	какого бы	1	1
479	что прежде	3	1
480	они имеют	1	1
481	и может	4	1
482	ему указывают	1	1
483	одном месте	1	1
484	выводы можно	1	1
485	мы прежде	1	1
486	относится ко	1	1
487	все что	4	1
488	образом и	3	1
489	следует поставить	1	1
490	труд и	1	1
491	до сих	4	1
492	еще раз	2	1
493	даны в	1	1
494	что воля	1	1
495	за ним	4	1
496	и на	5	1
497	полотно и	1	1
498	же и	3	1
499	как с	1	1
500	этот закон	1	1
501	же например	1	1
502	себе представить	4	1
503	невозможным уже	1	1
504	которые не	1	1
505	с №	1	1
506	другой а	1	1
507	следует ли	1	1
508	его с	3	1
509	до него	2	1
510	других и	1	1
511	на ее	2	1
512	с такой	1	1
513	на первом	1	1
514	приводит в	1	1
515	и далее	1	1
516	и менее	1	1
517	при этом	6	1
518	даже в	3	1
519	это невозможно	1	1
520	переносится в	1	1
521	формы в	3	1
522	видели в	1	1
523	этому соответствует	1	1
524	это значит	1	1
525	и по-видимому	1	1
526	всей совокупности	1	1
527	в нашу	1	1
528	которым они	1	1
529	тем как	4	1
530	связанное с	3	1
531	так тесно	1	1
532	этой работе	1	1
533	в другой	3	1
534	и получает	2	1
535	те же	6	1
536	может состоять	1	1
537	по-видимому не	2	1
538	в с	1	1
539	одно из	6	1
540	к определению	1	1
541	и об	1	1
542	основная задача	1	1
543	не столько	2	1
544	из нескольких	1	1
545	к разложению	1	1
546	собаку и	1	1
547	но этого	1	1
548	то не	3	1
549	формы является	1	1
550	сидит в	1	1
551	под этим	1	1
552	связанная с	3	1
553	это определение	2	1
554	в них	9	1
555	как было	1	1
556	и самая	1	1
557	этим объясняется	1	1
558	чтобы им	1	1
559	если не	6	1
560	о необходимости	2	1
561	чувства и	5	1
562	извне а	1	1
563	мы понимаем	1	1
564	до этого	2	1
565	от одного	5	1
566	прибавить к	1	1
567	найти его	1	1
568	и с	4	1
569	их и	1	1
570	из нее	2	1
571	равно как	2	1
572	следовательно в	1	1
573	частью в	2	1
574	каким образом	2	1
575	мы выделили	1	1
576	небо и	1	1
577	и все	5	1
578	мысль о	12	1
579	оно есть	4	1
580	него но	1	1
581	обращается к	2	1
582	именно в	5	1
583	только впоследствии	1	1
584	ведет к	1	1
585	не составляют	3	1
586	выделены как	1	1
587	систему и	1	1
588	принадлежат к	1	1
589	останавливаясь на	3	1
590	или другие	1	1
591	отношения к	2	1
592	может получить	1	1
593	ложится в	1	1
594	к таким	1	1
595	при ближайшем	1	1
596	там же	8	1
597	с ними	6	1
598	духа в	2	1
599	а именно	1	1
600	он обозначает	1	1
601	это время	1	1
602	в своей	2	1
603	которые могут	1	1
604	стремления к	1	1
605	нам возможность	2	1
606	на эту	1	1
607	никем не	2	1
608	это бывает	1	1
609	явлений и	3	1
610	бы не	6	1
611	этим в	1	1
612	налицо или	1	1
613	о котором	2	1
614	влияния на	2	1
615	есть то	3	1
616	в это	2	1
617	горы и	1	1
618	собою так	2	1
619	в следующей	1	1
620	всей своей	1	1
621	которая не	2	1
622	ничего общего	2	1
623	акт творчества	2	1
624	словами и	1	1
625	раз при	1	1
626	нужно заметить	1	1
627	содержания но	1	1
628	действия ни	2	1
629	таких слов	1	1
630	об отношении	5	1
631	не такое	1	1
632	которое будет	1	1
633	г в	1	1
634	как один	1	1
635	соединение двух	1	1
636	тем в	1	1
637	бросается в	1	1
638	и сюда	1	1
639	еще и	1	1
640	этим мы	1	1
641	так мы	1	1
642	свою форму	1	1
643	больше чем	1	1
644	собственно говоря	2	1
645	в котором	7	1
646	которые мы	3	1
647	на глаз	2	1
648	понятия и	3	1
649	может создать	1	1
650	возвращаемся к	1	1
651	связаны между	1	1
652	можно считать	1	1
653	как та	2	1
654	в пример	1	1
655	можем определить	1	1
656	которые однако	1	1
657	материал но	1	1
658	говорить не	1	1
659	в свою	6	1
660	имеет в	1	1
661	значение этого	1	1
662	и красоты	1	1
663	не должно	1	1
664	своему строению	1	1
665	чем они	1	1
666	предметов и	1	1
667	явления и	2	1
668	формы его	1	1
669	только как	9	1
670	во многих	3	1
671	животных на	1	1
672	каждый в	1	1
673	формы с	1	1
674	а через	1	1
675	крайняя бедность	1	1
676	может произойти	1	1
677	тех пор	5	1
678	очень вероятно	1	1
679	к своей	2	1
680	хотя это	1	1
681	как эта	1	1
682	для нее	1	1
683	между двумя	5	1
684	те или	1	1
685	именно на	2	1
686	для меня	5	1
687	оно так	1	1
688	только один	3	1
689	то все	1	1
690	гораздо труднее	1	1
691	эта мысль	2	1
692	не носит	1	1
693	только на	4	1
694	более сложных	1	1
695	приходит к	1	1
696	язык есть	6	1
697	на основании	1	1
698	не потому	2	1
699	а при	1	1
700	образом что	2	1
701	не будет	4	1
702	и до	2	1
703	более и	1	1
704	что существуют	1	1
705	применяется и	1	1
706	не вполне	1	1
707	что ее	1	1
708	же время	8	1
709	говоря что	2	1
710	тем мы	1	1
711	качества с	1	1
712	свою очередь	6	1
713	не представляет	1	1
714	перед ним	1	1
715	наука не	1	1
716	же самое	3	1
717	с другим	2	1
718	многое но	1	1
719	и наши	1	1
720	к девице	1	1
721	и а	1	1
722	известной степени	1	1
723	видели выше	1	1
724	так то	1	1
725	находимся мы	1	1
726	может ли	1	1
727	как на	6	1
728	что здесь	1	1
729	и там	1	1
730	одно и	7	1
731	известным образом	4	1
732	сердце в	1	1
733	он в	1	1
734	отношение к	2	1
735	к двум	1	1
736	или если	2	1
737	ср также	1	1
738	не как	3	1
739	ее не	4	1
740	по ней	1	1
741	к следующему	1	1
742	мог бы	1	1
743	причина этого	1	1
744	другим но	1	1
745	если один	1	1
746	то для	2	1
747	большим количеством	1	1
748	хотя мы	2	1
749	языке нет	1	1
750	образом как	1	1
751	она имела	1	1
752	такая же	2	1
753	что я	5	1
754	предмета к	1	1
755	что различные	2	1
756	сущности эта	1	1
757	своей конкретности	1	1
758	в мгновение	1	1
759	с этими	1	1
760	будем говорить	1	1
761	д можно	1	1
762	ли можно	1	1
763	то она	1	1
764	видно и	2	1
765	определить где	1	1
766	деле в	2	1
767	непосредственно к	1	1
768	человека а	2	1
769	он сам	2	1
770	его место	2	1
771	в противном	1	1
772	нет то	1	1
773	что даже	5	1
774	друг с	1	1
775	сама она	1	1
776	представить что	1	1
777	в первой	1	1
778	уже по	3	1
779	она есть	2	1
780	а для	1	1
781	лишь один	1	1
782	мы еще	1	1
783	они могут	2	1
784	только о	2	1
785	или вовсе	3	1
786	в ее	3	1
787	на словах	2	1
788	случае когда	1	1
789	свойства и	1	1
790	тот же	2	1
791	не то	6	1
792	указанием на	3	1
793	меня не	1	1
794	пример в	1	1
795	другим что	1	1
796	в подобных	1	1
797	для дальнейших	1	1
798	мы привели	1	1
799	формы не	1	1
800	представления которые	1	1
801	она имеет	1	1
802	дает нам	3	1
803	и то	13	1
804	не зная	1	1
805	можно себе	1	1
806	в себе	26	1
807	но на	2	1
808	что ему	1	1
809	и многие	3	1
810	же средства	1	1
811	с большим	1	1
812	с но	3	1
813	ему в	2	1
814	не противоречит	1	1
815	то оно	4	1
816	ворона и	1	1
817	сила или	2	1
818	после того	2	1
819	зависит и	1	1
820	один пример	1	1
821	это сходство	1	1
822	вероятно что	2	1
823	отнимает у	1	1
824	это будет	1	1
825	должно быть	9	1
826	время и	2	1
827	признаки а	1	1
828	в первый	1	1
829	очень далеко	1	1
830	еще до	3	1
831	и вот	1	1
832	с любовью	2	1
833	в известные	1	1
834	следует сказать	3	1
835	с если	1	1
836	в состоянии	5	1
837	в его	6	1
838	при таких	2	1
839	к соединению	1	1
840	он как	2	1
841	первый раз	1	1
842	формы но	1	1
843	сравнить с	2	1
844	соединению с	1	1
845	есть но	1	1
846	мы обозначаем	1	1
847	из моментов	1	1
848	находится в	5	1
849	мы нашли	1	1
850	что так	1	1
851	распределяется по	1	1
852	сторона в	1	1
853	это дает	1	1
854	такое же	5	1
855	о нем	1	1
856	что с	2	1
857	мало того	1	1
858	не думает	1	1
859	и сама	2	1
860	и вслед	1	1
861	в тот	1	1
862	нашу мысль	1	1
863	на которой	4	1
864	что каждый	1	1
865	вытекающее из	1	1
866	имеет смысла	1	1
867	и количества	1	1
868	нет это	1	1
869	чем же	1	1
870	быть сравниваемо	1	1
871	стремится к	3	1
872	слова а	1	1
873	второе с	1	1
874	и сила	2	1
875	таком случае	2	1
876	что все	5	1
877	в их	2	1
878	что например	5	1
879	видим не	1	1
880	от своих	4	1
881	ко второму	2	1
882	и притом	3	1
883	без всяких	1	1
884	дальнейшему развитию	1	1
885	подобным образом	1	1
886	ли мы	3	1
887	к нескольким	1	1
888	как по	1	1
889	и говорит	1	1
890	самые разнообразные	1	1
891	если сравнить	1	1
892	в виду	1	1
893	и которая	1	1
894	но эта	3	1
895	дело в	1	1
896	и начинается	1	1
897	которое в	2	1
898	дало бы	1	1
899	и отношение	1	1
900	что не	12	1
901	как его	1	1
902	смысла но	1	1
903	уже совершенно	1	1
904	и другое	3	1
905	как нечто	3	1
906	где нет	1	1
907	о жизни	1	1
908	много лет	1	1
909	сложное явление	1	1
910	в таком	6	1
911	на тот	1	1
912	или чтобы	1	1
913	теми или	1	1
914	бы быть	3	1
915	нет возможности	1	1
916	между ними	4	1
917	многое что	1	1
918	помнить что	1	1
919	е не	1	1
920	по одному	1	1
921	может только	1	1
922	есть в	6	1
923	у царя	3	1
924	не есть	24	1
925	от одной	3	1
926	говорят о	1	1
927	и намерения	1	1
928	между прочим	5	1
929	в мире	3	1
930	слова не	2	1
931	основано на	1	1
932	основная форма	1	1
933	так в	4	1
934	противном случае	1	1
935	предложения и	1	1
936	глаза что	1	1
937	в ряду	7	1
938	в выборе	1	1
939	на одном	2	1
940	на все	3	1
941	и со	1	1
942	и могут	1	1
943	остановимся на	1	1
944	со своей	2	1
945	выше мы	4	1
946	по его	1	1
947	нисколько не	1	1
948	исследования но	1	1
949	бы мы	2	1
950	лишь для	1	1
951	предмета но	2	1
952	же касается	1	1
953	к развитию	1	1
954	и должны	1	1
955	пока не	2	1
956	точек зрения	1	1
957	и это	6	1
958	друга что	1	1
959	с другом	1	1
960	получает новый	1	1
961	из одного	3	1
962	при попытке	1	1
963	вследствие чего	1	1
964	например как	1	1
965	не нужно	1	1
966	его определение	1	1
967	в эту	4	1
968	чего в	2	1
969	словами не	1	1
970	могло бы	2	1
971	известное количество	1	1
972	определить сколько	1	1
973	сих пор	4	1
974	через а	1	1
975	как все	1	1
976	и вообще	4	1
977	свое место	2	1
978	к истории	1	1
979	мать и	1	1
980	я был	1	1
981	два случая	1	1
982	в каждом	6	1
983	здесь как	3	1
984	быть во	1	1
985	предположить что	4	1
986	разница между	3	1
987	но можно	1	1
988	может иметь	1	1
989	более чем	2	1
990	него самого	3	1
991	и эти	1	1
992	же с	7	1
993	тесно связаны	1	1
994	таким же	2	1
995	с самого	1	1
996	ее он	1	1
997	отличие от	2	1
998	обобщения и	1	1
999	такие же	2	1
1000	бы только	1	1
1001	то какое	1	1
1002	самого если	1	1
1003	значение но	1	1
1004	можем заметить	2	1
1005	все остальные	3	1
1006	оказалось бы	1	1
1007	что новые	2	1
1008	вопрос на	1	1
1009	таких условиях	1	1
1010	и необходимость	1	1
1011	что общий	1	1
1012	на другой	2	1
1013	действий как	1	1
1014	а от	2	1
1015	в течение	2	1
1016	бедность и	1	1
1017	на отношения	2	1
1018	но он	3	1
1019	не исчерпывают	2	1
1020	самому себе	1	1
1021	отношение между	1	1
1022	определить ее	1	1
1023	так что	14	1
1024	не более	1	1
1025	кажется что	3	1
1026	имеет целью	1	1
1027	есть всегда	1	1
1028	же развитие	1	1
1029	одним словом	3	1
1030	что касается	1	1
1031	как объект	1	1
1032	к тем	4	1
1033	один круг	1	1
1034	его не	2	1
1035	но она	1	1
1036	которое представляет	1	1
1037	пор не	2	1
1038	как он	1	1
1039	форма есть	2	1
1040	не дает	2	1
1041	конечно в	1	1
1042	иметь в	2	1
1043	им только	1	1
1044	в нашей	1	1
1045	это то	1	1
1046	принадлежит и	1	1
1047	лишь как	1	1
1048	при других	1	1
1049	что бы	1	1
1050	можно утверждать	1	1
1051	думать что	6	1
1052	или как	1	1
1053	при сравнении	1	1
1054	однако если	1	1
1055	на свое	3	1
1056	когда мы	4	1
1057	понятия не	1	1
1058	скажем что	2	1
1059	если только	1	1
1060	на это	4	1
1061	привести в	2	1
1062	свою мать	1	1
1063	заметим только	2	1
1064	образом они	1	1
1065	также с	1	1
1066	отделаться от	2	1
1067	целом и	1	1
1068	быть не	4	1
1069	к первому	2	1
1070	чем она	1	1
1071	что подобные	1	1
1072	не останавливаясь	2	1
1073	форма как	1	1
1074	и никогда	1	1
1075	оно имеет	3	1
1076	в систему	2	1
1077	друг другу	2	1
1078	и каждый	1	1
1079	которые в	1	1
1080	все содержание	2	1
1081	бы он	1	1
1082	быть результатом	1	1
1083	оно по	1	1
1084	них не	4	1
1085	эта черта	1	1
1086	быть объяснено	1	1
1087	есть основание	1	1
1088	эту мысль	1	1
1089	эти признаки	1	1
1090	в голову	3	1
1091	теми же	1	1
1092	ей не	1	1
1093	в силу	7	1
1094	его присутствие	1	1
1095	другой и	2	1
1096	его имени	1	1
1097	мы этого	1	1
1098	подобные рассказы	1	1
1099	как при	3	1
1100	она для	1	1
1101	себе он	1	1
1102	нового направления	1	1
1103	в области	3	1
1104	его к	2	1
1105	один и	2	1
1106	не имеющий	1	1
1107	все более	2	1
1108	бы существовать	2	1
1109	если на	1	1
1110	показывает что	2	1
1111	быть названы	2	1
1112	происходит при	2	1
1113	может и	1	1
1114	для чего	1	1
1115	растений или	1	1
1116	только одну	2	1
1117	его можно	1	1
1118	соответствует количеству	1	1
1119	он был	1	1
1120	имеет свою	2	1
1121	его разработки	1	1
1122	или точнее	1	1
1123	вообще человека	1	1
1124	не можем	8	1
1125	их отношении	1	1
1126	и наконец	3	1
1127	есть не	9	1
1128	многие другие	3	1
1129	всего дается	1	1
1130	согласие в	1	1
