N	2gram	Berdyaev_N	Freidism
516	всех народов	1	1
517	не был	1	1
518	чтобы понять	1	1
519	людей в	1	1
520	и власть	1	1
521	приобщиться к	2	1
522	еще до	2	1
523	и политические	1	1
524	но можно	1	1
525	может иметь	1	1
526	живем в	5	1
527	человек как	1	1
528	и быть	1	1
529	это конечно	1	1
530	производят впечатление	1	1
531	а к	1	1
532	как ни	1	1
533	борьбы за	1	1
534	сферах культуры	1	1
535	в наше	3	1
536	борьбы со	1	1
537	об органических	1	1
538	можно назвать	2	1
539	или не	1	1
540	тому как	3	1
541	не по	1	1
542	знаем также	1	1
543	характерны для	1	1
544	идей и	1	1
545	то нет	1	1
546	истории а	2	1
547	массы не	2	1
548	не будет	7	1
549	с ужасом	1	1
550	к такой	1	1
551	к тем	1	1
552	ли это?	1	1
553	но она	2	1
554	не с	1	1
555	последние годы	1	1
556	время когда	1	1
557	можно было	2	1
558	других людей	1	1
559	процесс в	1	1
560	есть лишь	4	1
561	вот что	1	1
562	себя на	1	1
563	сами эти	1	1
564	еще в	1	1
565	во вне	2	1
566	в нее	1	1
567	борьбе за	1	1
568	и всех	1	1
569	значение и	1	1
570	истории и	9	1
571	мы всегда	1	1
572	него и	1	1
573	культуры но	1	1
574	противостоит не	1	1
575	рода в	1	1
576	нужно помнить	1	1
577	культуры и	7	1
578	истории ее	1	1
579	культуры мы	1	1
580	более широкого	1	1
581	слова в	1	1
582	бытия и	1	1
583	общества и	2	1
584	совести и	1	1
585	нужно отнести	1	1
586	как будто	2	1
587	из глубины	2	1
588	путей для	1	1
589	при свете	1	1
590	и особенно	1	1
591	и целостности	1	1
592	наше время	4	1
593	преобладать над	1	1
594	мира с	1	1
