N	2gram	Propp_Isto	OGranits
429	к следующему	1	1
430	в конечном	2	1
431	в эпоху	2	1
432	ему в	3	1
433	виду что	1	1
434	него не	1	1
435	или менее	5	1
436	она из	1	1
437	найти в	1	1
438	а у	1	1
439	или на	7	1
440	где нет	2	1
441	уже на	2	1
442	сил которые	1	1
443	этим же	3	1
444	этого мы	1	1
445	представление о	3	1
446	он говорит	1	1
447	такой же	2	1
448	к другим	1	1
449	в конце	1	1
450	или нет?	1	1
451	обратимся к	3	1
452	одной из	6	1
453	мы это	1	1
454	например в	7	1
455	детей и	5	1
456	важности этого	1	1
457	в образе	3	1
458	быть объяснено	1	1
459	на происшедший	1	1
460	по мере	4	1
461	непременно должна	1	1
462	материала к	1	1
463	к этому	2	1
464	не знаем	3	1
465	в одной	3	1
466	и как	3	1
467	не дается	1	1
468	же слова	1	1
469	в понимании	1	1
470	стороны оно	1	1
471	как о	2	1
472	вплоть до	2	1
473	до конца	1	1
474	что он	32	1
475	что существуют	1	1
476	в предисловии	1	1
477	столь же	2	1
478	отметить еще	1	1
479	связи со	2	1
480	случаях когда	1	1
481	что она	10	1
482	себя как	1	1
483	или даже	3	1
484	эту точку	2	1
485	не существует	2	1
486	магическая власть	1	1
487	далеко не	1	1
488	и о	1	1
489	но что	2	1
490	бы быть	4	1
491	является не	2	1
492	на который	1	1
493	вместе с	13	1
494	которого является	1	1
495	же остается	1	1
496	который в	2	1
497	и вместе	2	1
498	одна из	4	1
499	на эту	3	1
500	но когда	1	1
501	этого слова	1	1
502	другом месте	2	1
503	в которых	2	1
504	но не	7	1
505	так в	7	1
506	именно с	1	1
507	но если	4	1
508	одно из	2	1
509	при изучении	1	1
510	утверждение не	1	1
511	ли не	1	1
512	при таком	2	1
513	и именно	2	1
514	себя и	2	1
515	оно может	2	1
516	очень трудно	1	1
517	в природе	1	1
518	тех или	1	1
519	в такой	2	1
520	утверждая что	1	1
521	быть и	1	1
522	в то	4	1
523	нам как	1	1
524	материала это	1	1
525	связаны между	2	1
526	есть отражение	1	1
527	тут же	2	1
528	один и	2	1
529	его может	1	1
530	к двум	1	1
531	должно было	4	1
532	отнюдь не	2	1
533	только с	4	1
534	не будут	1	1
535	и оно	2	1
536	ведь и	1	1
537	в себя	2	1
538	воздействия на	1	1
539	в системе	2	1
540	или их	1	1
541	для этого	3	1
542	с ее	2	1
543	не пытается	1	1
544	не из	1	1
545	как весьма	1	1
546	и это	2	1
547	отдельном случае	1	1
548	этим самым	1	1
549	эта связь	4	1
550	говорит следующее	1	1
551	в самой	1	1
552	в виде	2	1
553	которые с	1	1
554	только о	2	1
555	от него	1	1
556	например у	2	1
557	само по	2	1
558	здесь нет	2	1
559	при всяком	1	1
560	и другое	2	1
561	иной характер	1	1
562	грубой ошибкой	1	1
563	к нему	3	1
564	из проявлений	1	1
565	до его	1	1
566	едва ли	2	1
567	не можем	4	1
568	сливаются в	1	1
569	еще одно	1	1
570	последнее время	1	1
571	встречаются в	1	1
572	говорит как	1	1
573	то можно	1	1
574	она никогда	1	1
575	особенно часто	3	1
576	как из	1	1
577	следовательно не	1	1
578	обратиться к	1	1
579	что такой	1	1
580	себе а	2	1
581	фигурирует в	1	1
582	еще не	14	1
583	тех случаях	1	1
584	для анализа	1	1
