N	2gram	Bakhtin_Pr	Poddanst
286	или чисто	1	1
287	в результате	1	1
288	воля и	1	1
289	в которой	1	1
290	словами с	1	1
291	должен быть	2	1
292	в этой	1	1
293	или иным	1	1
294	воплощения и	1	1
295	в наших	1	1
296	к ним	1	1
297	и техники	1	1
298	определенно и	1	1
299	что по	1	1
300	в отличие	5	1
301	и где	1	1
302	эмпирической науки	1	1
303	на нее	1	1
304	история не	1	1
305	себя в	2	1
306	настоящее время	1	1
307	на себя	1	1
308	она может	3	1
309	культуры и	3	1
310	что не	4	1
311	та или	1	1
312	но для	1	1
313	не входят	4	1
314	что есть	1	1
315	или хотя	1	1
316	чувство и	1	1
317	или иная	1	1
318	т и	1	1
319	если он	1	1
320	отношением к	1	1
321	вся в	1	1
322	значения но	1	1
323	суть формы	1	1
324	в какой	2	1
325	ясно что	3	1
326	эти явления	1	1
327	имеет к	1	1
328	место в	8	1
329	как и	7	1
330	определяется как	1	1
331	с которым	1	1
332	входят в	3	1
333	или иной	2	1
334	к миру	3	1
335	и именно	2	1
336	мире в	1	1
337	есть та	1	1
338	большинстве случаев	5	1
339	всего должно	2	1
340	говорить об	1	1
341	всеми его	1	1
342	иной раз	1	1
343	как области	1	1
344	вопросом о	1	1
345	дело идет	2	1
346	на то	2	1
347	момента и	1	1
348	на фоне	3	1
349	поэзии с	1	1
350	и я	1	1
351	там где	6	1
352	т д	1	1
353	он живет	1	1
354	и только	4	1
355	к предмету	1	1
356	как одна	1	1
357	в иной	1	1
358	нисколько не	1	1
359	о котором	2	1
360	бы мы	1	1
361	не все	2	1
362	сравнению с	1	1
363	друг друга	1	1
364	в себя	2	1
365	без которой	1	1
366	есть оценка	1	1
367	с ее	1	1
368	более как	1	1
369	не просто	1	1
370	не имеет	9	1
371	есть и	1	1
372	и особенно	1	1
373	и завершение	4	1
374	и ее	2	1
375	особенно в	2	1
376	в положительном	1	1
377	связаны с	2	1
378	обратиться к	1	1
379	в душе	1	1
380	и быть	1	1
381	никогда не	5	1
382	еще не	7	1
383	значение которого	1	1
384	как мастер	1	1
