N	3gram	Tiupa_Narr	KulturaY
174	в первый раз	1	1
175	ни тот ни	1	1
176	степени в какой	1	1
177	ровным счетом ничего	2	1
178	в соответствии со	1	1
179	то что обычно	1	1
180	в силу своей	1	1
181	становится очевидным что	1	1
182	в случае с	2	1
183	т п не	1	1
184	не говоря о	1	1
185	бы не было	1	1
186	необходимо должна быть	1	1
187	но именно это	1	1
188	но и с	1	1
189	всю свою жизнь	2	1
190	в качестве одного	1	1
191	это главным образом	1	1
192	во втором случае	1	1
193	в особенности в	1	1
194	а также в	1	1
195	лишь в самом	1	1
196	не для того	1	1
197	на протяжении этого	2	1
198	не говорит нам	1	1
199	по аналогии с	1	1
200	не о том	1	1
201	а тем более	1	1
202	чтобы рассказать о	1	1
203	и тем самым	6	1
204	первая из этих	1	1
205	в том или	1	1
206	прежде всего тем	1	1
207	что именно в	1	1
208	не только не	2	1
209	на протяжении столетия	1	1
210	то ни было	1	1
211	тот ни другой	1	1
212	то же самое	3	1
213	на этот раз	1	1
214	все тех же	1	1
215	в конечном итоге	1	1
216	не претендует на	1	1
217	в самом тексте	1	1
218	на границе между	1	1
219	в стороне от	1	1
220	в отвлечении от	1	1
221	но в этом	1	1
222	или иной степени	1	1
223	в значительной степени	1	1
224	а во втором	2	1
225	внимание на некоторые	1	1
226	и не может	3	1
227	в этом последнем	2	1
228	а также и	1	1
229	бы она была	1	1
230	в этих случаях	1	1
231	не только внешние	1	1
232	о них как	2	1
233	ведь каждый из	1	1
234	является не только	1	1
235	не только свидетель	1	1
236	человек в разговоре	1	1
237	обозначения различного рода	1	1
238	обращается к нему	1	1
239	ни о каких	1	1
240	отнюдь не означает	1	1
241	качестве одного из	1	1
242	но и здесь	1	1
243	дело не с	1	1
244	но и в	4	1
245	в живой речи	1	1
246	не только от	2	1
247	что вся эта	1	1
248	позицию по отношению	1	1
249	в другом отношении	1	1
250	в последние десятилетия	1	1
251	читателя или слушателя	1	1
252	может быть использован	1	1
253	об этом в	1	1
254	как и в	1	1
255	какой бы то	1	1
256	ли в самом	1	1
257	к одному из	1	1
258	если бы она	1	1
259	нет никаких оснований	1	1
260	одна из наиболее	1	1
261	право говорить и	1	1
262	связи с этим	1	1
263	об этом и	2	1
264	с совершенно иной	1	1
265	тому или иному	1	1
266	который в данном	1	1
267	с легкой руки	1	1
268	и не должен	1	1
269	то время как	1	1
270	в войне и	2	1
271	и для нас	1	1
272	и здесь мы	1	1
273	что к этому	1	1
274	и не претендует	1	1
275	однако что и	1	1
276	именно в этом	1	1
277	дело в том	2	1
278	значения и смысла	1	1
279	ответ на этот	1	1
280	одно и то	2	1
281	рассказать о событии	1	1
282	об отсутствии у	1	1
283	слова должны были	1	1
284	и все его	1	1
285	зависит не только	1	1
286	это уже не	1	1
287	не столько к	1	1
288	того чтобы создать	1	1
289	с ним было	1	1
290	в той степени	1	1
291	например с помощью	1	1
292	той степени в	1	1
293	и то что	1	1
294	не зависит от	1	1
295	не может обойтись	1	1
296	рамках одного и	1	1
297	и все же	4	1
298	по его мнению	1	1
299	тогда как в	2	1
300	еще и потому	1	1
301	том смысле как	1	1
302	то что я	1	1
303	каждый из нас	2	1
304	могло бы составить	1	1
305	в том виде	1	1
306	и не только	1	1
307	для обозначения различного	1	1
308	это прежде всего	1	1
309	всего следует подчеркнуть	1	1
310	далеко не всегда	1	1
311	мы не можем	1	1
312	в сущности говоря	1	1
