N	2gram	Nazirov_Tr	RusskieA
321	судя по	1	2
322	что ему	1	2
323	и всегда	1	2
324	для него	3	2
325	присмотреться к	1	2
326	как у	2	2
327	из своих	2	2
328	особое значение	1	2
329	но эта	2	2
330	на первую	1	2
331	право на	1	2
332	а он	1	2
333	о своих	1	2
334	что эти	2	2
335	ко всему	1	2
336	а как	2	2
337	и притом	1	2
338	собой как	1	2
339	в частности	2	2
340	на смерть	1	2
341	отношение к	2	2
342	по плечу	1	2
343	в новой	1	2
344	за счет	1	2
345	и наконец	1	2
346	на ту	1	2
347	в той	1	1
348	в самом	2	1
349	в центре	1	1
350	еще раз	2	1
351	указывает на	1	1
352	только что	1	1
353	в применении	1	1
354	может так	1	1
355	по-видимому не	1	1
356	и цветов	1	1
357	дается в	1	1
358	быть может	1	1
359	что наш	1	1
360	хозяина и	1	1
361	по спине	1	1
362	в борьбе	1	1
363	это должно	1	1
364	с своими	1	1
365	в первом	2	1
366	вот что	1	1
367	и сам	3	1
368	и возвращается	1	1
369	iii эта	1	1
370	дома и	2	1
371	но у	1	1
372	а нечто	1	1
373	в иной	1	1
374	отца и	2	1
375	смысл этого	1	1
376	всему что	1	1
377	начнем с	1	1
378	и образ	1	1
379	новую жизнь	1	1
380	совершенно ином	1	1
381	было в	2	1
382	века в	1	1
383	не могли	1	1
384	и начинает	1	1
385	применении к	1	1
386	которой он	1	1
387	играют никакой	1	1
388	хотя бы	1	1
389	общеизвестно что	1	1
390	этом мы	1	1
391	в другом	1	1
392	из себя	1	1
393	но может	1	1
394	и светские	1	1
395	старика и	1	1
396	точно так	2	1
397	а между	1	1
398	говорит что	2	1
399	содержала и	1	1
400	добро и	1	1
401	не вполне	1	1
402	отметить что	1	1
403	не я	1	1
404	всего этого	1	1
405	но этот	1	1
406	случае что	1	1
407	был более	1	1
408	все смеются	1	1
409	у себя	1	1
410	вместе и	1	1
411	наряду с	1	1
412	с этими	1	1
413	во времена	1	1
414	все время	1	1
415	они сами	1	1
416	согласиться с	1	1
417	без которой	1	1
418	недостаточно чтобы	1	1
419	не мог	2	1
420	ее своей	1	1
421	к ее	1	1
422	свою рану	1	1
423	он повторил	1	1
424	он очень	1	1
425	даже если	2	1
426	не вызывает	1	1
427	нас другой	1	1
428	в петербурге	1	1
429	и эту	1	1
430	девочка в	1	1
431	богатые люди	1	1
432	что уже	1	1
433	объясняется тем	1	1
434	но от	1	1
435	не думает	1	1
436	деталь в	1	1
437	и один	1	1
438	как есть	1	1
439	глава i	1	1
440	в результате	1	1
441	говорит в	1	1
442	ли мы	1	1
443	лицо его	2	1
444	все по	1	1
445	что за	3	1
446	точности соответствует	1	1
447	что не	1	1
448	женщины на	1	1
449	к сожалению	1	1
450	с жизнью	1	1
451	связан и	1	1
452	не есть	1	1
453	рядом с	1	1
454	даже не	1	1
455	одном из	2	1
456	так сказать	1	1
457	и жизнь	1	1
458	веру в	2	1
459	на свои	1	1
460	до самой	1	1
461	избавляет нас	1	1
462	и цель	1	1
463	№ и	1	1
464	ему в	1	1
465	я тебе	2	1
466	стол все	1	1
467	эти слова	1	1
468	и дети	2	1
469	не играют	2	1
470	теперь уже	1	1
471	чтобы установить	1	1
472	объясняется и	1	1
473	и чтобы	1	1
474	это по	1	1
475	другим в	2	1
476	один раз	1	1
477	не могла	1	1
478	себя на	1	1
479	и хотя	1	1
480	большое значение	1	1
481	по своей	1	1
482	не раз	1	1
483	гласит в	1	1
484	он в	1	1
485	о его	2	1
486	подобной же	1	1
487	хлеб и	1	1
488	и есть	1	1
489	с которым	1	1
490	в общем	1	1
491	всю жизнь	1	1
492	что без	1	1
493	с того	1	1
494	помещик в	1	1
495	шутки и	1	1
496	встреча не	1	1
497	вызвать к	1	1
498	взгляд на	1	1
499	черты его	1	1
500	почти не	1	1
501	и который	1	1
502	должна быть	1	1
503	они только	1	1
504	сам по	1	1
505	это слова	1	1
506	что сам	1	1
507	ни в	2	1
508	но этого	2	1
509	него нет	1	1
510	не могут	2	1
511	власти и	1	1
512	нас от	1	1
513	до этого	1	1
514	вопросу об	1	1
515	нет он	1	1
516	далее следует	1	1
517	и ненависть	1	1
518	это выражение	1	1
519	с такими	1	1
520	состоит из	2	1
521	оказалось что	1	1
522	с криком	1	1
523	знает что	2	1
524	во сне	2	1
525	это самое	1	1
526	года и	1	1
527	случае как	1	1
528	автора но	2	1
529	человека и	1	1
530	превратилось в	2	1
531	который он	1	1
532	сливается с	1	1
533	значение этого	1	1
534	до xx	1	1
535	только один	1	1
536	очень хорошо	1	1
537	и ненависти	1	1
538	в особую	1	1
539	в истории	1	1
540	чтобы сохранить	1	1
541	в точности	1	1
542	как некое	1	1
543	ее не	1	1
544	и служит	1	1
545	мог бы	3	1
546	в самую	2	1
547	был заимствован	1	1
548	что я	4	1
549	из первых	1	1
550	такая точка	1	1
551	в самой	1	1
552	только о	2	1
553	часто и	1	1
554	с каким	1	1
555	обратиться к	1	1
556	всегда была	1	1
557	из дома	1	1
558	жизни столь	1	1
559	ничем не	2	1
560	мог быть	1	1
561	это был	2	1
562	свидетельствует о	1	1
563	ненависть к	2	1
564	это часто	1	1
565	что христос	1	1
566	а это	1	1
567	я слышал	1	1
568	он и	2	1
569	в литературе	1	1
570	о нем	1	1
571	xix веке	2	1
572	это хорошо	1	1
573	на одной	1	1
574	смысле этого	1	1
575	как нечто	1	1
576	особой силой	1	1
577	с наступлением	1	1
578	наших дней	1	1
579	только сам	1	1
580	и эта	1	1
581	вообще не	1	1
582	важнее для	1	1
583	является по	1	1
584	при таком	1	1
585	стремление к	1	1
586	хорошо знает	1	1
587	это происходит	1	1
588	и могут	1	1
589	в такой	1	1
590	это было	1	1
591	и способствует	1	1
592	но особенно	2	1
593	человеком и	1	1
594	эти же	1	1
595	камень на	1	1
596	никакой роли	1	1
597	наизнанку на	1	1
598	возвращается к	1	1
599	что иногда	1	1
600	ему нужно	1	1
601	это как	1	1
602	одну из	1	1
603	а из	1	1
604	на брак	1	1
605	с совершенно	1	1
606	а по	1	1
607	и детей	2	1
608	исходит от	1	1
609	а смерть	1	1
610	человека с	1	1
611	несколько раз	1	1
612	повод для	1	1
613	или как	1	1
614	со своими	1	1
615	в голову	1	1
616	особым образом	1	1
617	нуждается в	1	1
618	на всем	2	1
619	теперь еще	1	1
620	и бьет	1	1
621	и совершенно	1	1
622	в полночь	1	1
623	упоминается в	1	1
624	он полагал	1	1
