N	2gram	Bakhtin_Fr	NovoeSre
159	быть в	2	2
160	уже не	2	2
161	века но	2	2
162	что все	2	2
163	время как	1	2
164	все эти	16	2
165	есть в	1	2
166	же как	1	2
167	такой же	3	2
168	вместе с	4	2
169	который в	2	2
170	политики и	2	2
171	общества и	2	2
172	одна из	3	2
173	стремление к	1	2
174	жизнью в	1	2
175	мира и	4	2
176	роль в	7	2
177	как будто	2	2
178	но не	4	2
179	в то	14	2
180	от старого	2	2
181	в новом	1	2
182	том что	6	2
183	в мировой	4	2
184	ведь и	1	2
185	мир и	2	2
186	так же	3	2
187	для нового	2	2
188	и это	5	2
189	в смысле	1	2
190	но для	1	2
191	к созданию	1	2
192	в одну	1	2
193	себя в	2	2
194	но в	20	2
195	и т.п	17	2
196	мысли и	2	2
197	формы и	1	2
198	средневековья и	4	2
199	не к	2	2
200	к более	1	2
201	связаны с	6	2
202	в той	7	1
203	вопрос об	1	1
204	эпоху не	1	1
205	все в	2	1
206	всех своих	2	1
207	новой эпохи	1	1
208	своего рода	5	1
209	сторон культуры	1	1
210	войне и	1	1
211	в самом	6	1
212	во всем	4	1
213	к одному	2	1
214	уже во	1	1
215	но те	1	1
216	нет ничего	1	1
217	играла в	1	1
218	особенно для	2	1
219	ее на	1	1
220	и того	1	1
221	до этого	1	1
222	всегда была	2	1
223	был и	1	1
224	свой подлинный	1	1
225	том случае	1	1
226	можно сказать	2	1
227	и мысли	4	1
228	то он	1	1
229	все что	4	1
230	эту эпоху	2	1
231	нельзя указать	1	1
232	это одна	1	1
233	эпохи не	1	1
234	во все	3	1
235	но оно	2	1
236	для всех	1	1
237	в более	4	1
238	это конечно	1	1
239	и государства	1	1
240	до сих	6	1
241	существования и	2	1
242	бы к	1	1
243	центром всей	1	1
244	бога в	1	1
245	философия ни	1	1
246	и более	2	1
247	социальный вес	1	1
248	бы он	1	1
249	характерная для	1	1
250	и этот	2	1
251	в котором	3	1
252	по преимуществу	3	1
253	значение в	4	1
254	характерно также	1	1
255	века с	2	1
256	слова все	1	1
257	этот конец	1	1
258	франции и	1	1
259	ничем не	1	1
260	что этот	1	1
261	отличие от	3	1
262	одну эпоху	1	1
263	же и	4	1
264	они не	4	1
265	из них	8	1
266	был уже	1	1
267	все еще	1	1
268	и началом	1	1
269	жить в	1	1
270	и прогрессивных	1	1
271	случае если	1	1
272	может когда	1	1
273	который не	1	1
274	свидетельствует о	2	1
275	он также	3	1
276	культуре и	1	1
277	высшего и	1	1
278	мы уже	19	1
279	которая в	1	1
280	переходит в	1	1
281	уже давно	2	1
282	католическая церковь	1	1
283	уже в	4	1
284	эти слова	1	1
285	и процесс	1	1
286	в свою	3	1
287	в значительной	3	1
288	в состоянии	2	1
289	из этих	2	1
290	во всяком	2	1
291	том числе	4	1
292	она оказалась	1	1
293	веках и	1	1
294	всего мира	1	1
295	в человеческом	1	1
296	но также	1	1
297	для того	5	1
298	людей но	2	1
299	понимают и	1	1
300	не по	1	1
301	этой системе	2	1
302	не для	1	1
303	моментом в	1	1
304	церковь как	1	1
305	ее жизни	1	1
306	и правды	1	1
307	не всегда	1	1
308	характерны для	4	1
309	в этот	2	1
310	имея в	1	1
311	это уже	2	1
312	он и	10	1
313	было бы	4	1
314	и из	1	1
315	в сущности	15	1
316	в формах	1	1
317	уже от	1	1
318	играют большую	1	1
319	в его	21	1
320	значительной степени	2	1
321	человечества в	1	1
322	к тем	2	1
323	средних веков	1	1
324	мы в	1	1
325	но ведь	3	1
326	и вся	1	1
327	них совершается	1	1
328	значение для	1	1
329	должны быть	2	1
330	и их	5	1
331	не с	1	1
332	во времена	1	1
333	всего как	1	1
334	одному из	2	1
335	в социальной	1	1
336	бытия и	1	1
337	не были	3	1
338	понимает эту	1	1
339	есть и	4	1
340	у нас	4	1
341	это была	1	1
342	для них	1	1
343	освобождение от	2	1
344	с другими	1	1
345	говорит что	1	1
346	разложения и	1	1
347	в виду	8	1
348	еще в	4	1
349	превращается в	4	1
350	и до	14	1
351	весь мир	4	1
352	привела к	1	1
353	идут на	1	1
354	только в	9	1
355	своей основе	1	1
356	в xix	3	1
357	не на	2	1
358	не могут	1	1
359	которые будут	1	1
360	под этим	1	1
361	по своей	4	1
362	власти и	2	1
363	от того	1	1
364	в нее	1	1
365	него как	1	1
366	чего он	2	1
367	что образ	1	1
368	в боге	1	1
369	в большинстве	3	1
370	истории эти	1	1
371	и исключительно	1	1
372	вот этот	2	1
373	в платоновском	1	1
374	но он	9	1
375	в которой	6	1
376	этого мира	1	1
377	века не	1	1
378	перед ними	1	1
379	в этой	15	1
380	жизни это	1	1
381	этого не	1	1
382	вот что	1	1
383	числе и	3	1
384	монашеского ордена	1	1
385	жизни эпохи	3	1
386	вес которых	2	1
387	а также	6	1
388	и еще	3	1
389	жизнь в	3	1
390	и техники	1	1
391	как на	3	1
392	в отличие	3	1
393	так называемый	1	1
394	он в	2	1
395	будто бы	2	1
396	него и	3	1
397	на нее	1	1
398	возможно что	1	1
399	во многом	1	1
400	переход от	2	1
401	нем не	1	1
402	из всех	4	1
403	этого нельзя	3	1
404	менее всего	2	1
405	быть только	1	1
406	что не	1	1
407	но все	5	1
408	не осталось	1	1
409	тем что	6	1
410	жизни весь	1	1
411	и во	6	1
412	не хочет	1	1
413	мир который	1	1
414	к этой	3	1
415	свое и	1	1
416	то время	1	1
417	времени не	1	1
418	огромное значение	1	1
419	вступили в	1	1
420	это время	1	1
421	истории но	1	1
422	в конце	8	1
423	те формы	1	1
424	сама истина	1	1
425	в основу	2	1
426	тогда начинается	1	1
427	так много	3	1
428	них не	2	1
429	жизни перед	1	1
430	так как	7	1
431	более широкого	1	1
432	приобретает характер	1	1
433	в образе	1	1
434	к которому	2	1
435	в своем	11	1
436	характер и	3	1
437	метода и	1	1
438	долгое время	1	1
439	есть мир	1	1
440	и дух	1	1
441	ренессанса на	1	1
442	сих пор	6	1
443	и вполне	2	1
444	что он	7	1
445	и она	1	1
446	зла в	1	1
447	их в	7	1
448	и очень	2	1
449	преображен в	1	1
450	большинстве случаев	3	1
451	эпоху ренессанса	1	1
452	что мы	1	1
453	и вместе	1	1
454	в этих	8	1
455	перед лицом	2	1
456	но если	1	1
457	по себе	1	1
458	своей совершенно	1	1
459	только для	6	1
460	оно может	1	1
461	в области	5	1
462	видят в	1	1
463	все более	1	1
464	нуждается в	4	1
465	с ним	3	1
466	бытия вот	1	1
467	и только	1	1
468	во франции	5	1
469	этой теме	2	1
470	человек не	1	1
471	и преображен	1	1
472	от всех	1	1
473	существенным моментом	1	1
474	отнесены к	1	1
475	всяком случае	2	1
476	это скорее	1	1
477	общества так	1	1
478	все слова	1	1
479	во время	17	1
480	друг друга	2	1
481	и истории	1	1
482	в эти	2	1
483	приобщается к	1	1
484	гуманистической культуры	1	1
485	культурной и	1	1
486	с большей	1	1
487	убеждения в	1	1
488	в это	2	1
489	того же	4	1
490	в известном	1	1
491	истории я	1	1
492	знает что	1	1
493	на их	4	1
494	не случайно	1	1
495	в чем	3	1
496	формах и	1	1
497	не был	4	1
498	отказаться от	1	1
499	и его	26	1
500	в эту	7	1
501	и особенно	2	1
502	имеет никакой	1	1
503	нам предстоит	1	1
504	слова в	3	1
505	и у	2	1
506	одного и	1	1
507	не удалось	1	1
508	себе и	1	1
509	жизни с	2	1
510	жизнью и	4	1
511	удары в	1	1
512	гораздо больше	3	1
513	всех народов	1	1
514	связано с	1	1
515	от этого	2	1
516	лишь те	1	1
517	ко времени	1	1
518	этой системы	3	1
519	который и	1	1
520	к нему	4	1
521	ему не	2	1
522	на них	3	1
523	людей в	1	1
