N	3gram	Bakhtin_sl	DiskursI
122	в различные эпохи	1	1
123	себя в нем	3	1
124	так или иначе	1	1
125	высказывания и в	1	1
126	до сих пор	4	1
127	не связано с	1	1
128	ближе к тому	1	1
129	может стать объектом	1	1
130	в диалогические отношения	1	1
131	и на протяжении	1	1
132	иметь в виду	1	1
133	за тридевять земель	1	1
134	данном случае не	1	1
135	в отношении к	9	1
136	для правильного понимания	1	1
137	при этом очень	1	1
138	но прежде всего	1	1
139	между тем как	1	1
140	в гуманитарных науках	1	1
141	никогда не бывает	1	1
142	тем чем он	2	1
143	героя и не	1	1
144	тех или иных	1	1
145	в пределах одной	3	1
146	является в сущности	1	1
147	в романной прозе	1	1
148	не в качестве	1	1
149	что они не	1	1
150	необходимо отметить что	2	1
151	и остается в	1	1
152	не могло быть	1	1
153	не только на	2	1
154	не только о	2	1
155	в особенности у	1	1
156	и в пределах	1	1
157	не может не	5	1
158	имеет дело с	1	1
159	но в этом	2	1
160	в связи с	2	1
161	дистанции между ними	1	1
162	устных и письменных	1	1
163	и там где	5	1
164	непосредственно возникает из	1	1
165	то есть без	1	1
166	при этом на	1	1
167	но все же	1	1
168	все дело в	1	1
169	этих форм в	1	1
170	том и в	2	1
171	к концу прошлого	1	1
172	или во всяком	2	1
173	не должно быть	1	1
174	и не воспроизводится	1	1
175	но это не	1	1
176	только в одном	1	1
177	как композиционная форма	2	1
178	в речах персонажей	2	1
179	и в этом	2	1
180	случае перед нами	2	1
181	мы все же	1	1
182	взаимодействия с другими	1	1
183	может и не	1	1
184	прежде всего как	1	1
185	не только по	1	1
186	в зоне контакта	1	1
187	был прежде всего	1	1
188	или меньшей степени	3	1
189	в евгении онегине	3	1
190	в этих случаях	1	1
191	можно утверждать что	1	1
192	друг друга и	1	1
193	а не с	1	1
194	и могут быть	1	1
195	к тому или	1	1
196	внося в него	1	1
197	прежде всего он	1	1
198	равно как и	1	1
199	и те же	1	1
200	но и здесь	3	1
201	на то что	1	1
202	ромео и джульетты	1	1
203	как и вся	1	1
204	в эстетический объект	1	1
205	за ним всегда	1	1
206	о себе как	1	1
207	в лирике но	1	1
208	а иногда и	1	1
209	как точка зрения	1	1
210	в целом ряде	1	1
211	а также в	1	1
212	с некоторыми разновидностями	1	1
213	к одному из	1	1
214	о говорящем человеке	7	1
215	и в них	2	1
216	это не только	1	1
217	жизни но и	1	1
218	при этом и	1	1
219	в известном смысле	2	1
220	в большей или	3	1
221	своего исторического существования	1	1
222	перед нами не	1	1
223	хотя и не	1	1
224	в противном случае	1	1
225	далеко не все	1	1
226	как в романе	1	1
227	мы не знаем	2	1
228	рассеянной чужой речи	1	1
229	можно было бы	2	1
230	отличие от слова	1	1
231	во всех этих	2	1
232	и все остальные	1	1
233	то есть его	1	1
234	кроме того и	1	1
235	не менее в	1	1
236	именно в том	1	1
237	в пределах одного	8	1
238	они же в	1	1
239	том что он	1	1
240	и до конца	1	1
241	и оценки и	1	1
242	в своем собственном	1	1
243	мы ничего не	1	1
244	между автором и	2	1
245	который не был	1	1
246	не могут быть	3	1
247	выходит за пределы	3	1
248	в сущности только	1	1
249	и романного слова	1	1
250	дело идет об	1	1
251	и может не	1	1
252	не может избежать	1	1
253	до наших дней	1	1
254	и на его	1	1
255	уходит своими корнями	2	1
256	в известной степени	3	1
257	во всех областях	4	1
258	и потому как	1	1
259	в одних случаях	1	1
260	ни в чем	1	1
261	в другом случае	3	1
262	жанра может быть	1	1
263	громадное значение в	1	1
