N	2gram	Medvedev_S	Dialekti
167	очевидно что	2	3
168	тех кто	1	3
169	именно и	1	3
170	на ней	1	3
171	иначе и	1	3
172	не от	1	3
173	не значат	1	3
174	а с	1	3
175	не дает	1	3
176	между тем	1	3
177	это вовсе	1	3
178	даже больше	1	3
179	против этого	1	3
180	мы понимаем	1	3
181	и будет	1	3
182	два или	1	3
183	тем же	1	3
184	не должна	1	3
185	для нас	3	3
186	место в	1	3
187	сказать и	1	3
188	далеко не	2	3
189	как то	1	3
190	это дает	1	3
191	те же	1	2
192	исторического развития	2	2
193	жизни он	1	2
194	бы видеть	1	2
195	существу своему	1	2
196	а между	1	2
197	к которому	2	2
198	она может	2	2
199	наука но	1	2
200	новые и	1	2
201	по природе	2	2
202	ибо по	1	2
203	на этот	1	2
204	между ними	1	2
205	должно было	1	2
206	и понимает	1	2
207	в лучшем	1	2
208	его собственные	1	2
209	диалектического материализма	1	2
210	в систему	1	2
211	образом в	1	2
212	не пошел	1	2
213	этого и	1	2
214	в область	1	2
215	кто не	1	2
216	все то	1	2
217	его собственная	1	2
218	в процессе	1	2
219	из тех	1	2
220	по самому	1	2
221	же теперь	1	2
222	в любой	1	2
223	мы переходим	1	2
224	и заключается	2	2
225	наконец в	1	2
226	какие же	1	2
227	развития и	1	2
228	именно на	1	2
229	друг от	1	2
230	него и	1	2
231	дает нам	1	2
232	в соответствующих	1	2
233	от друга	1	2
234	мысли в	1	2
235	лучшем случае	1	2
236	что данный	1	2
237	со своими	1	2
238	в целом	1	2
239	новое и	1	1
240	поставить и	1	1
241	нет его	1	1
242	невозможно никакое	1	1
243	зависимость и	1	1
244	одно дело	2	1
245	далеко еще	1	1
246	не меняет	1	1
247	индивидуальность и	1	1
248	происходит не	1	1
249	еще недостаточно	1	1
250	конечном счете	1	1
251	наука а	1	1
252	развивается сама	1	1
253	виде задания	1	1
254	их между	2	1
255	у которых	1	1
256	факта что	1	1
257	и история	1	1
258	научной мысли	1	1
259	точке зрения	1	1
260	именно такого	1	1
261	доказательством этого	1	1
262	в заключение	1	1
263	понимать что	1	1
264	не выходит	1	1
265	выдвигает на	1	1
266	остается в	1	1
267	время в	1	1
268	нашей работы	1	1
269	такого построения	1	1
270	в конечном	1	1
271	слишком много	1	1
272	естествознания и	1	1
273	опираясь на	1	1
274	ли не	1	1
275	можно принять	1	1
276	положения в	1	1
277	в наше	1	1
278	и никакая	1	1
279	бы они	1	1
280	и научно	1	1
281	литературы и	2	1
282	наукой в	1	1
283	какой же	1	1
284	нет а	1	1
285	и должны	1	1
286	на точке	1	1
287	данный субъект	1	1
288	том и	1	1
289	обходится без	1	1
290	есть метод	1	1
291	в труде	1	1
292	всему этому	1	1
293	и какие	1	1
294	исследование и	1	1
295	вступает в	1	1
296	что т	1	1
297	не из	1	1
298	и строить	1	1
299	представляет и	1	1
300	но одно	1	1
301	столь же	1	1
302	в свои	1	1
303	этом не	1	1
304	слова но	1	1
305	же по	1	1
306	переходим к	1	1
307	или даже	2	1
308	можно будет	1	1
309	это происходит	1	1
310	нельзя мыслить	1	1
311	материализм в	1	1
312	метафизический дуализм	1	1
313	метод и	2	1
314	без социологии	1	1
315	наука о	1	1
316	он ни	1	1
317	тот занимается	1	1
318	недостаточно глубоко	1	1
319	эстетику и	1	1
320	не умея	1	1
321	принять его	1	1
322	не без	1	1
323	только поэзия	1	1
324	самому существу	1	1
325	право на	1	1
326	как совокупность	1	1
327	как живой	1	1
328	исследования так	1	1
329	им не	2	1
