N	2gram	Losev_Vlad	EvropaiC
984	быть самым	1	1
985	иное как	2	1
986	на них	1	1
987	вся эта	3	1
988	не к	2	1
989	и единственным	1	1
990	его можно	1	1
991	судя по	2	1
992	не делал	1	1
993	можно только	1	1
