N	2gram	Tiupa_Disk	NovoeSre
258	не сознается	1	1
259	не должно	2	1
260	одну из	2	1
261	с миром	2	1
262	но также	2	1
263	природе своей	6	1
264	групп и	1	1
265	в каких	1	1
266	людей но	1	1
267	не по	1	1
268	быть отнесены	1	1
269	не быть	1	1
270	же мере	1	1
271	вступление в	1	1
272	античной культуры	1	1
273	не всегда	2	1
274	в этот	1	1
275	имея в	3	1
276	это уже	1	1
277	что вся	1	1
278	или нет	1	1
279	было бы	1	1
280	мы должны	1	1
281	в сущности	3	1
282	не должна	1	1
283	этом он	1	1
284	в формах	2	1
285	в его	9	1
286	значительной степени	3	1
287	когда она	1	1
288	средних веков	1	1
289	и вся	1	1
290	должны быть	3	1
291	событиях и	1	1
292	бытия как	1	1
293	и их	1	1
294	говорить о	3	1
295	не с	4	1
296	мира то	1	1
297	всего как	1	1
298	одному из	1	1
299	бытия и	1	1
300	не были	1	1
301	для них	1	1
302	не столько	3	1
303	с другими	1	1
304	истории с	1	1
305	вопроса о	1	1
306	ни одно	2	1
307	в виду	2	1
308	еще в	6	1
309	превращается в	1	1
310	и до	2	1
311	слова а	1	1
312	природу и	1	1
313	только в	9	1
314	своей основе	2	1
315	в xix	1	1
316	в переходе	1	1
317	не на	3	1
318	не могут	2	1
319	по своей	15	1
320	от того	1	1
321	возвращения к	1	1
322	сам этот	1	1
323	оно существует	1	1
324	в большинстве	3	1
325	было и	1	1
326	оно не	2	1
327	на смену	3	1
328	оно лишь	1	1
329	сами по	2	1
330	это всегда	1	1
331	особого рода	3	1
332	или не	2	1
333	образ человека	2	1
334	в которой	2	1
335	и иерархическое	1	1
336	заключает в	1	1
337	в этой	5	1
338	жизни это	1	1
339	этого не	1	1
340	числе и	3	1
341	к чему	2	1
342	человеческой жизни	2	1
343	а по	2	1
344	а также	15	1
345	и еще	1	1
346	что его	1	1
347	чем современная	1	1
348	как на	1	1
349	общества в	1	1
350	в необходимость	1	1
351	в отличие	13	1
352	про себя	1	1
353	он в	1	1
354	будто бы	3	1
355	жизни мир	1	1
356	и роста	1	1
357	теперь и	1	1
358	вопрос этот	1	1
359	переход от	2	1
360	же так	1	1
361	ней и	1	1
362	о русском	1	1
363	быть только	1	1
364	что не	4	1
365	но все	2	1
366	оба они	2	1
367	он видел	2	1
368	тем что	4	1
369	и во	2	1
370	не хочет	1	1
371	это время	1	1
372	в конце	1	1
373	или иная	1	1
374	чтобы быть	1	1
375	выход из	1	1
376	как того	1	1
377	более широкого	1	1
378	имеют никакого	1	1
379	в образе	1	1
380	к которому	2	1
381	в своем	11	1
382	характер и	3	1
383	исторический период	1	1
384	власти от	1	1
385	есть по	1	1
386	лишь на	1	1
387	сих пор	1	1
388	россии в	1	1
389	и вполне	1	1
390	рода в	2	1
391	что он	6	1
392	на себя	2	1
393	известном смысле	1	1
394	в исторический	1	1
395	человека это	1	1
396	их в	2	1
397	в силу	5	1
398	которого происходит	1	1
399	раскрытие тайны	1	1
400	большинстве случаев	2	1
401	всей нашей	1	1
402	она направлена	1	1
403	так на	1	1
404	человеке и	1	1
405	далеко еще	4	1
406	в этих	4	1
407	в период	2	1
408	перед лицом	2	1
409	но если	1	1
410	по себе	3	1
411	в речах	1	1
412	приводит к	4	1
413	нет у	1	1
414	в области	3	1
415	и повести	1	1
416	того и	2	1
417	в такой	1	1
418	и только	1	1
419	человек не	2	1
420	отнесены к	1	1
421	к той	4	1
422	обращения к	1	1
423	всяком случае	2	1
424	и оно	1	1
425	во время	1	1
426	она могла	1	1
427	та или	1	1
428	друг друга	2	1
429	только потому	1	1
430	с большей	1	1
431	к своим	3	1
432	в это	1	1
433	того же	5	1
434	в известном	1	1
435	явление культуры	1	1
436	на их	1	1
437	не случайно	2	1
438	в чем	2	1
439	в каком	1	1
440	не был	1	1
441	движения и	1	1
442	отказаться от	1	1
443	истории из	1	1
444	и его	4	1
445	слова в	2	1
446	одного и	5	1
447	но сама	1	1
448	себе и	1	1
449	за его	2	1
450	жизни с	1	1
451	жизнью и	1	1
452	человека не	1	1
453	связано с	1	1
454	от этого	1	1
455	мира с	2	1
456	и нет	1	1
457	мужчине и	1	1
458	бытия а	2	1
459	себя и	2	1
460	к нему	1	1
461	ему не	1	1
462	на них	1	1
463	движение к	1	1
464	людей в	1	1
