N	2gram	Berdyaev_V	PoTuStor
264	если они	1	1
265	любви к	1	1
266	эти силы	1	1
267	бы ни	1	1
268	его к	2	1
269	их на	1	1
270	всем мире	1	1
271	были в	1	1
272	и внешней	1	1
273	это в	1	1
274	не сумеет	1	1
275	не будут	1	1
276	и ведет	1	1
277	к ее	1	1
278	не случайно	1	1
279	до времени	1	1
280	тот же	3	1
281	ничего не	1	1
282	мы скажем	1	1
283	к нему	1	1
284	это желание	1	1
