N	2gram	Vinokur_St	slovoVRo
432	на все	2	3
433	если она	1	3
434	между собой	1	3
435	в новом	4	3
436	в свете	1	3
437	нисколько не	3	3
438	это было	2	3
439	но уже	1	3
440	и это	4	3
441	не все	3	3
442	не был	1	3
443	другом случае	1	3
444	не укладывается	1	3
445	xx века	1	3
446	свое выражение	2	3
447	и почти	1	3
448	на всех	1	3
449	в такой	2	3
450	потому что	13	3
451	следовательно в	1	3
452	и тем	3	3
453	во второй	10	3
454	из этих	7	3
455	на нем	1	3
456	конечно в	1	3
457	тем и	1	3
458	в иных	2	3
459	очень велико	1	3
460	к этому	4	3
461	данном случае	7	3
462	такой же	6	3
463	включает в	1	3
464	нуждается в	2	3
465	прозу и	1	3
466	или иного	4	3
467	ведь и	3	3
468	себе как	1	3
469	того или	4	3
470	др а	1	2
471	с которыми	3	2
472	чисто поэтических	1	2
473	языка который	1	2
474	можно говорить	1	2
475	от необходимости	1	2
476	в последнем	1	2
477	исторических и	1	2
478	в прозу	1	2
479	которая в	1	2
480	и вся	2	2
481	был бы	1	2
482	без исключения	1	2
483	из всех	1	2
484	нашего времени	1	2
485	его высоким	1	2
486	это нужно	1	2
487	одному из	1	2
488	поэта в	1	2
489	как он	3	2
490	далее в	4	2
491	для них	2	2
492	исторического романа	2	2
493	от этих	1	2
494	том и	1	2
495	на которую	1	2
496	связь с	1	2
497	или во	1	2
498	вот что	3	2
499	с такими	1	2
500	ни о	1	2
501	с ней	1	2
502	жизнь в	1	2
503	для осуществления	1	2
504	произведения в	2	2
505	заключается в	5	2
506	то время	2	2
507	героев и	1	2
508	как о	2	2
509	и внутренне	1	2
510	а именно	3	2
511	за свое	1	2
512	формальных приемов	1	2
513	они ни	1	2
514	укладывается в	1	2
515	можно утверждать	1	2
516	да и	4	2
517	очень велика	1	2
518	из которого	2	2
519	в известном	3	2
520	этом его	1	2
521	литературного и	1	2
522	всем его	1	2
523	по своему	2	2
524	на материале	1	2
525	и общества	1	2
526	взаимоотношения между	2	2
527	и могут	1	2
528	но их	1	2
529	это и	5	2
530	ни к	1	2
531	то что	27	2
532	в котором	11	2
533	известным правом	1	2
534	он был	5	2
535	самого же	2	2
536	то и	1	2
537	в течение	7	2
538	о которых	3	2
539	в двух	4	2
540	существенным и	1	2
541	них как	1	2
542	из его	3	2
543	к своей	1	2
544	время в	1	2
545	в руках	2	2
546	значение для	2	2
547	но они	3	2
548	на пути	1	2
549	случае не	3	2
550	мнение о	2	2
551	а между	2	2
552	совершенно не	7	2
553	тот факт	5	2
554	чем не	2	2
555	самого начала	3	2
556	как например	2	2
557	например во	2	2
558	слова правда	1	2
559	но этот	1	2
560	всегда и	1	2
561	несмотря на	4	2
562	и среди	1	2
563	которые являются	2	2
564	языком а	1	2
565	в прошлом	1	2
566	к ним	1	2
567	нет и	1	2
568	от которого	2	2
569	во всякой	1	2
570	и у	2	2
571	в основу	5	2
572	лишь о	1	2
573	в образе	3	2
574	в нашем	1	2
575	для всего	1	2
576	что все	3	2
577	во всей	1	2
578	и стиля	2	2
579	в чужую	3	2
580	не умеет	1	2
581	есть только	2	2
582	каждое из	1	2
583	лишь при	1	2
584	у них	1	2
585	не просто	2	2
586	то или	3	2
587	в ее	6	2
588	на них	2	2
589	слов от	1	2
590	самое слово	1	2
591	известном смысле	1	2
592	к началу	1	2
593	ближе к	1	2
594	не знают	1	2
595	к особенностям	1	2
596	слово должно	1	2
597	и такой	1	2
598	только не	2	2
599	в прямом	2	2
600	на язык	1	2
601	указать на	1	2
602	того как	8	2
603	с известным	1	2
604	самый язык	1	2
605	ни было	1	2
606	подчеркнуть что	5	2
607	принципиальное и	2	2
608	тем не	4	2
609	в английском	1	2
610	как у	1	2
611	и за	3	2
612	есть в	2	2
613	что для	4	2
614	на самом	8	2
615	у нас	12	2
616	и есть	1	2
617	работы и	1	2
618	в таких	1	2
619	бы только	2	2
620	без всяких	2	2
621	п но	1	2
622	материал для	6	2
623	этого рода	2	2
624	от всех	1	2
625	не для	3	2
626	или иначе	3	2
627	что она	5	2
628	как увидим	1	2
629	что не	3	2
630	где нет	2	2
631	в равной	2	2
632	в какой	4	2
633	между ними	1	2
634	то в	3	2
635	время как	2	2
636	лежит на	1	2
637	из различных	1	2
638	роман на	2	2
639	в области	16	2
640	при таком	2	2
641	он никогда	1	2
642	именно эта	1	2
643	на возможность	1	2
644	значение как	1	2
645	себя до	1	2
646	в сторону	2	2
647	об этом	9	2
648	дело и	1	2
649	при его	3	2
650	первостепенное значение	1	2
651	от подлинной	1	2
652	что как	3	2
653	за его	1	2
654	что они	9	2
655	это очень	5	2
656	ему не	3	2
657	к одному	1	2
658	без всякой	3	2
659	у пушкина	17	2
660	в стиле	1	2
661	п и	1	2
662	материалом для	1	2
663	мы можем	1	2
664	и эти	2	2
665	а с	6	2
666	если оно	1	2
667	вообще в	1	2
668	с самого	4	2
669	в своих	2	2
670	до нас	1	2
671	от характера	1	2
672	или целиком	1	2
673	очень часто	3	2
674	в оправу	1	2
675	не один	1	2
676	к образу	1	2
677	именно такое	2	2
678	так что	8	2
679	на правах	1	2
680	роман но	1	2
681	действующих лиц	1	2
682	бы они	1	2
683	своего времени	4	2
684	нужно сказать	6	2
685	и та	1	2
686	пор не	1	2
687	и что	8	2
688	не могла	2	2
689	можно было	14	2
690	среди которых	1	2
691	своему стилистическому	1	2
692	иметь в	2	2
693	в начале	5	2
694	факт что	6	2
695	и жизни	1	2
696	по своей	2	2
697	это может	1	2
698	смысл его	1	2
699	или иное	3	2
700	ведь в	1	2
701	он еще	1	2
702	как известно	2	2
703	могло быть	3	2
704	только о	1	2
705	и той	1	2
706	ни одной	2	2
707	к ней	1	2
708	явление в	1	2
709	бы его	1	2
710	звучит в	1	2
711	именно там	1	2
712	произведения не	1	2
713	материала в	1	2
714	сам в	3	2
715	не значит	3	2
716	на один	1	2
717	действительно не	3	2
718	не исчерпываются	1	2
719	место в	2	2
720	конечно совершенно	1	2
721	столь же	5	2
722	же в	1	2
723	бы быть	1	2
724	на то	5	2
725	которые были	1	2
726	и только	3	2
727	просто не	1	2
728	борьбу с	2	2
729	независимо от	1	2
730	и обратно	1	2
731	в один	1	2
732	голоса в	1	2
733	границе между	1	2
734	и иные	2	2
735	не к	2	2
736	и самый	2	2
737	к подлинному	2	1
738	к сожалению	4	1
739	наглядно здесь	1	1
740	какого бы	1	1
741	которого ничего	1	1
742	с полной	2	1
743	этом споре	1	1
744	основе этой	1	1
745	общественным мнением	1	1
746	является в	1	1
747	а потому	2	1
748	во втором	5	1
749	которой все	1	1
750	однако с	1	1
751	из быта	1	1
752	отношении как	1	1
753	слов иногда	1	1
754	случае в	4	1
755	жанре и	1	1
756	никогда и	1	1
757	языке своего	1	1
758	бы она	1	1
759	должен звучать	1	1
760	смотреть на	2	1
761	представить себе	1	1
762	в конце	5	1
763	слова здесь	1	1
764	и лишь	2	1
765	с существующими	1	1
766	бы то	2	1
767	текст в	2	1
768	себе представить	1	1
769	если в	2	1
770	не отдавать	1	1
771	тексты у	1	1
772	которые не	3	1
773	на анализе	1	1
774	к этой	1	1
775	если он	1	1
776	современного литературного	1	1
777	и вследствие	1	1
778	которые он	1	1
779	до него	3	1
780	лежащий в	2	1
781	образа в	1	1
782	важно для	1	1
783	высокие поэтические	1	1
784	и имеет	1	1
785	для себя	3	1
786	но которые	1	1
787	эти особенности	1	1
788	очень важно	1	1
789	и дает	1	1
790	его за	1	1
791	конечно на	1	1
792	освободиться от	1	1
793	источников в	1	1
794	опираться на	1	1
795	каждым его	2	1
796	свою мысль	1	1
797	которым они	1	1
798	или нет	1	1
799	бы говорить	1	1
800	о чем	4	1
801	все попытки	1	1
802	никак не	1	1
803	возможность иных	1	1
804	какой бы	1	1
805	говорит о	5	1
806	из которых	1	1
807	разве только	1	1
808	и говорить	1	1
809	в действии	1	1
810	потому не	1	1
811	в живых	1	1
812	литературных и	1	1
813	литературной и	2	1
814	одно из	3	1
815	и об	7	1
816	правда в	1	1
817	кстати сказать	2	1
818	говорить что	1	1
819	целом ряде	1	1
820	с собой	1	1
821	не эпохи	1	1
822	но что	2	1
823	что слово	1	1
824	там в	1	1
825	должен был	5	1
826	потребность в	1	1
827	в настоящем	1	1
828	конечно еще	1	1
829	и он	2	1
830	и бывшими	1	1
831	так или	3	1
832	сами по	2	1
833	текста и	1	1
834	но только	2	1
835	он имеет	1	1
836	все здесь	1	1
837	оказывается в	2	1
838	от своего	2	1
839	некоторые другие	1	1
840	и вовсе	1	1
841	и этот	1	1
842	о мире	2	1
843	по их	1	1
844	о самом	1	1
845	мы говорим	1	1
846	мы называем	1	1
847	самостоятельно и	1	1
848	его основное	1	1
849	был связан	1	1
850	форму и	1	1
851	с общим	1	1
852	этого в	1	1
853	где в	1	1
854	обращается к	1	1
855	именно они	1	1
856	зрения в	2	1
857	судить по	3	1
858	и действительно	1	1
859	немало таких	2	1
860	экспрессии и	1	1
861	постановке вопроса	1	1
862	от реальной	1	1
863	исходить из	1	1
864	принадлежат к	1	1
865	его романа	1	1
866	самому и	1	1
867	относятся к	3	1
868	евгения онегина	6	1
869	в одних	1	1
870	работы в	3	1
871	было вполне	1	1
872	самый диалог	1	1
873	велика в	1	1
874	интонациями и	1	1
875	все старые	1	1
876	что по	1	1
877	кроме самого	1	1
878	красоты или	1	1
879	всеми его	1	1
880	и просто	1	1
881	и так	3	1
882	состоит из	1	1
883	в которых	5	1
884	иногда такие	1	1
885	отнесены к	1	1
886	что действие	1	1
887	она исходит	1	1
888	как живая	1	1
889	в изобилии	1	1
890	прошлого века	1	1
891	бы не	2	1
892	только себя	1	1
893	но у	1	1
894	который не	3	1
895	о котором	2	1
896	внутри одного	1	1
897	от того	1	1
898	именно поэтому	2	1
899	не до	2	1
900	вследствие этого	1	1
901	со стороны	7	1
902	в это	3	1
903	речь идет	6	1
904	эта последняя	1	1
905	он по	2	1
906	нужно все	1	1
907	быть конечно	1	1
908	которое нашло	1	1
909	к другому	1	1
910	пушкина или	1	1
911	только теперь	1	1
912	материала для	3	1
913	без кавычек	1	1
914	на совершенно	3	1
915	по крайней	2	1
916	где оно	1	1
917	обращение к	1	1
918	лишь те	1	1
919	свое время	3	1
920	в рассмотрение	1	1
921	каждый из	1	1
922	только одно	1	1
923	чуждо и	1	1
924	сам же	1	1
925	именно такой	1	1
926	с какой	1	1
927	и нуждается	1	1
928	чем же	1	1
929	в прозе	1	1
930	этот прием	1	1
931	не существует	4	1
932	и было	1	1
933	при условии	1	1
934	в диалог	2	1
935	характер его	1	1
936	что мы	5	1
937	к изучению	1	1
938	системы не	1	1
939	ли говорить	1	1
940	в очень	4	1
941	и речей	1	1
942	применении к	3	1
943	дошедшие до	1	1
944	не имеют	2	1
945	под понятие	1	1
946	этой традиции	1	1
947	и стилистической	1	1
948	этой стилистической	1	1
949	задний план	3	1
950	случаев в	1	1
951	что самое	1	1
952	один только	1	1
953	значение этого	1	1
954	почти исключительно	1	1
955	это его	1	1
956	этой работы	2	1
957	это только	1	1
958	он к	1	1
959	быть не	2	1
960	до его	2	1
961	он является	1	1
962	его собственной	3	1
963	этом жанре	1	1
964	с другим	1	1
965	а может	1	1
966	которыми он	3	1
967	в потенции	1	1
968	он просто	1	1
969	положение занимает	1	1
970	в середине	2	1
971	себе своей	1	1
972	и частично	1	1
973	только один	1	1
974	то все	1	1
975	чего не	1	1
976	занимает в	3	1
977	письма и	3	1
978	приводит в	2	1
979	таким путем	2	1
980	за собой	1	1
981	и ему	2	1
982	также в	2	1
983	в письмах	2	1
984	сущности можно	1	1
985	эпохи но	1	1
986	на основании	2	1
987	очень похоже	1	1
988	этим не	1	1
989	обращения с	1	1
990	свои стихи	1	1
991	числе и	2	1
992	своего поэтического	1	1
993	превращается в	2	1
994	времени и	4	1
995	для своей	2	1
996	не отдает	1	1
997	и уточнения	1	1
998	а только	1	1
999	можно ли	5	1
1000	особое положение	1	1
1001	те которые	2	1
1002	литературы в	1	1
1003	что современные	1	1
1004	а во	3	1
1005	силу а	1	1
1006	художественного произведения	1	1
1007	всего что	2	1
1008	и устойчивой	1	1
1009	всех трех	2	1
1010	не встречается	1	1
1011	стиле но	1	1
1012	о языке	2	1
1013	как на	10	1
1014	этому слову	1	1
1015	для поэтического	1	1
1016	эти попытки	1	1
1017	только самый	1	1
1018	наоборот для	1	1
1019	словами и	1	1
1020	он так	1	1
1021	для всей	1	1
1022	она ни	1	1
1023	ответа на	2	1
1024	начиная с	2	1
1025	весь в	1	1
1026	как правило	2	1
1027	оно стало	2	1
1028	именно так	1	1
1029	для изучения	4	1
1030	быть в	2	1
1031	оказать что	1	1
1032	нет этого	1	1
1033	с нею	3	1
1034	всяких оговорок	1	1
1035	его словом	1	1
1036	в научном	1	1
1037	от современного	1	1
1038	слова он	1	1
1039	простое и	1	1
1040	речи на	1	1
1041	для которого	1	1
1042	а это	1	1
1043	самый сюжет	1	1
1044	такие которые	1	1
1045	на этот	5	1
1046	действительности и	1	1
1047	это кажется	1	1
1048	исходит из	1	1
1049	характерное для	1	1
1050	время по	1	1
1051	который в	1	1
1052	то здесь	1	1
1053	но если	5	1
1054	столько в	1	1
1055	он сам	1	1
1056	и именно	2	1
1057	от них	1	1
1058	капитанской дочки	2	1
1059	какой степени	1	1
1060	опоры в	1	1
1061	наук и	1	1
1062	где бы	1	1
1063	заключается именно	1	1
1064	в стилистическом	1	1
1065	и после	1	1
1066	время был	1	1
1067	для этой	1	1
1068	при этой	1	1
1069	от степени	2	1
1070	эпохи то	1	1
1071	сожалению не	3	1
1072	языка к	1	1
1073	изложения и	1	1
1074	пришлось бы	1	1
1075	предания и	1	1
1076	крайней мере	2	1
1077	нем может	1	1
1078	совпадать с	1	1
1079	тот же	2	1
1080	мог бы	1	1
1081	речи а	1	1
1082	гораздо более	5	1
1083	или иным	3	1
1084	свои силы	2	1
1085	даже по	1	1
1086	не зная	2	1
1087	показывает как	1	1
1088	но на	2	1
1089	том чтобы	1	1
1090	том числе	3	1
1091	для большинства	1	1
1092	каких условиях	1	1
1093	является результатом	1	1
1094	проч все	1	1
1095	нет ни	3	1
1096	смертном одре	1	1
1097	такое отношение	2	1
1098	различие между	1	1
1099	только по	1	1
1100	вокруг этого	1	1
1101	здесь нет	1	1
1102	система приемов	1	1
1103	на тех	1	1
1104	и всей	2	1
1105	о значении	3	1
1106	поэтому в	4	1
1107	очень далеко	1	1
1108	и вот	1	1
1109	сколько в	2	1
1110	пушкина в	40	1
1111	иных случаях	2	1
1112	притом не	1	1
1113	мы имеем	2	1
1114	в исторических	1	1
1115	эпохи в	3	1
1116	своей социальной	1	1
1117	идет о	3	1
1118	брань и	1	1
1119	то у	1	1
1120	ссылки и	1	1
1121	проявляется в	1	1
1122	которых он	2	1
1123	или с	2	1
1124	обвинение в	2	1
1125	бы на	1	1
1126	обычно не	1	1
1127	него самого	2	1
1128	и общей	1	1
1129	переход к	1	1
1130	к истории	2	1
1131	евгений онегин	3	1
1132	он и	1	1
1133	идет ли	1	1
1134	себя самого	1	1
1135	что при	3	1
1136	своем пути	1	1
1137	похоже на	3	1
1138	не соответствует	1	1
1139	что так	3	1
1140	своей идеологии	1	1
1141	которая лежит	1	1
1142	чем у	2	1
1143	где он	2	1
1144	лиц и	1	1
1145	которая является	1	1
1146	велико что	1	1
1147	для своего	2	1
1148	биографии и	2	1
1149	или иную	1	1
1150	на одной	1	1
1151	пушкиным как	1	1
1152	сколько бы	1	1
1153	слово во	1	1
1154	мы находим	4	1
1155	и смысл	1	1
1156	сказал бы	1	1
1157	интерпретации и	1	1
1158	зрения его	1	1
1159	есть еще	1	1
1160	др таковы	1	1
1161	того в	1	1
1162	но с	7	1
1163	а к	2	1
1164	и притом	1	1
1165	у автора	1	1
1166	нет это	2	1
1167	правильного понимания	1	1
1168	для испытания	1	1
1169	говорим о	1	1
1170	время этот	1	1
1171	стихи в	1	1
1172	в несколько	1	1
1173	дела и	2	1
1174	иногда и	2	1
1175	точного воспроизведения	1	1
1176	не о	2	1
1177	следующие строки	1	1
1178	и некоторые	1	1
1179	века не	1	1
1180	в свои	1	1
1181	что к	1	1
1182	как по	1	1
1183	автора является	1	1
1184	прежде чем	1	1
1185	этого произведения	2	1
1186	и говорит	1	1
1187	что его	1	1
1188	и позволяет	1	1
1189	ему самому	1	1
1190	которое в	1	1
1191	полемики с	2	1
1192	места в	3	1
1193	с теми	1	1
1194	отношений к	2	1
1195	не те	1	1
1196	героями он	1	1
1197	последующего времени	1	1
1198	на тему	2	1
1199	на высоту	1	1
1200	кто именно	1	1
1201	в среде	1	1
1202	в ряде	1	1
1203	пушкина до	3	1
1204	впрочем не	1	1
1205	высоким поэтическим	1	1
1206	бы оно	1	1
1207	с той	3	1
1208	с жизнью	1	1
1209	или же	3	1
1210	мы теперь	1	1
1211	в изображении	1	1
1212	нас к	2	1
1213	в исторический	1	1
1214	говорят о	1	1
1215	между прочим	10	1
1216	одном из	4	1
1217	стремление к	3	1
1218	в ту	1	1
1219	и характер	1	1
1220	сделать его	1	1
1221	к концу	3	1
1222	второй части	2	1
1223	в еще	1	1
1224	приходится сказать	1	1
1225	говорить как	1	1
1226	должно было	5	1
1227	его жизни	3	1
1228	где уже	1	1
1229	к вопросам	1	1
1230	его текст	1	1
1231	как не	1	1
1232	научной работы	4	1
1233	больше всего	2	1
1234	и теми	1	1
1235	бы мы	2	1
1236	нужно еще	1	1
1237	нашло свое	2	1
1238	материала на	1	1
1239	и традиций	1	1
1240	в первые	1	1
1241	сведений и	1	1
1242	в ином	1	1
1243	себе и	1	1
1244	и литературного	1	1
1245	находя в	1	1
1246	которые с	1	1
1247	др но	1	1
1248	раз в	4	1
1249	работы над	5	1
1250	создавать образ	1	1
1251	и таким	1	1
1252	грубой ошибкой	1	1
1253	словами не	1	1
1254	и отдельные	1	1
1255	в меру	1	1
1256	бы в	2	1
1257	для правильного	1	1
1258	ответ в	1	1
1259	которой на	1	1
1260	с очень	1	1
1261	такие слова	1	1
1262	точкой зрения	1	1
1263	ином стиле	1	1
1264	конечно это	2	1
1265	в самое	1	1
1266	том случае	1	1
1267	после этих	1	1
1268	разницу в	1	1
1269	что такое	2	1
1270	литературы вообще	1	1
1271	их не	1	1
1272	и снова	1	1
1273	на всем	1	1
1274	в разной	1	1
1275	оба эти	4	1
1276	выйти за	1	1
1277	и далее	1	1
1278	таких случаях	1	1
1279	системе и	1	1
1280	тем более	4	1
1281	и сложный	1	1
1282	к отдельным	1	1
1283	диалог между	2	1
1284	дело обстояло	1	1
1285	но между	1	1
1286	случае и	2	1
1287	поэт не	2	1
1288	пушкина для	7	1
1289	п на	1	1
1290	в отдельных	2	1
1291	в наше	1	1
1292	для ее	1	1
1293	элемент в	1	1
1294	именно потому	1	1
1295	пути который	1	1
1296	не дает	2	1
1297	очень близко	1	1
1298	в последних	1	1
1299	с легкой	1	1
1300	совсем не	3	1
1301	невозможно установить	1	1
1302	к новым	1	1
1303	с некоторыми	1	1
1304	ведь такие	1	1
1305	степени не	1	1
1306	стройность и	1	1
1307	довольно часто	1	1
1308	взглянуть на	2	1
