N	2gram	Nazirov_Vr	DiskursI
339	не могло	1	2
340	появились в	1	1
341	к сожалению	1	1
342	а другие	1	1
343	с героем	1	1
344	к этой	1	1
345	не подвергая	1	1
346	а вот	1	1
347	и был	1	1
348	в миниатюре	1	1
349	как говорит	1	1
350	по праву	1	1
351	одному из	1	1
352	судьбы они	1	1
353	равно как	1	1
354	героя другого	1	1
355	а их	1	1
356	из сцен	1	1
357	этого типа	1	1
358	в бою	1	1
359	внимание к	1	1
360	и служило	1	1
361	целым рядом	1	1
362	в это	2	1
363	из героев	1	1
364	у достоевского	4	1
365	при помощи	2	1
366	весной года	4	1
367	на старом	1	1
368	почти одновременно	1	1
369	и образ	1	1
370	во все	1	1
371	она же	1	1
372	с конца	1	1
373	которой он	1	1
374	широкое распространение	1	1
375	раз и	1	1
376	он был	3	1
377	что первая	1	1
378	в знаменитых	1	1
379	из их	1	1
380	в этот	3	1
381	черты характера	1	1
382	не об	1	1
383	несколько позже	1	1
384	так же	4	1
385	некоторое время	1	1
386	сюжетная ситуация	1	1
387	если это	1	1
388	наряду с	3	1
389	ключ к	1	1
390	спросить о	1	1
391	заметное влияние	1	1
392	такая же	1	1
393	есть по	1	1
394	так не	1	1
395	от них	1	1
396	уже по	1	1
397	на них	1	1
398	только не	1	1
399	о влиянии	2	1
400	сюжет в	1	1
401	вскоре после	1	1
402	в дневнике	4	1
403	собой в	1	1
404	а почему	1	1
405	обычно не	1	1
406	него в	1	1
407	не должна	1	1
408	не хочет	1	1
409	по мнению	2	1
410	иными словами	1	1
411	из мысли	1	1
412	такое понимание	1	1
413	как новый	1	1
414	в конце	3	1
415	в таком	1	1
416	у тургенева	11	1
417	человек и	1	1
418	литературе и	1	1
419	в связи	3	1
420	я всегда	1	1
421	себя как	1	1
422	всего он	1	1
423	они как	1	1
424	уже давно	1	1
425	именно своей	1	1
426	по характеру	1	1
427	сих пор	1	1
428	встрече с	1	1
429	бы в	1	1
430	для правильного	1	1
431	войне и	1	1
432	только от	1	1
433	права на	2	1
434	как принципиально	1	1
435	действие в	1	1
436	человека как	1	1
437	немалую роль	1	1
438	в роман	2	1
439	в ответ	1	1
440	он стал	1	1
441	с героями	1	1
442	в развитии	1	1
443	не мог	2	1
444	не будет	1	1
445	то было	1	1
446	но об	1	1
447	этом смысле	1	1
448	проникнуть в	1	1
449	общего мнения	1	1
450	в москве	1	1
451	вражды и	1	1
452	он пишет	2	1
453	этот период	1	1
454	как известно	1	1
455	известном смысле	1	1
456	году в	2	1
457	дама с	1	1
458	есть все	1	1
459	из этого	1	1
460	более что	1	1
461	в окно	1	1
462	во время	2	1
463	к реальному	1	1
464	пришел к	2	1
465	до сих	1	1
466	но после	2	1
467	он уже	1	1
468	от сознания	2	1
469	достоевского в	7	1
470	для русской	1	1
471	что это	1	1
472	о которой	2	1
473	было выдвинуто	1	1
474	как о	1	1
475	начинается с	1	1
476	воспроизводит ситуацию	1	1
477	что у	3	1
478	преступление и	1	1
479	предполагать что	1	1
480	как при	1	1
481	из литературы	1	1
482	то время	1	1
483	это время	1	1
484	но наука	1	1
485	в в	2	1
486	сюжетных функций	1	1
487	мести и	1	1
488	никто не	1	1
489	наполеона в	1	1
490	он ее	1	1
491	том как	1	1
492	в те	3	1
493	в известном	2	1
494	что положило	1	1
495	в каком	1	1
496	нет ничего	1	1
497	его и	2	1
498	не учитывать	1	1
499	основания предполагать	1	1
500	чувствовал себя	1	1
501	и двусмысленный	1	1
502	годов в	1	1
503	это то	1	1
504	самым он	1	1
505	вопросом не	1	1
506	тургенев в	4	1
507	этого как	1	1
508	общие черты	1	1
509	которую он	1	1
510	о своем	1	1
511	россии в	2	1
512	эстетический характер	1	1
513	еще один	1	1
514	утверждаю что	1	1
515	начиная с	2	1
516	как тот	1	1
517	из первых	1	1
518	в глазах	2	1
519	только при	1	1
520	том же	2	1
521	не стоит	1	1
522	остается за	1	1
523	именно этот	1	1
524	постановки вопроса	1	1
525	человека но	1	1
526	этому же	1	1
527	сам этот	1	1
528	которому в	1	1
529	об их	2	1
530	близок к	1	1
531	анекдоты и	1	1
532	с правилами	1	1
533	николая i	1	1
534	это такая	1	1
535	и наказание	1	1
536	только по	1	1
537	этот процесс	1	1
538	на три	1	1
539	и кончая	1	1
540	как анекдотическая	1	1
541	второй половине	1	1
542	сколько в	1	1
543	выступают как	1	1
544	от которого	1	1
545	резко отличают	1	1
546	он и	1	1
547	этом он	1	1
548	анекдотическая фигура	1	1
549	романе достоевского	1	1
550	записи из	1	1
551	для нас	4	1
552	входя в	1	1
553	быть весьма	1	1
554	сходятся в	1	1
555	в повести	2	1
556	раз в	3	1
557	но с	1	1
558	это слово	1	1
559	возникший в	1	1
560	этого не	1	1
561	что к	2	1
562	же в	2	1
563	в глубине	1	1
564	в нашей	2	1
565	что этот	1	1
566	этот раз	1	1
567	три портрета	1	1
568	как свидетельствует	1	1
569	и я	1	1
570	писательской биографии	1	1
571	будь он	1	1
572	в условиях	1	1
573	за год	2	1
574	ее для	1	1
575	не все	1	1
576	человека к	1	1
577	еще до	1	1
578	предположить что	1	1
579	искать в	1	1
580	же с	1	1
581	первая часть	1	1
582	в предисловии	1	1
583	такие же	1	1
584	он одновременно	1	1
585	некоторых его	1	1
586	это как	1	1
587	надежды на	1	1
588	сам в	1	1
589	въехал в	1	1
590	говорить не	1	1
591	независимо от	1	1
592	ставя его	1	1
593	существуют в	1	1
594	в войне	1	1
595	всех этих	1	1
596	это была	1	1
597	к смерти	1	1
598	от того	1	1
599	героя нашего	1	1
600	что из	1	1
601	же на	1	1
602	переосмыслением центрального	1	1
603	и мире	1	1
604	говорилось выше	1	1
605	также в	1	1
606	в известной	1	1
