N	2gram	Tiupa_Teor	FransuaR
288	для понимания	2	10
289	не просто	2	10
290	по преимуществу	5	10
291	к которому	3	10
292	здесь как	1	10
293	ту же	1	10
294	образом и	2	10
295	со смертью	1	10
296	во второй	7	10
297	в целом	4	10
298	представлений о	1	9
299	как это	10	9
300	но на	2	9
301	о котором	1	9
302	и вся	1	9
303	до известной	2	9
304	в мировой	2	9
305	как к	5	9
306	ведь это	1	9
307	и со	1	9
308	из древнейших	1	9
309	же в	1	9
310	жизнью и	1	9
311	говорит о	1	9
312	отношения к	4	9
313	к жизни	2	9
314	но как	2	9
315	это была	1	9
316	но дело	1	9
317	не имеет	1	9
318	в следующей	2	9
319	свое время	1	9
320	известной степени	3	9
321	между людьми	1	9
322	том же	1	9
323	на время	2	9
324	и то	3	9
325	в формах	2	9
326	для нас	1	9
327	отношению к	10	9
328	что не	1	9
329	и мира	2	8
330	с этой	3	8
331	более или	6	8
332	не менее	6	8
333	на первый	1	8
334	и те	1	8
335	или менее	6	8
336	xviii века	1	8
337	от этого	1	8
338	др в	1	8
339	речи и	4	8
340	в него	1	8
341	с тем	1	8
342	то время	1	8
343	языка и	1	8
344	в совершенно	1	8
345	значение в	1	8
346	но эта	1	8
347	и глубже	1	8
348	человека с	3	8
349	включает в	2	8
350	для этого	1	8
351	от него	1	8
352	по поводу	1	8
353	после того	1	8
354	свободу и	1	8
355	тому же	1	8
356	так что	1	8
357	здесь мы	2	8
358	в это	1	8
359	если бы	3	8
360	но с	1	8
361	и без	1	8
362	самой жизни	1	8
363	на всех	1	8
364	дело не	2	8
365	нуждается в	1	8
366	же и	1	7
367	не как	1	7
368	новое время	1	7
369	искусства и	3	7
370	времени в	2	7
371	себе и	1	7
372	к ним	1	7
373	к этим	1	7
374	с жизнью	1	7
375	в развитии	1	7
376	между всеми	1	7
377	подобно тому	3	7
378	в последней	2	7
379	между вещами	1	7
380	но она	2	7
381	жить и	2	7
382	в различных	1	7
383	что по	1	7
384	настоящее время	1	7
385	и оценки	1	7
386	только во	1	7
387	себя в	7	7
388	своего развития	1	7
389	в состоянии	1	7
390	всех его	1	7
391	в таком	3	7
392	в новое	1	7
393	никак не	1	7
394	из которых	2	7
395	смертью в	1	7
396	в настоящее	1	7
397	а на	3	7
398	первой части	2	7
399	должен быть	2	7
400	следующей главе	1	7
401	тому как	3	7
402	в свою	4	7
403	одного из	1	7
404	по этому	1	7
405	в центре	1	6
406	и эпизод	1	6
407	во времени	4	6
408	не столько	7	6
409	жизнь в	1	6
410	казалось бы	2	6
411	не могли	2	6
412	в противоположность	3	6
413	имеем в	3	6
414	вещами и	2	6
415	свою очередь	3	6
416	что она	2	6
417	не остается	1	6
418	к его	3	6
419	основе своей	2	6
420	в обычной	1	6
421	на их	1	6
422	еще один	1	6
423	тем же	2	6
424	как у	1	6
425	и пр	1	6
426	или даже	4	6
427	при виде	1	6
428	людей в	1	6
429	которые в	1	6
430	происходит в	1	6
431	как будто	2	6
432	тех кто	1	6
433	дается в	1	6
434	но по	1	6
435	от всего	1	6
436	а именно	3	6
437	и слово	1	6
438	существенный момент	1	6
439	и такие	1	6
440	говорить о	4	6
441	жизни как	5	6
442	как я	1	6
443	такого рода	13	6
444	не была	1	6
445	между прочим	1	6
446	ни для	2	6
447	картины мира	3	6
448	не дает	1	6
449	могут быть	5	6
450	за это	1	6
451	совершенно не	1	6
452	тех же	1	6
453	этого слова	4	6
454	друг друга	1	6
455	принадлежит к	3	6
456	свидетельствует о	1	6
457	от мира	1	6
458	остановимся на	1	6
459	xix веке	1	6
460	ее в	2	6
461	в искусстве	9	6
462	входит в	4	6
463	в xix	1	6
464	таким же	1	6
465	с собой	1	5
466	к самому	1	5
467	сливается с	1	5
468	раз и	1	5
469	жизни он	1	5
470	с другими	6	5
471	вокруг себя	1	5
472	с одним	1	5
473	в ряду	1	5
474	не могла	1	5
475	перед лицом	2	5
476	в историческом	1	5
477	этой системе	2	5
478	одного и	4	5
479	на первом	1	5
480	и дает	1	5
481	в другой	1	5
482	значения и	2	5
483	бы не	1	5
484	ему и	1	5
485	на основе	2	5
486	из его	1	5
487	каждый из	1	5
488	и ценностями	1	5
489	но прежде	1	5
490	не во	1	5
491	мы имеем	7	5
492	слово в	1	5
493	тем более	2	5
494	ему не	1	5
495	имен и	1	5
496	в акте	3	5
497	есть не	1	5
498	тем самым	6	5
499	же самое	1	5
500	на то	1	5
501	настоящего времени	1	5
502	дело здесь	1	5
503	и конец	1	5
504	можно говорить	1	5
505	его за	1	5
506	в первом	2	5
507	но самое	1	5
508	в собственном	1	5
509	шире и	1	5
510	имеет в	2	5
511	во многих	1	5
512	говорит что	2	5
513	не вполне	2	5
514	с этими	1	5
515	входят в	1	5
516	то в	2	5
517	свобода и	1	5
518	от его	1	5
519	на язык	1	5
520	первом случае	1	5
521	должно быть	1	5
522	в произведении	3	5
523	ни было	2	5
524	и сама	1	5
525	всех и	2	5
526	между этими	1	5
527	же как	1	5
528	и вещи	1	5
529	последней главе	1	5
530	мире и	2	5
531	совсем не	1	5
532	между жизнью	1	5
533	но только	1	5
534	на отдельные	1	5
535	начало и	1	5
536	независимо от	1	5
537	во втором	3	5
538	человеческое тело	1	5
539	первых двух	1	5
540	мы в	2	5
541	так называемый	1	5
542	в слове	4	5
543	своей жизни	2	5
544	себя и	2	5
545	не является	5	5
546	автора и	2	5
547	если мы	2	5
548	с нею	1	5
549	к миру	1	5
550	включая и	1	5
551	проникает в	1	5
552	мире в	1	5
553	должен был	1	5
554	места в	1	5
555	жизнью в	1	5
556	к своему	2	5
557	по его	1	5
558	стороны и	1	5
559	только то	1	5
560	вступают в	1	5
561	слова в	4	5
562	и только	1	5
563	таковы например	2	4
564	я не	2	4
565	и само	1	4
566	все моменты	1	4
567	при анализе	1	4
568	в действительности	1	4
569	ничто не	1	4
570	втором случае	1	4
571	ее как	1	4
572	в контексте	3	4
573	места для	2	4
574	нигде не	1	4
575	что даже	1	4
576	о его	2	4
577	время и	1	4
578	и некоторые	2	4
579	особенности в	1	4
580	действительности и	1	4
581	в каждом	1	4
582	о себе	2	4
583	в современных	1	4
584	в тарасе	2	4
585	одно и	2	4
586	как один	1	4
587	ту сторону	1	4
588	когда они	1	4
589	обратимся к	1	4
590	бы ни	1	4
591	не случайно	5	4
592	чтобы не	2	4
593	если в	2	4
594	также что	1	4
595	речи как	1	4
596	оно не	2	4
597	с некоторыми	1	4
598	самим собой	4	4
599	в словах	1	4
600	он мог	1	4
601	не входит	2	4
602	это мир	1	4
603	и больше	2	4
604	тарасе бульбе	2	4
605	смех это	1	4
606	в концепции	1	4
607	языка но	1	4
608	но если	1	4
609	он должен	3	4
610	ее на	1	4
611	картина мира	6	4
612	оно и	1	4
613	в организации	3	4
614	только и	2	4
615	одну из	2	4
616	при всем	2	4
617	мира с	2	4
618	строя и	1	4
619	рассказ о	2	4
620	не так	1	4
621	дело с	1	4
622	однако и	1	4
623	это игра	1	4
624	по себе	2	4
625	принадлежат к	1	4
626	стороны в	1	4
627	этого мира	1	4
628	самом начале	2	4
629	который в	2	4
630	к языку	1	4
631	и становится	1	4
632	только не	3	4
633	она и	1	4
634	чем на	1	4
635	и притом	3	4
636	также в	1	4
637	его жизни	1	4
638	границ между	2	4
639	точек зрения	1	4
640	грани между	1	4
641	в уста	1	4
642	или же	1	4
643	так называемые	1	4
644	и тем	5	4
645	кажется что	1	4
646	и существенно	2	4
647	других языков	1	4
648	не по	1	4
649	друг другу	1	4
650	заключается в	2	4
651	всех сторон	1	4
652	это ощущение	1	4
653	здесь также	1	4
654	в культуре	3	4
655	имеет дело	2	4
656	свою жизнь	2	4
657	в область	1	4
658	сама жизнь	1	4
659	и вполне	1	4
660	с мотивом	1	4
661	в известном	2	4
662	будущее в	1	4
663	из тех	2	4
664	со всех	1	4
665	не должно	1	4
666	самое существенное	1	4
667	не могло	2	4
668	значение для	1	4
669	делает его	2	4
670	эти последние	1	4
671	ее не	1	4
672	характерное для	1	4
673	литературе в	1	4
674	но их	3	4
675	это особенно	1	4
676	игра с	2	4
677	такое же	1	4
678	убийства и	1	4
679	из своих	1	4
680	на которой	1	4
681	по ту	1	4
682	и где	1	4
683	говорят о	1	4
684	в третьем	1	4
685	как ее	1	4
686	для которого	1	4
687	единство и	1	4
688	целого и	1	4
689	это явление	1	4
690	художественная литература	1	4
691	самого автора	1	4
692	быть и	2	4
693	что касается	1	4
694	карнавального смеха	1	4
695	говоря о	3	4
696	что из	1	4
697	у нее	1	4
698	на это	1	4
699	в отдельности	1	4
700	свою речь	1	4
701	с которой	1	3
702	типа как	1	3
703	в которую	1	3
704	какой бы	1	3
705	переходит к	1	3
706	это тот	1	3
707	как об	1	3
708	в новую	1	3
709	особый язык	1	3
710	мира это	1	3
711	и другим	1	3
712	же точно	1	3
713	по своим	1	3
714	индивидуальной жизни	1	3
715	платона и	1	3
716	не всегда	2	3
717	и книги	1	3
718	положений и	1	3
719	в эпосе	1	3
720	с вещами	1	3
721	в прошлом	1	3
722	и формы	1	3
723	ключ к	2	3
724	тем как	1	3
725	которой в	1	3
726	ближе к	1	3
727	бы то	2	3
728	до минимума	1	3
729	глубокий и	1	3
730	ее можно	1	3
731	которого он	1	3
732	а с	3	3
733	знал и	1	3
734	остается в	1	3
735	тому что	2	3
736	и исторической	1	3
737	и произведения	1	3
738	не есть	1	3
739	между собой	3	3
740	как ряд	1	3
741	а для	2	3
742	контакт между	1	3
743	и мир	1	3
744	приобщение к	1	3
745	опираясь на	1	3
746	в лучшем	1	3
747	и весьма	2	3
748	не будет	3	3
749	могла бы	2	3
750	как человек	1	3
751	в систему	1	3
752	и конечно	1	3
753	образа и	1	3
754	говорит и	3	3
755	содержит в	1	3
756	они несут	1	3
757	имеет место	3	3
758	и строго	1	3
759	от своего	2	3
760	смысла и	1	3
761	является одним	1	3
762	приводит к	6	3
763	вследствие этого	2	3
764	в каком	2	3
765	области литературы	1	3
766	и наиболее	1	3
767	в мир	1	3
768	было и	1	3
769	на две	3	3
770	утрачивает свою	1	3
771	в произведениях	2	3
772	персонажей в	1	3
773	и такой	1	3
774	то ни	2	3
775	при всей	2	3
776	внешнем мире	2	3
777	себя самого	1	3
778	части романа	1	3
779	когда же	1	3
780	это всегда	1	3
781	для других	1	3
782	на нее	1	3
783	иной раз	1	3
784	со своей	4	3
785	именно эта	1	3
786	в каждой	1	3
787	этих двух	2	3
788	к одному	2	3
789	ко второму	1	3
790	она не	1	3
791	в речевом	1	3
792	и может	1	3
793	о своих	1	3
794	природой и	1	3
795	сознания в	2	3
796	и весело	1	3
797	которая в	2	3
798	граница между	1	3
799	нашем примере	1	3
800	и другими	1	3
801	не бывает	1	3
802	из нее	1	3
803	особое отношение	1	3
804	начинается с	1	3
805	вещей в	1	3
806	в одно	2	3
807	не что	1	3
808	в художественном	5	3
809	жизни на	2	3
810	они создают	1	3
811	во внешнем	2	3
812	не существует	1	3
813	изобразительных искусств	1	3
814	между двумя	3	3
815	в глаза	2	3
816	особенно для	1	3
817	духа и	1	3
818	те и	1	3
819	большей степени	1	3
820	него не	1	3
821	войны и	1	3
822	и возможности	1	3
823	что иное	1	3
824	ведущая роль	1	3
825	и через	1	3
826	свободы и	1	3
827	в полной	1	3
828	говорит в	2	3
829	что его	1	3
830	узком и	1	3
831	и того	4	3
832	человек в	1	3
833	всем своем	1	3
834	именно потому	1	3
835	дистанции между	1	3
836	действующих лиц	1	3
837	этом смысле	3	3
838	они могут	1	3
839	это своего	2	3
840	это ни	1	3
841	в силу	4	3
842	в точке	3	3
843	дает ему	1	3
844	это первый	1	3
845	за ним	1	3
846	на празднике	1	3
847	есть для	1	3
848	из того	1	3
849	разного рода	1	3
850	смыслу и	1	3
851	целом ряде	1	3
852	собой и	1	3
853	с ней	1	3
854	в наших	1	3
855	мы говорим	1	3
856	со стороны	6	3
857	друг от	1	3
858	всей своей	2	3
859	которая не	1	3
860	ни к	3	3
861	совершенно иной	2	3
862	и четвертой	1	3
863	или иных	3	3
864	и находит	1	3
865	ногами и	2	3
866	есть такое	1	3
867	всякий раз	2	3
868	всего к	1	3
869	в понимании	1	3
870	значении в	1	3
871	жизни но	2	3
872	вокруг него	2	3
873	в поэзии	2	3
874	не для	1	3
875	что каждый	2	3
876	от друга	1	3
877	становления и	1	3
878	указывает на	1	3
879	и последующих	1	3
880	является не	1	3
881	идет не	1	3
882	времени то	1	3
883	нее нет	1	3
884	тех или	3	3
885	вырождается в	1	3
886	он это	1	3
887	воспринимаются как	1	3
888	эти два	1	3
889	эта сторона	1	3
890	даже при	1	3
891	лежат в	1	3
892	на уровне	2	3
893	для обозначения	2	3
894	которое в	1	3
895	именно это	1	3
896	и совершенно	1	3
897	иное как	1	3
898	котором он	1	3
899	с которыми	1	2
900	более не	2	2
901	характера как	1	2
902	с иными	2	2
903	без исключения	4	2
904	относительность всего	1	2
905	с самим	1	2
906	на смену	7	2
907	чтобы в	1	2
908	на свою	2	2
909	конечном счете	6	2
910	литературе как	1	2
911	этого типа	1	2
912	вещи в	1	2
913	они ни	1	2
914	или ином	1	2
915	последних двух	1	2
916	себя свою	1	2
917	от внешней	1	2
918	ними и	2	2
919	все и	1	2
920	культуры не	1	2
921	языка в	4	2
922	своей природе	3	2
923	и иных	2	2
924	строго говоря	2	2
925	с избытком	1	2
926	образом что	1	2
927	для своей	1	2
928	от своей	1	2
929	на новую	1	2
930	и себя	1	2
931	из наиболее	1	2
932	на сцене	1	2
933	коем случае	2	2
934	в отдельных	1	2
935	как традиция	1	2
936	его естественной	1	2
937	на вопрос	2	2
938	глядя на	1	2
939	и временных	1	2
940	мышления и	3	2
941	первого из	1	2
942	но из	1	2
943	миропорядка и	3	2
944	так он	1	2
945	но от	2	2
946	в конечном	6	2
947	ни от	1	2
948	родного дома	1	2
949	здесь явственно	1	2
950	он оказывается	2	2
951	и непосредственное	1	2
952	даль и	2	2
953	в двух	1	2
954	в сторону	3	2
955	человек как	1	2
956	в разбираемом	1	2
957	на чем	1	2
958	одним словом	1	2
959	и является	2	2
960	главного героя	1	2
961	своего значения	1	2
962	отрешиться от	1	2
963	он уже	1	2
964	текст в	4	2
965	жизни а	2	2
966	которой не	1	2
967	существенным образом	1	2
968	теперь в	1	2
969	из существеннейших	1	2
970	и делает	1	2
971	или к	1	2
972	том и	1	2
973	акта в	1	2
974	и первый	1	2
975	которому принадлежит	1	2
976	тем и	1	2
977	фамильярный контакт	1	2
978	героев и	1	2
979	различие между	1	2
980	характерна для	1	2
981	нет в	1	2
982	выступает как	1	2
983	первых десятилетий	1	2
984	к нашему	2	2
985	но у	1	2
986	вся она	1	2
987	и поэтому	1	2
988	художественной литературы	1	2
989	узком значении	2	2
990	на которые	1	2
991	за пределами	5	2
992	этом так	1	2
993	языка а	1	2
994	характерные для	1	2
995	именно к	1	2
996	этом случае	1	2
997	последующих частях	2	2
998	рода и	2	2
999	что одна	1	2
1000	существенно связаны	1	2
1001	же явления	1	2
1002	способность к	2	2
1003	в первую	1	2
1004	смысл этой	1	2
1005	поэтому оно	1	2
1006	теми же	1	2
1007	реальной действительности	1	2
1008	однако по	1	2
1009	в резком	1	2
1010	бы быть	1	2
1011	долгое время	1	2
1012	что ж	1	2
1013	и высшей	1	2
1014	и я	1	2
1015	в такой	1	2
1016	встречаются в	1	2
1017	не все	3	2
1018	основе его	1	2
1019	перед тем	1	2
1020	о трагическом	1	2
1021	прямо как	1	2
1022	части и	1	2
1023	не с	3	2
1024	и жизни	1	2
1025	живота и	1	2
1026	исторического человека	1	2
1027	могло быть	2	2
1028	статье о	1	2
1029	человеческих отношений	2	2
1030	для такого	2	2
1031	может показаться	1	2
1032	и иронии	1	2
1033	может и	2	2
1034	если она	1	2
1035	в руке	1	2
1036	в готовом	1	2
1037	и свободы	1	2
1038	его лице	1	2
1039	почву для	1	2
1040	случае в	1	2
1041	человеческой жизни	3	2
1042	к числу	2	2
1043	в следующих	1	2
1044	проникновения в	1	2
1045	одному из	1	2
1046	в какой	2	2
1047	быть может	1	2
1048	а и	5	2
1049	где образ	1	2
1050	на свой	1	2
1051	можно даже	1	2
1052	по мысли	3	2
1053	если он	1	2
1054	том или	1	2
1055	дома и	2	2
1056	языка на	2	2
1057	и внутренней	1	2
1058	отличается от	2	2
1059	речь идет	2	2
1060	вслед за	3	2
1061	мир как	1	2
1062	тем в	2	2
1063	полноте и	1	2
1064	имея в	1	2
1065	и внешнее	1	2
1066	языков в	1	2
1067	всего что	1	2
1068	этот язык	1	2
1069	сын и	1	2
1070	за него	1	2
1071	за его	1	2
1072	это отношение	3	2
1073	очень существенных	1	2
1074	все без	1	2
1075	в груди	1	2
1076	эта система	1	2
1077	обращенной к	1	2
1078	и внешней	3	2
1079	от ее	1	2
1080	на почве	5	2
1081	к различным	1	2
1082	ряд произведений	1	2
1083	не принадлежит	2	2
1084	собой в	1	2
1085	второй план	1	2
1086	стихотворение в	1	2
1087	чем у	1	2
1088	что такое	2	2
1089	полной мере	1	2
1090	тайны и	1	2
1091	не от	2	2
1092	и развития	1	2
1093	из уст	1	2
1094	все виды	1	2
1095	а только	4	2
1096	это тоже	2	2
1097	наивной и	1	2
1098	в пьесе	1	2
1099	от окружающих	1	2
1100	значительное место	1	2
1101	две стороны	1	2
1102	это по	1	2
1103	для установления	1	2
1104	ни одно	1	2
1105	в комедии	1	2
1106	в разрушении	1	2
1107	но без	1	2
1108	что может	2	2
1109	общего с	1	2
1110	это делает	2	2
1111	с совершенно	1	2
1112	время эти	1	2
1113	он показывает	1	2
1114	в образы	1	2
1115	традиции как	1	2
1116	в пространстве	2	2
1117	обращается к	2	2
1118	себе самом	1	2
1119	в состав	6	2
1120	произведение и	1	2
1121	и свою	1	2
1122	вытесненные из	1	2
1123	этих моментов	1	2
1124	его с	1	2
1125	каждый такой	2	2
1126	же образом	1	2
1127	одном и	1	2
1128	внутреннюю свободу	2	2
1129	в единстве	1	2
1130	силе и	1	2
1131	если не	1	2
1132	не более	1	2
1133	до этого	1	2
1134	и чрезвычайно	1	2
1135	и действительно	1	2
1136	носа в	1	2
1137	здесь выступает	1	2
1138	одним и	1	2
1139	время оно	1	2
1140	можно охарактеризовать	2	2
1141	совпадает с	4	2
1142	укажем на	1	2
1143	бы карнавал	1	2
1144	в итоге	3	2
1145	две части	1	2
1146	стиля то	1	2
1147	о своем	2	2
1148	действия и	1	2
1149	раскрывает нам	1	2
1150	соответствии с	2	2
1151	и служит	1	2
1152	мог бы	3	2
1153	при котором	2	2
1154	лишь один	2	2
1155	мира где	1	2
1156	границы и	1	2
1157	со словом	1	2
1158	из участников	1	2
1159	отречение от	1	2
1160	взгляде на	1	2
1161	только о	2	2
1162	общения между	2	2
1163	характерных для	1	2
1164	так с	1	2
1165	многих других	1	2
1166	в коем	2	2
1167	сознания и	1	2
1168	как ни	1	2
1169	средств и	1	2
1170	а о	1	2
1171	же по	1	2
1172	этом что	2	2
1173	не тот	1	2
1174	случае не	2	2
1175	ею же	1	2
1176	мира а	1	2
1177	фольклора и	1	2
1178	эти стороны	1	2
1179	о каком	1	2
1180	известном смысле	2	2
1181	может иметь	1	2
1182	что от	1	2
1183	только к	1	2
1184	свободы но	2	2
1185	она здесь	1	2
1186	слова с	1	2
1187	есть как	2	2
1188	значений и	1	2
1189	таких случаях	2	2
1190	время они	1	2
1191	всей его	2	2
1192	проникнута вся	1	2
1193	еще на	1	2
1194	тот кто	2	2
1195	при таком	1	2
1196	себе самому	1	2
1197	ее содержание	1	2
1198	если на	1	2
1199	ни был	2	2
1200	в грубом	1	2
1201	дело обстоит	1	2
1202	или точнее	1	2
1203	говорит не	1	2
1204	совершается в	1	2
1205	к действительности	3	1
1206	всеми людьми	1	1
1207	в душе	9	1
1208	переживаемый в	1	1
1209	он обнаруживает	1	1
1210	для меня	2	1
1211	жизнь но	1	1
1212	ему о	1	1
1213	а у	1	1
1214	образа в	1	1
1215	является в	1	1
1216	оно становится	1	1
1217	в последние	1	1
1218	к реальному	1	1
1219	особенно если	1	1
1220	как было	1	1
1221	языка этот	1	1
1222	стоит в	1	1
1223	по пути	4	1
1224	одновременно не	1	1
1225	от одного	1	1
1226	такими же	1	1
1227	на примере	1	1
1228	героя как	2	1
1229	им по	1	1
1230	как смысл	1	1
1231	пусть это	1	1
1232	своей роли	2	1
1233	надежды не	1	1
1234	из всего	1	1
1235	не поверить	1	1
1236	как целому	1	1
1237	лично для	2	1
1238	развития но	1	1
1239	я от	1	1
1240	др так	1	1
1241	он стоит	1	1
1242	в соответствии	3	1
1243	жизнь на	2	1
1244	отношений не	1	1
1245	незаметно для	1	1
1246	всем его	1	1
1247	после его	1	1
1248	первый взгляд	1	1
1249	мире это	2	1
1250	одного текста	2	1
1251	носа у	1	1
1252	она же	1	1
1253	и комедия	1	1
1254	вопрос о	1	1
1255	чувство же	1	1
1256	отвечая на	1	1
1257	служит для	1	1
1258	их восприятия	1	1
1259	на рынок	1	1
1260	смерти но	1	1
1261	она названа	1	1
1262	она могла	1	1
1263	другу и	1	1
1264	представляет собой	13	1
1265	являются только	1	1
1266	даже самых	1	1
1267	а всего	3	1
1268	воображения или	1	1
1269	быть названо	2	1
1270	существенная сторона	1	1
1271	а между	1	1
1272	которому впервые	1	1
1273	внешней формой	1	1
1274	времени его	1	1
1275	области эстетической	1	1
1276	аспекте его	1	1
1277	поэтому у	1	1
1278	области художественного	1	1
1279	жизнью но	1	1
1280	отдельности и	1	1
1281	нас на	1	1
1282	на себе	1	1
1283	затем в	1	1
1284	по которым	1	1
1285	и писать	1	1
1286	над этим	1	1
1287	игру в	1	1
1288	представляется более	1	1
1289	это будущее	1	1
1290	жизни за	1	1
1291	не два	1	1
1292	понятие о	3	1
1293	нет никаких	1	1
1294	и большим	1	1
1295	которая характерна	1	1
1296	чем это	2	1
1297	писал в	1	1
1298	перед нею	1	1
1299	или иным	4	1
1300	мир все	2	1
1301	его мира	1	1
1302	нами не	1	1
1303	под маской	1	1
1304	могут нести	1	1
1305	юности и	1	1
1306	только отдельные	1	1
1307	в единое	3	1
