N	2gram	Savitsky_P	StatiiOP
142	не все	1	7
143	одно из	1	6
144	в жизни	2	6
145	говорить о	2	6
146	же как	1	6
147	этом смысле	1	6
148	в себе	3	6
149	и здесь	1	6
150	в известном	1	6
151	тем же	1	6
152	с его	1	6
153	что с	1	6
154	мы не	3	6
155	ни на	1	6
156	и я	1	6
157	должен быть	1	6
158	этих двух	1	6
159	за то	1	6
160	не как	1	5
161	давно уже	1	5
162	одной стороны	3	5
163	во многих	1	5
164	что именно	1	5
165	никакого сомнения	1	5
166	с одной	3	5
167	хотя и	3	5
168	его в	1	5
169	не о	2	5
170	на себя	1	5
171	что не	1	5
172	сомнения что	2	5
173	возможно что	1	5
174	столь же	3	5
175	и который	1	5
176	должна быть	1	5
177	конечно и	1	5
178	судить по	1	5
179	думать что	2	5
180	и если	4	5
181	отношении к	5	5
182	в творчестве	1	5
183	на нее	1	5
184	и потому	4	5
185	и только	1	5
186	что было	1	4
187	и другие	1	4
188	только что	1	4
189	в применении	1	4
190	и без	3	4
191	из двух	1	4
192	что по	1	4
193	культуры в	2	4
194	в выборе	2	4
195	казалось бы	1	4
196	применении к	1	4
197	во времена	1	4
198	или иным	1	4
199	мы видим	1	4
200	и эти	1	4
201	xviii века	1	4
202	представляют собою	1	4
203	и именно	1	4
204	одна из	2	4
205	в свете	1	4
206	в смысле	6	4
207	но как	1	4
208	в развитии	1	4
209	литературы и	1	4
210	с которым	1	4
211	которые были	1	4
212	с о	2	4
213	если в	2	4
214	сами по	3	4
215	они не	1	4
216	в наших	1	4
217	связанные с	1	4
218	да и	2	4
219	поэзии и	1	4
220	бы и	1	4
221	более чем	2	4
222	в значительной	2	4
223	связана с	1	4
224	как известно	1	4
225	тех пор	1	4
226	что оно	1	4
227	и всегда	1	4
228	более что	1	4
229	есть в	2	4
230	стремление к	1	4
231	г а	1	4
232	нисколько не	1	4
233	еще в	1	4
234	что его	1	4
235	в эпоху	1	4
236	для этого	1	4
237	но для	1	4
238	е с	6	3
239	является в	2	3
240	а затем	1	3
241	или иной	1	3
242	чтобы в	1	3
243	более или	1	3
244	из нее	1	3
245	работы в	1	3
246	в одно	1	3
247	смысл этого	1	3
248	к этой	1	3
249	представляет собой	1	3
250	во всей	2	3
251	которой в	1	3
252	каком смысле	1	3
253	что при	1	3
254	бы что	1	3
255	является и	1	3
256	не очень	1	3
257	можно судить	1	3
258	я и	3	3
259	также в	1	3
260	в других	1	3
261	особенно в	1	3
262	формы в	1	3
263	многих случаях	1	3
264	не могла	1	3
265	тем и	1	3
266	к первому	1	3
267	известном смысле	1	3
268	о русском	1	3
269	что во	1	3
270	нет сомнения	1	3
271	от нее	1	3
272	тогда когда	1	3
273	не были	1	3
274	представляют собой	1	3
275	вот как	1	3
276	бы ни	2	3
277	оказывается в	1	3
278	отношения к	2	3
279	который не	1	3
280	о котором	1	3
281	и и	2	3
282	на основе	1	3
283	и вся	1	3
284	россии в	5	3
285	на основании	1	3
286	кто был	1	3
287	русский народ	2	3
288	как к	1	3
289	но на	1	3
290	может не	1	3
291	том числе	2	3
292	в русском	2	3
293	них и	1	3
294	и как	3	3
295	или менее	1	3
296	пр в	1	3
297	она не	1	3
298	в трех	1	3
299	что из	2	3
300	и ее	1	3
301	и других	2	3
302	к л	3	3
303	не к	2	3
304	и уже	1	3
305	эту эпоху	1	2
306	мы и	1	2
307	в момент	1	2
308	тех кто	4	2
309	из всех	1	2
310	с величайшим	1	2
311	какой бы	1	2
312	что то	1	2
313	те же	1	2
314	в живом	1	2
315	это такое	1	2
316	мысль о	2	2
317	в сборнике	1	2
318	отношением к	1	2
319	одновременно и	1	2
320	в обстановке	7	2
321	ли не	1	2
322	говорится о	1	2
323	тем в	1	2
324	на этой	1	2
325	темы и	1	2
326	было в	2	2
327	на какие	1	2
328	точное воспроизведение	1	2
329	на пути	4	2
330	связь между	1	2
331	более раннего	1	2
332	всего что	1	2
333	п о	5	2
334	и еще	1	2
335	настоящее время	1	2
336	но к	2	2
337	именно на	1	2
338	х и	2	2
339	бы это	1	2
340	в движении	1	2
341	сравнении с	3	2
342	время в	2	2
343	мы знаем	1	2
344	в определенную	2	2
345	так было	1	2
346	как по	1	2
347	до тех	1	2
348	под его	1	2
349	в последние	2	2
350	сказалось в	1	2
351	и теми	1	2
352	но каждый	1	2
353	чтобы понять	1	2
354	к историческому	1	2
355	меча и	1	2
356	и критика	1	2
357	вообще можно	1	2
358	где в	2	2
359	в иных	1	2
360	которого в	1	2
361	и философской	1	2
362	что есть	1	2
363	л и	4	2
364	бы эти	1	2
365	с ее	1	2
366	в число	1	2
367	были бы	1	2
368	в сочетании	2	2
369	с и	1	2
370	всей полноте	1	2
371	и при	1	2
372	никак не	2	2
373	и народной	1	2
374	для них	2	2
375	о в	5	2
376	по преимуществу	1	2
377	свидетельство о	1	2
378	и среди	1	2
379	наших глазах	1	2
380	и теперь	1	2
381	что если	1	2
382	в которую	2	2
383	ни были	1	2
384	это имеет	1	2
385	было и	1	2
386	в отличие	1	2
387	ответа на	1	2
388	далеко не	1	2
389	верить что	1	2
390	факты в	1	2
391	в настоящее	1	2
392	исключительно в	2	2
393	тот же	3	2
394	с того	1	2
395	но есть	1	2
396	чуть ли	1	2
397	из этой	1	2
398	не означает	1	2
399	одних и	2	2
400	и вот	2	2
401	г о	4	2
402	и этим	1	2
403	что русская	1	2
404	где он	1	2
405	в русскую	2	2
406	этом не	1	2
407	как она	1	2
408	иной раз	1	2
409	бы мы	1	2
410	в ином	1	2
411	совершенно ясно	1	2
412	и тех	1	2
413	что от	1	2
414	только к	1	2
415	в полной	2	2
416	глаза на	1	2
417	отличие от	1	2
418	в наши	1	2
419	пор пока	1	2
420	нужно было	2	2
421	в пределах	8	2
422	тем самым	3	2
423	россии и	4	2
424	в рамках	1	2
425	числе и	1	2
426	пути к	1	2
427	в эти	1	2
428	л а	2	2
429	по размеру	1	2
430	котором говорит	1	1
431	мы можем	1	1
432	они являются	1	1
433	был и	1	1
434	сам как	1	1
435	можно говорить	1	1
436	чтобы дать	1	1
437	живого и	1	1
438	по всему	1	1
439	вопросу о	1	1
440	не исключает	1	1
441	рассматривать с	1	1
442	первый вариант	1	1
443	истории была	1	1
444	мысли и	1	1
445	бы неправильно	1	1
446	iii в	2	1
447	например с	1	1
448	с европой	1	1
449	что народ	1	1
450	с собой	1	1
451	в рамки	1	1
452	этой последней	1	1
453	вопрос об	1	1
454	их не	1	1
455	люди и	1	1
456	в борьбе	1	1
457	к русскому	1	1
458	а она	1	1
459	и злой	1	1
460	именно о	1	1
461	к более	1	1
462	если он	1	1
463	и другим	1	1
464	силы они	1	1
465	к народу	1	1
466	моста и	1	1
467	в собственном	1	1
468	и внутренне	1	1
469	оказаться в	1	1
470	духа в	1	1
471	притом в	1	1
472	в порядке	3	1
473	и петербург	1	1
474	внимание к	1	1
475	в сочетание	1	1
476	последующих годов	1	1
477	в ряду	2	1
478	вне рамок	1	1
479	р и	6	1
480	и политического	4	1
481	очень и	1	1
482	россию и	1	1
483	в деревенское	1	1
484	интересов и	1	1
485	почти исключительно	1	1
486	в русских	1	1
487	бы из	1	1
488	значительной мере	2	1
489	пусть в	1	1
490	н с	2	1
491	об отношении	1	1
492	только на	1	1
493	борьбе с	1	1
494	не вполне	1	1
495	как оно	1	1
496	два направления	1	1
497	ii в	2	1
498	в прошлом	1	1
499	к ним	1	1
500	ней и	1	1
501	пути который	1	1
502	величайшим трудом	1	1
503	наряду с	3	1
504	смысле не	1	1
505	н н	3	1
506	находится в	1	1
507	без того	1	1
508	русской литературы	1	1
509	и ранее	1	1
510	когда в	1	1
511	были в	1	1
512	чем шире	1	1
513	широкой и	1	1
514	себя в	1	1
515	она ни	2	1
516	востока и	1	1
517	представить себе	1	1
518	века как	1	1
519	и россия	1	1
520	в годы	1	1
521	политического и	1	1
522	что каждая	1	1
523	очень далеко	1	1
524	можно думать	1	1
525	у каждого	1	1
526	именно как	2	1
527	начала и	2	1
528	оставить без	1	1
529	в с	4	1
530	идеи идея	1	1
531	есть с	1	1
532	иными словами	1	1
533	сколько бы	2	1
534	упреков в	1	1
535	что составляет	1	1
536	и притом	1	1
537	из важнейших	2	1
538	прежде чем	1	1
539	раскрывается в	1	1
540	которое в	2	1
541	о н	3	1
542	не благодаря	1	1
543	на заре	1	1
544	следует понимать	1	1
545	по одному	1	1
546	большинстве случаев	1	1
547	всеми его	1	1
548	они как	1	1
549	но нужно	1	1
550	к россии	1	1
551	века в	1	1
552	где уже	1	1
553	в себя	1	1
554	точек зрения	2	1
555	непременно и	1	1
556	в а	2	1
557	и м	1	1
558	в традицию	1	1
559	к истине	1	1
560	и быть	1	1
561	как факт	2	1
562	в исторической	1	1
563	поэтики в	1	1
564	западная европа	1	1
565	бы она	1	1
566	москва и	2	1
567	при отсутствии	1	1
568	и з	2	1
569	именно потому	1	1
570	по размерам	1	1
571	не верить	1	1
572	европы в	1	1
573	россии из	4	1
574	последние годы	1	1
575	одно и	1	1
576	xiii в	2	1
577	иная форма	1	1
578	в современной	1	1
579	по стилю	1	1
580	над ним	1	1
581	осуществлены только	1	1
582	того кто	1	1
583	они несомненно	1	1
584	не поможет	1	1
585	тот или	1	1
586	может отличаться	1	1
587	исторические процессы	1	1
588	друг другу	2	1
589	что жизнь	1	1
590	и г	2	1
591	и есть	2	1
592	в некотором	1	1
593	в силу	2	1
594	в смене	1	1
595	бы оно	1	1
596	есть некоторое	1	1
597	суждения об	1	1
598	с с	2	1
599	ее культуры	1	1
600	которая и	1	1
601	вопросом о	1	1
602	теми кто	1	1
603	собственном смысле	1	1
604	м а	2	1
605	того чем	1	1
606	в перспективе	2	1
607	к о	4	1
608	них в	1	1
609	такова же	1	1
610	в случаях	1	1
611	н и	8	1
612	в основном	1	1
613	исходить из	1	1
614	вполне и	1	1
615	тьма в	1	1
616	хх века	2	1
617	г е	1	1
618	что называют	1	1
619	два основных	1	1
620	понимать что	1	1
621	в действии	1	1
622	зрения той	1	1
623	ч в	1	1
624	а л	4	1
625	творчества и	2	1
626	стороны следуя	1	1
627	этого процесса	1	1
628	можно дать	1	1
629	чем как	1	1
630	на территории	1	1
631	и силы	1	1
632	мир от	1	1
633	есть нечто	2	1
634	для каждого	1	1
635	недостаточно для	1	1
636	сравнению с	1	1
637	нет ничего	1	1
638	на россию	1	1
639	ни к	1	1
640	должно быть	2	1
641	о положении	1	1
642	гораздо большей	4	1
643	сейчас является	1	1
644	т а	2	1
645	важнее всего	1	1
646	времени эта	1	1
647	чем то	1	1
648	в иной	1	1
649	вв но	1	1
650	обстановке в	1	1
651	только один	1	1
652	но о	2	1
653	и духовные	1	1
654	вопроса и	1	1
655	и любовью	1	1
656	л е	2	1
657	каждый из	1	1
658	духовные ценности	1	1
659	н а	10	1
660	переход от	2	1
661	в делах	1	1
662	на две	1	1
663	наука и	1	1
664	если мы	1	1
665	когда и	1	1
666	но некоторое	1	1
667	в определенном	1	1
668	теорию исторического	1	1
669	бы как	1	1
670	в северной	2	1
671	относиться к	1	1
672	и ц	2	1
673	весьма мало	2	1
674	пути сближения	1	1
675	движение масс	1	1
676	это значение	1	1
677	где бы	2	1
678	не одну	1	1
679	друг друга	1	1
680	современности и	1	1
681	могут дать	1	1
682	приближением к	1	1
683	обратиться к	1	1
684	к началу	2	1
685	знать что	2	1
686	эта не	1	1
687	не будем	2	1
688	к соединению	1	1
689	к исторически	1	1
690	в формах	1	1
691	и наоборот	1	1
692	лиц и	1	1
693	с т	4	1
694	нашей страны	1	1
695	будем знать	1	1
696	и первое	1	1
697	с ними	3	1
698	xviii и	1	1
699	идут от	1	1
700	и где	1	1
701	и которая	1	1
702	исторической действительности	1	1
703	ф о	1	1
704	история и	1	1
705	склонность к	1	1
706	к жизни	1	1
707	простор для	1	1
708	случаях когда	1	1
709	святая русь	1	1
710	на фоне	1	1
711	своего существования	1	1
712	это но	1	1
713	значение которого	1	1
714	половины xix	1	1
715	в условиях	1	1
716	связаны с	1	1
717	тем чем	1	1
718	каково же	1	1
719	тяготеет к	1	1
720	при посредстве	2	1
721	усомниться в	1	1
722	выражению не	1	1
723	церкви и	2	1
724	русской культуры	1	1
725	собою как	1	1
726	его другим	1	1
727	индивидуальной личности	1	1
728	е и	3	1
729	образ россии	2	1
730	развитием россии	1	1
731	материалы и	1	1
732	на пространстве	1	1
733	культуры ее	1	1
734	не с	1	1
735	есть и	1	1
736	власть и	1	1
737	стороны и	2	1
738	о л	1	1
739	только то	1	1
740	по сравнению	2	1
741	в большинстве	1	1
742	идет речь	1	1
743	рассматривать как	1	1
744	россии как	3	1
745	же в	4	1
746	том виде	1	1
747	законченные и	1	1
748	говорить об	1	1
749	все еще	1	1
750	поэзии с	1	1
751	само по	1	1
752	есть не	2	1
753	а н	5	1
754	а я	5	1
