N	2gram	Losev_Vlad	SlovoVZh
188	его как	2	2
189	не есть	4	2
190	с другими	1	2
191	до конца	8	2
192	в своем	10	2
193	за его	1	2
194	в какой	1	2
195	вместе с	9	2
196	между ними	2	2
197	место в	2	2
198	к его	5	2
199	настоящее время	2	2
200	лежит на	1	2
201	в атмосфере	1	2
202	и так	3	2
203	до известной	1	2
204	с его	15	2
205	себя и	1	2
206	на все	3	2
207	его к	3	2
208	известной степени	2	2
209	к этому	11	2
210	он не	13	2
211	независимо от	1	2
212	жизни если	1	2
213	в чем	4	2
214	в настоящее	2	2
215	и совершенно	2	2
216	но мы	3	2
217	едва ли	3	2
218	ничего не	4	2
219	жизнью и	1	2
220	все в	1	1
221	и мир	1	1
222	хорошо и	2	1
223	уже сказали	2	1
224	в русской	1	1
225	на которую	1	1
226	к одному	1	1
227	остается в	1	1
228	жизнь и	3	1
229	было на	1	1
230	то в	6	1
231	же деле	1	1
232	во всяком	8	1
233	от него	3	1
234	в стиле	1	1
235	это и	2	1
236	что они	4	1
237	его и	2	1
238	и теоретическая	1	1
239	нас главным	1	1
240	то он	7	1
241	видения и	1	1
242	во всех	4	1
243	в окончательном	1	1
244	не зная	1	1
245	нами выше	1	1
246	фразы в	1	1
247	сторона дела	1	1
248	следует отметить	1	1
249	а с	5	1
250	поэтому не	1	1
251	только к	3	1
252	того в	2	1
253	и он	7	1
254	уже сказано	1	1
255	это делает	3	1
256	та же	1	1
257	было в	1	1
258	близости к	2	1
259	чувства от	1	1
260	с самого	1	1
261	в обществе	1	1
262	и легче	1	1
263	выдвигает на	1	1
264	на этом	3	1
265	сказано в	1	1
266	которой он	7	1
267	не имеют	1	1
268	может дать	1	1
269	само собой	2	1
270	то есть	5	1
271	но из	1	1
272	нельзя было	1	1
273	и сейчас	2	1
274	близкого к	1	1
275	но тот	1	1
276	должно быть	1	1
277	мы уже	8	1
278	ли он	2	1
279	значение и	1	1
280	мы увидим	4	1
281	же этот	1	1
282	слово было	1	1
283	и который	2	1
284	даже и	12	1
285	и того	1	1
286	и вот	5	1
287	от нее	3	1
288	вполне понятно	1	1
289	в произведении	2	1
290	она в	1	1
291	особого рода	2	1
292	в свою	3	1
293	в значительной	1	1
294	только как	1	1
295	и почти	2	1
296	что уже	1	1
297	того чтобы	4	1
298	он как	4	1
299	же отношения	1	1
300	еще более	3	1
301	ту же	1	1
302	а из	2	1
303	такой степени	1	1
304	несмотря на	7	1
305	но то	1	1
306	но эти	1	1
307	вопросу о	1	1
308	и форму	1	1
309	на что	2	1
310	конечно на	1	1
311	зрения нельзя	1	1
312	это часто	1	1
313	в теории	2	1
314	на протяжении	1	1
315	в прежней	1	1
316	во многих	2	1
317	на одно	1	1
318	что это	2	1
319	обычно не	1	1
320	отношении он	1	1
321	хотя и	9	1
322	из особенностей	1	1
323	и тогда	1	1
324	только его	2	1
325	в предварительном	1	1
326	этом отношении	2	1
327	это уже	1	1
328	о чем	6	1
329	мы должны	3	1
330	это человек	1	1
331	и тем	2	1
332	в руках	1	1
333	кажется что	3	1
334	сам по	1	1
335	в частности	4	1
336	говорит о	1	1
337	нас является	1	1
338	для нее	3	1
339	и больше	3	1
340	в изучении	1	1
341	не как	1	1
342	однако эта	2	1
343	со всей	1	1
344	и вся	1	1
345	эта сторона	1	1
346	пути в	1	1
347	в качестве	7	1
348	всей жизни	4	1
349	потому не	1	1
350	не хочет	1	1
351	то мы	3	1
352	в науке	3	1
353	самом же	1	1
354	в одном	2	1
355	в области	3	1
356	одно из	1	1
357	лет и	4	1
358	у нас	11	1
359	на которой	1	1
360	я знаю	1	1
361	кто не	2	1
362	однако он	2	1
363	в результате	6	1
364	и это	4	1
365	в неразрывное	1	1
366	позицию в	1	1
367	же он	1	1
368	ни одной	1	1
369	как нечто	2	1
370	сводится к	1	1
371	для них	2	1
372	этом смысле	4	1
373	с ней	3	1
374	и тот	2	1
375	том и	1	1
376	далеко не	1	1
377	только то	1	1
378	слова не	1	1
379	в современной	1	1
380	и которые	1	1
381	уже и	4	1
382	не вполне	3	1
383	у него	28	1
384	без того	1	1
385	а этот	1	1
386	чем не	2	1
387	не на	1	1
388	в истории	4	1
389	не могут	2	1
390	все равно	1	1
391	к кому	1	1
392	по мнению	1	1
393	же время	7	1
394	не существует	1	1
395	при помощи	1	1
396	в виде	4	1
397	знания и	3	1
398	к которой	2	1
399	свою связь	1	1
400	уверенность в	1	1
401	там же	24	1
402	у нее	1	1
403	отношения между	1	1
404	еще один	2	1
405	всего нужно	1	1
406	свою очередь	2	1
407	всей его	2	1
408	мы здесь	2	1
409	так мы	1	1
410	жизни он	1	1
411	не было	12	1
412	когда мы	2	1
413	как например	1	1
414	связи с	7	1
415	им в	3	1
416	связанных с	1	1
417	ему но	1	1
418	более или	5	1
419	он еще	1	1
420	бы по	1	1
421	все то	1	1
422	двух людей	1	1
423	здесь мы	4	1
424	с ее	1	1
425	время как	3	1
426	было бы	7	1
427	это же	1	1
428	к тому	5	1
429	характеристики и	3	1
430	близости с	1	1
431	нами и	1	1
432	так называемую	1	1
433	в свои	2	1
434	что можно	4	1
435	и можно	4	1
436	с таким	1	1
437	этот пафос	1	1
438	из нее	1	1
439	что здесь	2	1
440	равно как	1	1
441	и глубоко	3	1
442	не получил	1	1
443	ним в	3	1
444	и мы	6	1
445	только об	2	1
446	как мы	17	1
447	это мы	5	1
448	с такою	1	1
449	протяжении всей	1	1
450	что она	2	1
451	бытия и	1	1
452	и о	6	1
453	слова с	1	1
454	на который	1	1
455	о самом	1	1
456	менее всего	2	1
457	как его	1	1
458	что для	5	1
459	с первого	2	1
460	он будет	2	1
461	или о	2	1
462	него не	4	1
463	и эта	1	1
464	когда человек	1	1
465	он вдруг	1	1
466	найти в	1	1
467	этого что	1	1
468	наряду с	1	1
469	и во	3	1
470	именно в	4	1
471	уже на	3	1
472	и всего	1	1
473	тем кто	2	1
474	то время	6	1
475	но эта	2	1
476	с большим	1	1
477	к другим	1	1
478	в таком	2	1
479	из трех	3	1
480	например в	1	1
481	что я	5	1
482	тот же	7	1
483	в высшей	2	1
484	и непосредственное	1	1
485	может получить	1	1
486	имеем дело	1	1
487	время не	1	1
488	человек и	1	1
489	моменты его	2	1
490	с которой	2	1
491	характер и	1	1
492	и без	2	1
493	что все	2	1
494	как о	1	1
495	строгость и	1	1
496	себе не	2	1
497	столь же	1	1
498	том же	4	1
499	в общем	4	1
500	или даже	1	1
501	в переводе	1	1
502	как часто	1	1
503	в порядке	2	1
504	деле это	1	1
505	из его	6	1
506	то из	1	1
507	и прежде	1	1
508	ей в	1	1
509	слова из	1	1
510	как будто	2	1
511	весь этот	2	1
512	жизни в	3	1
513	к вопросам	1	1
514	есть только	1	1
515	но если	1	1
516	они не	1	1
517	на себя	3	1
518	от его	1	1
519	все более	1	1
520	и являются	1	1
521	чем мы	1	1
522	общий язык	1	1
523	и только	1	1
524	один и	2	1
525	если этот	1	1
526	речи с	2	1
527	нас за	1	1
528	так называемая	1	1
529	по своей	4	1
530	поэт и	1	1
531	на этих	2	1
532	в двух	1	1
533	полагать что	1	1
534	убедиться в	1	1
535	случае по	1	1
536	друг друга	3	1
537	в эти	14	1
538	но уже	3	1
539	и относительно	2	1
540	первого же	3	1
541	себе как	1	1
542	физические и	1	1
543	и искусство	1	1
544	не из	2	1
545	себе и	2	1
546	этом достаточно	1	1
547	на их	1	1
548	мы еще	1	1
549	не нужно	1	1
550	из этой	1	1
551	в одной	1	1
552	дело и	1	1
553	в целом	3	1
554	нам кажется	2	1
555	ничего общего	1	1
556	в лице	1	1
557	себя в	6	1
558	крайней мере	1	1
559	и из	5	1
560	или менее	5	1
561	в который	1	1
562	имеет дело	1	1
563	ним на	1	1
564	вовсе не	8	1
565	на другие	1	1
566	больше того	2	1
567	думать что	1	1
568	не то	3	1
569	я и	2	1
570	гораздо больше	1	1
571	нее не	1	1
572	на эту	3	1
573	тем более	4	1
574	по крайней	1	1
575	форму его	1	1
576	что до	1	1
577	мы видели	1	1
578	перед нами	1	1
579	человек но	1	1
580	более подробно	2	1
581	вне человеческого	1	1
582	который и	1	1
583	всяком случае	8	1
584	которые в	2	1
585	на них	1	1
586	высшей степени	1	1
587	можно только	1	1
588	с этих	1	1
