1	в то же	10	19
163	говорить о том	1	1
164	и особенно в	1	1
165	т д в	1	1
166	в письме к	13	1
167	нам хотелось бы	1	1
168	в конце концов	11	1
169	равно как и	1	1
170	в году и	2	1
171	мало чем отличается	1	1
172	и в дальнейшем	3	1
173	в конце своей	3	1
174	же как и	1	1
175	только то что	3	1
176	что в душе	1	1
177	бы он ни	1	1
178	можно было бы	4	1
179	мае года он	1	1
180	это вовсе не	3	1
181	к графине с	1	1
182	мы находим у	3	1
183	это и есть	2	1
184	не то что	2	1
185	в согласии с	3	1
186	в этот момент	1	1
187	такой же как	1	1
188	и всю жизнь	1	1
189	нам кажется что	3	1
190	сразу же после	1	1
191	его но не	1	1
192	года он писал	3	1
193	нам представляется что	3	1
194	и потому что	5	1
195	в память достоевского	1	1
196	и достоевского можно	1	1
197	в том числе	3	1
198	и в литературе	1	1
199	эти слова не	1	1
200	в первый раз	1	1
201	нет и не	1	1
202	в которой он	2	1
203	от декабря года	4	1
204	заключается в том	4	1
205	нужно сказать что	1	1
206	нет не только	1	1
207	он выступает против	1	1
208	но уже в	1	1
209	в мире и	1	1
210	к тому что	3	1
211	чуть ли не	1	1
212	в этой борьбе	1	1
213	и того что	2	1
214	в дальнейшем мы	4	1
215	при этом что	1	1
216	же именно в	1	1
217	со всеми его	1	1
218	ничего не говорит	5	1
219	уж никак не	1	1
220	у него и	2	1
221	то же самое	1	1
222	отец ее был	1	1
223	с детьми в	1	1
224	как и сам	1	1
225	то ни было	2	1
226	это человек с	1	1
227	только потому что	1	1
228	в этот период	2	1
229	и наконец в	1	1
230	с одной стороны	4	1
231	л н толстого	2	1
232	ничего общего с	3	1
233	за два года	1	1
234	у него не	4	1
235	у него есть	1	1
236	бы то ни	5	1
237	то и другое	1	1
238	т ii ч	1	1
239	у него в	9	1
240	и в свою	1	1
241	что он сам	1	1
242	чем у нас	1	1
243	то к чему	1	1
244	что же касается	14	1
245	вышла в году	2	1
246	один ряд с	1	1
247	января года в	2	1
248	кто из них	1	1
249	с ним на	1	1
250	все та же	1	1
251	все же это	1	1
252	то что его	2	1
253	и всякого рода	1	1
254	т i с	7	1
255	но отнюдь не	1	1
256	прежде всего его	1	1
257	не имеют для	1	1
258	в один ряд	1	1
259	для всего мира	1	1
260	не может и	1	1
261	он идет к	1	1
262	мы знаем что	3	1
263	не столько к	1	1
264	бытие в котором	1	1
265	в лондон и	1	1
266	и с а	1	1
267	прежде всего нужно	1	1
268	на наш взгляд	1	1
269	без специальных оговорок	1	1
270	три года до	1	1
271	что он не	3	1
272	по себе не	1	1
273	при этом она	1	1
274	еще более резко	1	1
