N	2gram	Tiupa_Teor	VelikijI
147	бы то	2	1
148	мире и	2	1
149	того кому	1	1
150	личностью и	1	1
151	художественный образ	1	1
152	могли бы	2	1
153	и другие	2	1
154	то есть	22	1
155	хотят скрыть	1	1
156	его личности	1	1
157	и пусть	1	1
158	но как	2	1
159	возможно в	1	1
160	небытию в	1	1
161	мы видим	1	1
162	ее к	1	1
163	самой жизни	1	1
164	на котором	2	1
165	это тот	1	1
166	человеческой жизни	3	1
167	речь идет	2	1
168	тоже не	1	1
169	и на	2	1
170	она и	1	1
171	вопрос о	1	1
172	на этом	2	1
173	же и	1	1
174	может быть	22	1
175	они не	1	1
176	после того	1	1
177	себя только	1	1
178	раз и	1	1
179	и свою	1	1
180	свое место	1	1
181	если в	2	1
182	ее на	1	1
183	которая в	2	1
184	но лишено	1	1
185	свобода его	1	1
186	и который	2	1
187	свободного выбора	1	1
188	в роли	3	1
189	и вот	3	1
190	его с	1	1
191	она не	1	1
192	но она	2	1
193	человеческого бытия	2	1
194	в состоянии	1	1
195	для себя	3	1
196	с этой	3	1
197	то же	12	1
198	свободы но	2	1
199	живет в	1	1
200	теперь в	1	1
201	только мы	1	1
202	то ни	2	1
203	для того	5	1
204	этом мире	2	1
205	не по	1	1
206	можно признать	1	1
207	нельзя не	1	1
208	не быть	1	1
209	не для	1	1
210	этом пути	1	1
211	но от	2	1
212	думаю что	1	1
213	для таких	1	1
214	что это	1	1
215	образа в	1	1
216	не всегда	2	1
217	в следующих	1	1
218	людей как	1	1
219	с внутренним	1	1
220	о чем	3	1
221	тайны и	1	1
222	что свобода	1	1
223	в ее	6	1
224	и тем	5	1
225	души и	1	1
226	ты и	1	1
227	говорит о	1	1
228	как это	10	1
229	чем у	1	1
230	свободу личности	1	1
231	мы в	2	1
232	в которую	1	1
233	если нет	1	1
234	слова не	2	1
235	и внешнее	1	1
236	теми которые	1	1
237	в одном	3	1
238	у нас	2	1
239	нового времени	3	1
240	к творческим	1	1
241	о своем	2	1
242	в этой	3	1
243	мира с	2	1
244	в результате	1	1
245	говорит что	2	1
246	этой тайны	1	1
247	кто бы	1	1
248	в виду	5	1
249	другой стороны	6	1
250	слова с	1	1
251	человеческого духа	1	1
252	я не	2	1
253	человека к	3	1
254	в русском	1	1
255	у него	2	1
256	счастье но	1	1
257	из нас	1	1
258	не существует	1	1
259	так же	2	1
260	это имеет	1	1
261	тогда как	18	1
262	не была	1	1
263	их не	1	1
264	но с	1	1
265	в своих	1	1
266	постигнуть смысл	1	1
267	с отвращением	1	1
268	в противоположность	3	1
269	себя за	1	1
270	всего что	1	1
271	отказаться от	1	1
272	с другой	9	1
273	в которой	3	1
274	я в	18	1
275	выбора в	1	1
276	о мире	1	1
277	к ним	1	1
278	жизнь в	1	1
279	есть такое	1	1
280	утверждения ее	1	1
281	им по	1	1
282	отношение к	7	1
283	на нее	1	1
284	известном смысле	2	1
285	бытия и	1	1
286	места в	1	1
287	в мир	1	1
288	выбора все	1	1
289	то и	1	1
290	или даже	4	1
291	в понимании	1	1
292	в бытии	1	1
293	него не	1	1
294	как мы	1	1
295	ведет к	2	1
296	из всего	1	1
297	в мировом	1	1
298	и до	1	1
299	прошлом и	1	1
300	но прежде	1	1
301	в своем	7	1
302	меня в	1	1
303	это ни	1	1
304	стороны в	1	1
305	еще и	2	1
306	к жизни	2	1
307	и от	1	1
308	с бытием	1	1
309	за которым	1	1
310	быть может	1	1
311	весь мир	1	1
312	и развитием	2	1
313	с ними	2	1
314	чего бы	1	1
315	к миру	1	1
316	в сознании	1	1
317	по крайней	1	1
318	в третьем	1	1
319	тебя так	1	1
320	нам уже	1	1
321	о судьбе	1	1
322	вместе с	2	1
323	все же	1	1
324	в одно	2	1
325	но я	1	1
326	переход к	1	1
327	как в	5	1
328	этого слова	4	1
329	ибо к	1	1
330	жизни в	2	1
331	значение в	1	1
332	роль в	3	1
333	в словах	1	1
334	бы ни	1	1
335	себя и	2	1
336	и по	3	1
337	всего только	1	1
338	в их	4	1
339	со своей	4	1
340	с которым	1	1
341	и внешней	3	1
342	его воли	1	1
343	не сумеет	2	1
344	в двух	1	1
345	мира и	4	1
346	может и	2	1
347	зависимости от	1	1
348	поскольку он	1	1
349	и создал	1	1
350	себя не	1	1
351	ни для	2	1
352	в известном	2	1
353	таким же	1	1
354	себе и	1	1
355	не просто	2	1
356	не случайно	5	1
357	в целом	4	1
358	крайней мере	1	1
359	жизни не	1	1
360	и ее	4	1
361	вовсе не	3	1
362	ничего нельзя	1	1
363	есть не	1	1
364	в искусстве	9	1
365	д и	1	1
366	бы в	1	1
367	к нему	2	1
368	другом но	1	1
