N	3gram	Bakhtin_fo	Dialekti
132	вызывает никаких сомнений	1	2
133	жизнь со всеми	1	2
134	одна из самых	1	2
135	но все это	1	2
136	тот или иной	1	2
137	другой стороны в	1	2
138	дело в том	2	2
139	и все его	2	2
140	которые могут быть	1	2
141	в себе не	1	2
142	и в том	1	2
143	в широком смысле	3	2
144	ни с чем	2	2
145	а так как	1	2
146	жизни и в	2	2
147	что и в	1	2
148	потому что они	1	2
149	должно быть осуществлено	1	1
150	неизвестно кем и	1	1
151	в этот момент	1	1
152	все больше и	1	1
153	в него как	1	1
154	все это мы	1	1
155	мы говорим о	1	1
156	в нашем случае	1	1
157	это как бы	1	1
158	в которой нет	1	1
159	во все стороны	3	1
160	вполне понятно что	4	1
161	точка зрения на	1	1
162	без него не	1	1
163	как такая она	1	1
164	до известной степени	1	1
165	больше и больше	1	1
166	еще нет и	1	1
167	точки зрения не	3	1
168	и во всех	3	1
169	от бога и	1	1
170	была бы совершенно	1	1
171	переходим ко второму	1	1
172	то что не	1	1
173	в религиозной сфере	1	1
174	себе не имеет	1	1
175	это время как	1	1
176	только и существуют	1	1
177	постоянно имеет место	1	1
178	этим мы еще	1	1
179	в философии и	1	1
180	смерти и воскресения	1	1
181	можно прямо сказать	2	1
182	могла быть только	1	1
183	поэтому все эти	1	1
184	в своем строении	1	1
185	он вступает в	1	1
186	не могут не	1	1
187	именно на этот	1	1
188	от друга и	1	1
189	мы еще не	1	1
190	было и не	1	1
191	в своем движении	1	1
192	с которой он	1	1
193	в своем существе	1	1
194	рано или поздно	1	1
195	по природе своей	2	1
196	для себя и	1	1
197	до некоторой степени	1	1
198	в их живой	2	1
199	друг на друга	4	1
200	совершенно ясно что	1	1
201	минуты и секунды	1	1
202	и пр все	1	1
203	с одной из	1	1
204	что из нее	1	1
205	и проч поэтому	1	1
206	он не имеет	1	1
207	то что было	2	1
208	вовсе не было	2	1
209	то что можно	1	1
210	должно быть по	1	1
211	в данном месте	1	1
212	в особенности же	1	1
213	для полного уяснения	1	1
214	бросается в глаза	1	1
215	тела и его	2	1
216	а это и	1	1
217	в этом мире	7	1
218	и пространства в	2	1
219	надо сказать что	1	1
220	нет ничего что	1	1
221	в отличие от	3	1
222	однако не только	1	1
223	и всех его	1	1
224	все это на	1	1
225	каждой из них	1	1
226	не только на	1	1
227	может быть конечно	2	1
228	всей его жизни	1	1
229	в своей жизни	1	1
230	одна из форм	1	1
231	как мы уже	11	1
232	по глубине и	1	1
233	что и все	1	1
234	и как он	1	1
235	нам еще придется	1	1
236	есть одна из	1	1
237	не входит в	1	1
238	и все прочие	1	1
239	они должны быть	1	1
240	и в каждой	1	1
241	имел в виду	1	1
242	приводит не к	1	1
243	богов и т	1	1
244	он не был	1	1
245	основе ее лежит	1	1
246	из многих его	1	1
247	прямо сказать что	2	1
248	и по существу	1	1
249	пр и пр	1	1
250	на одну минуту	1	1
251	таким образом и	2	1
252	все в мире	1	1
253	его жизни в	1	1
254	как бы при	1	1
255	ничего нового не	1	1
256	в частности от	1	1
257	всего того что	1	1
258	все эти элементы	1	1
259	с другом в	1	1
260	в них не	1	1
261	тем полнее и	1	1
262	в определенном направлении	1	1
263	сих пор не	1	1
264	что уже есть	1	1
265	в одном из	1	1
266	мы это уже	1	1
267	чистом виде но	1	1
268	пространством и временем	1	1
269	человеческой жизни и	3	1
270	вместе с тем	3	1
271	никогда не бывает	1	1
272	не могло не	1	1
273	и во всяком	1	1
274	как то что	1	1
275	но и помимо	1	1
276	даже то что	1	1
277	но и в	5	1
278	мы видим в	1	1
279	хотя и есть	1	1
280	но она не	1	1
281	она ни была	2	1
282	она ни в	1	1
283	весь мир как	1	1
284	что они вовсе	1	1
285	со всеми его	2	1
286	и до сих	1	1
287	имеем в виду	3	1
288	все более и	2	1
289	эта точка зрения	1	1
290	как и для	2	1
291	каждый из них	1	1
292	жизни так и	1	1
293	с чем не	2	1
294	не происходит в	1	1
295	не знает отсюда	1	1
296	же в этом	2	1
297	в основе их	1	1
298	ясно что в	1	1
299	мира и жизни	1	1
300	а следовательно и	3	1
301	но дело в	1	1
302	только в том	1	1
303	но не на	1	1
304	одной из них	1	1
305	та же слава	1	1
306	отсюда становится ясным	1	1
307	в этом и	1	1
308	что он должен	1	1
309	к ним не	1	1
310	и пространства и	1	1
311	новый смысл и	1	1
312	более и более	2	1
313	в себя и	2	1
314	в каком же	2	1
315	что в этих	1	1
316	каждом из них	2	1
317	мы вовсе не	1	1
318	мы уже говорили	6	1
319	ничего и никого	1	1
320	может быть или	1	1
321	со всех сторон	2	1
322	времени в античном	1	1
323	но в конце	1	1
324	не меньше чем	1	1
325	но дело не	1	1
326	кроме того в	1	1
327	не только элемент	1	1
328	что на самом	1	1
329	широком смысле но	1	1
330	его жизни и	1	1
331	включает в себя	1	1
332	в других областях	1	1
333	людей животных и	1	1
334	друг другу но	1	1
335	только благодаря своему	1	1
336	как раз в	4	1
337	и ничего не	1	1
338	она совсем не	1	1
339	в одно и	3	1
340	сказать что здесь	1	1
341	и необходимости я	1	1
342	и в котором	1	1
343	только для того	1	1
344	так и его	1	1
345	не о чем	1	1
346	мы имеем в	2	1
347	во всех этих	2	1
348	мир в котором	1	1
349	в основе ее	1	1
350	главным образом в	1	1
351	в результате всего	1	1
352	в этом случае	1	1
353	именно в том	1	1
354	еще никогда не	1	1
355	если они не	1	1
356	и только свет	1	1
357	указанные нами выше	1	1
358	том что они	1	1
359	с тем что	2	1
360	кем и неизвестно	1	1
361	в новое время	1	1
362	как мы увидим	2	1
363	в них как	1	1
364	и в сущности	3	1
365	для всех этих	1	1
366	и в литературе	1	1
367	и в них	1	1
368	вовсе не имеем	1	1
369	время человеческой жизни	1	1
370	по миру в	1	1
371	и у них	1	1
372	в той же	1	1
373	что в этом	1	1
374	т д он	1	1
375	прежде всего в	3	1
376	и в области	1	1
377	есть по существу	1	1
378	в этот день	1	1
379	тот факт что	1	1
380	а не о	1	1
