1	и все же	3	5
135	не с точки	1	1
136	и в самом	2	1
137	в глубине души	2	1
138	явился одним из	1	1
139	достоевского хотя и	1	1
140	а между тем	1	1
141	с дон кихота	1	1
142	неудачу наше чувство	1	1
143	сервантеса достоевский признавал	1	1
144	подменяя специальных обзоров	1	1
145	войне и мире	2	1
146	и в этом	1	1
147	начинается с дон	1	1
148	от апреля года	2	1
149	в истории человечества	1	1
150	но это не	2	1
151	конце х годов	1	1
152	смеха и начинается	1	1
153	в свою очередь	2	1
154	в войне и	1	1
155	гоголя и достоевского	1	1
156	в том же	5	1
157	страшной мести он	1	1
158	едва ли не	3	1
159	считает односторонним интересно	1	1
160	достоевского далеко не	2	1
161	в преступлении и	17	1
162	тем не менее	2	1
163	роман величайшей книгой	1	1
164	это юмор сервантеса	1	1
165	но при этом	2	1
166	но в целом	1	1
167	достоевского в момент	1	1
168	для начала дать	1	1
169	во всяком случае	3	1
170	далеко не все	1	1
171	апреля года достоевский	1	1
172	и их прототипы	1	1
173	в е годы	2	1
174	в ответ на	1	1
175	к вопросу о	1	1
176	писателя за год	1	1
177	это меланхолическая улыбка	1	1
178	достоевского не подменяя	1	1
179	в соответствии с	8	1
180	интересует другое достоевский	1	1
181	глубине души любил	1	1
182	в черновиках к	1	1
183	наше чувство юмора	1	1
184	и далее я	1	1
185	отношение автора к	1	1
186	в третий раз	1	1
187	нас испанцев настоящий	1	1
188	при этом он	2	1
189	тем что он	1	1
190	в нем самом	1	1
191	в твери в	1	1
192	так же быть	1	1
193	вскоре после этого	1	1
194	у него в	2	1
195	страшной мести гоголя	1	1
196	и апреля года	1	1
197	что он сам	2	1
198	такое понимание юмора	1	1
199	характеристику самой сложности	1	1
200	герои романа идиот	1	1
201	с другой стороны	3	1
202	литературоведение давно уже	1	1
203	точно так же	3	1
204	самом потерпело неудачу	1	1
205	в известном смысле	2	1
206	попытаемся для начала	1	1
207	а с точки	1	1
208	испанцев настоящий юмор	1	1
209	для нас испанцев	1	1
210	в мировой литературе	1	1
211	в инженерном училище	1	1
212	следует рассматривать в	1	1
213	в париже в	1	1
214	этот период достоевский	1	1
215	но мы знаем	1	1
216	сам достоевский в	1	1
217	так же как	2	1
218	и считает односторонним	1	1
219	не подменяя специальных	1	1
220	в призраках и	1	1
221	любил и что	1	1
222	о том что	8	1
223	сервантеса смеявшегося над	1	1
224	но нас интересует	1	1
225	мнение современного испанского	1	1
226	может быть иначе	1	1
227	идиот и их	1	1
228	человечества и в	1	1
229	не стоит преувеличивать	1	1
230	что у него	2	1
231	о том как	1	1
232	это не просто	1	1
233	это такая же	1	1
234	писателя для нас	1	1
235	у себя на	1	1
236	заметках о летних	2	1
237	односторонним интересно в	1	1
238	сам в глубине	1	1
239	над тем что	1	1
240	текущей истории нравов	1	1
241	сравнивал достоевского с	1	1
242	уже в году	1	1
243	современного испанского писателя	1	1
244	же быть может	1	1
245	о прототипе ставрогина	1	1
246	по сей день	3	1
247	мертвого дома и	1	1
248	жития великого грешника	1	1
249	юмор достоевского не	2	1
250	а одна из	1	1
251	грустной из книг	1	1
252	о забитой лошади	10	1
253	вышла в году	1	1
254	нигилисты дети помещиков	1	1
255	фурье во многом	1	1
256	архаического смеха и	1	1
257	позволительно предположить что	1	1
258	достоевский не мог	3	1
259	потерпело неудачу наше	1	1
