N	2gram	Bakhtin_fo	VelikijI
267	с этой	3	1
268	то же	18	1
269	для всякого	1	1
270	живет в	1	1
271	и сказал	1	1
272	в исторических	2	1
273	по сравнению	3	1
274	для того	12	1
275	этом мире	7	1
276	не по	1	1
277	образ и	1	1
278	не быть	3	1
279	не для	3	1
280	эта идея	1	1
281	что всякий	1	1
282	как окончательный	1	1
283	эта новая	1	1
284	что это	1	1
285	это значит	3	1
286	идет за	1	1
287	образа в	1	1
288	в разных	6	1
289	людей как	1	1
290	о чем	4	1
291	их жизни	1	1
292	в ее	6	1
293	и тем	1	1
294	и уже	4	1
295	души и	1	1
296	говорит о	1	1
297	как это	2	1
298	этот мир	2	1
299	оно ни	1	1
300	есть еще	1	1
301	мы в	1	1
302	пути в	1	1
303	что человек	1	1
304	что люди	2	1
305	миру в	2	1
306	в тот	1	1
307	не преодолевается	1	1
308	не были	4	1
309	есть и	4	1
310	и внешнее	1	1
311	за эти	1	1
312	в одном	10	1
313	же что	3	1
314	у нас	2	1
315	свое абсолютное	1	1
316	в этой	3	1
317	потребность в	1	1
318	котором раскрывается	1	1
319	это слово	1	1
320	в результате	6	1
321	природу человека	1	1
322	кто бы	1	1
323	в виду	5	1
324	другой стороны	1	1
325	в день	1	1
326	полноту своего	1	1
327	нет никакого	1	1
328	я не	1	1
329	его по	1	1
330	мира для	1	1
331	но что	1	1
332	как можно	3	1
333	уже и	1	1
334	в русском	1	1
335	у него	8	1
336	них и	2	1
337	не существует	1	1
338	ведет не	1	1
339	так же	7	1
340	в виде	1	1
341	те что	1	1
342	это имеет	1	1
343	пути на	1	1
344	не был	2	1
345	их не	2	1
346	в будущем	1	1
347	и всех	2	1
348	в своих	1	1
349	христа и	1	1
350	является и	1	1
351	их и	3	1
352	формах в	1	1
353	философия истории	1	1
354	человеческой природы	2	1
355	с другой	4	1
356	конечно в	1	1
357	в которой	3	1
358	но все	6	1
359	в свободные	1	1
360	но какой	1	1
361	и идеи	3	1
362	говорил с	1	1
363	и с	10	1
364	наших дней	1	1
365	к ним	3	1
366	времени с	3	1
367	жизнь в	2	1
368	человеческого общества	1	1
369	отношение к	5	1
370	он всегда	2	1
371	было для	1	1
372	жизнь как	1	1
373	которого они	1	1
374	бытия и	2	1
375	места в	2	1
376	то и	1	1
377	или даже	1	1
378	в понимании	1	1
379	ее но	1	1
380	и ложь	1	1
381	он так	2	1
382	него не	1	1
383	лишь как	3	1
384	какая же	1	1
385	как мы	19	1
386	из всего	1	1
387	их к	3	1
388	три образа	2	1
389	но нет	1	1
390	и до	7	1
391	в процессе	4	1
392	но прежде	1	1
393	и своего	1	1
394	близок к	1	1
395	смысле и	1	1
396	на него	1	1
397	в своем	8	1
398	веке в	1	1
399	действии и	1	1
400	человек и	2	1
401	это очень	1	1
402	стороны в	1	1
403	его на	3	1
404	еще и	3	1
405	будем говорить	2	1
406	к жизни	2	1
407	теперь когда	1	1
408	и от	3	1
409	земле то	1	1
410	в изображении	1	1
411	лишь на	1	1
412	мы будем	5	1
413	как она	3	1
414	ничего не	9	1
415	весь мир	3	1
416	с ними	1	1
417	нас это	2	1
418	своей личности	1	1
419	им и	1	1
420	и очень	1	1
421	идет она	1	1
422	человек с	2	1
423	о которой	1	1
424	о судьбе	1	1
425	природы и	2	1
426	что тот	1	1
427	и так	2	1
428	вместе с	9	1
429	все же	12	1
430	и освобождения	1	1
431	в одно	3	1
432	человека когда	1	1
433	и вместе	1	1
434	если они	2	1
435	и которые	1	1
436	как в	10	1
437	этого слова	2	1
438	в которых	4	1
439	жизни в	11	1
440	находится в	3	1
441	значение в	5	1
442	роль в	12	1
443	им в	1	1
444	в словах	1	1
445	бы ни	1	1
446	себя и	6	1
447	и по	5	1
448	человеке и	1	1
449	менее всего	2	1
450	всем мире	1	1
451	и эта	2	1
452	к этому	5	1
453	человека есть	1	1
454	в их	9	1
455	со своей	3	1
456	миру и	2	1
457	с которым	1	1
458	который был	1	1
459	есть одна	1	1
460	в двух	1	1
461	сравнению с	3	1
462	мира и	6	1
463	для чего	1	1
464	конце концов	1	1
465	зависимости от	1	1
466	бытия в	1	1
467	во власть	1	1
468	для раскрытия	4	1
469	таким же	1	1
470	себе и	4	1
471	он был	2	1
472	к полному	1	1
473	сложность и	2	1
474	в целом	2	1
475	происхождения и	1	1
476	их во	1	1
477	жизни не	3	1
478	это он	1	1
479	было что	1	1
480	и ее	4	1
481	вовсе не	20	1
482	но к	2	1
483	что на	3	1
484	жизни с	2	1
485	это самое	1	1
486	есть не	4	1
487	игру с	1	1
488	в искусстве	1	1
489	этого раскрытия	2	1
490	с человека	1	1
491	и нет	2	1
492	бы в	1	1
493	человеческую жизнь	4	1
494	от них	1	1
495	и смерти	1	1
496	идея эта	1	1
497	а потом	2	1
