N	3gram	Losev_Vesc	Vvedenie
209	а потому что	1	1
210	и что такое	1	1
211	а в том	1	1
212	другой стороны как	1	1
213	сравнить ее с	1	1
214	том что он	2	1
215	этом смысле и	1	1
216	одно из двух	1	1
217	то ни было	12	1
218	также и то	1	1
219	в общем итоге	1	1
220	с полной ясностью	1	1
221	не может не	3	1
222	и как раз	1	1
223	но в этом	1	1
224	то обстоятельство что	1	1
225	же как он	1	1
226	человеческой природы и	1	1
227	в ней есть	1	1
228	она может быть	2	1
229	то что у	2	1
230	ни при каких	1	1
231	в этом понятии	1	1
232	и говорить о	1	1
233	и даже просто	1	1
234	к тому что	2	1
235	та или иная	1	1
236	сам для себя	1	1
237	ни к какому	1	1
238	то без чего	3	1
239	еще и потому	1	1
240	от целого к	1	1
241	только то что	3	1
242	есть не просто	2	1
243	необходимо помнить что	1	1
244	один из наиболее	1	1
245	бы то ни	12	1
246	т е то	1	1
247	между прочим и	1	1
248	ту или иную	3	1
249	из того что	3	1
250	однако остановиться на	1	1
251	одном и том	1	1
252	а не только	2	1
253	это значит не	1	1
254	том смысле что	1	1
255	только тогда когда	2	1
256	не то что	1	1
257	то что в	1	1
258	же это не	1	1
259	на эту тему	1	1
260	каждой из этих	1	1
261	и здесь как	1	1
262	потому что они	4	1
263	мы имеем дело	2	1
