N	2gram	Bakhtin_KF	DiskursI
167	в значительной	1	5
168	к той	1	5
169	ничего не	3	5
170	того что	3	5
171	в литературе	1	5
172	о нем	4	5
173	здесь в	1	5
174	в ней	3	5
175	мира и	4	5
176	в их	9	5
177	и потому	2	5
178	в акте	3	5
179	же самое	1	5
180	становления и	1	5
181	не к	1	5
182	в самом	1	4
183	и к	1	4
184	человеческой жизни	1	4
185	в результате	1	4
186	и само	2	4
187	в первом	1	4
188	ни одна	2	4
189	и до	1	4
190	в жизни	2	4
191	его на	2	4
192	отличается от	1	4
193	во всяком	1	4
194	из жизни	1	4
195	чего не	2	4
196	только на	1	4
197	бытия а	3	4
198	тем не	2	4
199	не о	2	4
200	что не	3	4
201	который по	1	4
202	я не	6	4
203	не есть	22	4
204	по себе	2	4
205	и это	12	4
206	и тем	3	4
207	как это	1	4
208	должны быть	1	4
209	это в	1	4
210	и есть	10	4
211	события в	3	4
212	или иного	3	4
213	наше время	1	4
214	автор и	1	4
215	жизни а	1	4
216	с ним	5	4
217	не более	1	4
218	с ней	1	4
219	более чем	1	4
220	принципиально не	5	4
221	во мне	3	4
222	для меня	22	4
223	в данной	1	4
224	и во	1	4
225	до конца	3	4
226	зависит от	1	4
227	мы имеем	5	4
228	не для	1	4
229	и др	1	4
230	или в	1	4
231	в какой	1	4
232	по своему	3	4
233	но уже	1	4
234	на его	1	4
235	вследствие чего	1	4
236	того или	3	4
237	может иметь	2	4
238	а к	1	4
239	а по	2	4
240	т.п но	1	4
241	более не	1	3
242	в момент	3	3
243	эстетическая деятельность	2	3
244	дело с	2	3
245	характер и	1	3
246	существенно для	1	3
247	но все	6	3
248	к другим	1	3
249	их в	1	3
250	чем не	4	3
251	направлен на	1	3
252	с этим	1	3
253	в действительности	1	3
254	вопрос о	2	3
255	входит в	4	3
256	различия между	1	3
257	момент в	7	3
258	понятие о	1	3
259	научного мышления	2	3
260	ближе к	3	3
261	на почве	1	3
262	и он	1	3
263	или не	1	3
264	в которой	1	3
265	к чему	3	3
266	и приводит	1	3
267	в области	2	3
268	между собой	1	3
269	здесь как	1	3
270	но как	5	3
271	причастности к	1	3
272	действия в	1	3
273	в форме	1	3
274	не просто	1	3
275	то ни	2	3
276	было бы	8	3
277	его как	5	3
278	о его	1	3
279	и от	1	3
280	ней в	1	3
281	бы быть	5	3
282	и по	1	3
283	в точке	1	3
284	не случайно	1	3
285	имеет дело	1	3
286	мире и	1	3
287	в специальном	1	3
288	и вследствие	1	3
289	живет в	1	3
290	должна быть	4	3
291	содержит в	1	3
292	событие не	1	3
293	отношения к	1	3
294	как не	1	3
295	вместе с	1	3
296	не имеет	6	3
297	всей своей	2	3
298	теоретическое мышление	1	3
299	но оно	1	3
300	это и	3	3
301	это мир	4	3
302	это понятие	1	3
303	который не	1	3
304	но здесь	3	3
305	на том	1	3
306	слова и	1	3
307	значение для	1	3
308	тем же	1	3
309	как мы	1	3
310	к миру	1	3
311	всяком случае	1	3
312	в едином	10	3
313	жизни не	1	3
314	к содержанию	2	3
315	жизни но	3	3
316	ему в	2	3
317	они не	1	3
318	и было	1	3
319	мы не	3	3
320	место в	6	3
321	и всякое	1	3
322	не подлежит	1	3
323	все эти	11	3
324	об этом	1	3
325	особенно в	1	3
326	том случае	1	3
327	она не	2	3
328	хотя бы	5	3
329	дело не	2	3
330	когда он	1	3
331	в большинстве	1	3
332	с человеком	3	3
333	к ней	1	3
334	слова в	2	3
335	жизни и	8	3
336	себе самому	1	3
337	бытия в	5	3
338	для этого	2	3
339	и наконец	1	3
340	может претендовать	1	3
341	и иные	1	3
342	котором он	3	3
343	во всем	7	2
344	мы можем	1	2
345	в душе	1	2
346	различия в	2	2
347	т.е в	1	2
348	все люди	1	2
349	еще более	2	2
350	что делает	1	2
351	мысли и	1	2
352	действие и	1	2
353	не являются	1	2
354	этого момента	1	2
355	не сможет	1	2
356	и с	1	2
357	жизнь в	1	2
358	уходят в	1	2
359	и требует	1	2
360	только через	1	2
361	всегда в	1	2
362	тем или	1	2
363	определяется не	1	2
364	отсюда и	3	2
365	для того	3	2
366	в определенной	2	2
367	и другой	1	2
368	сознания в	2	2
369	в различных	1	2
370	к которой	2	2
371	точке зрения	1	2
372	я с	1	2
373	жизни как	5	2
374	этот человек	1	2
375	в нашем	1	2
376	слово не	3	2
377	по поводу	1	2
378	едва ли	2	2
379	своего развития	1	2
380	к нему	12	2
381	или иным	2	2
382	всего в	1	2
383	бы то	2	2
384	события а	1	2
385	собой и	1	2
386	мышления и	2	2
387	на язык	3	2
388	должно быть	6	2
389	я как	1	2
390	ни было	4	2
391	менее основательно	1	2
392	бытия и	10	2
393	не от	1	2
394	в третьем	1	2
395	в разные	1	2
396	что она	1	2
397	как его	4	2
398	всем что	1	2
399	но для	3	2
400	даль и	1	2
401	на я	1	2
402	большинстве случаев	1	2
403	во главе	2	2
404	иногда не	1	2
405	себе и	3	2
406	на границе	1	2
407	а только	1	2
408	в чем	4	2
409	не нужно	2	2
410	не был	1	2
411	остается в	1	2
412	в каждом	3	2
413	и пространства	1	2
414	между жизнью	1	2
415	неотделим от	1	2
416	в современной	3	2
417	не совпадает	1	2
418	могла бы	4	2
419	целом и	3	2
420	жизнь как	6	2
421	только с	3	2
422	бы его	1	2
423	ответственность за	2	2
424	что может	1	2
425	в первой	1	2
426	его к	2	2
427	а как	2	2
428	в него	2	2
429	себе как	2	2
430	бы я	1	2
431	она сама	1	2
432	к такому	1	2
433	утверждать что	1	2
434	в чужой	1	2
435	в последнем	1	2
436	как с	1	2
437	как к	2	2
438	его с	2	2
439	событийности бытия	1	2
440	на ее	1	2
441	и должно	1	2
442	переживание переживания	2	2
443	чтобы стать	2	2
444	из которых	2	2
445	но достаточно	1	2
446	поэтому в	1	2
447	в отношении	1	2
448	и делает	3	2
449	в ценностном	5	2
450	если бы	8	2
451	самом деле	3	2
452	от своего	1	2
453	ни о	1	2
454	ни одно	5	2
455	но отнюдь	1	2
456	не делает	1	2
457	от его	5	2
458	себя и	5	2
459	время и	5	2
460	не имеют	1	2
461	заключать в	1	2
462	мы его	1	2
463	не должно	3	2
464	на основе	7	2
465	и теперь	1	2
466	себя не	3	2
467	вступает в	3	2
468	отношении к	2	2
469	смысл в	3	2
470	последних двух	1	2
471	он есть	1	2
472	было и	2	2
473	есть его	2	2
474	мышления но	1	2
475	и лицо	1	2
476	событие в	5	2
477	этого слова	2	2
478	к предмету	1	2
479	друг друга	1	2
480	могли быть	1	2
481	события и	2	2
482	в переживании	1	2
483	может не	2	2
484	все это	10	2
485	он как	1	2
486	ее в	1	2
487	видеть в	1	2
488	же не	1	2
489	отказаться от	2	2
490	как таковая	1	2
491	за этим	1	2
492	себя а	4	2
493	эстетического субъекта	2	2
494	это было	2	2
495	вовсе не	7	2
496	за его	1	2
497	как все	1	2
498	и другого	3	2
499	которого и	2	2
500	он ни	2	2
501	ценностного центра	4	2
502	его не	1	2
503	ни один	1	2
504	этом мире	2	2
505	не по	4	2
506	мы должны	1	2
507	ибо это	2	2
508	быть и	3	2
509	не знаю	1	2
510	и их	6	2
511	чтобы не	2	2
512	всей его	2	2
513	теоретического познания	6	2
514	такой же	1	2
515	на то	1	2
516	долженствования но	2	2
517	включает в	2	2
518	и только	7	2
519	человек не	2	2
520	не могло	1	2
521	это отнюдь	1	2
522	и героиня	1	2
523	жизнью и	1	2
524	для другого	4	2
525	возможна только	1	2
526	практически не	1	1
527	не обязывающий	1	1
528	уже во	1	1
529	новое и	1	1
530	для нее	9	1
531	мир как	6	1
532	здесь же	1	1
533	не нужна	1	1
534	же и	1	1
535	изнутри и	1	1
536	местом в	1	1
537	самого себя	1	1
538	они имеют	1	1
539	есть мое	1	1
540	не носит	1	1
541	мыслить в	1	1
542	и имеет	1	1
543	случае мы	2	1
544	это лишь	1	1
545	тому что	2	1
546	людей но	1	1
547	события его	1	1
548	самым оно	1	1
549	тем как	3	1
550	в категориях	4	1
551	себя я	1	1
552	включение в	1	1
553	его от	1	1
554	его исторически	1	1
555	по способу	1	1
556	противоречие с	1	1
557	к ценностному	1	1
558	меня а	1	1
559	к историческому	2	1
560	этим путем	2	1
561	своих границ	1	1
562	времени события	1	1
563	он имеет	2	1
564	принципиально различных	1	1
565	мы живем	1	1
566	из нее	2	1
567	равно как	1	1
568	все моменты	1	1
569	форму и	1	1
570	нему он	1	1
571	а их	1	1
572	исходить из	1	1
573	места и	4	1
574	и должен	2	1
575	с тем	2	1
576	стороны в	3	1
577	обретает свою	1	1
578	а именно	1	1
579	выход из	2	1
580	при таком	1	1
581	стороны своей	2	1
582	другое дело	2	1
583	в это	2	1
584	мир и	1	1
585	культуры в	1	1
586	я буду	3	1
587	нем нет	1	1
588	всему что	1	1
589	заданности и	1	1
590	и смерть	1	1
591	поскольку мы	4	1
592	на все	1	1
593	невозможна в	1	1
594	и смерти	2	1
595	персональной ответственности	1	1
596	действительности в	2	1
597	другими и	1	1
598	в жизнь	1	1
599	мысли что	1	1
600	где этот	2	1
601	во все	1	1
602	не существует	1	1
603	осуществляется в	1	1
604	контексте и	1	1
605	которой он	2	1
606	раз и	2	1
607	время от	1	1
608	чему не	2	1
609	она могла	2	1
610	в каких	1	1
611	но эти	1	1
612	что первая	1	1
613	с другим	4	1
614	из их	1	1
615	в этот	1	1
616	средних веков	1	1
617	бытию в	2	1
618	не об	1	1
619	и желания	1	1
620	философия не	3	1
621	превращается в	1	1
622	в смысле	6	1
623	в небытие	1	1
624	от своей	5	1
625	изнутри в	2	1
626	где и	1	1
627	и ответственности	1	1
628	всего что	1	1
629	эти эстетические	1	1
630	человека эта	1	1
631	но ни	2	1
632	не становится	1	1
633	если это	1	1
634	впрочем в	1	1
635	особенность ее	1	1
636	этих последних	1	1
637	места для	1	1
638	его событийности	2	1
639	такая же	1	1
640	быть в	4	1
641	путь от	1	1
642	находится в	1	1
643	художественного творчества	1	1
644	как я	1	1
645	разрушило бы	1	1
646	теории и	3	1
647	человека вообще	3	1
648	признания в	1	1
649	события если	1	1
650	согласиться с	1	1
651	глядит в	1	1
652	свершается в	2	1
653	от них	1	1
654	в противном	1	1
655	были в	1	1
656	от себя	10	1
657	чувства в	1	1
658	или нет	1	1
659	и теоретически	1	1
660	к этим	1	1
661	в системе	1	1
662	определение и	1	1
663	случае когда	1	1
664	но сама	1	1
665	подлежит сомнению	1	1
666	действительно в	1	1
667	акта его	1	1
668	сведено к	1	1
669	архитектонический момент	1	1
670	в историю	1	1
671	другого это	2	1
672	есть последнее	1	1
673	только не	1	1
674	этой книги	1	1
675	нахожу в	1	1
676	жизни т.е	1	1
677	основе его	1	1
678	и мы	2	1
679	и автора	1	1
680	единый контекст	1	1
681	она и	1	1
682	моего я	1	1
683	менее в	1	1
684	но из	1	1
685	котором и	3	1
686	мысли только	1	1
687	быть признаны	1	1
688	моя жизнь	1	1
689	вообще а	1	1
690	даже к	1	1
691	оценки и	2	1
692	ценностную архитектонику	1	1
693	для которой	3	1
694	ним в	1	1
695	к ценности	2	1
696	него в	1	1
697	могло бы	4	1
698	представлено как	1	1
699	бы утверждать	1	1
700	так по	1	1
701	или иную	1	1
702	и будет	1	1
703	смысла в	2	1
704	они будут	1	1
705	единственностью и	1	1
706	лежит в	1	1
707	не была	1	1
708	к настоящему	1	1
709	чем в	1	1
710	является и	1	1
711	о возможности	1	1
712	активности в	2	1
713	живет и	1	1
714	и отношения	3	1
715	всех его	2	1
716	и чисто	1	1
717	с исчерпывающей	1	1
718	быть только	8	1
719	в понятии	1	1
720	я или	1	1
721	не остается	2	1
722	человек и	2	1
723	этом последнем	1	1
724	между ними	1	1
725	места где	1	1
726	я всегда	1	1
727	и именно	2	1
728	себя как	2	1
729	действительный и	1	1
730	сознания как	2	1
731	от этого	2	1
732	уже давно	1	1
733	не знала	1	1
734	точек зрения	1	1
735	своей мысли	1	1
736	но к	1	1
737	сих пор	1	1
738	а для	2	1
739	я другой	1	1
740	в индивидуальном	1	1
741	и мир	2	1
742	исторического познания	2	1
743	должен был	1	1
744	только от	1	1
745	именно как	1	1
746	я его	2	1
747	необходимое условие	1	1
748	эти возможности	1	1
749	если оно	1	1
750	в архитектонике	1	1
751	бытия или	1	1
752	целом может	1	1
753	познания совершенно	1	1
754	приводит его	1	1
755	не он	1	1
756	и неповторимым	2	1
757	он вступает	1	1
758	бытия но	5	1
759	как общий	1	1
760	делает его	1	1
761	положения в	3	1
762	имеют дело	1	1
763	все остальные	2	1
764	не дает	3	1
765	и передачи	1	1
766	не отличаются	1	1
767	человека как	1	1
768	так называемые	1	1
769	к любви	1	1
770	и исторический	1	1
771	содержания не	1	1
772	не мог	1	1
773	на чем	1	1
774	не будет	2	1
775	и смысла	1	1
776	на нем	2	1
777	все с	1	1
778	всех других	2	1
779	единого бытия	1	1
780	мог стать	1	1
781	других людей	3	1
782	но только	1	1
783	этом смысле	3	1
784	не способна	2	1
785	где все	1	1
786	то или	2	1
787	видения мира	1	1
788	или иное	2	1
789	когда мы	1	1
790	не само	1	1
791	богом но	1	1
792	две жизни	1	1
793	все дело	1	1
794	известном смысле	1	1
795	не живет	2	1
796	возможности для	1	1
797	но есть	2	1
798	это приводит	1	1
799	и временную	1	1
800	но прежде	1	1
801	и заданы	1	1
802	в некотором	3	1
803	содержание и	2	1
804	образом в	1	1
805	однако по	1	1
806	своей есть	1	1
807	формы и	1	1
808	к человеку	1	1
809	оно может	1	1
810	автора как	2	1
811	там где	5	1
812	более что	1	1
813	принципиально чуждо	2	1
814	приобщается к	2	1
815	нет не	1	1
816	он его	1	1
817	в философии	1	1
818	действительной жизни	3	1
819	не случайным	1	1
820	познания в	2	1
821	можно только	1	1
822	были бы	2	1
823	с волей	1	1
824	однако он	1	1
825	образом и	1	1
826	от до	1	1
827	до сих	1	1
828	я уже	2	1
829	и здесь	7	1
830	всем своим	1	1
831	как таковой	1	1
832	он стремится	1	1
833	такова же	1	1
834	актера и	1	1
835	системное единство	1	1
836	соотносятся с	1	1
837	ним и	3	1
838	со своего	5	1
839	оно было	1	1
840	содержания и	2	1
841	что это	4	1
842	это уже	2	1
843	бы человек	1	1
844	быть представлен	1	1
845	предполагает не	1	1
846	как поступок	3	1
847	к выводу	1	1
848	науки и	1	1
849	смысле можно	1	1
850	в единый	1	1
851	самого по	1	1
852	этот термин	1	1
853	как о	1	1
854	со всеми	2	1
855	поэтому и	1	1
856	с ними	4	1
857	в некое	2	1
858	теоретического мышления	3	1
859	отличаются от	1	1
860	до этого	1	1
861	с целью	1	1
862	и действительно	6	1
863	отдельного человека	1	1
864	вышла из	1	1
865	может стать	1	1
866	для каждого	1	1
867	и так	1	1
868	его действительно	3	1
869	никто не	1	1
870	мне как	3	1
871	поскольку я	12	1
872	бы не	3	1
873	зависимости от	1	1
874	в известном	1	1
875	эта последняя	1	1
876	своих границах	2	1
877	в каком	4	1
878	на своем	3	1
879	своей жизни	1	1
880	который и	1	1
881	было он	1	1
882	нет ничего	1	1
883	его и	2	1
884	и мне	1	1
885	бы и	3	1
886	акт в	1	1
887	как целое	1	1
888	совершенно иной	1	1
889	мира как	2	1
890	духовная биография	1	1
891	оба эти	2	1
892	это событие	1	1
893	на некоторых	1	1
894	задний план	1	1
895	каким бы	1	1
896	действительности это	1	1
897	мы ничего	1	1
898	того чтобы	2	1
899	лежат в	3	1
900	это только	2	1
901	не быть	3	1
902	этом пути	1	1
903	из его	3	1
904	а через	1	1
905	при всех	1	1
906	план и	1	1
907	ритма и	1	1
908	между ним	1	1
909	то все	1	1
910	но о	1	1
911	я это	1	1
912	нет она	1	1
913	они остаются	1	1
914	в мир	2	1
915	в теоретической	2	1
916	цели и	1	1
917	это различие	1	1
918	только это	2	1
919	жизни что	1	1
920	не единственным	1	1
921	как свой	1	1
922	таким путем	1	1
923	и мыслится	1	1
924	должно происходить	1	1
925	нет и	3	1
926	входит как	2	1
927	мог бы	1	1
928	не за	1	1
929	описано но	1	1
930	предмета в	3	1
931	только при	1	1
932	субъектом и	1	1
933	том же	1	1
934	действие но	1	1
935	в теоретическом	2	1
936	быть все	4	1
937	течение жизни	2	1
938	не стоит	1	1
939	здесь и	1	1
940	как предмет	2	1
941	зрения автора	1	1
942	имеет не	1	1
943	но созерцание	1	1
944	тот же	3	1
945	подойти к	1	1
946	эти момента	3	1
947	человека но	1	1
948	мире где	1	1
949	он должен	1	1
950	и каждый	1	1
951	сам этот	2	1
952	возможность не	1	1
953	ценности к	1	1
954	проникает в	5	1
955	обе стороны	1	1
956	постольку поскольку	2	1
957	и всякий	1	1
958	единственным и	3	1
959	содержания а	1	1
960	ничем не	1	1
961	так как	1	1
962	здесь лишь	1	1
963	мир в	12	1
964	и также	1	1
965	только по	2	1
966	этот процесс	1	1
967	этого она	1	1
968	второй половине	1	1
969	и за	2	1
970	смысловое единство	2	1
971	сознания он	1	1
972	он начинает	1	1
973	ее а	1	1
974	для всего	1	1
975	он и	2	1
976	утверждающего в	1	1
977	сознания это	1	1
978	героиня и	1	1
979	я теперь	1	1
980	этих миров	1	1
981	для нас	4	1
982	где он	3	1
983	и принципиально	2	1
984	на самом	3	1
985	им с	1	1
986	содержанием в	1	1
987	событие но	1	1
988	основана на	1	1
989	отступает на	1	1
990	в виде	2	1
991	даже мысль	2	1
992	но с	1	1
993	это слово	1	1
994	языка это	1	1
995	жизни это	1	1
996	этого не	1	1
997	остается и	1	1
998	данного момента	2	1
999	лишь момент	6	1
1000	выводит из	1	1
1001	пространственную и	1	1
1002	и социальные	1	1
1003	же в	1	1
1004	единой и	3	1
1005	не со	2	1
1006	себе в	1	1
1007	же будет	1	1
1008	чтобы быть	2	1
1009	что этот	3	1
1010	истины и	2	1
1011	помнить что	1	1
1012	им и	1	1
1013	если и	1	1
1014	противном случае	1	1
1015	может представиться	2	1
1016	конечно можно	1	1
1017	и я	6	1
1018	остановимся на	1	1
1019	другого как	1	1
1020	в непосредственной	1	1
1021	войти в	3	1
1022	к признанию	1	1
1023	для нашей	1	1
1024	должен быть	7	1
1025	и таким	1	1
1026	целого и	1	1
1027	если не	2	1
1028	это область	2	1
1029	мысли в	1	1
1030	своих моментах	2	1
1031	он предполагает	1	1
1032	смерти и	1	1
1033	другом случае	1	1
1034	которому и	1	1
1035	но его	1	1
1036	отказа от	1	1
1037	и равно	1	1
1038	бытия как	5	1
1039	и эти	2	1
1040	и других	2	1
1041	события так	2	1
1042	же с	2	1
1043	первая часть	1	1
1044	переживается как	1	1
1045	в основных	1	1
1046	не могу	3	1
1047	человека все	1	1
1048	где я	4	1
1049	и ни	3	1
1050	ту или	1	1
1051	с определенной	1	1
1052	но всегда	2	1
1053	другой в	1	1
1054	субъекта и	1	1
1055	между субъектом	1	1
1056	независимо от	3	1
1057	а содержанием	1	1
1058	в искусстве	1	1
1059	истории а	1	1
1060	всех этих	3	1
1061	лица он	1	1
1062	и времени	1	1
1063	от того	3	1
1064	и иных	1	1
1065	действительности а	1	1
1066	этих случаях	1	1
1067	думать что	2	1
1068	еще на	1	1
1069	ответственности в	2	1
1070	оно лежит	1	1
1071	же на	1	1
1072	к событию	1	1
1073	героя это	2	1
1074	есть некая	1	1
1075	теории то	1	1
1076	не можем	1	1
1077	акт не	1	1
1078	от времени	1	1
1079	же картина	1	1
1080	сознании в	1	1
1081	культуры с	1	1
1082	оно принципиально	1	1
1083	и единственный	5	1
1084	в сознании	2	1
1085	позицию по	1	1
1086	чем та	1	1
1087	мышления как	2	1
1088	каждый момент	2	1
1089	нем совершенно	1	1
1090	и оно	1	1
1091	себе а	2	1
1092	любви и	1	1
1093	только таким	1	1
1094	и предметом	1	1
1095	для героя	1	1
