N	2gram	Nazirov_Tr	formyVre
192	ничем не	2	5
193	об этом	4	5
194	чувствует себя	1	5
195	или как	1	5
196	во всем	1	4
197	от него	1	4
198	только что	1	4
199	а затем	1	4
200	по себе	1	4
201	из самых	2	4
202	у достоевского	5	4
203	жизни на	1	4
204	и образ	1	4
205	в данном	2	4
206	раз и	2	4
207	он был	2	4
208	в другом	1	4
209	в глаза	2	4
210	не был	2	4
211	все в	1	4
212	несмотря на	5	4
213	к жизни	5	4
214	что не	1	4
215	между этими	2	4
216	с жизнью	1	4
217	в чем	1	4
218	в быту	1	4
219	любви и	2	4
220	и вот	1	4
221	по всем	1	4
222	и при	1	4
223	что он	6	4
224	перед нами	2	4
225	это и	1	4
226	сливается с	1	4
227	и т.д	1	4
228	всяком случае	1	4
229	друг друга	2	4
230	часто и	1	4
231	этом случае	1	4
232	не для	1	4
233	как у	2	4
234	со своей	1	4
235	всего необходимо	1	4
236	как он	1	4
237	на смерть	1	4
238	и вне	1	4
239	и о	1	4
240	и совершенно	1	4
241	в центре	1	3
242	тому что	1	3
243	дается в	1	3
244	в борьбе	1	3
245	но мы	1	3
246	не могли	1	3
247	вопрос о	2	3
248	которой он	1	3
249	вот почему	1	3
250	распадается на	1	3
251	вещами и	1	3
252	самого начала	1	3
253	где и	1	3
254	и еще	1	3
255	с этими	1	3
256	все время	1	3
257	этот образ	4	3
258	не мог	2	3
259	человек не	1	3
260	от природы	1	3
261	на земле	1	3
262	одна из	2	3
263	и жизнь	1	3
264	в двух	1	3
265	под влиянием	2	3
266	бы в	1	3
267	на этом	1	3
268	xvii века	1	3
269	как это	3	3
270	романа прежде	1	3
271	но только	1	3
272	и детей	2	3
273	литературы и	1	3
274	не могла	1	3
275	и есть	1	3
276	над ними	1	3
277	и здесь	2	3
278	это уже	2	3
279	необходимо отметить	1	3
280	очень важный	1	3
281	бы не	1	3
282	сравнению с	1	3
283	нет в	2	3
284	бы и	2	3
285	не быть	1	3
286	в образах	1	3
287	значение для	1	3
288	известной степени	1	3
289	пародия на	1	3
290	но это	4	3
291	в трагедии	1	3
292	ему в	1	3
293	этого нового	1	3
294	совершенно не	1	3
295	и всегда	1	3
296	на одной	1	3
297	как нечто	1	3
298	а на	1	3
299	этими двумя	2	3
300	не столько	1	3
301	это было	1	3
302	только к	2	3
303	с самого	1	3
304	она не	1	3
305	но при	2	3
306	для чего	1	3
307	конечно в	1	3
308	свое значение	1	3
309	по сравнению	1	3
310	к ней	1	3
311	вплоть до	1	3
312	что на	1	3
313	не к	1	3
314	он всегда	4	2
315	с собой	1	2
316	вопрос об	1	2
317	в духе	1	2
318	и судьбы	1	2
319	от всего	2	2
320	представление о	1	2
321	золотом веке	1	2
322	переплетается с	1	2
323	жизни ее	1	2
324	всю эту	1	2
325	эпизод с	3	2
326	перестает быть	1	2
327	и дело	1	2
328	я вижу	1	2
329	было в	2	2
330	этом мы	1	2
331	имеет в	2	2
332	к своей	1	2
333	из себя	1	2
334	связь между	1	2
335	и должно	1	2
336	природу человека	1	2
337	отметить что	1	2
338	но этот	1	2
339	в реальный	1	2
340	причем в	1	2
341	они сами	1	2
342	он сам	7	2
343	тут же	2	2
344	что даже	1	2
345	на котором	1	2
346	речи в	1	2
347	к нему	3	2
348	то в	1	2
349	по природе	1	2
350	что уже	1	2
351	от достоевского	1	2
352	подчеркнуть что	1	2
353	видит в	1	2
354	и притом	1	2
355	сказал что	1	2
356	не исчерпываются	1	2
357	на себя	1	2
358	веке в	1	2
359	я не	4	2
360	лишь на	1	2
361	и она	1	2
362	одном из	2	2
363	и вместе	1	2
364	могло бы	1	2
365	на другой	1	2
366	но как	1	2
367	него есть	1	2
368	когда я	1	2
369	исключительное значение	1	2
370	личности и	2	2
371	никто не	3	2
372	себя на	1	2
373	даже не	1	2
374	в смерти	1	2
375	и сам	3	2
376	должны были	1	2
377	природе своей	1	2
378	мир на	1	2
379	контакт с	1	2
380	его как	1	2
381	образы и	1	2
382	о его	2	2
383	человека мы	1	2
384	и особенно	1	2
385	от нее	1	2
386	романа с	1	2
387	достоевского в	3	2
388	опирается на	1	2
389	никого не	1	2
390	его с	1	2
391	должна быть	1	2
392	сколько угодно	1	2
393	него нет	1	2
394	в прошлое	1	2
395	самом деле	1	2
396	все события	1	2
397	не знал	1	2
398	данном случае	2	2
399	бросается в	2	2
400	он же	1	2
401	то и	2	2
402	в иной	1	2
403	необходимо подчеркнуть	1	2
404	в новой	1	2
405	только один	1	2
406	в маленьких	1	2
407	друга и	1	2
408	в обществе	1	2
409	сохраняет свое	1	2
410	и стал	1	2
411	отметим лишь	1	2
412	жизнь как	1	2
413	тебе и	1	2
414	этого слова	1	2
415	но если	1	2
416	идей и	1	2
417	только о	2	2
418	высшей степени	1	2
419	для нас	1	2
420	где он	1	2
421	в русском	2	2
422	особое значение	1	2
423	ее к	2	2
424	и эта	1	2
425	о жизни	2	2
426	свои страдания	1	2
427	хлеб и	1	2
428	этом романе	1	2
429	но уже	1	2
430	на них	1	2
431	такие слова	1	2
432	в стиле	1	2
433	одну из	1	2
434	и великого	1	2
435	еще в	2	2
436	в xix	1	2
437	человека с	1	2
438	со своими	1	2
439	во многом	1	2
440	роман и	1	2
441	романа не	1	2
442	в человеке	1	2
443	жизни самого	1	1
444	ребенка и	2	1
445	в настоящем	1	1
446	быть по	1	1
447	еще раз	2	1
448	и мира	1	1
449	эдгара по	1	1
450	именно на	1	1
451	в момент	1	1
452	дело с	1	1
453	в финале	1	1
454	эта новая	1	1
455	но особо	1	1
456	не вызывает	1	1
457	и лучше	2	1
458	раз он	2	1
459	в большую	1	1
460	этим объясняется	2	1
461	ко всем	1	1
462	в первом	2	1
463	и чужой	1	1
464	это тот	1	1
465	и ярко	1	1
466	противопоставляющего себя	1	1
467	iii эта	1	1
468	если он	1	1
469	детей и	1	1
470	эти черты	1	1
471	облик в	1	1
472	это глубоко	1	1
473	дома и	2	1
474	не вполне	1	1
475	не менее	1	1
476	из петербурга	1	1
477	и тонко	1	1
478	что писал	1	1
479	играть в	1	1
480	и начинают	1	1
481	только теперь	1	1
482	всем его	1	1
483	время с	1	1
484	романе играет	1	1
485	совершенно ином	1	1
486	черты но	1	1
487	к этой	1	1
488	что этот	2	1
489	эта связь	1	1
490	iii и	1	1
491	побои в	1	1
492	объясняется и	1	1
493	в каких	1	1
494	миф о	1	1
495	романа на	1	1
496	это же	1	1
497	первый образ	1	1
498	как дьявол	1	1
499	рассказывает о	1	1
500	в применении	1	1
501	факт в	1	1
502	в карты	1	1
503	на новую	1	1
504	с другим	1	1
505	и любви	1	1
506	еще по	1	1
507	в самое	1	1
508	для разработки	1	1
509	же слова	1	1
510	он использовал	1	1
511	л н	1	1
512	который в	2	1
513	без которой	1	1
514	наблюдать и	1	1
515	не просто	2	1
516	будущего и	1	1
517	второй линии	1	1
518	и усиливает	1	1
519	материал произведения	1	1
520	и которое	1	1
521	не за	2	1
522	говорит о	2	1
523	которым человек	1	1
524	широко использовал	1	1
525	героини в	1	1
526	имеют особое	1	1
527	начала и	1	1
528	объясняется тем	1	1
529	тогда и	1	1
530	тем не	1	1
531	почему бы	1	1
532	призывом к	1	1
533	и за	2	1
534	как своего	1	1
535	может жить	1	1
536	говорит он	1	1
537	как же	2	1
538	мировой литературы	1	1
539	а за	1	1
540	которые так	1	1
541	о золотом	1	1
542	родного дома	1	1
543	это мы	1	1
544	одним из	1	1
545	и чисто	1	1
546	возвращается к	1	1
547	я и	1	1
548	как говорит	2	1
549	iii в	3	1
550	связан и	1	1
551	общую для	1	1
552	второй части	1	1
553	на свои	1	1
554	века в	1	1
555	лицемерием и	1	1
556	труда в	1	1
557	по поводу	2	1
558	до самой	1	1
559	из родного	1	1
560	к роману	1	1
561	линии в	1	1
562	был так	1	1
563	этой идеи	1	1
564	между тем	1	1
565	строится как	1	1
566	не из	1	1
567	в рассказе	2	1
568	совершенно иная	1	1
569	какой-то мере	1	1
570	за свои	1	1
571	и что	4	1
572	к ее	1	1
573	тем и	1	1
574	доходит до	1	1
575	это сюжетное	1	1
576	еще недавно	1	1
577	по вопросу	1	1
578	я увидел	2	1
579	умирает и	1	1
580	у которого	1	1
581	но без	1	1
582	он в	1	1
583	час и	1	1
584	к образу	1	1
585	строится на	1	1
586	этот своеобразный	1	1
587	он сказал	1	1
588	на родине	1	1
589	берется в	1	1
590	не значит	1	1
591	даже если	2	1
592	с которым	1	1
593	в общем	1	1
594	всю жизнь	1	1
595	время он	1	1
596	чтобы не	1	1
597	в развитии	1	1
598	для самого	1	1
599	своего рода	3	1
600	очень важно	2	1
601	на деле	1	1
602	в последующих	1	1
603	этой линии	1	1
604	этого мотива	1	1
605	по определению	1	1
606	например что	1	1
607	известно что	1	1
608	почти не	1	1
609	у отца	2	1
610	что это	5	1
611	позиции в	1	1
612	и герои	1	1
613	вместо того	1	1
614	мы понимаем	1	1
615	и силе	1	1
616	вопросу об	1	1
617	великолепным и	1	1
618	шутки и	1	1
619	роман о	2	1
620	линии романа	1	1
621	можно написать	1	1
622	небом в	1	1
623	а смерть	1	1
624	состоит из	2	1
625	с такими	1	1
626	создает и	1	1
627	была и	1	1
628	смертной казни	1	1
629	связаны между	1	1
630	роли в	1	1
631	стало быть	1	1
632	всех видах	1	1
633	растет и	1	1
634	это самое	1	1
635	высок и	1	1
636	говорили что	1	1
637	который он	1	1
638	попал в	1	1
639	не нужен	1	1
640	вообще мог	1	1
641	же во	1	1
642	авантюры и	1	1
643	но затем	1	1
644	таком виде	1	1
645	крест и	1	1
646	быть не	1	1
647	и успокаивающие	1	1
648	своего происхождения	1	1
649	в особую	1	1
650	в письмах	2	1
651	романов это	1	1
652	лишь бы	1	1
653	чтобы сохранить	1	1
654	вдруг на	1	1
655	собой но	2	1
656	что ты	1	1
657	в самую	2	1
658	самой природе	1	1
659	встреч и	1	1
660	близок к	1	1
661	что тут	1	1
662	слова он	1	1
663	и глубоким	1	1
664	на этот	1	1
665	особую роль	1	1
666	как во	1	1
667	этом свидетельствует	1	1
668	место этот	1	1
669	в больших	1	1
670	поэтому за	1	1
671	помощью этих	1	1
672	глава xi	1	1
673	вместе со	2	1
674	проблемы проблемы	1	1
675	что оно	1	1
676	что ему	1	1
677	мог быть	1	1
678	это был	2	1
679	свидетельствует о	1	1
680	сам говорит	2	1
681	а чтобы	1	1
682	а это	1	1
683	он и	2	1
684	предчувствия и	1	1
685	о нем	1	1
686	xix веке	2	1
687	нам еще	1	1
688	отчаянием и	1	1
689	части романа	1	1
690	смысле этого	1	1
691	превратиться в	1	1
692	роль играет	1	1
693	в виде	2	1
694	что роман	1	1
695	борьбу с	1	1
696	и первое	1	1
697	с человека	1	1
698	свободы воли	1	1
699	наших дней	1	1
700	есть с	1	1
701	за этим	1	1
702	даже на	2	1
703	на нее	1	1
704	перед смертью	1	1
705	указывает на	1	1
706	это очень	5	1
707	такой образ	1	1
708	страха и	1	1
709	виде в	1	1
710	работать и	1	1
711	и я	2	1
712	применении к	1	1
713	к вам	1	1
714	является любовь	1	1
715	а он	1	1
716	времени так	1	1
717	эти же	1	1
718	людей в	1	1
719	в области	1	1
720	что эти	2	1
721	к одному	1	1
722	ко всему	1	1
723	тем чем	1	1
724	и тонкие	1	1
725	за то	1	1
726	а к	1	1
727	xx века	1	1
728	ему нужно	1	1
729	это мне	1	1
730	это как	1	1
731	связь и	1	1
732	я к	2	1
733	а из	1	1
734	силе и	1	1
735	обстоит дело	1	1
736	против нее	1	1
737	с совершенно	1	1
738	ее жизни	2	1
739	конце концов	1	1
740	в отношениях	1	1
741	отцы и	2	1
742	свою жизнь	1	1
743	и смеялся	1	1
744	факт что	1	1
745	этого образа	1	1
746	на всю	1	1
747	этой схемы	1	1
748	его а	1	1
749	начала в	1	1
750	облекается в	1	1
751	где на	1	1
752	полностью сохраняет	1	1
753	умереть с	1	1
754	в высшей	1	1
755	и художественной	1	1
756	никому не	1	1
757	себя а	1	1
758	он широко	1	1
759	о своих	1	1
760	нуждается в	1	1
761	для характеристики	1	1
762	это в	1	1
763	носит в	1	1
764	он с	1	1
765	его воображение	1	1
766	слова в	1	1
767	некоторые черты	1	1
768	жизнью и	2	1
