N	2gram	Medvedev_U	EvropaiE
170	если не	2	1
171	более или	1	1
172	как самостоятельной	1	1
173	отказаться от	1	1
174	и единственно	1	1
175	не о	3	1
176	или иначе	1	1
177	в точном	1	1
178	не делает	1	1
179	сводится к	2	1
180	какой именно	1	1
181	мы получаем	2	1
182	конечно не	4	1
183	находит себе	1	1
184	что по	1	1
185	все же	3	1
186	при таком	2	1
187	противном случае	2	1
188	одно из	1	1
189	несомненно представляет	1	1
190	в исторической	1	1
191	поэзии и	1	1
192	о котором	1	1
193	и это	1	1
194	значительный сдвиг	1	1
195	об этом	1	1
196	или менее	1	1
197	к созданию	1	1
198	уже не	1	1
199	указаниями на	1	1
200	а для	1	1
201	было у	1	1
202	большей или	1	1
203	конечно это	1	1
204	могли бы	2	1
205	признать что	1	1
206	больше чем	1	1
207	переходит в	1	1
208	которой принадлежит	1	1
209	что мы	2	1
210	но нам	1	1
211	бы только	1	1
212	тех кто	1	1
213	тех и	1	1
214	то и	1	1
215	и разнообразие	1	1
216	чем то	1	1
217	говорить не	1	1
218	относится к	1	1
219	мыслей о	1	1
220	в этот	1	1
221	значительной мере	1	1
222	для тех	1	1
223	в современном	1	1
224	находящихся в	1	1
225	или иных	2	1
226	на его	1	1
227	лучше и	1	1
228	к области	2	1
229	за пределы	1	1
230	такой момент	1	1
231	у других	1	1
232	они относятся	1	1
233	входит в	1	1
234	даже не	1	1
235	к проблемам	1	1
236	к которой	1	1
237	литературы и	2	1
238	или меньшей	1	1
239	так то	1	1
240	он в	1	1
241	что для	1	1
242	него не	1	1
243	друг другу	1	1
244	той же	1	1
245	сдвиг в	1	1
246	существует в	1	1
247	подходят к	1	1
248	которое мы	1	1
249	быть в	1	1
250	тот же	1	1
251	не значит	1	1
252	имеются не	1	1
253	принципа в	1	1
254	с его	2	1
255	тех или	2	1
256	в противном	2	1
257	это в	1	1
258	в нем	1	1
259	но это	2	1
260	для этого	3	1
261	всех этих	2	1
262	признание что	1	1
263	пришлось бы	3	1
264	и искусства	1	1
265	в большей	1	1
266	бы значение	1	1
267	ли для	1	1
268	нам представляется	2	1
269	вне пределов	1	1
270	степени и	1	1
