N	2gram	Bakhtin_KF	slovoVRo
392	тона и	1	2
393	к такому	1	2
394	утверждать что	1	2
395	положения и	3	2
396	вступить в	2	2
397	можно говорить	1	2
398	та же	3	2
399	в последнем	1	2
400	как с	1	2
401	он стремится	1	2
402	и свою	1	2
403	исключительно на	1	2
404	был бы	3	2
405	во власти	1	2
406	и кроме	1	2
407	есть для	1	2
408	к действительности	1	2
409	из всех	1	2
410	тем как	3	2
411	субъективный процесс	3	2
412	этого момента	1	2
413	в едином	10	2
414	связанная с	1	2
415	связь с	1	2
416	оторванном от	1	2
417	и она	2	2
418	ни о	1	2
419	с ней	1	2
420	жизнь в	1	2
421	его мире	1	2
422	поступка и	7	2
423	миров в	1	2
424	их взаимное	1	2
425	включен в	1	2
426	в жизни	2	2
427	как о	1	2
428	к пределу	1	2
429	а именно	1	2
430	за свое	4	2
431	возможности в	2	2
432	приводит к	1	2
433	есть на	2	2
434	не нужно	2	2
435	при всех	1	2
436	в известном	1	2
437	этом его	2	2
438	но мы	1	2
439	себя от	1	2
440	всем его	3	2
441	по своему	3	2
442	здесь лишь	1	2
443	перестает быть	1	2
444	для друга	1	2
445	это и	3	2
446	ни к	2	2
447	то что	7	2
448	в котором	24	2
449	как предмета	2	2
450	во все	1	2
451	конечно что	1	2
452	только как	4	2
453	но во	1	2
454	другом в	1	2
455	из его	3	2
456	и т.п	1	2
457	контекста в	2	2
458	значение для	1	2
459	вступает в	3	2
460	не единство	1	2
461	совершенно не	7	2
462	чем не	4	2
463	он есть	1	2
464	цели и	1	2
465	точке зрения	1	2
466	это единство	3	2
467	но этот	2	2
468	несмотря на	1	2
469	в средние	1	2
470	к ним	4	2
471	нет и	3	2
472	нем не	2	2
473	акт и	4	2
474	она может	1	2
475	друг для	1	2
476	социальные и	1	2
477	единство его	1	2
478	смысле не	2	2
479	в определенных	1	2
480	предмета в	3	2
481	в нашем	1	2
482	для всего	1	2
483	что все	1	2
484	во всей	4	2
485	его для	1	2
486	есть только	1	2
487	момент в	7	2
488	свой смысл	1	2
489	а следовательно	3	2
490	лишь при	3	2
491	правду и	2	2
492	не из	2	2
493	не просто	1	2
494	то или	2	2
495	в ее	17	2
496	своего развития	1	2
497	остановимся еще	1	2
498	жизни но	3	2
499	известном смысле	1	2
500	ближе к	3	2
501	может казаться	1	2
502	только не	1	2
503	проникает в	5	2
504	мы видим	1	2
505	с человеком	3	2
506	себе самому	1	2
507	не можем	1	2
508	но прежде	1	2
509	на язык	3	2
510	в единое	2	2
511	к себе	2	2
512	что уже	1	2
513	оценки и	2	2
514	ни было	4	2
515	тем не	2	2
516	и за	2	2
517	конкретного и	1	2
518	на самом	3	2
519	разрыва между	1	2
520	и есть	10	2
521	бы только	1	2
522	оставаясь в	1	2
523	живет и	1	2
524	не для	1	2
525	этого не	1	2
526	ее от	2	2
527	и всякое	1	2
528	что она	1	2
529	которые как	1	2
530	и эта	2	2
531	что не	3	2
532	предмет как	2	2
533	что язык	1	2
534	дано в	1	2
535	контексте и	1	2
536	не остается	2	2
537	в какой	1	2
538	между ними	1	2
539	конкретный и	1	2
540	и само	2	2
541	мира он	1	2
542	себя как	2	2
543	в области	2	2
544	при таком	1	2
545	остановимся на	1	2
546	его смысловую	1	2
547	к единству	1	2
548	и оно	1	2
549	войти в	3	2
550	моментов и	1	2
551	себя до	1	2
552	об этом	1	2
553	за его	1	2
554	противопоставляет себя	1	2
555	своих моментах	2	2
556	это очень	1	2
557	поскольку она	2	2
558	даже там	1	2
559	мы можем	1	2
560	и эти	2	2
561	а с	2	2
562	если оно	1	2
563	в своих	4	2
564	а просто	1	2
565	средние века	1	2
566	моментами его	1	2
567	и затем	1	2
568	он принимает	1	2
569	к таковому	1	2
570	и ни	3	2
571	быть адекватно	1	2
572	всякое живое	1	2
573	это сознание	1	2
574	и та	3	2
575	пор не	1	2
576	нового времени	1	2
577	но такое	1	2
578	смысл это	1	2
579	сознания для	1	2
580	и жизни	4	2
581	по своей	1	2
582	этих случаях	1	2
583	к которой	2	2
584	это может	1	2
585	или иное	2	2
586	к ней	1	2
587	первом случае	1	2
588	культуры и	5	2
589	главным образом	1	2
590	бы его	1	2
591	именно там	1	2
592	ответственность за	2	2
593	сказать в	1	2
594	произведения не	1	2
595	человека как	1	2
596	не значит	6	2
597	на один	1	2
598	абстрактный момент	2	2
599	место в	6	2
600	столь же	1	2
601	же в	1	2
602	бы быть	5	2
603	на то	1	2
604	осмысления и	1	2
605	мира в	6	2
606	и только	7	2
607	просто не	1	2
608	каждый момент	2	2
609	независимо от	3	2
610	до абсурда	1	2
611	возможны и	1	2
612	в один	1	2
613	не предмет	1	2
614	и иные	1	2
615	не к	1	2
616	вне ее	4	2
617	в единство	3	2
618	в оценке	1	1
619	из самого	2	1
620	с которой	1	1
621	какого бы	1	1
622	героя герой	1	1
623	всех отношениях	2	1
624	было показано	1	1
625	стать в	1	1
626	во втором	1	1
627	в единую	1	1
628	было с	1	1
629	которой все	2	1
630	в душе	1	1
631	мир не	1	1
632	должен мыслить	3	1
633	всего в	1	1
634	само слово	1	1
635	но может	1	1
636	мир как	6	1
637	никогда и	1	1
638	как таковой	1	1
639	со всем	5	1
640	объективного и	1	1
641	живого и	1	1
642	бы то	2	1
643	можно и	2	1
644	если он	1	1
645	в специальном	1	1
646	и вследствие	1	1
647	лежащий в	1	1
648	он как	1	1
649	ровно ничего	1	1
650	и имеет	1	1
651	для себя	7	1
652	качестве необходимого	1	1
653	учитывает и	1	1
654	и должно	1	1
655	определенность и	1	1
656	она всегда	1	1
657	его содержание	1	1
658	момента в	1	1
659	дана как	1	1
660	освободиться от	1	1
661	специфическая особенность	1	1
662	самому своему	1	1
663	возможных точек	1	1
664	в понятия	1	1
665	дан в	2	1
666	или нет	1	1
667	все попытки	4	1
668	его он	1	1
669	мысли и	1	1
670	и относит	1	1
671	в индивидуальный	1	1
672	смерть и	1	1
673	из которых	2	1
674	и единственному	4	1
675	и говорить	1	1
676	находятся в	1	1
677	ориентации в	1	1
678	смыслу и	2	1
679	одно из	1	1
680	мышление и	2	1
681	только случайной	1	1
682	включение в	1	1
683	самого по	1	1
684	уже нет	1	1
685	слова ведь	1	1
686	сводится к	2	1
687	в живом	1	1
688	с собой	1	1
689	в единой	1	1
690	целом как	2	1
691	единством в	1	1
692	должен был	1	1
693	такого описания	1	1
694	могут стать	2	1
695	и он	1	1
696	единая и	4	1
697	но только	1	1
698	своей чистоты	1	1
699	он имеет	2	1
700	от исторического	1	1
701	до этого	1	1
702	отсюда его	1	1
703	планы и	1	1
704	оно ни	1	1
705	в напряженной	1	1
706	и навсегда	2	1
707	совершенно разные	1	1
708	от своего	1	1
709	и этот	3	1
710	проблемы в	1	1
711	определения и	1	1
712	равно как	1	1
713	все дело	1	1
714	мы говорим	2	1
715	целом с	1	1
716	в некотором	3	1
717	содержание и	2	1
718	форму и	1	1
719	данного человека	1	1
720	и иначе	1	1
721	и действительно	6	1
722	конечном счете	1	1
723	систему и	1	1
724	исходить из	1	1
725	и смысловых	1	1
726	относятся к	1	1
727	к действительному	1	1
728	предмет и	2	1
729	выражения и	1	1
730	здесь именно	1	1
731	и просто	2	1
732	и так	1	1
733	мире все	1	1
734	она исходит	1	1
735	своему смыслу	1	1
736	только для	1	1
737	определяет его	1	1
738	бы не	3	1
739	только себя	1	1
740	может дать	3	1
741	который не	1	1
742	от того	3	1
743	была лишь	1	1
744	предмету но	1	1
745	в план	1	1
746	в существенную	1	1
747	вследствие этого	2	1
748	со стороны	8	1
749	в это	2	1
750	эта последняя	1	1
751	всей своей	2	1
752	нем нет	1	1
753	данного предмета	1	1
754	должен стать	2	1
755	где оно	1	1
756	в основных	1	1
757	к той	1	1
758	действительности а	1	1
759	поступка в	6	1
760	частей и	1	1
761	действительность и	1	1
762	влечет за	1	1
763	только одно	1	1
764	другим как	1	1
765	сам же	1	1
766	нет ничего	1	1
767	одного и	2	1
768	и единое	1	1
769	не существует	1	1
770	шире и	1	1
771	и было	1	1
772	при условии	2	1
773	книге о	1	1
774	его собственном	1	1
775	моменты и	3	1
776	близости к	1	1
777	для жизни	1	1
778	в действительности	1	1
779	предмета его	1	1
780	и ценностный	1	1
781	что мы	1	1
782	его построения	1	1
783	совершенно иной	1	1
784	не имеют	1	1
785	раз и	2	1
786	как одно	1	1
787	каково бы	1	1
788	вне поля	1	1
789	задний план	1	1
790	мы ничего	1	1
791	всего этого	1	1
792	и место	1	1
793	факта и	2	1
794	по самому	1	1
795	это только	2	1
796	изнутри этих	2	1
797	быть не	2	1
798	противопоставлять себя	1	1
799	и содержание	5	1
800	с другим	4	1
801	суждения и	2	1
802	а через	1	1
803	пространстве и	1	1
804	нем для	1	1
805	в этот	1	1
806	иных разновидностей	1	1
807	это ее	1	1
808	поэтому мы	1	1
809	не достаточен	1	1
810	это разные	1	1
811	может войти	1	1
812	для нее	9	1
813	принципиально иначе	1	1
814	себя не	3	1
815	то все	1	1
816	чего не	2	1
817	между отдельными	1	1
818	таким путем	1	1
819	мир поэтому	1	1
820	может служить	1	1
821	за собой	1	1
822	смысл в	3	1
823	в многообразии	1	1
824	этим не	2	1
825	ориентируется в	1	1
826	под эти	1	1
827	единое событие	1	1
828	превращается в	1	1
829	времени и	4	1
830	нечего делать	1	1
831	переход из	1	1
832	нечто чего	1	1
833	а только	1	1
834	можно ли	2	1
835	предполагает единство	1	1
836	действительность при	1	1
837	изнутри в	2	1
838	как таковую	1	1
839	а во	1	1
840	месте и	1	1
841	направлен на	1	1
842	замкнутость и	1	1
843	всего что	1	1
844	как свой	1	1
845	имеем в	2	1
846	этого мира	3	1
847	процесс и	2	1
848	этому слову	1	1
849	его целом	10	1
850	совершенно иным	1	1
851	вообще и	1	1
852	признания в	1	1
853	их ибо	1	1
854	при данных	1	1
855	ее как	2	1
856	как единая	1	1
857	места для	1	1
858	знающего только	1	1
859	отвлекается от	1	1
860	план но	1	1
861	нем причем	2	1
862	не укорененное	1	1
863	быть в	4	1
864	нет этого	1	1
865	в реальном	1	1
866	находится в	1	1
867	в отвлечении	5	1
868	для которого	3	1
869	как все	1	1
870	а это	2	1
871	такие которые	1	1
872	действительности и	1	1
873	исходит из	1	1
874	выражения его	1	1
875	рассмотрения и	1	1
876	чтобы стать	2	1
877	не стоит	1	1
878	и именно	2	1
879	от них	1	1
880	иметь разные	1	1
881	в противном	1	1
882	единому и	4	1
883	он живет	1	1
884	какие бы	1	1
885	сама она	1	1
886	не переходит	1	1
887	казаться что	1	1
888	для этой	3	1
889	эта же	1	1
890	где все	1	1
891	нем может	1	1
892	а изнутри	3	1
893	но сама	1	1
894	тот же	3	1
895	мог бы	1	1
896	живое слово	1	1
897	моментов их	1	1
898	нельзя говорить	1	1
899	человека но	1	1
900	гораздо более	2	1
901	единство в	1	1
902	смысле и	2	1
903	оно просто	1	1
904	осуществляются в	1	1
905	или иным	2	1
906	как основной	1	1
907	своем месте	2	1
908	возможность в	2	1
909	этих моментов	2	1
910	момент как	1	1
911	сознание может	1	1
912	и развивается	2	1
913	и получает	1	1
914	норм но	1	1
915	един и	1	1
916	ничем не	1	1
917	мир в	12	1
918	менее в	1	1
919	так она	1	1
920	только по	2	1
921	здесь нет	3	1
922	и всей	1	1
923	котором и	3	1
924	так называемые	1	1
925	имеют в	1	1
926	зависит от	1	1
927	в последней	1	1
928	поэтому в	1	1
929	они вообще	1	1
930	она в	1	1
931	притом не	1	1
932	сознание в	1	1
933	не могущий	1	1
934	связи между	1	1
935	смысл которого	1	1
936	он становится	1	1
937	мы имеем	5	1
938	нет места	1	1
939	конца в	1	1
940	что мир	1	1
941	ним в	1	1
942	входит как	2	1
943	которых он	1	1
944	признать что	1	1
945	или с	1	1
946	данных обстоятельствах	1	1
947	него самого	1	1
948	он и	2	1
949	в напряженном	1	1
950	свое как	1	1
951	отсюда следует	2	1
952	от времени	1	1
953	где он	3	1
954	и через	1	1
955	значит не	1	1
956	сознания это	1	1
957	то прежде	1	1
958	или иную	1	1
959	не способны	1	1
960	сознания и	3	1
961	всех других	2	1
962	же не	1	1
963	ту область	1	1
964	ясность и	1	1
965	не от	1	1
966	только изнутри	6	1
967	в движение	1	1
968	здесь входить	1	1
969	что между	1	1
970	ибо оно	1	1
971	все равно	1	1
972	замкнутым и	1	1
973	и смысл	2	1
974	зрения его	1	1
975	есть еще	1	1
976	себя момент	1	1
977	всеми другими	1	1
978	только он	1	1
979	в конечном	1	1
980	но с	1	1
981	а к	1	1
982	нет это	1	1
983	вес в	1	1
984	бы для	1	1
985	говорим о	2	1
986	в разные	1	1
987	не о	2	1
988	следующие строки	1	1
989	него свое	1	1
990	как таковая	1	1
991	к миру	1	1
992	ибо все	3	1
993	и социальные	1	1
994	оторванный от	1	1
995	нормы для	1	1
996	этого утверждения	1	1
997	места в	4	1
998	из пределов	1	1
999	становления не	1	1
1000	нет подхода	2	1
1001	мышлением и	1	1
1002	в полноте	1	1
1003	от возможных	1	1
1004	чтобы быть	2	1
1005	его объективный	1	1
1006	бы оно	2	1
1007	отвлечении от	6	1
1008	лишь с	2	1
1009	как целое	1	1
1010	и того	2	1
1011	в индивидуальных	1	1
1012	им и	1	1
1013	и пытающегося	1	1
1014	оба этих	2	1
1015	есть именно	2	1
1016	между прочим	1	1
1017	в мире	8	1
1018	не существенно	1	1
1019	смысловой и	1	1
1020	в ту	2	1
1021	противном случае	1	1
1022	и конкретной	1	1
1023	конечно можно	1	1
1024	один и	3	1
1025	в действительной	4	1
1026	вокруг этих	2	1
1027	его жизни	3	1
1028	как не	1	1
1029	нужно еще	1	1
1030	эстетизма в	1	1
1031	должно признать	1	1
1032	и нераздельно	1	1
1033	себе и	3	1
1034	людьми и	1	1
1035	был не	1	1
1036	искусстве в	1	1
1037	общность и	1	1
1038	здесь проблемы	1	1
1039	много и	1	1
1040	таковому в	1	1
1041	человек здесь	1	1
1042	особенность ее	1	1
1043	к своеобразному	1	1
1044	и таким	1	1
1045	признание и	1	1
1046	целого и	1	1
1047	научных и	1	1
1048	действительный смысл	1	1
1049	сказать и	1	1
1050	но его	1	1
1051	свой мир	1	1
1052	чувствует себя	1	1
1053	ко всему	5	1
1054	отказа от	1	1
1055	конечно это	1	1
1056	том случае	1	1
1057	разницу в	1	1
1058	их не	1	1
1059	мир с	1	1
1060	которого и	2	1
1061	оба эти	2	1
1062	здесь существенно	1	1
1063	жизнь и	2	1
1064	освобождения от	1	1
1065	время находится	1	1
1066	и мира	1	1
1067	он ни	2	1
1068	на задний	1	1
1069	нем его	1	1
1070	но между	1	1
1071	для выражения	2	1
1072	мысль и	2	1
1073	оторванные от	2	1
1074	преобладает в	1	1
1075	все остальные	2	1
1076	другими словами	1	1
1077	время от	1	1
1078	и разнообразие	1	1
1079	не дает	3	1
1080	совсем не	2	1
1081	и закрепить	1	1
1082	но всегда	2	1
1083	чем дальше	1	1
1084	следовательно два	1	1
1085	оно становится	1	1
1086	вся игра	1	1
1087	ни была	1	1
1088	мы должны	1	1
1089	в искусстве	1	1
1090	когда он	1	1
1091	здесь на	1	1
1092	сознание не	1	1
1093	должны быть	1	1
1094	другим и	1	1
1095	свою жизнь	2	1
1096	единства в	2	1
1097	даны и	2	1
1098	и тот	3	1
1099	отношений между	1	1
1100	неотделим от	1	1
1101	этого факта	1	1
1102	когда оно	1	1
1103	стремится быть	1	1
1104	его понимает	1	1
1105	разных точек	1	1
1106	конечно все	1	1
1107	в действительном	6	1
1108	тем самым	4	1
1109	и времени	1	1
1110	миру и	1	1
1111	не касается	1	1
1112	основных линий	1	1
1113	ведь если	1	1
1114	то ни	2	1
1115	и всех	2	1
1116	тем или	1	1
1117	могла бы	4	1
1118	как из	1	1
1119	не дано	1	1
1120	и время	2	1
1121	определенного и	2	1
1122	него и	2	1
1123	далеко от	1	1
1124	оно должно	1	1
1125	содержанием и	1	1
1126	и никогда	1	1
1127	и полная	1	1
1128	но есть	2	1
1129	ибо нет	2	1
1130	что философия	2	1
1131	вокруг человека	1	1
1132	и себе	2	1
1133	только так	1	1
1134	бы он	2	1
1135	человеком как	1	1
1136	что может	1	1
1137	мысль в	1	1
1138	с чем	1	1
1139	от действительного	2	1
1140	в первой	1	1
1141	есть его	2	1
1142	сознания его	1	1
1143	здесь нельзя	1	1
1144	говорить об	1	1
1145	бы через	1	1
1146	от единого	2	1
1147	значимость и	2	1
1148	сознания по	2	1
1149	автора как	2	1
1150	в данный	3	1
1151	его к	2	1
1152	все другие	1	1
1153	человек не	2	1
1154	отнюдь не	7	1
1155	условия и	1	1
1156	формальный и	1	1
1157	ответственного за	1	1
1158	его есть	1	1
1159	здесь же	1	1
1160	бытия в	5	1
1161	к совершенно	1	1
1162	ни был	2	1
1163	свою правду	1	1
1164	чтобы не	2	1
1165	мне в	4	1
1166	которой мы	1	1
1167	себе а	2	1
1168	эти нормы	1	1
1169	и совершенно	3	1
1170	само по	1	1
1171	дело здесь	2	1
1172	не понижает	2	1
1173	жизнью и	1	1
1174	в каком	4	1
1175	он действительно	1	1
1176	чистота и	1	1
1177	можно только	1	1
