N	2gram	Losev_Vlad	UchenyiS
110	нам представляется	3	2
111	еще один	2	1
112	было у	1	1
113	без труда	1	1
114	в той	2	1
115	было и	1	1
116	в г	2	1
117	все в	1	1
118	что в	24	1
119	к лицу	1	1
120	была уже	2	1
121	с которыми	2	1
122	не было	12	1
123	остается в	1	1
124	так или	3	1
125	и даже	23	1
126	связанных с	1	1
127	первый план	4	1
128	этого и	1	1
129	более или	5	1
130	но тут	2	1
131	лет с	2	1
132	и потому	8	1
133	столько же	2	1
134	нам известно	1	1
135	но он	7	1
136	отказаться от	1	1
137	этом случае	1	1
138	в свое	6	1
139	в которой	8	1
140	можно сказать	10	1
141	этого не	2	1
142	угла он	1	1
143	мы можем	1	1
144	что же	11	1
145	которой все	1	1
146	или иначе	3	1
147	в данном	1	1
148	что ему	1	1
149	он уже	7	1
150	больше чем	2	1
151	а для	1	1
152	нет и	2	1
153	как на	2	1
154	равно как	1	1
155	вообще в	4	1
156	и вы	2	1
157	представляется что	1	1
158	религии и	1	1
159	быть не	1	1
160	со своими	4	1
161	он в	4	1
162	он успел	1	1
163	и все	8	1
164	что этот	4	1
165	существу то	1	1
166	содержание и	1	1
167	к изучению	2	1
168	изучение ее	1	1
169	сказать что	14	1
170	произведения как	2	1
171	и эта	1	1
172	достаточно ясно	1	1
173	почему и	1	1
174	речи в	1	1
175	он будет	2	1
176	слово что	1	1
177	его как	2	1
178	г №	1	1
179	него не	4	1
180	то есть	5	1
181	об ее	1	1
182	и всей	1	1
183	от которой	1	1
184	и др	1	1
185	в совокупности	1	1
186	своем месте	1	1
187	и действительно	3	1
188	очень часто	2	1
189	этого общего	1	1
190	того как	2	1
191	почти не	2	1
192	в таком	2	1
193	тех кто	2	1
194	то и	3	1
195	него уже	1	1
196	для изучения	1	1
197	поэта а	1	1
198	которое мы	1	1
199	и свое	2	1
200	она не	3	1
201	быть в	1	1
202	в произведении	2	1
203	чем то	1	1
204	в течение	13	1
205	до конца	8	1
206	творчество и	1	1
207	она в	1	1
208	впрочем не	5	1
209	в своем	10	1
210	тогда когда	1	1
211	с тем	4	1
212	в значительной	1	1
213	для себя	6	1
214	по теории	1	1
215	только как	1	1
216	что только	1	1
217	его на	4	1
218	в последние	3	1
219	только при	1	1
220	одной стороны	1	1
221	именно к	2	1
222	относится к	1	1
223	возвращается в	2	1
224	время не	1	1
225	мы имеем	2	1
226	не без	7	1
227	во мне	2	1
228	начала и	2	1
229	формализма в	1	1
230	этой же	1	1
231	искусства и	1	1
232	гораздо больше	1	1
233	что по	1	1
234	их в	3	1
235	же в	3	1
236	не для	1	1
237	высокую оценку	1	1
238	знает только	1	1
239	с самим	2	1
240	в ней	5	1
241	но по	2	1
242	или даже	1	1
243	и требованиями	1	1
244	где же	2	1
245	из первых	1	1
246	но что	5	1
247	в порядке	2	1
248	на одно	1	1
249	даже не	3	1
250	и так	3	1
251	и прежде	1	1
252	много но	1	1
253	путь и	1	1
254	место и	1	1
255	ошибок но	1	1
256	разрыв с	1	1
257	ему вообще	1	1
258	а это	3	1
259	в этот	5	1
260	значительной мере	1	1
261	в период	6	1
262	для тех	2	1
263	не вполне	3	1
264	к вопросам	1	1
265	на то	7	1
266	он и	8	1
267	конечно как	1	1
268	строго говоря	1	1
269	но если	1	1
270	это же	1	1
271	сам по	1	1
272	не столь	2	1
273	в которых	1	1
274	по мнению	1	1
275	была у	2	1
276	к этому	11	1
277	так и	11	1
278	это то	1	1
279	о нем	9	1
280	что с	3	1
281	из которых	1	1
282	это в	2	1
283	ее в	1	1
284	поэзии и	2	1
285	отнюдь не	3	1
286	о которой	3	1
287	и вся	1	1
288	часто бывает	1	1
289	сам только	1	1
290	в качестве	7	1
291	о котором	2	1
292	пишет в	2	1
293	в нем	7	1
294	ничего подобного	1	1
295	в пользу	1	1
296	он не	13	1
297	последние годы	4	1
298	ней не	2	1
299	независимо от	1	1
300	и своеобразным	1	1
301	все что	2	1
302	с каждым	2	1
303	на его	7	1
304	и что	11	1
305	одно из	1	1
306	что для	5	1
307	своей работе	1	1
308	и это	4	1
309	в различных	1	1
310	с одной	1	1
311	он был	20	1
312	за пределы	3	1
313	даны не	1	1
314	должно быть	1	1
315	об этом	13	1
316	правда не	1	1
317	то о	2	1
318	и искусства	1	1
319	само по	1	1
320	к которой	2	1
321	самое ее	1	1
322	или менее	5	1
323	пушкина но	1	1
324	тот же	7	1
325	уже не	6	1
326	у других	1	1
327	о том	13	1
328	толстой в	1	1
329	не то	3	1
330	по его	3	1
331	далеко не	1	1
332	тем более	4	1
333	к проблемам	1	1
334	эта работа	1	1
335	того что	6	1
336	у него	28	1
337	эту книгу	1	1
338	метод с	1	1
339	в котором	10	1
340	не существует	1	1
341	бы в	1	1
342	на слово	2	1
343	в виде	4	1
344	если у	2	1
345	той же	6	1
346	никогда не	15	1
347	в рецензии	1	1
348	мировоззрения и	1	1
