N	2gram	Trubetskoy	Sovremen
126	на их	1	2
127	у него	5	2
128	не могут	4	2
129	в виде	4	2
130	а на	1	2
131	свою очередь	2	2
132	и даже	1	2
133	как известно	3	2
134	самом деле	12	2
135	в которой	5	2
136	но все	5	2
137	ни одна	1	2
138	же самое	1	2
139	тот или	1	2
140	который как	1	2
141	возможность и	1	2
142	как мы	3	2
143	наконец не	2	2
144	настоящее время	3	2
145	развития в	1	2
146	тем же	2	2
147	той же	2	2
148	могут быть	1	2
149	и будет	2	2
150	в таком	4	2
151	в нашем	3	2
152	уже не	1	2
153	не знаем	1	2
154	что все	5	2
155	или иной	1	2
156	такой же	2	2
157	на этом	2	2
158	роль в	1	2
159	не менее	7	2
160	приводит к	1	2
161	и по	3	2
162	на котором	1	2
163	между всеми	1	2
164	с другом	9	2
165	из одного	2	2
166	в настоящее	3	2
167	в один	2	2
168	каждого из	1	2
169	знаем что	8	2
170	тот же	3	2
171	подлежит сомнению	3	2
172	всяком случае	2	2
173	он должен	2	2
174	причем эти	1	1
175	прошлого века	1	1
176	во всех	10	1
177	все они	6	1
178	надо всегда	2	1
179	только одно	3	1
180	бы то	3	1
181	рядом и	1	1
182	к которому	1	1
183	это и	1	1
184	этом случае	4	1
185	только не	2	1
186	этого явления	2	1
187	искать в	1	1
188	том случае	4	1
189	образом все	1	1
190	а потому	5	1
191	во втором	2	1
192	только все	1	1
193	но как	2	1
194	то они	4	1
195	поэтому что	4	1
196	не является	1	1
197	в данном	3	1
198	это конечно	2	1
199	до сих	15	1
200	только к	1	1
201	все его	2	1
202	за шагом	1	1
203	при условии	2	1
204	бы к	1	1
205	и более	2	1
206	та же	4	1
207	вытекает из	1	1
208	же они	1	1
209	точно такие	1	1
210	все три	1	1
211	один конец	1	1
212	хотя конечно	1	1
213	его мнению	1	1
214	видим что	1	1
215	в процессе	2	1
216	правда весьма	1	1
217	данном случае	3	1
218	ведь в	1	1
219	время из	1	1
220	ли это	1	1
221	связи с	4	1
222	этот процесс	2	1
223	если в	1	1
224	можем определить	1	1
225	должно быть	5	1
226	мы уже	4	1
227	в общий	2	1
228	с и	1	1
229	в первое	1	1
230	для ее	1	1
231	она не	2	1
232	в течение	4	1
233	но еще	1	1
234	ним и	1	1
235	одной стороны	2	1
236	шаг за	1	1
237	на друга	2	1
238	и у	4	1
239	быть в	1	1
240	в другом	2	1
241	а из	1	1
242	совсем не	1	1
243	потом и	1	1
244	несмотря на	6	1
245	заключают в	1	1
246	мы всегда	1	1
247	не быть	1	1
248	чем объясняется	1	1
249	в ней	3	1
250	из всех	5	1
251	друг на	2	1
252	ни было	3	1
253	на второй	1	1
254	элементов и	1	1
255	что эта	4	1
256	а может	1	1
257	на куски	1	1
258	они одинаково	1	1
259	хотя и	4	1
260	человек с	1	1
261	с другой	6	1
262	а это	2	1
263	в этот	1	1
264	с ним	6	1
265	на которых	1	1
266	он не	4	1
267	кроме того	1	1
268	и из	2	1
269	когда этот	1	1
270	всюду где	1	1
271	и той	1	1
272	будет ли	1	1
273	которые им	1	1
274	одной и	2	1
275	развития и	1	1
276	не будет	5	1
277	ни другое	1	1
278	что с	6	1
279	те же	2	1
280	между двумя	5	1
281	вследствие этого	3	1
282	а затем	2	1
283	всеми этими	2	1
284	в область	1	1
285	как у	3	1
286	увидим что	1	1
287	только на	1	1
288	и их	5	1
289	к среде	1	1
290	все что	10	1
291	не приходится	1	1
292	и та	1	1
293	следовательно они	1	1
294	и при	6	1
295	на самом	7	1
296	одному и	1	1
297	на которой	1	1
298	самое что	1	1
299	что каждый	1	1
300	совершенно так	4	1
301	можно было	1	1
302	и наиболее	1	1
303	разобраться в	2	1
304	как всякая	1	1
305	и от	5	1
306	в начале	3	1
307	нами в	1	1
308	факт что	4	1
309	этом направлении	1	1
310	по отношению	11	1
311	говорить что	3	1
312	развития все	2	1
313	более как	2	1
314	отдельных элементов	1	1
315	конечно не	3	1
316	и те	2	1
317	только в	6	1
318	тот факт	4	1
319	в совершенно	3	1
320	этот вопрос	2	1
321	различия между	3	1
322	же время	2	1
323	и может	3	1
324	не случайно	1	1
325	в ином	1	1
326	так же	8	1
327	конечно нет	1	1
328	его в	5	1
329	ведь если	1	1
330	перед глазами	1	1
331	приспособления к	1	1
332	с понятием	1	1
333	чем в	3	1
334	всегда будет	4	1
335	в своих	2	1
336	например при	1	1
337	первое время	5	1
338	не было	2	1
339	без всяких	1	1
340	с его	1	1
341	наука не	1	1
342	один из	1	1
343	всегда и	1	1
344	в духе	1	1
345	не более	2	1
346	если бы	8	1
347	ни то	1	1
348	не знает	2	1
349	заключает в	2	1
350	на которые	1	1
351	этого не	1	1
352	центр тяжести	1	1
353	очень мало	2	1
354	много и	1	1
355	ничего общего	3	1
356	из приведенных	1	1
357	определяет собою	1	1
358	к одному	1	1
359	промежуток времени	2	1
360	и еще	1	1
361	что его	4	1
362	может ли	1	1
363	в эту	2	1
364	этого доказательства	1	1
365	на такой	2	1
366	теперь мы	2	1
367	для каждого	1	1
368	дело в	1	1
369	крайней мере	1	1
370	эти доказательства	1	1
371	же как	3	1
372	только такой	1	1
373	по существу	7	1
374	сказать что	1	1
375	и эта	1	1
376	а но	1	1
377	в ту	2	1
378	сомнению что	3	1
379	но для	2	1
380	то из	3	1
381	и благодаря	1	1
382	и начало	2	1
383	именно в	5	1
384	новое изменение	1	1
385	и до	3	1
386	представление о	3	1
387	это делает	1	1
388	благодаря этому	1	1
389	отвлекается от	1	1
390	отношению к	11	1
391	бы все	1	1
392	от общей	1	1
393	вот к	1	1
394	случае не	1	1
395	в своем	12	1
396	в корне	1	1
397	она и	1	1
398	уже знаем	1	1
399	может признать	1	1
400	на другую	1	1
401	что следовательно	1	1
402	в связи	3	1
403	привилегированное положение	1	1
404	между ними	2	1
405	мы будем	3	1
406	во всей	2	1
407	ибо при	1	1
408	том что	20	1
409	что такой	2	1
410	рядом с	1	1
411	в одинаковой	1	1
412	в мире	6	1
413	же остается	1	1
414	на эту	1	1
415	это просто	1	1
416	всю эту	1	1
417	жизни в	1	1
418	но не	3	1
419	дело идет	1	1
420	так в	1	1
421	что роль	1	1
422	но если	2	1
423	они не	2	1
424	к концу	1	1
425	правда не	1	1
426	от другой	1	1
427	он сам	1	1
428	науки в	1	1
429	направление в	1	1
430	для этих	1	1
431	оно может	1	1
432	не имеет	2	1
433	их на	1	1
434	к этому	5	1
435	в такой	4	1
436	все более	1	1
437	вся эта	1	1
438	в то	6	1
439	и только	2	1
440	важную роль	1	1
441	по его	2	1
442	является ли	3	1
443	в отдельных	2	1
444	просто не	1	1
445	является только	1	1
446	этой области	4	1
447	именно эта	1	1
448	и следовательно	1	1
449	или нет	1	1
450	независимо от	2	1
451	и для	6	1
452	с ее	2	1
453	для их	1	1
454	таким же	3	1
455	и это	3	1
456	входящих в	2	1
457	того же	9	1
458	нет в	2	1
459	и если	6	1
460	и развития	1	1
461	должен быть	2	1
462	и его	2	1
463	и особенно	2	1
464	вовсе не	2	1
465	жизни к	1	1
466	и свою	1	1
467	этот остаток	1	1
468	о том	7	1
469	сих пор	15	1
470	есть не	1	1
471	и вообще	3	1
472	по крайней	1	1
473	иное как	1	1
474	степень сложности	1	1
475	отдельными частями	1	1
476	своего развития	1	1
477	такой путь	1	1
478	к нему	2	1
479	никогда не	4	1
480	на них	1	1
481	а потом	1	1
