N	2gram	Tiupa_Vved	EvropaiE
601	от своей	1	1
602	на практике	1	1
603	этих случаях	2	1
604	свое значение	1	1
605	реальности в	1	1
606	к которой	2	1
607	определенного рода	2	1
608	в обоих	3	1
609	как то	1	1
610	и наоборот	1	1
611	или иное	1	1
612	иной степени	1	1
613	и человечества	1	1
614	и настоящем	1	1
615	например по	1	1
616	со множеством	1	1
617	мира если	1	1
618	как известно	2	1
619	состоит в	23	1
620	лишь в	4	1
621	чем это	1	1
622	в рамках	5	1
623	сведена к	1	1
624	или меньшей	1	1
625	то чтобы	1	1
626	числе и	1	1
627	к первому	1	1
628	истории и	1	1
629	вопрос в	1	1
630	в отличие	11	1
631	он в	1	1
632	элементов в	1	1
633	соответствии с	8	1
634	каждой из	1	1
635	одного из	3	1
636	она может	2	1
637	что для	2	1
638	оставляя открытым	1	1
639	и тот	1	1
640	той же	3	1
641	только одна	1	1
642	и утверждается	1	1
643	их к	1	1
644	мы бы	1	1
645	и ее	2	1
646	она неизбежно	1	1
647	которое мы	1	1
648	свести к	1	1
649	быть в	1	1
650	что может	1	1
651	и оценивать	1	1
652	тот же	1	1
653	но возможно	2	1
654	в нашем	9	1
655	к которому	2	1
656	с собой	1	1
657	котором мы	1	1
658	то она	1	1
659	вплоть до	2	1
660	ряде случаев	1	1
661	в сознании	5	1
662	это что	1	1
663	и о	4	1
664	себя с	1	1
665	который в	5	1
666	одна из	5	1
667	которые мы	1	1
668	с его	1	1
669	и его	9	1
670	оно может	1	1
671	его к	1	1
672	в противном	2	1
673	существенное значение	1	1
674	при нынешнем	1	1
675	в отдельных	1	1
676	эти два	1	1
677	в нем	9	1
678	от основного	1	1
679	но это	4	1
680	если мы	1	1
681	для этого	2	1
682	с ее	3	1
683	всех этих	1	1
684	обратиться к	2	1
685	но так	2	1
686	и число	1	1
687	то или	1	1
688	означает что	1	1
689	они могут	1	1
690	одного и	1	1
691	мире как	1	1
692	следующей за	1	1
693	жизнью и	1	1
694	мировой истории	2	1
695	степени и	1	1
696	его можно	1	1
697	гораздо более	1	1
698	как некий	1	1
699	вне сознания	1	1
700	не исключает	1	1
