N	2gram	Losev_Vlad	OGranits
453	была действительно	1	1
454	чисто философских	1	1
455	что она	2	1
456	или даже	1	1
457	не существует	1	1
458	всем своем	1	1
459	далеко не	1	1
460	и о	6	1
461	но что	5	1
462	на который	1	1
463	вместе с	9	1
464	который в	1	1
465	и вместе	1	1
466	одна из	1	1
467	на эту	3	1
468	но когда	1	1
469	и серьезную	2	1
470	этого слова	1	1
471	другом месте	1	1
472	конечно для	1	1
473	в которых	1	1
474	внимание к	1	1
475	но не	5	1
476	собой разумеется	2	1
477	так в	1	1
478	именно с	2	1
479	но если	1	1
480	одно из	1	1
481	с его	15	1
482	при изучении	1	1
483	что до	1	1
484	ли не	1	1
485	то почему	1	1
486	себя и	1	1
487	оно может	1	1
488	по поводу	15	1
489	на место	1	1
490	в природе	1	1
491	в такой	1	1
492	и являются	1	1
493	быть и	1	1
494	в то	15	1
495	мыслей и	1	1
496	тут же	7	1
497	один и	2	1
498	живую действительность	1	1
499	действительности поэтому	1	1
500	общем виде	1	1
501	больше и	1	1
502	отнюдь не	3	1
503	только с	1	1
504	с позитивизмом	2	1
505	о которых	1	1
506	понятие о	1	1
507	ведь и	1	1
508	когда в	1	1
509	в себя	1	1
510	уже самое	1	1
511	она есть	1	1
512	с ее	1	1
513	из него	1	1
514	не из	2	1
515	как весьма	1	1
516	и это	4	1
517	этим самым	1	1
518	того же	11	1
519	в самой	1	1
520	в виде	4	1
521	от него	3	1
522	нам кажется	2	1
523	связанная с	1	1
524	само по	1	1
525	у в	1	1
526	здесь нет	1	1
527	к нему	6	1
528	до его	1	1
529	едва ли	3	1
530	даже самые	1	1
531	часто и	2	1
532	последнее время	2	1
533	в чисто	1	1
534	тем более	4	1
535	что имеет	1	1
536	то можно	1	1
537	особенно в	2	1
538	к обществу	1	1
539	которая есть	1	1
540	в несколько	1	1
541	которая и	1	1
542	как из	1	1
543	его можно	1	1
544	обратиться к	1	1
545	такие явления	1	1
546	на все	3	1
547	и особенно	6	1
548	нам представляется	3	1
549	еще не	2	1
550	в статье	2	1
