N	2gram	Voloshinov	Otkroven
328	ведь все	2	1
329	и более	6	1
330	достоевский в	1	1
331	с ними	5	1
332	к чему	1	1
333	была бы	1	1
334	истории и	1	1
335	всегда в	1	1
336	был для	1	1
337	уходят в	1	1
338	в виду	2	1
339	в силу	1	1
340	мысли как	1	1
341	на этот	3	1
342	их взаимоотношения	1	1
343	дело в	1	1
344	которого они	1	1
345	стремится к	2	1
346	места в	4	1
347	мужчины и	1	1
348	в мир	1	1
349	в силах	1	1
350	и эта	5	1
351	подходили к	1	1
352	своего сознания	1	1
353	к каким	2	1
354	его как	2	1
355	отношения к	2	1
356	тем же	4	1
357	жизни как	1	1
358	одним словом	2	1
359	не те	1	1
360	рода он	1	1
361	не делает	2	1
362	действительно в	1	1
363	и действительно	4	1
364	но нет	1	1
365	бы он	3	1
366	сказать в	1	1
367	в конце	5	1
368	противоречий и	1	1
369	в процессе	31	1
370	человеческой психики	1	1
371	например в	2	1
372	задача которая	1	1
373	в жизни	2	1
374	между этими	2	1
375	науку о	1	1
376	в пределы	1	1
377	но к	2	1
378	находится в	1	1
379	в корне	6	1
380	и множественное	1	1
381	характер и	1	1
382	во внутренней	3	1
383	с той	1	1
384	и без	1	1
385	лишь путем	1	1
386	как от	3	1
387	самостоятельного существования	1	1
388	лишь на	6	1
389	и как	8	1
390	то в	3	1
391	лишь с	6	1
392	всех тех	1	1
393	все время	1	1
394	идущих в	2	1
395	к его	4	1
396	человек в	1	1
397	в сознании	2	1
398	приходит в	1	1
399	одно только	2	1
400	что она	1	1
401	есть та	1	1
402	а именно	1	1
403	в зачаточном	1	1
404	жизни и	4	1
405	одна из	6	1
406	в разных	2	1
407	состоит из	1	1
408	и прежде	4	1
409	и вопрос	1	1
410	как в	5	1
411	этого слова	7	1
412	другом месте	1	1
413	в совершенно	2	1
414	даже до	1	1
415	на то	4	1
416	лица в	1	1
417	а иногда	2	1
418	образе в	1	1
419	от этого	3	1
420	в стихию	1	1
421	и я	1	1
422	нуждается в	4	1
423	эпоху возрождения	1	1
424	особый мир	1	1
425	отличается от	1	1
426	что во	2	1
427	да и	1	1
428	друг с	2	1
429	его жизни	2	1
430	нисколько не	1	1
431	сравнению с	1	1
432	но это	1	1
433	лишь для	4	1
434	в эти	2	1
435	растворяется в	1	1
436	в это	1	1
437	мир и	1	1
438	не стал	1	1
439	раскрывается до	1	1
440	из него	4	1
441	себе и	2	1
442	лишь один	1	1
443	с другом	2	1
444	которой в	1	1
445	и чем	1	1
446	связаны и	1	1
447	на своем	1	1
448	но там	1	1
449	одному то	1	1
450	внутренней жизни	4	1
451	она и	1	1
452	само по	2	1
453	к которой	1	1
454	опыт в	1	1
455	было не	1	1
456	из них	3	1
457	вовсе не	15	1
458	под влиянием	1	1
459	это так	2	1
460	уже не	2	1
461	в одной	4	1
462	мысли в	3	1
463	нее не	2	1
464	особенно в	1	1
465	со всеми	1	1
466	и самый	2	1
467	бы ни	1	1
468	и способы	1	1
469	бы в	4	1
470	к другому	7	1
471	отметить что	1	1
472	все устойчивые	1	1
473	людей в	1	1
