N	2gram	Tiupa_Vved	Sovremen
407	там где	1	1
408	вся эта	1	1
409	в то	5	1
410	и только	2	1
411	один и	1	1
412	по своим	3	1
413	отказавшись от	1	1
414	с готовыми	2	1
415	в отдельных	1	1
416	этой области	1	1
417	именно эта	2	1
418	иначе его	1	1
419	как целого	1	1
420	нет никаких	1	1
421	но это	4	1
422	когда в	2	1
423	и для	8	1
424	природой и	1	1
425	с ее	3	1
426	не что	1	1
427	и это	2	1
428	точка зрения	3	1
429	того же	1	1
430	начало нового	1	1
431	и если	1	1
432	более в	1	1
433	должен быть	3	1
434	и его	9	1
435	жизни не	2	1
436	и особенно	1	1
437	и становится	1	1
438	не давая	1	1
439	вовсе не	1	1
440	мере в	2	1
441	во внутреннем	1	1
442	о том	7	1
443	и вообще	1	1
444	по крайней	1	1
445	раз может	1	1
446	не образуется	1	1
447	иное как	1	1
448	зрения и	1	1
449	и нет	1	1
450	или другой	1	1
451	нам только	1	1
452	к нему	2	1
453	никогда не	6	1
454	той или	5	1
455	нас есть	1	1
