N	2gram	Bakhtin_fo	Russkaja
114	этом случае	1	3
115	был и	1	3
116	что оно	1	3
117	может не	1	3
118	данном случае	2	3
119	должно быть	6	3
120	несмотря на	1	3
121	вопросу о	3	3
122	что это	1	3
123	в качестве	6	3
124	для них	3	3
125	что и	5	3
126	сводится к	1	3
127	в виде	1	3
128	в будущем	1	3
129	не было	8	3
130	связи с	14	3
131	или в	3	3
132	сил и	1	3
133	тем что	4	3
134	именно в	5	3
135	в конце	11	3
136	и как	12	3
137	и т	21	3
138	да и	4	3
139	о которых	1	3
140	но мы	1	3
141	культуры в	1	3
142	той или	3	3
143	еще не	8	3
144	мира от	1	3
145	все они	4	3
146	и потому	4	3
147	только к	3	3
148	собой это	1	3
149	мы говорили	3	3
150	одна из	3	3
151	в значительной	3	3
152	на том	1	3
153	и ни	1	3
154	в другом	2	3
155	говорить о	1	3
156	борьбе с	4	3
157	приходит к	1	3
158	в большинстве	3	3
159	лишь в	8	3
160	она может	1	3
161	главным образом	1	3
162	и во	13	3
163	одной из	3	3
164	с нею	2	3
165	что все	4	3
166	он сам	2	3
167	и по	5	3
168	а следовательно	4	3
169	конце концов	1	3
170	друг друга	3	3
171	из этих	5	3
172	всех этих	9	3
173	таким же	1	3
174	из них	8	3
175	того что	5	3
176	были бы	1	2
177	на почве	2	2
178	от него	1	2
179	в положение	1	2
180	именно на	1	2
181	на совершенно	1	2
182	в единое	1	2
183	и вот	2	2
184	должна быть	1	2
185	к себе	8	2
186	сама по	1	2
187	время в	7	2
188	для себя	8	2
189	и должно	2	2
190	с самим	6	2
191	проявляется в	1	2
192	из всех	1	2
193	говорили в	1	2
194	самому своему	2	2
195	с ним	5	2
196	в некоторых	4	2
197	для нас	2	2
198	видеть в	1	2
199	касается до	1	2
200	ни в	9	2
201	в результате	6	2
202	это есть	1	2
203	это учение	1	2
204	в этих	6	2
205	у него	8	2
206	по себе	3	2
207	и человек	1	2
208	их не	2	2
209	чтобы в	1	2
210	и даже	5	2
211	если не	3	2
212	от друга	2	2
213	ее в	2	2
214	не о	2	2
215	себя на	1	2
216	все эти	12	2
217	на себя	2	2
218	но для	2	2
219	однако они	1	2
220	том же	4	2
221	в таком	4	2
222	отношения к	7	2
223	тому что	1	2
224	участие в	1	2
225	ясно что	2	2
226	не подлежит	1	2
227	их в	6	2
228	себя как	1	2
229	большинстве случаев	2	2
230	в порядке	4	2
231	является не	2	2
232	и вместе	1	2
233	всю эту	2	2
234	во главе	1	2
235	следовательно и	3	2
236	только для	2	2
237	отличается от	1	2
238	нисколько не	1	2
239	по самому	3	2
240	ведь в	1	2
241	к культуре	1	2
242	так же	7	2
243	друг от	2	2
244	в других	9	2
245	уже не	5	2
246	бы нас	2	2
247	чтобы понять	1	2
248	работа по	1	2
249	общественной жизни	1	2
250	с этим	11	2
251	его и	2	2
252	совершенно не	3	2
253	мы можем	2	2
254	на этой	4	2
255	больше чем	1	2
256	и более	3	2
257	в таких	2	2
258	в котором	8	2
259	мы уже	17	2
260	в борьбе	2	2
261	она не	2	2
262	вне всякой	1	2
263	в течение	2	2
264	другом и	2	2
265	всем этим	4	2
266	в ней	4	2
267	весьма часто	2	2
268	и тогда	1	2
269	значительной мере	2	2
270	могут не	1	2
271	и тем	1	2
272	быть и	4	2
273	в частности	11	2
274	для нее	1	2
275	а не	7	2
276	но она	2	2
277	только на	3	2
278	есть и	4	2
279	и является	2	2
280	и что	1	2
281	время когда	1	2
282	к данному	1	2
283	и тот	2	2
284	людей и	2	2
285	в начале	3	2
286	говоря о	1	2
287	факт что	1	2
288	по отношению	3	2
289	сами эти	1	2
290	целый ряд	2	2
291	даже не	2	2
292	и те	4	2
293	тот факт	1	2
294	этот вопрос	1	2
295	существование в	1	2
296	только с	1	2
297	культуры и	1	2
298	бы его	1	2
299	друг другу	4	2
300	их к	3	2
301	благодаря этому	1	2
302	этом и	1	2
303	и от	3	2
304	но в	16	2
305	и есть	3	2
306	по этому	2	2
307	место в	4	2
308	так что	4	2
309	и о	1	2
310	если они	2	2
311	бы ни	1	2
312	в области	1	2
313	но это	1	2
314	во время	7	2
315	в настоящее	1	2
316	не можем	1	2
317	и наконец	6	2
318	эта работа	1	2
319	разумеется что	2	2
320	не к	2	2
321	и ту	1	1
322	когда он	1	1
323	сплошь и	2	1
324	всего в	4	1
325	ближе к	1	1
326	себе самом	1	1
327	этого и	1	1
328	и весь	2	1
329	связан с	2	1
330	не вызывает	1	1
331	в любви	1	1
332	жизни но	7	1
333	как это	2	1
334	то они	2	1
335	ее и	1	1
336	других стран	1	1
337	будет ибо	1	1
338	еще одну	1	1
339	данной стране	2	1
340	один из	5	1
341	эти элементы	1	1
342	людей от	1	1
343	человеческой жизни	9	1
344	в жертву	1	1
345	и конечно	1	1
346	друг к	2	1
347	ничем не	1	1
348	ему что	1	1
349	на эти	1	1
350	а наоборот	1	1
351	же и	2	1
352	они не	4	1
353	вообще не	4	1
354	частные письма	1	1
355	себя только	1	1
356	то есть	42	1
357	это будет	1	1
358	частной человеческой	1	1
359	нас не	1	1
360	переходит в	1	1
361	время и	4	1
362	отношению к	5	1
363	собой в	1	1
364	они имеют	1	1
365	том числе	7	1
366	других и	1	1
367	бы друг	1	1
368	которых мы	1	1
369	мы не	4	1
370	на ее	1	1
371	что значит	1	1
372	в состоянии	1	1
373	связи между	2	1
374	с этой	3	1
375	быть тем	1	1
376	это не	8	1
377	человек может	1	1
378	он как	1	1
379	для всякого	1	1
380	в себя	3	1
381	при переходе	1	1
382	за ними	3	1
383	для которой	2	1
384	можно назвать	2	1
385	была бы	2	1
386	не для	3	1
387	эта идея	1	1
388	зрения все	1	1
389	которой этот	1	1
390	переносится в	1	1
391	уже знаем	1	1
392	бы на	1	1
393	эту культуру	1	1
394	человек с	2	1
395	в разных	6	1
396	на деле	1	1
397	совершенно различных	1	1
398	а это	1	1
399	этом отношении	5	1
400	же особенно	1	1
401	в сущности	5	1
402	в ее	6	1
403	на отдельные	1	1
404	с некоторым	1	1
405	тем чем	1	1
406	души и	1	1
407	для борьбы	1	1
408	так и	17	1
409	он на	1	1
410	те же	5	1
411	и говорить	1	1
412	о которой	1	1
413	мы в	1	1
414	глубоко и	1	1
415	и за	1	1
416	и рядом	2	1
417	которые внутренне	1	1
418	в полном	2	1
419	в тот	1	1
420	не являются	3	1
421	остановиться на	1	1
422	не меняется	3	1
423	не столько	2	1
424	с другими	3	1
425	собой разумеется	2	1
426	силу и	1	1
427	с исторической	1	1
428	борьбы с	1	1
429	это противоречие	1	1
430	участию в	1	1
431	только чтобы	1	1
432	это именно	1	1
433	смысле этого	1	1
434	влияние на	6	1
435	превратиться в	1	1
436	в состав	1	1
437	противоречие между	1	1
438	в русском	1	1
439	но на	4	1
440	не на	4	1
441	все равно	1	1
442	к участию	1	1
443	разумеется не	1	1
444	не истинной	1	1
445	тому же	2	1
446	совершенно ясно	1	1
447	а на	1	1
448	такого же	1	1
449	одну и	1	1
450	свой истинный	1	1
451	с данным	1	1
452	по пути	1	1
453	он имеет	1	1
454	или не	2	1
455	столько же	1	1
456	здесь мы	4	1
457	в которой	3	1
458	а за	1	1
459	и некоторые	1	1
460	в свои	1	1
461	с ней	1	1
462	представляется чрезвычайно	1	1
463	слова но	1	1
464	что по	1	1
465	дело в	3	1
466	необходимо чтобы	2	1
467	всем существом	1	1
468	в будущее	1	1
469	о своей	2	1
470	которые как	1	1
471	что не	3	1
472	они их	1	1
473	полным и	1	1
474	в эпоху	5	1
475	свою судьбу	1	1
476	данного человека	1	1
477	его жизнь	2	1
478	и культур	2	1
479	этот тип	2	1
480	из всего	1	1
481	и действительно	1	1
482	представление о	1	1
483	или хотя	1	1
484	к другим	1	1
485	здесь же	2	1
486	с господствующей	1	1
487	выход из	2	1
488	в жизни	6	1
489	более что	2	1
490	как другие	1	1
491	человек и	2	1
492	тем же	3	1
493	она и	1	1
494	пищи и	2	1
495	представители этого	1	1
496	в связи	13	1
497	отдельного человека	1	1
498	есть истинная	1	1
499	лишь с	1	1
500	к самому	1	1
501	похож на	3	1
502	с ними	1	1
503	и внутренне	1	1
504	принципиально отличается	1	1
505	же как	2	1
506	но по	2	1
507	или даже	1	1
508	веры и	1	1
509	между прочим	1	1
510	к другу	2	1
511	в одно	3	1
512	ними не	1	1
513	но когда	2	1
514	человека на	1	1
515	другом месте	2	1
516	в которых	4	1
517	есть только	2	1
518	себя к	1	1
519	именно этого	1	1
520	роль в	12	1
521	этого слова	2	1
522	особое значение	2	1
523	от этого	4	1
524	по своему	3	1
525	того и	3	1
526	бы не	1	1
527	в истории	6	1
528	со своей	3	1
529	или что	1	1
530	работа в	1	1
531	как не	1	1
532	войти в	1	1
533	в те	1	1
534	вследствие этого	4	1
535	это вдруг	1	1
536	говорить и	1	1
537	и это	5	1
538	а только	2	1
539	из одного	1	1
540	нем все	2	1
541	есть по	1	1
542	воплощает в	1	1
543	числе и	4	1
544	об этом	3	1
545	должен быть	2	1
546	и стал	2	1
547	ему как	1	1
548	своей жизни	6	1
549	на себе	1	1
550	к созданию	1	1
551	и у	8	1
552	как только	1	1
553	вовсе не	20	1
554	могло бы	1	1
555	и обратно	1	1
556	искусство и	1	1
557	на первый	2	1
558	дело сводится	1	1
559	и физически	1	1
560	в одной	2	1
561	тем более	4	1
562	перед нами	1	1
563	особенно часто	1	1
564	и другого	1	1
565	они стремятся	1	1
566	бы в	1	1
567	не был	2	1
568	необходимых для	1	1
569	нею в	1	1
570	на них	2	1
571	самом и	1	1
572	значит в	1	1
573	такое положение	1	1
574	эта точка	1	1
575	права и	1	1
576	и того	7	1
577	это и	1	1
578	еще и	3	1
579	сказать только	1	1
580	и дело	1	1
581	наконец и	4	1
582	может иметь	1	1
583	можно сказать	2	1
584	но все	6	1
585	и внутреннее	3	1
586	человека в	22	1
587	но как	1	1
588	всего необходимо	4	1
589	не является	4	1
590	всему этому	1	1
591	ее к	2	1
592	ряду с	2	1
593	и других	5	1
594	в основе	9	1
595	для создания	1	1
596	каждая из	1	1
597	с самого	3	1
598	становится и	1	1
599	данный момент	1	1
600	его жизни	11	1
601	своей собственной	3	1
602	эти последние	1	1
603	в очень	1	1
604	тех же	2	1
605	единое целое	1	1
606	он был	2	1
607	нас и	1	1
608	это как	1	1
609	идеал и	1	1
610	то и	1	1
611	на шее	1	1
612	хоть сколько-нибудь	1	1
613	той громадной	1	1
614	представления о	1	1
615	зрения в	1	1
616	в свою	2	1
617	входит в	3	1
618	ни один	2	1
619	это то	2	1
620	также и	6	1
621	ту же	4	1
622	по сравнению	3	1
623	личности и	2	1
624	не по	1	1
625	и неизбежно	1	1
626	не быть	3	1
627	другом в	1	1
628	это для	1	1
629	и исторических	1	1
630	же у	1	1
631	значение и	7	1
632	характера в	2	1
633	политического деятеля	1	1
634	из которой	1	1
635	существуют в	1	1
636	имеет в	2	1
637	к известной	1	1
638	что касается	1	1
639	всего на	1	1
640	только один	2	1
641	исходный пункт	1	1
642	родным народом	1	1
643	не могло	5	1
644	он всегда	2	1
645	известные элементы	1	1
646	и их	11	1
647	время ни	1	1
648	всех других	1	1
649	на его	1	1
650	хотя в	1	1
651	чем больше	1	1
652	для человека	1	1
653	в различных	2	1
654	не могла	2	1
655	на одну	1	1
656	быть как	1	1
657	борьба с	3	1
658	когда оно	1	1
659	но дело	2	1
660	не следует	1	1
661	значительной степени	1	1
662	стороны и	2	1
663	как оно	2	1
664	по своей	1	1
665	поэтому для	1	1
666	человека с	1	1
667	стало быть	1	1
668	существовать и	1	1
669	самого начала	3	1
670	свою очередь	1	1
671	должны были	1	1
672	им в	1	1
673	их и	3	1
674	идет о	2	1
675	как поступить	1	1
676	он весь	3	1
677	всего этого	3	1
678	могла бы	1	1
679	жизни данного	2	1
680	в данной	2	1
681	на ней	1	1
682	с ее	7	1
683	с другой	4	1
684	это же	1	1
685	с большой	3	1
686	как мы	19	1
687	в прошлом	3	1
688	известной степени	1	1
689	и большинство	1	1
690	эта слепая	1	1
691	из нее	2	1
692	и иерархических	1	1
693	к ним	3	1
694	же самое	2	1
695	разные виды	1	1
696	тот или	1	1
697	его целом	2	1
698	удельного веса	1	1
699	к ней	2	1
700	с людьми	1	1
701	нет и	4	1
702	со своими	1	1
703	другом все	1	1
704	политические и	1	1
705	природы и	2	1
706	что во	1	1
707	его лежит	1	1
708	у всех	1	1
709	если мы	2	1
710	та или	1	1
711	чтобы они	4	1
712	мы определили	1	1
713	для всей	1	1
714	и культуру	1	1
715	совершенно чуждые	1	1
716	могут быть	7	1
717	не за	1	1
718	одного и	6	1
719	формы в	1	1
720	и личные	1	1
721	и все	10	1
722	играют в	1	1
723	до конца	5	1
724	на него	1	1
725	основе его	1	1
726	должны быть	2	1
727	такого человека	1	1
728	это отношение	1	1
729	т.д эта	1	1
730	выражением его	1	1
731	преимущественно в	1	1
732	с которым	1	1
733	в зависимости	1	1
734	теми же	1	1
735	образом в	1	1
736	в общем	1	1
737	на этот	1	1
738	он может	1	1
739	бытия и	2	1
740	подходе к	2	1
741	они сами	2	1
742	такой же	1	1
743	своему существу	2	1
744	происходит в	2	1
745	нечего и	1	1
746	и прежде	4	1
747	все виды	1	1
748	чаще всего	1	1
749	же мы	1	1
750	до известной	1	1
751	и проч	5	1
752	и целостности	1	1
753	выражение в	3	1
754	совершенно иные	1	1
755	быть для	1	1
756	для этих	1	1
757	от них	1	1
758	в царстве	1	1
759	на место	1	1
760	всем мире	1	1
761	к этому	5	1
762	существом своим	1	1
763	оказывается что	2	1
764	неразрывно связаны	1	1
765	же это	1	1
766	само собой	2	1
767	в отдельных	2	1
768	глубоко различны	1	1
769	надо было	1	1
770	связаны с	3	1
771	для чего	1	1
772	к своей	2	1
773	событий и	3	1
774	сам а	1	1
775	точка зрения	4	1
776	нас может	1	1
777	того же	9	1
778	и сама	1	1
779	носит в	1	1
780	в самой	3	1
781	в один	2	1
782	в турции	1	1
783	оказались бы	3	1
784	что на	3	1
785	есть не	4	1
786	они были	4	1
787	степени и	1	1
788	все такие	1	1
789	от ее	1	1
790	его можно	1	1
791	и ничего	1	1
792	любви и	1	1
