N	2gram	Tiupa_Disk	Formalny
580	он пишет	1	3
581	чтобы стать	1	3
582	романа и	2	3
583	иное значение	1	3
584	никак не	1	3
585	поэтому в	2	3
586	и создает	1	3
587	со всеми	1	3
588	строгом смысле	1	3
589	с таким	1	3
590	звук в	1	3
591	одновременно с	2	3
592	содержание и	1	3
593	можно назвать	2	3
594	в в	1	3
595	в которых	5	3
596	не приводит	1	3
597	влияния на	2	3
598	бы не	1	3
599	том как	1	3
600	вследствие этого	4	3
601	на их	1	3
602	в каком	1	3
603	на своем	1	3
604	к созданию	1	3
605	в словах	1	3
606	перед нами	4	3
607	но оно	1	3
608	художественного целого	3	3
609	это понятие	3	3
610	и заключается	1	3
611	том числе	3	3
612	не утрачивает	1	3
613	обойтись без	1	3
614	только тем	1	3
615	каждый из	2	3
616	поэзии как	1	3
617	состоит в	20	3
618	реальной действительностью	1	3
619	непосредственно из	1	3
620	в данной	3	3
621	о поэзии	1	3
622	как предмет	1	3
623	неотделимо от	3	3
624	действительности а	1	3
625	на материале	1	3
626	часто и	1	3
627	этого термина	2	3
628	как со	1	3
629	нас не	1	3
630	из своих	1	3
631	возможно только	2	3
632	с их	3	3
633	целого высказывания	3	3
634	или иной	8	3
635	дело в	3	3
636	поэтому и	1	3
637	противном случае	1	3
638	к своему	2	3
639	со своей	2	3
640	но уже	3	3
641	на его	4	3
642	тем более	1	3
643	к одному	2	3
644	человек не	2	3
645	одну из	2	3
646	что является	1	3
647	иногда и	1	3
648	во второй	1	3
649	когда он	3	3
650	не с	4	3
651	в науке	2	3
652	и иных	1	3
653	эпохи и	2	3
654	числе и	3	3
655	же самое	2	3
656	или точнее	1	3
657	и вне	2	3
658	а часто	1	3
659	развитие литературы	1	3
660	и прежде	2	3
661	в современной	2	3
662	на то	1	3
663	мира в	6	3
664	бытия в	1	3
665	именно это	1	3
666	что на	3	3
667	в известной	1	3
668	и иные	2	3
669	в понятии	1	3
670	себе а	1	3
671	говоря уже	2	2
672	типа как	1	2
673	как явления	1	2
674	с предшествующими	1	2
675	в историческую	1	2
676	вне художественной	1	2
677	тем как	1	2
678	или нет	1	2
679	же относятся	1	2
680	о чем	4	2
681	строго говоря	3	2
682	поэтому они	1	2
683	говорит о	1	2
684	в принципе	4	2
685	к реальному	1	2
686	и само	2	2
687	не сможет	2	2
688	явно не	1	2
689	художественное целое	2	2
690	о мире	2	2
691	от всего	1	2
692	к более	1	2
693	представление о	1	2
694	принадлежат к	3	2
695	отношением к	1	2
696	том или	1	2
697	его на	1	2
698	взаимодействия людей	1	2
699	в собственном	1	2
700	только через	2	2
701	может существовать	1	2
702	или ином	1	2
703	значение не	1	2
704	тем или	1	2
705	своем творчестве	1	2
706	ни для	4	2
707	установку на	2	2
708	при помощи	1	2
709	направлен на	2	2
710	здесь имеет	1	2
711	с реальной	1	2
712	и того	6	2
713	к теории	1	2
714	из важнейших	2	2
715	во внешнем	1	2
716	ее к	1	2
717	не могли	1	2
718	не создает	1	2
719	она могла	1	2
720	говорить не	1	2
721	значения слова	1	2
722	понятия в	1	2
723	и другой	2	2
724	научной мысли	1	2
725	уже о	2	2
726	в этот	1	2
727	и событие	1	2
728	а непосредственно	1	2
729	не встречается	1	2
730	в строгом	5	2
731	отметить что	1	2
732	точке зрения	2	2
733	автора с	1	2
734	его собственной	1	2
735	с другим	1	2
736	высказывание может	1	2
737	то чтобы	2	2
738	системы а	1	2
739	а сам	4	2
740	что она	1	2
741	мысли в	1	2
742	момент в	3	2
743	согласиться с	1	2
744	с читателем	3	2
745	в структуре	1	2
746	определенного жанра	1	2
747	чем это	1	2
748	себя в	8	2
749	но сама	1	2
750	и выражения	1	2
751	жанра в	4	2
752	не имеющих	1	2
753	искусства не	1	2
754	и столь	1	2
755	мышления и	1	2
756	является результатом	1	2
757	высказываний в	1	2
758	указать на	3	2
759	но отнюдь	2	2
760	что человек	1	2
761	гуманитарных науках	1	2
762	целого это	1	2
763	несмотря на	1	2
764	эволюции но	1	2
765	они в	1	2
766	х годов	2	2
767	не выходя	1	2
768	и развития	1	2
769	не совпадают	1	2
770	или не	2	2
771	не знает	4	2
772	именно здесь	1	2
773	развития как	1	2
774	здесь же	1	2
775	период своего	1	2
776	и всю	1	2
777	русской литературы	1	2
778	даль и	1	2
779	выходя за	1	2
780	жанров в	5	2
781	характер и	3	2
782	лишь на	1	2
783	на земле	1	2
784	так на	1	2
785	в ряду	4	2
786	от литературы	1	2
787	терминов и	1	2
788	а для	1	2
789	не был	1	2
790	той или	6	2
791	и мир	1	2
792	а с	8	2
793	к литературе	1	2
794	вообще в	1	2
795	героя и	2	2
796	в философии	1	2
797	что его	1	2
798	сюда же	1	2
799	ориентировано на	1	2
800	все то	1	2
801	человека как	1	2
802	действующих лиц	1	2
803	на нем	1	2
804	одно и	2	2
805	но только	1	2
806	также не	1	2
807	произведение не	1	2
808	как известно	1	2
809	однако в	3	2
810	но есть	1	2
811	подход к	4	2
812	о ней	2	2
813	и есть	2	2
814	жизни с	1	2
815	и определяется	1	2
816	необходимо чтобы	2	2
817	речи именно	1	2
818	для построения	1	2
819	при всем	1	2
820	природой литературы	1	2
821	влияние и	1	2
822	события в	3	2
823	были бы	1	2
824	нет а	1	2
825	как формулирует	1	2
826	автор и	3	2
827	как с	1	2
828	речи но	1	2
829	жизни а	2	2
830	этого понятия	2	2
831	но она	3	2
832	групп и	1	2
833	новый жанр	1	2
834	это уже	1	2
835	из того	1	2
836	или иная	1	2
837	в тех	2	2
838	творчество как	1	2
839	целом ряде	1	2
840	на читателя	1	2
841	и вполне	1	2
842	почему они	1	2
843	от их	1	2
844	с ними	1	2
845	особого рода	3	2
846	к искусству	2	2
847	по тынянову	1	2
848	заключается в	3	2
849	эпоху его	1	2
850	жанровых разновидностей	1	2
851	события но	1	2
852	не делает	1	2
853	в одних	1	2
854	далеко не	10	2
855	можно утверждать	1	2
856	в следующей	1	2
857	друг от	1	2
858	общения а	1	2
859	но из	1	2
860	одним и	1	2
861	ни к	11	2
862	всей его	2	2
863	самого рассказа	2	2
864	не учитывать	1	2
865	где нет	1	2
866	совершенно иной	1	2
867	не совпадает	1	2
868	в круг	1	2
869	мира как	1	2
870	автора и	1	2
871	не должно	2	2
872	в отдельности	1	2
873	из его	1	2
874	в современном	3	2
875	и вся	1	2
876	или иных	1	2
877	смысл в	2	2
878	времени и	5	2
879	было и	1	2
880	если произведение	1	2
881	переход от	2	2
882	к ним	3	2
883	то она	2	2
884	к миру	1	2
885	на этот	1	2
886	литературы не	1	2
887	только потому	1	2
888	и нет	1	2
889	литературе в	1	2
890	жизни не	2	2
891	жизни но	2	2
892	как особой	1	2
893	этом случае	3	2
894	на языке	3	2
895	и всякий	1	2
896	ему в	3	2
897	выходит за	1	2
898	для художественного	2	2
899	мы имеем	4	2
900	экспрессивной интонации	1	2
901	в определенном	1	2
902	как у	1	2
903	таком случае	1	2
904	форм высказывания	1	2
905	о другой	1	2
906	в виде	1	2
907	но с	1	2
908	что ни	3	2
909	от друга	1	2
910	пределах одной	1	2
911	остается и	1	2
912	что будет	2	2
913	в силу	5	2
914	с теми	1	2
915	языка с	2	2
916	что этот	1	2
917	и без	2	2
918	является по	1	2
919	и взаимодействия	1	2
920	говорят о	1	2
921	однако это	3	2
922	мира и	3	2
923	а иногда	1	2
924	с историей	1	2
925	были не	1	2
926	в каждой	3	2
927	за его	2	2
928	не знают	2	2
929	связаны с	1	2
930	следующей главе	1	2
931	людей в	1	2
932	отношения между	1	2
933	этих двух	1	2
934	распространяется на	1	2
935	не говоря	2	2
936	том случае	1	2
937	человека в	6	2
938	и эти	1	2
939	в полной	1	2
940	он говорит	1	2
941	предыдущей главе	1	2
942	формы высказывания	1	2
943	перестал бы	1	2
944	своего исторического	1	2
945	служебной роли	1	2
946	людей между	1	2
947	и ни	1	2
948	ту или	1	2
949	дело не	3	2
950	предметом художественного	1	2
951	к оде	1	2
952	высказывания в	7	2
953	в другом	5	2
954	в истолковании	1	2
955	рассматривать как	2	2
956	данный исторический	1	2
957	та или	1	2
958	этих форм	1	2
959	при изучении	1	2
960	конструктивного целого	1	2
961	тех или	1	2
962	это в	4	2
963	как целого	1	2
964	и слишком	1	2
965	жизнью и	1	2
966	фигурирует в	1	2
967	существенную роль	4	1
968	более не	1	1
969	мы обратимся	1	1
970	почву для	1	1
971	они имеют	1	1
972	всего это	1	1
973	формы художественного	1	1
974	процессе становления	2	1
975	сказка как	1	1
976	было ему	1	1
977	и ложные	1	1
978	из сторон	1	1
979	зрения на	3	1
980	не нужна	1	1
981	в изучении	1	1
982	что всякая	1	1
983	в момент	2	1
984	высказываний с	1	1
985	ответную реакцию	1	1
986	где два	1	1
987	исходя из	3	1
988	творчества в	1	1
989	человеческого характера	1	1
990	не самой	1	1
991	и имеет	1	1
992	степени как	1	1
993	это лишь	1	1
994	что делает	2	1
995	оказывается не	1	1
996	анекдот и	1	1
997	одно единственное	1	1
998	этом заключается	1	1
999	формы целого	2	1
1000	в разных	1	1
1001	в готовом	2	1
1002	в большей	1	1
1003	и составляет	3	1
1004	мысли и	2	1
1005	можно определить	2	1
1006	его под	1	1
1007	литературными произведениями	1	1
1008	по праву	1	1
1009	нас в	2	1
1010	например с	1	1
1011	одно из	4	1
1012	и изучения	1	1
1013	не внешними	2	1
1014	целом его	1	1
1015	к жанру	3	1
1016	по мере	2	1
1017	котором они	1	1
1018	всей ее	1	1
1019	аналогичное значение	1	1
1020	быть названа	1	1
1021	проблемы которые	1	1
1022	в мифе	1	1
1023	на свой	1	1
1024	новое время	1	1
1025	и сам	2	1
1026	единичных произведений	1	1
1027	окажется неадекватным	1	1
1028	его смысл	1	1
1029	существования в	1	1
1030	именно о	1	1
1031	в построении	2	1
1032	такого высказывания	1	1
1033	по мысли	9	1
1034	ведет к	6	1
1035	том же	1	1
1036	и требует	2	1
1037	места и	1	1
1038	литературой а	1	1
1039	стороны в	1	1
1040	там же	3	1
1041	ранний период	2	1
1042	приходит в	2	1
1043	ему по	1	1
1044	одновременно и	3	1
1045	понимания и	1	1
1046	литературы это	1	1
1047	собой не	1	1
1048	это бывает	1	1
1049	историческая жизнь	1	1
1050	его по-своему	1	1
1051	философии или	1	1
1052	утрачивает своей	1	1
1053	или во	1	1
1054	по своим	4	1
1055	как литературный	1	1
1056	обращения к	1	1
1057	у достоевского	1	1
1058	различные формы	2	1
1059	двояко и	1	1
1060	фразы как	1	1
1061	в себя	7	1
1062	культуры в	1	1
1063	нем нет	1	1
1064	социальной ситуации	1	1
1065	определяется не	2	1
1066	все их	1	1
1067	не удается	1	1
1068	нет у	1	1
1069	и образ	1	1
1070	сфер в	1	1
1071	для человека	1	1
1072	было содержанием	1	1
1073	понятно что	1	1
1074	нечто общее	1	1
1075	не предполагает	4	1
1076	в первую	3	1
1077	героя или	1	1
1078	в центр	1	1
1079	не существует	1	1
1080	от целого	1	1
1081	об ее	1	1
1082	своей природе	3	1
1083	отсюда и	1	1
1084	романного жанра	3	1
1085	время от	1	1
1086	представления о	2	1
1087	сохраняет свое	1	1
1088	в нескольких	1	1
1089	оказывается и	1	1
1090	произведения они	1	1
1091	но эти	1	1
1092	из жизни	3	1
1093	времени в	3	1
1094	которых не	1	1
1095	шкловского о	1	1
1096	и действия	1	1
1097	связи как	1	1
1098	для себя	6	1
1099	она еще	1	1
1100	случае мы	1	1
1101	мы все	2	1
1102	о них	2	1
1103	всего как	1	1
1104	этого жанра	3	1
1105	объективной действительности	1	1
1106	приходит к	1	1
1107	обращаясь к	2	1
1108	и была	1	1
1109	была определена	1	1
1110	не обязательно	4	1
1111	вообще но	1	1
1112	чистом виде	1	1
1113	в пушкинском	1	1
1114	не вполне	1	1
1115	углом зрения	1	1
1116	на явления	1	1
1117	от своей	1	1
1118	и еще	1	1
1119	в чистом	1	1
1120	необходимо понять	1	1
1121	этом рассуждении	1	1
1122	друг на	1	1
1123	настолько что	1	1
1124	слов о	1	1
1125	для превращения	1	1
1126	дистанция между	2	1
1127	не становится	1	1
1128	внутреннем мире	1	1
1129	об отсутствии	1	1
1130	же так	1	1
1131	однако эти	1	1
1132	жизни как	2	1
1133	наряду с	1	1
1134	он создал	1	1
1135	роман якобсон	1	1
1136	и оценки	1	1
1137	привели к	1	1
1138	такая же	1	1
1139	на сцене	2	1
1140	входят в	1	1
1141	наши высказывания	1	1
1142	не ведет	1	1
1143	науке о	2	1
1144	иерархическое место	1	1
1145	у этих	1	1
1146	трагедии и	1	1
1147	задач в	1	1
1148	не мог	1	1
1149	общих чертах	2	1
1150	как будто	3	1
1151	этом же	1	1
1152	к языку	1	1
1153	одно это	1	1
1154	крайней мере	3	1
1155	своего труда	1	1
1156	все перечисленные	1	1
1157	действительно в	1	1
1158	базируется на	1	1
1159	и становясь	1	1
1160	сведено к	1	1
1161	того о	1	1
1162	а потом	2	1
1163	где впервые	1	1
1164	ближе к	2	1
1165	хотят и	1	1
1166	сводить к	1	1
1167	не состоит	2	1
1168	не зная	1	1
1169	чисто внешним	1	1
1170	собой и	1	1
1171	и мы	1	1
1172	по природе	6	1
1173	несколько литературных	1	1
1174	ведь для	1	1
1175	к их	2	1
1176	она и	1	1
1177	для поэтики	1	1
1178	явление культуры	1	1
1179	эта особенность	1	1
1180	сознания с	2	1
1181	слова является	1	1
1182	следует однако	1	1
1183	относятся не	1	1
1184	такова была	1	1
1185	решающее значение	1	1
1186	действителен и	1	1
1187	слова эта	1	1
1188	такого рода	11	1
1189	миров и	2	1
1190	следует сказать	1	1
1191	теории в	1	1
1192	обратить внимание	2	1
1193	обнаруживается в	2	1
1194	не стремится	1	1
1195	его себе	1	1
1196	есть его	1	1
1197	от современной	2	1
1198	его контекста	1	1
1199	трудно не	1	1
1200	каждом шагу	1	1
1201	по мнению	1	1
1202	выбора и	2	1
1203	слово не	2	1
1204	может оказаться	1	1
1205	или иную	1	1
1206	их становления	1	1
1207	xix века	1	1
1208	характер события	1	1
1209	себе не	4	1
1210	не обладает	2	1
1211	в подобном	1	1
1212	опираясь на	1	1
1213	в каждый	1	1
1214	прозы не	1	1
1215	можно рассматривать	1	1
1216	особенно если	1	1
1217	первая часть	1	1
1218	эстетический объект	1	1
1219	живет и	1	1
1220	трехмерного конструктивного	1	1
1221	система смыслов	2	1
1222	героя с	1	1
1223	как определенного	1	1
1224	преимущественно на	1	1
1225	определенной жанровой	2	1
1226	на себя	2	1
1227	всем что	2	1
1228	вхождения в	1	1
1229	изображения его	1	1
1230	а смысл	1	1
1231	не случайный	1	1
1232	времени как	1	1
1233	его понимании	2	1
1234	я и	3	1
1235	свои специфические	1	1
1236	этом последнем	1	1
1237	обычно является	1	1
1238	встречается в	1	1
1239	себя как	1	1
1240	сообщение о	1	1
1241	во главе	1	1
1242	того и	2	1
1243	то при	1	1
1244	значении термина	5	1
1245	такова внутренняя	1	1
1246	служит для	2	1
1247	о которых	1	1
1248	эволюция и	1	1
1249	иногда не	2	1
1250	высказывания жанр	1	1
1251	себе и	1	1
1252	точек зрения	1	1
1253	рассказа не	2	1
1254	отсутствии в	1	1
1255	нельзя не	2	1
1256	переживания по	1	1
1257	в русской	4	1
1258	не имея	2	1
1259	и быть	1	1
1260	если оно	1	1
1261	что даже	2	1
1262	разрыв между	1	1
1263	стремится к	3	1
1264	сравнительно поздно	1	1
1265	самый процесс	1	1
1266	целое высказывание	1	1
1267	образований и	1	1
1268	понятие о	3	1
1269	в и	1	1
1270	непосредственно на	1	1
1271	жанровые формы	1	1
1272	дистанции между	2	1
1273	не принадлежит	1	1
1274	он стал	1	1
1275	творчества произведения	1	1
1276	это по	1	1
1277	к чему-то	1	1
1278	нашего рассмотрения	1	1
1279	оказывается в	2	1
1280	и существенно	1	1
1281	однако эта	1	1
1282	ни один	1	1
1283	возвращаясь к	1	1
1284	не были	1	1
1285	им и	1	1
1286	хотя в	3	1
1287	и точность	2	1
1288	различных типов	1	1
1289	из двух	5	1
