N	2gram	Tiupa_Anal	Morfolog
429	читателю и	1	1
430	при возвращении	1	1
431	рассказ о	3	1
432	его из	1	1
433	что герой	1	1
434	другой а	1	1
435	его с	1	1
436	на ее	1	1
437	на первом	1	1
438	приведем один	1	1
439	или иных	3	1
440	дело с	5	1
441	в применении	1	1
442	и далее	1	1
443	при этом	20	1
444	даже в	5	1
445	и отдельно	1	1
446	тем как	2	1
447	и был	1	1
448	не требует	1	1
449	не вызывает	1	1
450	мифах и	1	1
451	привести к	1	1
452	те же	3	1
453	но ведь	1	1
454	по-видимому не	1	1
455	не являются	2	1
456	одно из	2	1
457	к определению	1	1
458	не столько	5	1
459	борьбы с	3	1
460	под этим	1	1
461	для данного	3	1
462	общих выводов	1	1
463	в них	1	1
464	как было	1	1
465	чтобы в	1	1
466	положения в	1	1
467	или во	1	1
468	если не	2	1
469	этой точки	2	1
470	по пути	1	1
471	в некое	1	1
472	конечно и	1	1
473	на свой	1	1
474	до этого	1	1
475	выражаясь точнее	1	1
476	и с	2	1
477	от текста	2	1
478	их и	1	1
479	на улицу	1	1
480	равно как	1	1
481	если исходить	1	1
482	в особый	1	1
483	знаки и	1	1
484	и все	5	1
485	мысль о	2	1
486	оно есть	1	1
487	еще в	4	1
488	именно в	6	1
489	ведет к	3	1
490	же самый	1	1
491	исходить из	1	1
492	том или	4	1
493	отношения к	4	1
494	также не	1	1
495	данный текст	2	1
496	ходе повествования	1	1
497	как не	1	1
498	с ними	2	1
499	зрения исторической	1	1
500	а именно	3	1
501	что такой	1	1
502	в своей	7	1
503	которые могут	1	1
504	и просто	2	1
505	лица в	1	1
506	всякая фраза	1	1
507	или выражаясь	1	1
508	он наносит	2	1
509	бы не	3	1
510	есть на	1	1
511	в коем	2	1
512	прочим и	1	1
513	к земле	1	1
514	ли он	3	1
515	интересно что	1	1
516	о котором	1	1
517	кстати что	1	1
518	и диалог	1	1
519	всей своей	1	1
520	свою собственную	1	1
521	сюжет с	1	1
522	применение его	1	1
523	такими словами	1	1
524	об отношении	1	1
525	к текстам	1	1
526	и обозначает	1	1
527	все они	2	1
528	как один	1	1
529	на смерть	1	1
530	тем в	1	1
531	еще и	1	1
532	совершенно не	2	1
533	ситуации в	1	1
534	он же	1	1
535	во все	1	1
536	к этой	1	1
537	в главе	1	1
538	собственно говоря	6	1
539	в котором	5	1
540	на части	1	1
541	диалог с	1	1
542	другим он	1	1
543	перед его	1	1
544	применении к	1	1
545	обладает и	1	1
546	поставлены как	1	1
547	написано на	1	1
548	говорить не	1	1
549	в свою	1	1
550	о возвращении	1	1
551	имеет в	1	1
552	по земле	1	1
553	не должно	1	1
554	но то	1	1
555	явления и	1	1
556	в борьбу	1	1
557	вопроса об	1	1
558	тех пор	1	1
559	раз она	1	1
560	уже было	1	1
561	точно и	1	1
562	этой связи	2	1
563	для нее	2	1
564	между двумя	7	1
565	только один	1	1
566	то все	1	1
567	только на	3	1
568	вступает в	4	1
569	втором случае	1	1
570	частности как	1	1
571	язык есть	2	1
572	е годы	1	1
573	и была	1	1
574	на примере	3	1
575	тому или	2	1
576	не будет	3	1
577	и до	3	1
578	не ощущается	2	1
579	и те	2	1
580	не вполне	2	1
581	что ее	1	1
582	же время	7	1
583	идет об	1	1
584	ведут к	1	1
585	при анализе	1	1
586	свою очередь	1	1
587	же самое	3	1
588	другими в	2	1
589	с другим	5	1
590	как функции	1	1
591	известной степени	1	1
592	соглашаясь с	1	1
593	может ли	2	1
594	как на	1	1
595	позволил бы	1	1
596	и там	1	1
597	текста к	2	1
598	одно и	2	1
599	первой же	2	1
600	он в	5	1
601	отношение к	2	1
602	не как	2	1
603	она может	3	1
604	поставить на	1	1
605	самого героя	1	1
606	такая же	1	1
607	что я	1	1
608	путь от	1	1
609	с этими	1	1
610	только во	1	1
611	на улице	1	1
612	он служит	1	1
613	то она	1	1
614	анализ и	1	1
615	целое то	1	1
616	деле в	2	1
617	до известной	1	1
618	непосредственно к	2	1
619	человека а	1	1
620	что говорит	1	1
621	он сам	1	1
622	в следующих	1	1
623	моментов а	1	1
624	в противном	1	1
625	довольно много	1	1
626	для достижения	1	1
627	коем случае	2	1
628	что даже	2	1
629	друг с	2	1
630	лишь при	4	1
631	в первой	2	1
632	о чем	3	1
633	она есть	2	1
634	они могут	1	1
635	в ее	2	1
636	на словах	1	1
637	и становится	1	1
638	тот же	2	1
639	меня не	1	1
640	другим что	1	1
641	как к	2	1
642	и такой	1	1
643	и то	4	1
644	в себе	17	1
645	но на	1	1
646	собой и	1	1
647	встречу с	2	1
648	ему в	3	1
649	то оно	1	1
650	видим как	1	1
651	героев в	1	1
652	на трех	1	1
653	но прежде	1	1
654	во всей	1	1
655	указать на	1	1
656	должно быть	2	1
657	время и	1	1
658	и уж	1	1
659	других для	1	1
660	сколько в	1	1
661	к разрешению	1	1
662	может само	1	1
663	следует сказать	1	1
664	есть у	1	1
665	в состоянии	1	1
666	в его	15	1
667	к соединению	1	1
668	он как	1	1
669	материала и	1	1
670	на что	1	1
671	имеется и	1	1
672	целого а	1	1
673	царской дочери	1	1
674	второго и	1	1
675	вне своего	1	1
676	как раз	5	1
677	в формах	1	1
678	для данной	1	1
679	можно на	1	1
680	о нем	4	1
681	что с	1	1
682	где он	1	1
683	в полном	2	1
684	в тот	1	1
685	научного описания	8	1
686	на которой	2	1
687	же не	3	1
688	другого но	2	1
689	силу и	1	1
690	иными словами	1	1
691	там и	1	1
692	слова а	1	1
693	таком случае	5	1
694	третий раз	1	1
695	что все	2	1
696	в их	8	1
697	в сюжет	1	1
698	мы находим	1	1
699	составных частей	1	1
700	мы вполне	1	1
701	в рамках	5	1
702	материал для	1	1
703	или иной	8	1
704	от тех	1	1
705	как по	1	1
706	не любит	4	1
707	самые разнообразные	1	1
708	за этим	1	1
709	в виду	2	1
710	к каждой	1	1
711	что не	3	1
712	как его	1	1
713	смысла но	4	1
714	и другое	1	1
715	как нечто	1	1
716	о жизни	3	1
717	в таком	5	1
718	бы быть	3	1
719	верхом на	1	1
720	между ними	1	1
721	нас к	2	1
722	помнить что	1	1
723	целью узнать	2	1
724	по одному	1	1
725	может только	1	1
726	есть в	4	1
727	но по	1	1
728	не есть	8	1
729	эту особенность	1	1
730	а их	1	1
731	между прочим	1	1
732	в мире	14	1
733	слова не	1	1
734	противном случае	1	1
735	в ряду	2	1
736	он состоит	1	1
737	к концу	1	1
738	на все	2	1
739	борется со	1	1
740	со своей	2	1
741	по его	2	1
742	эпизод в	1	1
743	все подробности	1	1
744	служит для	2	1
745	только и	1	1
746	нисколько не	1	1
747	бы мы	1	1
748	сохраняется и	1	1
749	войти в	1	1
750	предмета но	1	1
751	же касается	1	1
752	и должны	1	1
753	пока не	1	1
754	с другом	2	1
755	из одного	1	1
756	большого объема	1	1
757	вследствие чего	1	1
758	в эту	3	1
759	могло бы	1	1
760	но к	3	1
761	сих пор	1	1
762	к истории	1	1
763	той или	8	1
764	людей в	1	1
765	я был	1	1
766	этих двух	1	1
767	читателя в	3	1
768	здесь как	1	1
769	ко всему	1	1
770	того или	3	1
771	о себе	2	1
772	может иметь	2	1
773	более чем	4	1
774	и эти	2	1
775	наличности в	1	1
776	не умещается	1	1
777	следит за	1	1
778	таким же	1	1
779	отличие от	8	1
780	и религия	1	1
781	данный момент	2	1
782	она должна	1	1
783	само собой	1	1
784	он ничего	1	1
785	сама природа	1	1
786	все остальные	1	1
787	при отсутствии	1	1
788	в третий	1	1
789	одну из	2	1
790	а от	1	1
791	в течение	1	1
792	с какой	1	1
793	но он	1	1
794	быть зафиксированы	1	1
795	говорится и	1	1
796	отношение между	1	1
797	так что	3	1
798	не более	4	1
799	первый случай	1	1
800	живой язык	1	1
801	это по	1	1
802	н веселовский	1	1
803	есть всегда	1	1
804	что касается	4	1
805	к тем	1	1
806	его не	1	1
807	не приходится	2	1
808	герой волшебной	1	1
809	как он	4	1
810	начаться с	1	1
811	становится на	1	1
812	ним как	1	1
813	его жизнь	1	1
814	является единицей	1	1
815	а этот	1	1
816	несколько ниже	1	1
817	к которой	1	1
818	можно утверждать	1	1
819	думать что	2	1
820	однако если	1	1
821	или иное	1	1
822	чем является	1	1
823	в самостоятельный	2	1
824	на это	2	1
825	первоначальном виде	1	1
826	и несколько	1	1
827	выходят за	2	1
828	быть не	3	1
829	в тексте	26	1
830	функционирует как	1	1
831	выводы об	1	1
832	мы их	1	1
833	первого в	1	1
834	в работу	1	1
835	это правило	1	1
836	точку зрения	1	1
837	действующего лица	1	1
838	которые в	3	1
839	говорилось выше	1	1
840	бы он	1	1
841	это делает	1	1
842	предмет его	1	1
843	каждое новое	1	1
844	них не	1	1
845	быть определено	1	1
846	целая система	1	1
847	действительно не	1	1
848	это означает	3	1
849	он показывает	1	1
850	теми же	2	1
851	в силу	4	1
852	его до	1	1
853	здесь также	1	1
854	другой и	1	1
855	такой же	3	1
856	ступеней научного	1	1
857	делает и	1	1
858	по законам	1	1
859	из этого	2	1
860	при изучении	2	1
861	в области	4	1
862	его к	3	1
863	один и	1	1
864	тех или	3	1
865	все более	1	1
866	хотя он	1	1
867	определить как	1	1
868	не отвечает	1	1
869	с первых	1	1
870	может трактоваться	1	1
871	является ли	1	1
872	если на	1	1
873	в окно	2	1
874	может и	2	1
875	для чего	2	1
876	ведь и	1	1
877	в него	1	1
878	его можно	2	1
879	с ее	2	1
880	всех этих	2	1
881	случае это	2	1
882	и объект	1	1
883	он был	3	1
884	простейший пример	1	1
885	из этой	1	1
886	дает ему	1	1
887	или точнее	2	1
888	в лице	1	1
889	до его	2	1
890	текста на	2	1
891	не можем	1	1
892	и наконец	2	1
893	еще одно	1	1
894	вплоть до	2	1
895	есть не	9	1
896	а н	1	1
897	а сама	1	1
898	в е	1	1
899	может или	1	1
