N	2gram	Bakhtin_sl	UchenyiS
303	только для	1	1
304	не входит	1	1
305	не столь	2	1
306	в которых	1	1
307	к этому	3	1
308	большей или	5	1
309	так и	22	1
310	поэзии слово	1	1
311	к проблеме	3	1
312	о нем	6	1
313	оно конечно	1	1
314	друг с	2	1
315	поэзии и	4	1
316	отнюдь не	1	1
317	находятся в	1	1
318	этих слов	1	1
319	и вся	2	1
320	в качестве	4	1
321	о котором	1	1
322	учителя и	1	1
323	в нем	44	1
324	он не	5	1
325	как целого	1	1
326	быть тем	3	1
327	не внешне	1	1
328	независимо от	1	1
329	может служить	1	1
330	литературных и	1	1
331	все что	1	1
332	и слово	4	1
333	в кавычки	6	1
334	с каждым	1	1
335	композиции в	1	1
336	если нет	1	1
337	жанра но	2	1
338	на его	9	1
339	и что	2	1
340	в известном	2	1
341	одно из	1	1
342	что для	1	1
343	и это	1	1
344	в различных	1	1
345	с одной	7	1
346	с другом	2	1
347	в поэтическом	8	1
348	он был	1	1
349	на своем	5	1
350	и литературного	1	1
351	за пределы	6	1
352	они в	2	1
353	вводится в	2	1
354	должно быть	3	1
355	что при	1	1
356	об этом	1	1
357	правда не	3	1
358	в виду	2	1
359	к которой	1	1
360	широком смысле	3	1
361	планах и	1	1
362	или менее	5	1
363	подходят к	1	1
364	система приемов	1	1
365	не предмет	2	1
366	в пределах	27	1
367	тот же	1	1
368	уже не	5	1
369	и вне	3	1
370	о том	5	1
371	произведения в	2	1
372	далеко не	7	1
373	тем более	1	1
374	оно все	2	1
375	того что	4	1
376	обращение к	1	1
377	у него	5	1
378	друг другу	2	1
379	вне пределов	1	1
380	но такое	1	1
381	жанра в	4	1
382	слово как	11	1
383	в котором	2	1
384	у пушкина	1	1
385	бы в	1	1
386	он звучит	1	1
387	в виде	4	1
388	той же	3	1
389	приводит к	2	1
390	никогда не	9	1
391	мировоззрения и	2	1
392	ориентация на	1	1
393	человека и	3	1
