N	2gram	Losev_Vlad	TeoriaLi
582	стороны не	2	1
583	что даже	2	1
584	общем виде	1	1
585	отречение от	1	1
586	не имело	1	1
587	нет никаких	2	1
588	к этим	1	1
589	после его	1	1
590	друг друга	3	1
591	и большим	1	1
592	конца однако	1	1
593	это духовная	1	1
594	все с	2	1
595	книги в	1	1
596	то я	1	1
597	освобождения от	1	1
598	в настоящее	2	1
599	это совмещение	1	1
600	писал в	1	1
601	не будучи	1	1
602	крайней мере	1	1
603	из них	3	1
604	едва ли	3	1
605	характерно что	1	1
606	тот же	7	1
607	деятельности и	1	1
608	конечно с	1	1
609	а об	1	1
610	его можно	1	1
611	возлагает на	1	1
612	жизни толстой	1	1
613	могли быть	1	1
614	все мы	1	1
615	именно к	2	1
616	в строгой	1	1
617	этом случае	1	1
618	его личности	2	1
619	в свое	6	1
620	интересом к	1	1
621	которой я	1	1
622	промежутке между	1	1
623	в более	3	1
624	не стремился	1	1
625	собой и	1	1
626	к индивидуальной	1	1
627	нами не	1	1
628	со мной	1	1
629	остаться за	1	1
630	тоже не	2	1
631	так как	11	1
632	от его	1	1
633	что иное	2	1
634	они не	1	1
635	произведения как	2	1
636	может не	1	1
637	после того	2	1
638	не во	1	1
639	но из	1	1
640	он выступает	1	1
641	свидетельствует о	3	1
642	ее на	3	1
643	должно быть	1	1
644	время и	3	1
645	на почту	1	1
646	и канта	1	1
647	в состоянии	1	1
648	в полусне	1	1
649	в природу	1	1
650	начала и	2	1
651	не для	1	1
652	которого он	2	1
653	xix веке	1	1
654	чем у	2	1
655	как у	3	1
656	для нас	9	1
657	и сама	2	1
658	и через	3	1
659	одновременно и	1	1
660	тайны и	1	1
661	не содержит	1	1
662	из своих	1	1
663	требует от	1	1
664	и е	1	1
665	на которой	1	1
666	этом в	2	1
667	быть или	1	1
668	но относится	1	1
669	в русском	2	1
670	не путем	1	1
671	тому же	3	1
672	раз в	1	1
673	отношения между	1	1
674	но с	1	1
675	в таких	1	1
676	не было	12	1
677	молод и	1	1
678	отказаться от	1	1
679	я скорее	1	1
680	как видно	1	1
681	как кризис	1	1
682	и более	1	1
683	и л	1	1
684	для других	1	1
685	слухи о	3	1
686	что его	8	1
687	самые разнообразные	1	1
688	этим и	1	1
689	но эта	2	1
690	на нее	1	1
691	читателя это	1	1
692	по существу	4	1
693	что не	3	1
694	xviii века	1	1
695	в совокупности	1	1
696	и непосредственное	1	1
697	чтобы быть	1	1
698	мнения о	1	1
699	той самой	1	1
700	между этими	1	1
701	стихи и	1	1
702	индивидуальности и	1	1
703	и решительно	1	1
704	с той	1	1
705	и без	2	1
706	личности с	2	1
707	среди прочих	1	1
708	также в	1	1
709	чего бы	1	1
710	но по	2	1
711	на земле	2	1
712	всем своем	1	1
713	не есть	4	1
714	между прочим	18	1
715	заметил что	1	1
716	и религии	1	1
717	явления жизни	1	1
718	ли не	1	1
719	за это	2	1
720	того и	3	1
721	в такой	1	1
722	больше и	1	1
723	его жизни	12	1
724	по его	3	1
725	в двух	1	1
726	на его	7	1
727	человек имеет	1	1
728	себе и	2	1
729	из этого	6	1
730	из москвы	1	1
731	на себе	1	1
732	особенно в	2	1
733	действительности и	1	1
734	обращаются к	2	1
735	о своих	2	1
736	связаны с	1	1
737	бы в	1	1
738	ему не	2	1
739	на них	1	1
740	людей в	2	1
741	и мир	1	1
742	на которую	1	1
743	остается в	1	1
744	в каждом	1	1
745	истинный смысл	1	1
746	в из	1	1
747	это проявилось	1	1
748	только к	3	1
749	в полной	3	1
750	как ни	1	1
751	жизнь и	3	1
752	как себя	1	1
753	в своих	7	1
754	он ни	1	1
755	эти последние	4	1
756	говоря в	1	1
757	говорил о	1	1
758	до нас	1	1
759	этой своей	1	1
760	очень часто	2	1
761	что несмотря	1	1
762	если не	4	1
763	она не	3	1
764	в современных	1	1
765	когда я	1	1
766	оно написано	1	1
767	ему на	1	1
768	ту же	1	1
769	совсем не	7	1
770	мир как	1	1
771	не один	1	1
772	своем отношении	1	1
773	человека как	3	1
774	чувства и	1	1
775	так что	13	1
776	на колени	1	1
777	стороны а	1	1
778	просто не	2	1
779	из окна	2	1
780	что касается	6	1
781	а по	3	1
782	эта сторона	1	1
783	так просто	1	1
784	в последние	3	1
785	по одним	1	1
786	не могла	3	1
787	это была	3	1
788	но только	3	1
789	тем и	1	1
790	позицию в	1	1
791	человеческого духа	1	1
792	но дело	2	1
793	свобода и	1	1
794	только то	1	1
795	и жизни	1	1
796	к кому	1	1
797	также и	13	1
798	у нее	1	1
799	вследствие его	1	1
800	миросозерцания в	1	1
801	наиболее глубокий	1	1
802	когда мы	2	1
803	еще на	3	1
804	этом не	3	1
805	на это	2	1
806	было бы	7	1
807	не по	2	1
808	становится его	1	1
809	из нее	1	1
810	весьма различной	1	1
811	так называемого	1	1
812	он переживает	1	1
813	но без	1	1
814	же самое	1	1
815	он в	4	1
816	как мы	17	1
817	все человеческие	1	1
818	в большой	1	1
819	жизни не	1	1
820	одного из	1	1
821	к изучению	2	1
822	указывает на	2	1
823	своей стороны	1	1
824	общего с	1	1
825	что для	5	1
826	его как	2	1
827	и ясный	1	1
828	узкое и	1	1
829	подход к	1	1
830	которые в	2	1
831	над его	1	1
832	когда они	1	1
833	приводят к	1	1
834	этом и	2	1
835	первый том	1	1
836	и горячо	1	1
837	как внутреннее	1	1
838	основания для	1	1
839	наличие у	1	1
840	и от	6	1
841	и есть	2	1
842	по этому	3	1
843	с которым	4	1
844	теми же	2	1
845	однако по	1	1
846	же в	3	1
847	бытия и	1	1
848	некоторого основания	1	1
849	всю жизнь	4	1
850	из его	6	1
851	но я	4	1
852	иной раз	8	1
853	я невольно	1	1
854	на то	7	1
855	но одно	1	1
856	я люблю	1	1
857	этом у	1	1
858	и только	1	1
859	котором по	1	1
860	толстого в	4	1
861	чему не	1	1
862	независимо от	1	1
863	в него	1	1
864	таким же	1	1
865	и объект	1	1
866	именно это	1	1
867	и совершенно	2	1
868	настоящего времени	1	1
869	дело здесь	1	1
870	в известной	1	1
871	есть не	1	1
872	жизнью и	1	1
873	кажется что	3	1
874	иное как	2	1
875	момент его	1	1
876	котором он	2	1
877	в статье	2	1
