N	2gram	Savitsky_E	VelikijI
133	бы то	4	1
134	мире и	1	1
135	конечно это	1	1
136	могли бы	1	1
137	связь с	1	1
138	и другие	1	1
139	то есть	6	1
140	сделали мы	1	1
141	но как	2	1
142	мы видим	2	1
143	пути не	1	1
144	что оно	1	1
145	всех частей	1	1
146	человеческой жизни	1	1
147	речь идет	1	1
148	и на	6	1
149	она и	1	1
150	вопрос о	4	1
151	на этом	1	1
152	может быть	6	1
153	что нет	1	1
154	и было	1	1
155	влечение к	1	1
156	если в	2	1
157	указать на	1	1
158	которая в	1	1
159	мы увидим	1	1
160	и вообще	1	1
161	от природы	1	1
162	она не	2	1
163	уже в	1	1
164	человеческого бытия	1	1
165	в состоянии	1	1
166	для себя	1	1
167	с этой	6	1
168	то же	15	1
169	и если	2	1
170	для всякого	1	1
171	государственности и	1	1
172	по сравнению	2	1
173	то ни	4	1
174	для того	6	1
175	iv в	1	1
176	этом мире	1	1
177	освободиться от	1	1
178	не быть	1	1
179	и должна	1	1
180	эта идея	1	1
181	но от	1	1
182	что это	2	1
183	более всего	1	1
184	и новой	1	1
185	это значит	2	1
186	которые идут	1	1
187	в разных	1	1
188	с такой	1	1
189	в ее	8	1
190	и тем	3	1
191	говорит о	3	1
192	как это	4	1
193	истории в	1	1
194	и тут	2	1
195	мы все	1	1
196	в которую	1	1
197	что люди	1	1
198	в одном	2	1
199	у нас	1	1
200	на пути	1	1
201	в этой	2	1
202	потребность в	3	1
203	в результате	3	1
204	от мирового	1	1
205	другой стороны	2	1
206	основание в	2	1
207	и чем	2	1
208	уже и	3	1
209	в русском	1	1
210	власти и	1	1
211	так же	9	1
212	в виде	5	1
213	тогда как	1	1
214	только это	1	1
215	любви к	1	1
216	в будущем	3	1
217	но с	2	1
218	в своих	2	1
219	о возможности	1	1
220	отказаться от	1	1
221	с другой	7	1
222	на которых	1	1
223	но все	1	1
224	но какой	1	1
225	ее от	2	1
226	и с	2	1
227	и можно	2	1
228	к ним	3	1
229	ко всем	1	1
230	известном смысле	3	1
231	бытия и	1	1
232	себя с	1	1
233	то и	1	1
234	это сделали	1	1
235	религии и	1	1
236	него не	1	1
237	и другое	1	1
238	как мы	5	1
239	из всего	1	1
240	мира если	1	1
241	в мировом	1	1
242	их к	1	1
243	и до	1	1
244	бы сделать	1	1
245	бы от	2	1
246	прошлом и	1	1
247	в процессе	4	1
248	в последних	1	1
249	в своем	14	1
250	стороны в	2	1
251	его на	2	1
252	к жизни	1	1
253	и от	3	1
254	лишь на	1	1
255	быть может	1	1
256	мы будем	1	1
257	весь мир	1	1
258	с ними	1	1
259	всегда в	1	1
260	в сознании	1	1
261	для человеческого	1	1
262	в третьем	1	1
263	что тот	1	1
264	вместе с	2	1
265	все же	1	1
266	мировой истории	1	1
267	как в	3	1
268	этого слова	1	1
269	в которых	3	1
270	жизни в	3	1
271	значение в	1	1
272	можно ли	3	1
273	и настоящем	1	1
274	кому бы	1	1
275	света в	1	1
276	бы ни	3	1
277	и по	5	1
278	их на	1	1
279	и эта	2	1
280	в их	11	1
281	с которым	1	1
282	и человечество	5	1
283	это в	1	1
284	ли он	1	1
285	не будут	1	1
286	в двух	1	1
287	сравнению с	2	1
288	мира и	3	1
289	даже что	2	1
290	поскольку он	2	1
291	есть то	1	1
292	в другие	1	1
293	ни для	1	1
294	до состояния	1	1
295	в известном	3	1
296	хотели бы	1	1
297	и ее	1	1
298	вовсе не	6	1
299	что на	2	1
300	есть не	2	1
301	мира есть	1	1
302	бы в	2	1
303	к нему	2	1
304	от них	3	1
