N	2gram	Potebnia_M	Otkroven
293	и тогда	2	1
294	а это	1	1
295	речи и	11	1
296	этом отношении	1	1
297	может служить	2	1
298	всяком случае	7	1
299	природе и	1	1
300	их жизни	1	1
301	сознания в	2	1
302	в сущности	2	1
303	он что	1	1
304	кажется что	1	1
305	лучше сказать	2	1
306	сам по	5	1
307	но тем	6	1
308	как это	1	1
309	не теряет	1	1
310	ни был	2	1
311	о нем	1	1
312	между двумя	1	1
313	народа и	2	1
314	его особенность	1	1
315	только один	3	1
316	что только	1	1
317	чего не	3	1
318	на нем	1	1
319	распадается на	1	1
320	что сам	3	1
321	со стороны	11	1
322	он должен	2	1
323	в науке	1	1
324	видеть в	3	1
325	не с	2	1
326	отношении к	1	1
327	всего его	1	1
328	и случайное	1	1
329	и кто	2	1
330	и что	13	1
331	в одном	13	1
332	на самом	2	1
333	у нас	3	1
334	в отношении	1	1
335	можно было	1	1
336	нет никакой	1	1
337	не потому	2	1
338	же не	2	1
339	не исчезнет	1	1
340	им самим	1	1
341	этим именем	1	1
342	заключает в	6	1
343	природу человека	1	1
344	и это	3	1
345	это подтверждается	1	1
346	ее с	2	1
347	вообще но	1	1
348	в нас	10	1
349	смысле этого	3	1
350	всякого человека	1	1
351	этой речи	1	1
352	и до	1	1
353	нет никакого	1	1
354	этими двумя	1	1
355	с их	1	1
356	духовную жизнь	1	1
357	духа как	1	1
358	природу и	2	1
359	не вполне	1	1
360	проникнуть в	1	1
361	иначе чем	2	1
362	есть уже	4	1
363	человек так	1	1
364	по своей	2	1
365	от того	9	1
366	существование в	1	1
367	подходит и	1	1
368	связанная с	1	1
369	цели и	1	1
370	есть дело	2	1
371	думать что	6	1
372	в них	7	1
373	вопрос об	3	1
374	значение что	1	1
375	говорит он	4	1
376	связь с	2	1
377	любви к	1	1
378	видно что	2	1
379	человеке а	1	1
380	есть для	2	1
381	что нет	2	1
382	как например	4	1
383	обществе и	2	1
384	о божественном	1	1
385	не совпадает	1	1
386	руки в	1	1
387	где оно	2	1
388	и даже	4	1
389	в чистом	1	1
390	психологии и	1	1
391	связано у	1	1
392	отрешиться от	1	1
393	сила и	1	1
394	если бы	23	1
395	которой бы	1	1
396	самом деле	2	1
397	себе что	1	1
398	и формы	1	1
399	и более	3	1
400	с ними	2	1
401	была бы	3	1
402	истории и	1	1
403	и сам	1	1
404	всегда в	1	1
405	или лучше	1	1
406	его собственная	1	1
407	два периода	1	1
408	могут и	1	1
409	душе в	1	1
410	будто бы	1	1
411	в виду	2	1
412	самом начале	1	1
413	не иметь	1	1
414	мысли как	1	1
415	и начинается	1	1
416	на этот	2	1
417	с духом	4	1
418	любовь и	1	1
419	дело в	3	1
420	лишь по	2	1
421	которого они	1	1
422	стремится к	1	1
423	вообще и	2	1
424	в мир	1	1
425	необходим для	1	1
426	человека для	1	1
427	его как	1	1
428	отношения к	2	1
429	и сразу	1	1
430	тем же	4	1
431	жизни как	1	1
432	одним словом	5	1
433	человек по	1	1
434	ошибочно было	1	1
435	ключ к	2	1
436	но есть	1	1
437	духа и	8	1
438	заключается в	3	1
439	ведет к	1	1
440	начиная с	2	1
441	не делает	1	1
442	ее как	1	1
443	и действительно	1	1
444	сторона его	1	1
445	ли нам	1	1
446	он говорит	1	1
447	бы он	1	1
448	души за	1	1
449	сказать в	1	1
450	указывает на	2	1
451	в процессе	1	1
452	и скорее	1	1
453	например в	4	1
454	в жизни	5	1
455	между этими	2	1
456	великое дело	1	1
457	в царстве	1	1
458	человеком и	4	1
459	находится в	2	1
460	в глазах	4	1
461	видят не	1	1
462	их было	1	1
463	во внутренней	3	1
464	и без	4	1
465	свой собственный	1	1
466	двух противоположных	2	1
467	ощущение как	1	1
468	пред собою	1	1
469	и как	11	1
470	то в	6	1
471	этих словах	1	1
472	в голову	1	1
473	всех тех	1	1
474	нам все	1	1
475	есть не	7	1
476	чего бы	2	1
477	в человеческой	3	1
478	человек в	1	1
479	мысли не	1	1
480	в сознании	8	1
481	приходит в	1	1
482	страха и	1	1
483	что она	3	1
484	есть та	1	1
485	открывает нам	1	1
486	а именно	1	1
487	чтобы все	1	1
488	жизни и	3	1
489	том только	1	1
490	одна из	4	1
491	его силы	1	1
492	человека вообще	1	1
493	была для	1	1
494	в мире	3	1
495	в разных	2	1
496	состоит из	1	1
497	одном из	3	1
498	и прежде	1	1
499	в одно	5	1
500	и вопрос	3	1
501	притяжения и	1	1
502	как в	18	1
503	этого слова	5	1
504	как будто	2	1
505	тех которые	1	1
506	на то	5	1
507	в уме	1	1
508	кого не	2	1
509	быть назван	1	1
510	вовлекает в	1	1
511	он никогда	1	1
512	от этого	2	1
513	нуждается в	2	1
514	отличается от	1	1
515	что во	4	1
516	да и	1	1
517	я хочу	1	1
518	его жизни	1	1
519	ли может	1	1
520	в свой	1	1
521	нисколько не	2	1
522	и характер	1	1
523	сравнению с	1	1
524	двойственность в	3	1
525	кто знает	1	1
526	но это	7	1
527	ожидать от	2	1
528	в духовную	1	1
529	боль и	3	1
530	в движении	2	1
531	мир и	1	1
532	которого не	1	1
533	из него	3	1
534	себе и	2	1
535	найти нельзя	1	1
536	и чем	1	1
537	его пути	1	1
538	чтобы не	3	1
539	любви и	1	1
540	к чтению	1	1
541	само по	6	1
542	начинает с	1	1
543	из них	2	1
544	вовсе не	13	1
545	прогресса в	1	1
546	под влиянием	10	1
547	что как	4	1
548	это так	1	1
549	уже не	4	1
550	в одной	2	1
551	указать на	1	1
552	мысли в	11	1
553	это была	1	1
554	с какими	1	1
555	свое собственное	1	1
556	со всеми	1	1
557	с каким	2	1
558	бы ни	8	1
559	бы в	6	1
560	к другому	2	1
561	бог в	1	1
562	единство в	1	1
563	самой мысли	2	1
564	а что	1	1
565	людей в	1	1
566	признает множественность	1	1
