N	2gram	Berdyaev_O	TeoriaLi
295	после того	1	1
296	различие между	3	1
297	он выступает	1	1
298	должно быть	2	1
299	чем на	3	1
300	собой в	1	1
301	иных случаях	1	1
302	жизни человека	1	1
303	и зло	1	1
304	свободу и	1	1
305	чем у	1	1
306	как у	1	1
307	и через	1	1
308	не принять	1	1
309	кто бы	1	1
310	стремится к	1	1
311	в русском	1	1
312	свободы и	2	1
313	ведь это	2	1
314	не было	9	1
315	и более	1	1
316	места в	1	1
317	что не	4	1
318	его мысли	4	1
319	том-то и	1	1
320	между этими	1	1
321	и трагического	1	1
322	с той	1	1
323	и без	1	1
324	чего бы	1	1
325	человек в	1	1
326	на земле	4	1
327	не есть	2	1
328	за это	1	1
329	от этого	1	1
330	его жизни	1	1
331	лишь для	1	1
332	красота есть	1	1
333	себе и	1	1
334	проникновение в	1	1
335	особенно в	1	1
336	бы в	1	1
337	людей в	1	1
338	и мир	1	1
339	в каждом	1	1
340	том случае	1	1
341	в уста	2	1
342	в своих	3	1
343	он ни	1	1
344	карамазова в	1	1
345	каждом из	1	1
346	случае если	1	1
347	границы и	1	1
348	в том-то	1	1
349	она не	1	1
350	ту же	1	1
351	совсем не	2	1
352	силе и	1	1
353	но всегда	1	1
354	быть осуществлено	1	1
355	человека как	1	1
356	всего только	1	1
357	так что	2	1
358	для художника	1	1
359	и открывает	1	1
360	природой и	1	1
361	это была	1	1
362	можно было	1	1
363	заключает в	1	1
364	человеческого духа	3	1
365	ничто не	2	1
366	свобода и	2	1
367	также и	1	1
368	до которой	1	1
369	у нее	1	1
370	в иных	1	1
371	не совпадает	1	1
372	было бы	3	1
373	не по	1	1
374	писателей но	1	1
375	открывается в	1	1
376	он в	2	1
377	жизни не	1	1
378	указывает на	1	1
379	что для	2	1
380	его как	1	1
381	как против	1	1
382	над его	1	1
383	сказать в	1	1
384	лишь путем	1	1
385	и от	3	1
386	и есть	3	1
387	всю жизнь	1	1
388	в уме	1	1
389	на то	1	1
390	бы ни	1	1
391	нуждается в	1	1
392	отрешиться от	1	1
393	типа есть	1	1
394	есть не	1	1
395	кажется что	1	1
