N	2gram	Savitsky_P	Freidism
120	только на	1	4
121	в мир	1	4
122	в истории	1	4
123	так же	1	4
124	в своем	4	4
125	одна из	2	4
126	что оно	1	4
127	этой области	1	4
128	в психологии	1	4
129	– но	1	4
130	нисколько не	1	4
131	в развитии	1	4
132	главным образом	2	4
133	в области	11	4
134	с ее	1	4
135	собственном смысле	1	3
136	и очень	1	3
137	и при	1	3
138	для них	2	3
139	в результате	1	3
140	нет никакого	1	3
141	в них	2	3
142	притом в	1	3
143	на этой	1	3
144	что мы	3	3
145	он был	1	3
146	ни на	1	3
147	на основе	1	3
148	уже в	1	3
149	как на	2	3
150	на две	1	3
151	тем же	1	3
152	находится в	1	3
153	во всей	2	3
154	это сделать	1	3
155	и то	1	3
156	мы видим	1	3
157	мир в	1	3
158	они не	1	3
159	не будем	2	3
160	и этим	1	3
161	и притом	1	3
162	на себя	1	3
163	но для	1	3
164	и как	3	3
165	в условиях	1	3
166	этих двух	1	3
167	и тех	1	3
168	в г	1	3
169	между тем	3	3
170	в какой	1	3
171	человека с	1	3
172	себя в	1	3
173	и есть	2	3
174	в эпоху	1	3
175	и другие	1	2
176	в момент	1	2
177	к этой	1	2
178	должна быть	1	2
179	тогда когда	1	2
180	по всему	1	2
181	в применении	1	2
182	помимо воли	1	2
183	хх века	2	2
184	вот как	1	2
185	не как	1	2
186	находятся в	1	2
187	по-видимому не	2	2
188	для нас	2	2
189	в отношении	10	2
190	их не	1	2
191	этого процесса	1	2
192	теми же	1	2
193	к другим	1	2
194	отношения к	2	2
195	в мире	2	2
196	не имеет	1	2
197	да и	2	2
198	бы и	1	2
199	должно быть	2	2
200	вопрос о	1	2
201	связана с	1	2
202	одной стороны	3	2
203	представляет собой	1	2
204	время в	2	2
205	и уже	1	2
206	и теперь	1	2
207	распадается на	1	2
208	в различных	1	2
209	еще более	2	2
210	с другой	5	2
211	в прошлом	1	2
212	в отличие	1	2
213	наука и	1	2
214	может оказаться	1	2
215	были в	1	2
216	друг друга	1	2
217	исключительно в	2	2
218	из этой	1	2
219	как к	1	2
220	что с	1	2
221	по преимуществу	1	2
222	с одной	3	2
223	и через	1	2
224	что при	1	2
225	в качестве	9	2
226	но как	1	2
227	и современная	1	2
228	весь мир	1	2
229	них и	1	2
230	как по	1	2
231	из важнейших	2	2
232	а также	4	2
233	и которая	1	2
234	исторического материализма	3	2
235	основные черты	1	2
236	ясно что	1	2
237	также в	1	2
238	есть та	1	2
239	же как	1	2
240	не есть	1	2
241	стремление к	1	2
242	личности не	1	2
243	века в	1	2
244	идеи и	1	2
245	применении к	1	2
246	должен быть	1	2
247	в эту	2	2
248	связаны с	1	2
249	могли бы	1	2
250	а с	1	2
251	отличие от	1	2
252	социального бытия	1	2
253	также и	1	2
254	и тем	2	2
255	есть и	1	2
256	этом смысле	1	2
257	два направления	1	2
258	думать что	2	2
259	современной европейской	2	2
260	или иной	1	2
261	говорить об	1	2
262	исторический материализм	1	2
263	там где	1	2
264	не к	2	2
265	случаев только	1	1
266	что было	1	1
267	к сожалению	1	1
268	они являются	1	1
269	о личности	1	1
270	в ком	1	1
271	существует но	1	1
272	можно говорить	1	1
273	и здесь	1	1
274	сделать то	1	1
275	наше сознание	1	1
276	построений –	1	1
277	у одних	1	1
278	в случаях	1	1
279	по широте	1	1
280	есть прежде	1	1
281	и вслед	1	1
282	теперь в	2	1
283	в идеологическом	1	1
284	из всех	1	1
285	ведущий от	1	1
286	отношении к	5	1
287	то главным	1	1
288	сохранить и	1	1
289	никак не	2	1
290	в глубинах	2	1
291	а затем	1	1
292	пути в	2	1
293	эти пути	1	1
294	быть может	6	1
295	на заре	1	1
296	с собой	1	1
297	и эти	1	1
298	в рамки	1	1
299	церковь и	1	1
300	творчества и	2	1
301	могут стать	1	1
302	она оказывается	1	1
303	чтобы в	1	1
304	в борьбе	1	1
305	не более	1	1
306	в наших	1	1
307	любовь и	1	1
308	оно есть	1	1
309	он будет	1	1
310	именно о	1	1
311	например в	2	1
312	учреждения мы	1	1
313	эти черты	1	1
314	и временами	3	1
315	характер этого	1	1
316	относящиеся к	1	1
317	с тем	3	1
318	и культурного	1	1
319	и метафизики	1	1
320	что по	1	1
321	ли не	1	1
322	и т	3	1
323	явление и	1	1
324	который не	1	1
325	в иной	1	1
326	сравнению с	1	1
327	в это	1	1
328	и страсти	1	1
329	них в	1	1
330	в ряду	2	1
331	в которые	1	1
332	этот вывод	1	1
333	нет ничего	1	1
334	знаем и	1	1
335	не хотим	1	1
336	понять в	1	1
337	гораздо большей	4	1
338	было в	2	1
339	среды в	1	1
340	них самих	1	1
341	по сравнению	2	1
342	во многих	1	1
343	с которой	1	1
344	как высшее	1	1
345	именно на	1	1
346	только один	1	1
347	об отношении	1	1
348	мы все	1	1
349	в которую	2	1
350	борьбе с	1	1
351	ее по	1	1
352	как оно	1	1
353	м ы	1	1
354	и мудрости	1	1
355	только это	2	1
356	всего что	1	1
357	и поставить	1	1
358	и еще	1	1
359	переход от	2	1
360	– совокупность	1	1
361	настоящее время	1	1
362	эта идея	2	1
363	в сфере	2	1
364	к следующему	1	1
365	всецело к	1	1
366	она ни	2	1
367	к сохранению	1	1
368	сохранению и	1	1
369	без того	1	1
370	теория исторического	1	1
371	русской литературы	1	1
372	видим в	1	1
373	европы и	1	1
374	чем шире	1	1
375	друг с	1	1
376	дело касается	1	1
377	и философской	1	1
378	она есть	3	1
379	большей степени	4	1
380	государство и	1	1
381	в настоящее	1	1
382	свои собственные	1	1
383	два основных	1	1
384	с того	1	1
385	но есть	1	1
386	эту эпоху	1	1
387	гораздо более	1	1
388	она касается	1	1
389	рождается и	1	1
390	целому ряду	1	1
391	веры и	1	1
392	мира нового	2	1
393	но на	1	1
394	жить и	1	1
395	в гораздо	4	1
396	на путях	4	1
397	что некоторая	1	1
398	путь ведущий	1	1
399	г о	4	1
400	этого отношения	1	1
401	начала и	2	1
402	хотя и	3	1
403	в недрах	2	1
404	культуры на	1	1
405	в стадии	1	1
406	есть в	2	1
407	совершенно новое	1	1
408	движущим силам	1	1
409	в формах	1	1
410	в ином	1	1
411	в виде	2	1
412	надстройка над	2	1
413	мы вполне	1	1
414	и некоторых	1	1
415	так было	1	1
416	к чему	2	1
417	разрыва между	1	1
418	прежде чем	1	1
419	что его	1	1
420	осуществляется в	2	1
421	окружающей среды	1	1
422	на нее	1	1
423	или хотя	1	1
424	мира а	1	1
425	и без	3	1
426	следует понимать	1	1
427	в сборнике	1	1
428	сложной и	1	1
429	от марксизма	1	1
430	на фоне	1	1
431	своего существования	1	1
432	составляющих ее	1	1
433	в свете	1	1
434	точек зрения	2	1
435	и это	2	1
436	с другом	1	1
437	в смысле	6	1
438	особенно в	1	1
439	тем более	2	1
440	в противоречии	1	1
441	не все	1	1
442	совершенно ясно	1	1
443	чтобы понять	1	1
444	в русской	4	1
445	в каждом	1	1
446	и быть	1	1
447	за то	1	1
448	и других	2	1
449	области и	1	1
450	как ни	1	1
451	кульминационный пункт	1	1
452	которую мы	2	1
453	с основной	1	1
454	на свои	1	1
455	в философии	1	1
456	этого сделать	1	1
457	философской и	1	1
458	с определенной	1	1
459	т д	1	1
460	есть область	1	1
461	оставаясь в	1	1
462	из мира	1	1
463	не с	1	1
464	что эта	1	1
465	последние годы	1	1
466	одно и	1	1
467	кто не	1	1
468	в начале	2	1
469	еще в	1	1
470	субъективная сторона	1	1
471	стороны и	2	1
472	как мир	2	1
473	в современной	1	1
474	мысль о	2	1
475	рассматривать как	1	1
476	бытия не	1	1
477	тот или	1	1
478	что если	1	1
479	других же	1	1
480	нужно помнить	2	1
481	культуры и	1	1
482	что во	1	1
483	реальность в	1	1
484	друг другу	2	1
485	и чувствуем	1	1
486	для каждого	1	1
487	из внешней	1	1
488	же в	4	1
489	сходства между	1	1
490	чтобы это	1	1
491	иной раз	1	1
492	на то	1	1
493	бы ни	2	1
494	может и	2	1
495	противоречии с	1	1
496	и чем	1	1
497	и особенно	1	1
498	есть не	2	1
499	взять на	1	1
500	мира с	2	1
501	являются наиболее	1	1
