N	2gram	Nazirov_Vr	Narrotol
298	можно признать	1	2
299	а за	1	2
300	одним из	3	2
301	о смерти	1	2
302	у тургенева	11	2
303	человек и	1	2
304	как говорит	1	2
305	ясно что	1	2
306	также в	1	2
307	не есть	1	2
308	во всех	1	2
309	войне и	1	2
310	только от	1	2
311	человека как	1	2
312	одно и	1	2
313	хотя в	1	2
314	могут быть	1	2
315	и есть	1	2
316	с которым	2	2
317	дама с	1	2
318	в мировой	1	2
319	с героями	1	2
320	одного и	1	2
321	в особенности	1	2
322	но после	2	2
323	от сознания	2	2
324	если в	1	2
325	живет в	1	2
326	одному из	1	2
327	давно уже	3	2
328	из которых	1	2
329	следует искать	1	2
330	себе не	1	2
331	он лишь	1	2
332	в россии	5	2
333	в составе	1	2
334	в процессе	1	2
335	как о	1	2
336	это время	1	2
337	никто не	1	2
338	была на	1	2
339	который не	1	2
340	ли он	1	2
341	в каком	1	2
342	это и	1	2
343	его и	2	2
344	тот кто	1	2
345	это за	1	2
346	это то	1	2
347	после смерти	2	2
348	автора в	1	2
349	что же	1	2
350	и во	3	2
351	с нею	2	2
352	из него	1	2
353	именно к	1	2
354	после этого	2	2
355	у гоголя	1	2
356	ни с	1	2
357	только по	1	2
358	все это	4	2
359	в их	1	2
360	в повести	2	2
361	но с	1	2
362	в войне	1	2
363	на нее	1	2
364	при виде	1	2
365	и вообще	1	2
366	этих строк	1	2
367	может идти	1	2
368	дети не	1	2
369	ему было	1	2
370	на это	2	2
371	отношение к	2	2
372	и мире	1	2
373	во многом	4	2
374	никому не	1	2
375	это в	2	2
376	и наконец	1	2
377	во всем	1	1
378	и углублялось	1	1
379	общественное положение	1	1
380	тот ни	1	1
381	мире а	1	1
382	тургенева в	7	1
383	этого в	1	1
384	с героем	1	1
385	реплики персонажей	1	1
386	сходство с	1	1
387	лет назад	1	1
388	рассказ о	1	1
389	к этой	1	1
390	в печати	1	1
391	за исключением	1	1
392	из всех	1	1
393	этот момент	2	1
394	и был	1	1
395	восходящая к	1	1
396	судьбы они	1	1
397	подавляющее большинство	1	1
398	для всех	1	1
399	что слово	1	1
400	в духе	1	1
401	из двух	1	1
402	мы бы	1	1
403	и этот	1	1
404	такой детали	1	1
405	на свою	1	1
406	у людей	1	1
407	представление о	1	1
408	персонажа на	1	1
409	меня в	1	1
410	его на	2	1
411	у которого	1	1
412	но у	1	1
413	отличается от	1	1
414	рассказ не	1	1
415	из героев	1	1
416	в письме	5	1
417	и образ	1	1
418	с этим	1	1
419	сам же	1	1
420	я вижу	1	1
421	во все	1	1
422	сразу же	1	1
423	и ушел	1	1
424	не могли	1	1
425	что этот	1	1
426	важно и	1	1
427	свои позиции	1	1
428	он был	3	1
429	говорить не	1	1
430	которого у	1	1
431	во многих	1	1
432	из их	1	1
433	конце жизни	1	1
434	черты характера	1	1
435	в сторону	1	1
436	что ее	1	1
437	он писал	2	1
438	указания на	1	1
439	по которой	1	1
440	не совсем	1	1
441	во всей	1	1
442	эпизода из	1	1
443	совершенно прав	1	1
444	своей эпохи	1	1
445	м м	2	1
446	на три	1	1
447	эти не	1	1
448	каким был	1	1
449	канонический текст	1	1
450	свои собственные	1	1
451	через месяц	1	1
452	ближе к	1	1
453	вскоре в	1	1
454	о влиянии	2	1
455	эпизоду в	1	1
456	и рассказы	1	1
457	сюжет в	1	1
458	на пороге	1	1
459	это будет	1	1
460	собой в	1	1
461	такая же	1	1
462	и борьбы	1	1
463	мы знаем	2	1
464	второй раз	1	1
465	автором на	1	1
466	чем у	1	1
467	верит в	1	1
468	его в	3	1
469	отцов и	4	1
470	как же	2	1
471	с характеристикой	1	1
472	в разные	1	1
473	пока только	1	1
474	сказал что	1	1
475	что за	1	1
476	следует рассматривать	1	1
477	записки охотника	3	1
478	враги в	1	1
479	но ведь	1	1
480	я всегда	1	1
481	всех их	1	1
482	уже давно	1	1
483	письме к	4	1
484	служит для	1	1
485	что только	1	1
486	по характеру	1	1
487	полагает что	1	1
488	а поскольку	1	1
489	вошел в	1	1
490	встреча с	1	1
491	ли это	1	1
492	на страницах	1	1
493	к роману	1	1
494	совсем не	1	1
495	так называемую	1	1
496	говорилось об	1	1
497	эти слова	3	1
498	в развитии	1	1
499	котором уже	1	1
500	никого не	1	1
501	что эта	1	1
502	начинается с	1	1
503	нарастало и	1	1
504	этом смысле	1	1
505	одну из	1	1
506	а тем	1	1
507	вторая часть	1	1
508	что для	1	1
509	пять или	1	1
510	бы его	1	1
511	не достает	1	1
512	имя и	1	1
513	был в	1	1
514	всю жизнь	1	1
515	имела место	1	1
516	есть все	1	1
517	из этого	1	1
518	умер но	1	1
519	ни другой	1	1
520	самую суть	1	1
521	горе и	1	1
522	в одну	2	1
523	если это	1	1
524	к автору	2	1
525	то время	1	1
526	перед сном	1	1
527	приближается к	1	1
528	и детей	4	1
529	в свое	1	1
530	в другой	1	1
531	нашего времени	2	1
532	ни тот	1	1
533	фабула мыслилась	1	1
534	за это	1	1
535	более важного	1	1
536	по преимуществу	1	1
537	их характеры	1	1
538	преступление и	1	1
539	той духовной	1	1
540	а тут	1	1
541	отношения к	2	1
542	он ее	1	1
543	мыслей и	1	1
544	почувствовал что	1	1
545	ему текста	1	1
546	по крайней	1	1
547	и двусмысленный	1	1
548	совпадает с	1	1
549	не любил	1	1
550	десять лет	1	1
551	иисуса христа	1	1
552	на основе	2	1
553	отношении к	1	1
554	этого как	1	1
555	он как	1	1
556	мировой литературе	1	1
557	у человека	1	1
558	еще один	1	1
559	но мы	1	1
560	анекдот о	1	1
561	человечества и	1	1
562	только о	1	1
563	рядом деталей	1	1
564	указанием на	1	1
565	человека но	1	1
566	скептически и	1	1
567	с просьбой	1	1
568	жизнь его	1	1
569	что есть	3	1
570	рассматривать в	1	1
571	об их	2	1
572	собственным именем	1	1
573	но на	1	1
574	имя которого	1	1
575	которым он	1	1
576	со мной	1	1
577	это такая	1	1
578	ему что	1	1
579	и наказание	1	1
580	автору и	1	1
581	этот процесс	1	1
582	в гостинице	1	1
583	того как	1	1
584	за которую	1	1
585	уже в	4	1
586	предположение что	1	1
587	нам не	1	1
588	и маргариты	1	1
589	руку к	1	1
590	сходятся в	1	1
591	согласия или	1	1
592	а еще	1	1
593	что ни	1	1
594	что к	2	1
595	полно и	1	1
596	имело бы	1	1
597	от апреля	1	1
598	с конца	1	1
599	год а	1	1
600	только два	1	1
601	более что	1	1
602	которым не	1	1
603	а их	1	1
604	а п	1	1
605	практике его	1	1
606	в авторском	1	1
607	и я	1	1
608	случае о	1	1
609	ему не	1	1
610	жизнь и	1	1
611	еще до	1	1
612	предположить что	1	1
613	литературе еще	1	1
614	в полной	1	1
615	же с	1	1
616	выше и	1	1
617	в тишине	1	1
618	социального неравенства	1	1
619	я напротив	1	1
620	своим характерным	1	1
621	характерно для	1	1
622	нужно было	1	1
623	два человека	1	1
624	и их	1	1
625	конечно в	1	1
626	в нашей	2	1
627	нем самом	1	1
628	центральному эпизоду	1	1
629	в россию	4	1
630	не затрагивает	1	1
631	его отношение	1	1
632	сложности и	1	1
633	не хотел	1	1
634	важного чем	1	1
635	в плане	1	1
636	крайней мере	1	1
637	в будущее	1	1
638	в период	2	1
639	событий и	1	1
640	как ему	1	1
641	что писатель	1	1
642	легенда о	1	1
643	более того	1	1
644	котором он	1	1
645	на разрыв	1	1
