N	2gram	Nazirov_Vr	slovoVRo
204	этот процесс	1	3
205	отличается от	1	3
206	было бы	1	3
207	не могло	1	3
208	в этой	2	3
209	людей и	1	3
210	целый ряд	4	3
211	и вообще	1	3
212	в эту	2	3
213	такая же	1	3
214	и крайняя	1	3
215	материал и	1	3
216	именно к	1	3
217	в свое	1	3
218	ни с	1	3
219	время и	2	3
220	быть весьма	1	3
221	не есть	1	3
222	в свете	1	3
223	это было	1	3
224	и это	2	3
225	не все	1	3
226	не был	1	3
227	романе не	1	3
228	потому что	1	3
229	во второй	1	3
230	конечно в	1	3
231	к этому	3	3
232	такой же	1	3
233	письмах и	1	2
234	романа с	1	2
235	можно говорить	1	2
236	из всех	1	2
237	и романа	1	2
238	нашего времени	2	2
239	одному из	1	2
240	как он	1	2
241	далее в	1	2
242	с такими	1	2
243	заключается в	1	2
244	то время	1	2
245	героев и	1	2
246	в жизни	1	2
247	этого романа	1	2
248	как о	1	2
249	них он	1	2
250	да и	1	2
251	они как	1	2
252	из которого	1	2
253	в известном	2	2
254	но мы	1	2
255	по своему	1	2
256	это и	1	2
257	и отчасти	1	2
258	то что	7	2
259	в котором	6	2
260	тургенева и	18	2
261	его отношение	1	2
262	он был	3	2
263	во все	1	2
264	только как	1	2
265	своим собственным	1	2
266	к своей	1	2
267	и т.п	2	2
268	но они	1	2
269	мнение о	1	2
270	а между	1	2
271	мировой литературе	1	2
272	несмотря на	4	2
273	автора в	1	2
274	к ним	2	2
275	человеком и	1	2
276	от которого	1	2
277	и у	3	2
278	это отношение	1	2
279	во всей	1	2
280	во франции	1	2
281	а следовательно	1	2
282	в мировой	1	2
283	же он	1	2
284	не просто	1	2
285	в ее	1	2
286	свои собственные	1	2
287	на них	1	2
288	известном смысле	1	2
289	ближе к	1	2
290	только не	1	2
291	героев романа	1	2
292	того как	1	2
293	к себе	2	2
294	что уже	1	2
295	тем не	1	2
296	в предшествующей	1	2
297	что для	1	2
298	х годов	4	2
299	достоевский был	2	2
300	и есть	1	2
301	и другими	1	2
302	без всяких	1	2
303	полемизирует с	1	2
304	такое понимание	1	2
305	этого не	1	2
306	в другую	1	2
307	только два	1	2
308	то в	1	2
309	себя как	1	2
310	есть все	1	2
311	этом романе	1	2
312	в сторону	1	2
313	об этом	5	2
314	что как	1	2
315	что они	1	2
316	ему не	1	2
317	в стиле	1	2
318	п и	1	2
319	а с	2	2
320	хотя он	1	2
321	в своих	4	2
322	это как	1	2
323	он принимает	1	2
324	слово его	1	2
325	и что	8	2
326	не могла	1	2
327	в начале	6	2
328	по своей	1	2
329	как известно	1	2
330	только о	1	2
331	бы его	1	2
332	сам в	1	2
333	человека как	1	2
334	место в	2	2
335	столь же	2	2
336	же в	2	2
337	на то	3	2
338	время он	2	2
339	независимо от	1	2
340	роман то	1	2
341	и самый	1	2
342	к автору	2	2
343	появились в	1	1
344	в оценке	1	1
345	к сожалению	1	1
346	в душе	1	1
347	тургенева в	7	1
348	по всем	1	1
349	в конце	3	1
350	и лишь	1	1
351	достоевского и	7	1
352	в литературу	1	1
353	если в	1	1
354	в бесах	10	1
355	рассказ о	1	1
356	они эти	1	1
357	к этой	1	1
358	совпадают с	1	1
359	он как	1	1
360	произведения это	1	1
361	многочисленны и	1	1
362	о чем	2	1
363	говорит о	1	1
364	гоголя и	1	1
365	из которых	1	1
366	задолго до	1	1
367	правда в	1	1
368	романа однако	1	1
369	ее способности	1	1
370	в виноградов	2	1
371	лежал в	1	1
372	что слово	1	1
373	понимание их	1	1
374	и он	2	1
375	создании образа	2	1
376	и этот	1	1
377	равно как	1	1
378	из литературы	1	1
379	этого в	1	1
380	в в	2	1
381	нам уже	1	1
382	вот в	1	1
383	но у	1	1
384	который не	1	1
385	о котором	1	1
386	от того	1	1
387	автору и	1	1
388	и дон-кихот	1	1
389	к своим	1	1
390	в это	2	1
391	речь идет	3	1
392	ведь не	1	1
393	родстве с	1	1
394	по крайней	1	1
395	каждый из	1	1
396	сам же	1	1
397	нет ничего	1	1
398	одного и	1	1
399	то он	1	1
400	россию и	1	1
401	раз и	1	1
402	говорить не	1	1
403	этой традиции	1	1
404	тотчас же	1	1
405	образа его	1	1
406	мире а	1	1
407	сложности и	1	1
408	он часто	1	1
409	единственно возможной	1	1
410	в этот	3	1
411	героев достоевского	1	1
412	о достоевском	2	1
413	из своего	1	1
414	целым рядом	1	1
415	также в	1	1
416	в письмах	2	1
417	о своем	1	1
418	слова другие	1	1
419	к людям	1	1
420	голос и	1	1
421	как на	1	1
422	считал роман	1	1
423	среди них	1	1
424	затем в	1	1
425	начиная с	2	1
426	как правило	1	1
427	и сомнения	1	1
428	с нею	2	1
429	есть по	1	1
430	того который	1	1
431	а это	1	1
432	на этот	1	1
433	и достоевского	9	1
434	время по	1	1
435	не стоит	1	1
436	тем это	1	1
437	он сам	2	1
438	от них	1	1
439	и сильно	1	1
440	крайней мере	1	1
441	этот материал	1	1
442	человека но	1	1
443	обо мне	1	1
444	этого и	1	1
445	принимая его	1	1
446	попадает в	1	1
447	но на	1	1
448	и рассказы	1	1
449	ссылаются на	1	1
450	у гоголя	1	1
451	это такая	1	1
452	только по	1	1
453	но поэзия	1	1
454	эпиграфом к	1	1
455	и кончая	1	1
456	он тоже	2	1
457	собой в	1	1
458	сколько в	1	1
459	идет о	1	1
460	которых он	1	1
461	в монологах	1	1
462	обычно не	1	1
463	о творчестве	1	1
464	он и	1	1
465	души и	1	1
466	чем у	1	1
467	был в	1	1
468	два дня	1	1
469	же не	2	1
470	автору а	1	1
471	практике его	1	1
472	все равно	1	1
473	мы находим	1	1
474	есть еще	1	1
475	того в	1	1
476	но с	1	1
477	в разные	1	1
478	что к	2	1
479	нем самом	1	1
480	как по	1	1
481	мнения о	1	1
482	в среде	2	1
483	приближается к	1	1
484	литературе и	1	1
485	всего он	1	1
486	между прочим	1	1
487	в мире	2	1
488	одном из	1	1
489	не мешало	1	1
490	в ту	1	1
491	рассказ не	1	1
492	его жизни	1	1
493	людьми и	1	1
494	лишнего человека	8	1
495	и дети	2	1
496	раз в	3	1
497	работы над	1	1
498	под влиянием	1	1
499	слова тем	1	1
500	бы в	1	1
501	для правильного	1	1
502	с очень	1	1
503	в живое	1	1
504	и литературные	1	1
505	за роман	2	1
506	жизнь и	1	1
507	и далее	2	1
508	тем более	2	1
509	по которому	1	1
510	такие же	1	1
511	ко всем	1	1
512	может идти	1	1
513	помощью которых	1	1
514	совсем не	1	1
515	больших и	1	1
516	близкий к	1	1
517	отцы и	2	1
518	в рассказе	1	1
519	характерно для	1	1
520	но зато	1	1
521	себе на	1	1
522	что образ	1	1
523	стремится быть	1	1
524	еще в	1	1
525	это то	1	1
526	тем самым	1	1
527	проникнуть в	1	1
528	разногласия и	1	1
529	человека с	2	1
530	он пишет	2	1
531	он считал	4	1
532	на это	2	1
533	нельзя не	1	1
534	этот роман	2	1
535	и никогда	1	1
536	в первой	1	1
537	в недрах	1	1
538	этот рассказ	2	1
539	говорить об	1	1
540	нас оно	1	1
541	каком направлении	1	1
542	мысли на	2	1
543	на место	2	1
544	в эти	2	1
545	отнюдь не	2	1
546	которым он	1	1
547	самым он	1	1
548	отношение автора	1	1
549	его современников	1	1
550	в каком	1	1
551	как общее	1	1
