N	3gram	Losev_Vlad	Marksizm
236	но вот в	1	1
237	и в году	3	1
238	что здесь в	1	1
239	притом не только	1	1
240	и в нем	1	1
241	между прочим и	2	1
242	в той же	1	1
243	нам кажется что	2	1
244	мы знаем в	1	1
245	оно может быть	1	1
246	до конца и	1	1
247	и потому как	1	1
248	на вид что	1	1
249	что он как	1	1
250	после того как	2	1
251	что несмотря на	1	1
252	к жизни и	1	1
253	мы уже сказали	2	1
