N	2gram	Losev_Vlad	Sovremen
261	что вся	1	1
262	он не	13	1
263	кроме того	12	1
264	и из	5	1
265	за собой	1	1
266	и той	1	1
267	не соответствует	1	1
268	будет ли	1	1
269	одной и	1	1
270	но тем	1	1
271	то конечно	1	1
272	не будет	1	1
273	что с	3	1
274	те же	2	1
275	между двумя	1	1
276	что дело	2	1
277	всеми этими	1	1
278	следующее объяснение	2	1
279	и гармоничность	1	1
280	как у	3	1
281	и вся	1	1
282	эта сторона	1	1
283	поэтому в	1	1
284	было совершенно	1	1
285	только на	3	1
286	но они	1	1
287	пока не	2	1
288	и всегда	4	1
289	нужно сказать	2	1
290	все что	2	1
291	не приходится	1	1
292	и та	1	1
293	науке и	1	1
294	для своего	2	1
295	для объяснения	1	1
296	и критика	1	1
297	и при	2	1
298	совершенно невозможно	1	1
299	часто бывают	1	1
300	на самом	1	1
301	здесь в	2	1
302	на которой	1	1
303	для них	2	1
304	и должно	1	1
305	разобраться в	1	1
306	ни в	4	1
307	значит он	1	1
308	от другого	1	1
309	но только	3	1
310	и действительное	1	1
311	и от	6	1
312	в начале	7	1
313	факт что	1	1
314	по отношению	1	1
315	еще в	5	1
316	но отнюдь	1	1
317	сторона дела	1	1
318	конечно не	5	1
319	и ничего	1	1
320	и тот	2	1
321	но что	5	1
322	и те	1	1
323	только в	11	1
324	раз он	1	1
325	все равно	1	1
326	же время	7	1
327	так же	4	1
328	его в	3	1
329	отчасти в	1	1
330	или как	1	1
331	наука дать	1	1
332	без труда	1	1
333	должен был	3	1
334	сравнительно с	3	1
335	чем в	2	1
336	в будущем	2	1
337	в своих	7	1
338	не было	12	1
339	как например	1	1
340	без всяких	2	1
341	с его	15	1
342	наука не	1	1
343	случаев с	1	1
344	как будет	1	1
345	один из	4	1
346	и всюду	1	1
347	на это	2	1
348	если бы	2	1
349	дать не	2	1
350	или в	1	1
351	на которые	1	1
352	становится его	1	1
353	этого не	2	1
354	можно говорить	2	1
355	очень мало	2	1
356	ни одного	2	1
357	ничего общего	1	1
358	и навсегда	2	1
359	равно как	1	1
360	к одному	1	1
361	и еще	3	1
362	их и	1	1
363	что его	8	1
364	как его	1	1
365	другой день	1	1
366	на такой	2	1
367	вообще и	1	1
368	общей проблемы	1	1
369	но эта	2	1
370	дело в	7	1
371	в споре	1	1
372	крайней мере	1	1
373	во многом	3	1
374	одного из	1	1
375	природы и	2	1
376	по существу	4	1
377	сказать что	14	1
378	и эта	1	1
379	дальнейшем мы	1	1
380	почему и	1	1
381	то из	1	1
382	жизни поскольку	1	1
383	и начало	1	1
384	xviii века	1	1
385	именно в	4	1
386	уже на	3	1
387	и действительно	3	1
388	и до	4	1
389	времени не	1	1
390	представление о	2	1
391	это делает	3	1
392	одной из	2	1
393	от общей	1	1
394	случае не	1	1
395	в своем	10	1
396	объяснить по	1	1
397	веры но	1	1
398	уже знаем	1	1
399	этом смысле	4	1
400	в связи	9	1
401	в какой	1	1
402	работы в	1	1
403	не важно	1	1
404	между ними	2	1
405	мы будем	4	1
406	конечно совершенно	1	1
407	во всей	1	1
408	обходиться без	1	1
409	этот раз	7	1
410	же в	3	1
411	том что	22	1
412	до наших	1	1
413	и прежде	1	1
414	всеми его	1	1
415	на эту	3	1
416	это просто	1	1
417	жизни в	3	1
418	но не	5	1
419	многим покажется	1	1
420	так в	1	1
421	бы эти	1	1
422	нет нужды	1	1
423	довести этот	1	1
424	но если	1	1
425	они не	1	1
426	к концу	7	1
427	правда не	1	1
428	по себе	3	1
429	явлений и	1	1
430	явления жизни	1	1
431	он сам	3	1
432	оно может	1	1
433	не имеет	2	1
434	в природе	1	1
435	к этому	11	1
436	и сделал	1	1
437	в такой	1	1
438	все более	1	1
439	вся эта	3	1
440	декарта и	1	1
441	в то	15	1
442	то его	2	1
443	и только	1	1
444	один и	2	1
445	по своим	3	1
446	мы имели	1	1
447	по его	3	1
448	в субъективном	1	1
449	ли он	2	1
450	просто не	2	1
451	это совершенно	1	1
452	этой области	2	1
453	нет никаких	2	1
454	но это	6	1
455	для чего	1	1
456	только четыре	1	1
457	независимо от	1	1
458	когда в	1	1
459	на различные	1	1
460	оно имеет	1	1
461	зрения с	1	1
462	но уже	3	1
463	и для	4	1
464	нас на	1	1
465	затем эта	1	1
466	что свои	2	1
467	физические и	1	1
468	с ее	1	1
469	перешли и	1	1
470	не из	2	1
471	таким же	1	1
472	не что	2	1
473	и это	4	1
474	точка зрения	1	1
475	того же	11	1
476	жизненных сил	1	1
477	и если	8	1
478	жизни которое	1	1
479	не принимает	1	1
480	он с	1	1
481	и его	12	1
482	жизни не	1	1
483	и особенно	6	1
484	в первых	1	1
485	вовсе не	8	1
486	жизни к	1	1
487	и свою	1	1
488	о том	13	1
489	в заключение	1	1
490	есть не	1	1
491	и вообще	12	1
492	по крайней	1	1
493	иное как	2	1
494	которая и	1	1
495	он начал	1	1
496	как основное	1	1
497	имеют против	1	1
498	к нему	6	1
499	никогда не	15	1
500	на них	1	1
501	могли быть	1	1
502	свое время	7	1
503	а потом	1	1
