N	3gram	Losev_Vesc	Problema
715	не только потому	1	1
716	тому как мы	1	1
717	а не к	2	1
718	зачем же нам	1	1
719	что слово есть	1	1
720	только сущность ни	1	1
721	и от всякого	1	1
722	том что тут	1	1
723	потому и есть	1	1
724	идет о смысловом	1	1
725	это одна из	1	1
726	я не хочу	1	1
727	о смысле вещи	1	1
728	не содержит в	1	1
729	от самой вещи	3	1
730	ту же самую	1	1
731	не важно для	1	1
732	можно только так	1	1
733	один из видов	1	1
734	и в результате	1	1
735	том как совместить	1	1
736	она должна быть	2	1
737	а не то	2	1
738	понимание того что	1	1
739	мы находим весьма	1	1
740	мы говорили о	1	1
741	есть ни только	2	1
742	и о них	1	1
743	должно было бы	1	1
744	и со стороны	1	1
745	было бы иметь	1	1
746	вовсе даже не	1	1
747	сама с собой	1	1
748	мы говорить о	1	1
749	в настоящий момент	1	1
750	и тоже вполне	1	1
751	собственный смысл и	1	1
752	ни у кого	1	1
753	уже перестает быть	1	1
754	стороны и с	1	1
755	и во всех	1	1
756	что все это	1	1
757	я не знаю	1	1
758	значит ли что	2	1
759	и пр но	1	1
760	и в подлинном	1	1
761	его внешнего функционирования	1	1
762	вещи и как	1	1
763	имеет значение в	1	1
764	значит ли это	5	1
765	она не есть	1	1
766	не в том	1	1
767	но если оно	1	1
768	тот же самый	1	1
769	имеет никакого отношения	2	1
770	есть только в	1	1
771	когда имеется в	1	1
772	уже и не	1	1
773	еще не знаем	1	1
774	содержат в себе	1	1
775	и для всякого	3	1
776	во втором случае	1	1
777	знает что такое	1	1
778	они состоят из	1	1
779	а что же	1	1
780	такой смысл который	1	1
781	в которой уже	1	1
782	но исключительно только	1	1
783	и в философии	1	1
784	что только в	2	1
785	самого же начала	1	1
786	возможно при помощи	1	1
787	но что такое	4	1
788	вещи а не	2	1
789	нужно было бы	2	1
790	с бесконечно разнообразной	1	1
791	потому что только	1	1
792	в данном месте	1	1
793	в первом случае	2	1
794	для ее понимания	1	1
795	в самой себе	1	1
796	ни о чем	1	1
797	как та или	1	1
798	стоит именно на	1	1
799	той и другой	2	1
800	ведь не есть	1	1
801	необходимо чтобы его	1	1
802	думают что если	1	1
803	и сама вещь	1	1
804	только понятие но	1	1
805	отрыве от всего	1	1
806	от всего иного	3	1
807	нет не только	1	1
808	в таком понимании	1	1
809	что они не	1	1
810	совершенно не важно	2	1
811	о вещах и	2	1
812	и а и	1	1
813	создает ту или	1	1
814	о смысловой структуре	1	1
815	по себе без	2	1
816	не каких бы	1	1
817	самого себя и	1	1
818	не может а	1	1
819	ли в этом	1	1
820	мы сказали что	1	1
821	на то чтобы	1	1
822	ни при каких	1	1
823	всякий согласится что	1	1
824	действительность и даже	1	1
825	не обязан быть	1	1
826	с тех пор	1	1
827	ни от каких	1	1
828	можно только то	1	1
829	в и в	1	1
830	несмотря на все	1	1
831	но и к	1	1
832	когда говорится о	2	1
833	а если оно	1	1
834	он обозначает и	1	1
835	можем ли мы	1	1
836	тут все дело	1	1
837	то же время	4	1
838	это значит не	1	1
839	что у него	1	1
840	он все же	1	1
841	тут же в	1	1
842	на этот предмет	1	1
843	имеют свой собственный	1	1
844	общается с другими	1	1
845	труда заметим что	1	1
846	и какова его	1	1
847	и это есть	1	1
848	в определенном направлении	2	1
849	о том о	1	1
850	крайней мере три	1	1
851	в самой же	1	1
852	и не все	1	1
853	и в отдельных	1	1
854	это может быть	1	1
855	еще не был	1	1
856	что это есть	3	1
857	можно сказать даже	3	1
858	не имеющих никакого	1	1
859	как будто есть	1	1
860	потому что у	1	1
861	не в пример	1	1
862	внутренней и внешней	1	1
863	это значит во-первых	1	1
864	необходимо исходить из	1	1
865	нисколько не мешает	1	1
866	хотя уже и	1	1
867	оно не только	1	1
868	его от всех	1	1
869	действительности а только	1	1
870	в самом понятии	1	1
871	как некое целое	1	1
872	на еще более	1	1
873	и в конце	1	1
874	и ее внешнее	1	1
875	тоже есть и	1	1
876	обстоятельство что этот	1	1
877	не есть она	2	1
878	с чем не	1	1
879	весьма и весьма	1	1
880	но ясно также	1	1
881	в данный момент	1	1
882	какой бы то	1	1
883	при всем том	1	1
884	есть сама вещь	4	1
885	не имеющие никакого	1	1
886	и как именно	1	1
887	ни только сущность	1	1
888	исходить из того	1	1
889	имеет в качестве	1	1
890	но тут же	1	1
891	именно на этой	1	1
892	это совершенно не	2	1
893	и ничто другое	1	1
894	понятия подобно тому	1	1
895	не только понятие	1	1
896	ни на что	1	1
897	а если мы	1	1
898	одно то что	2	1
899	состоит из звуков	1	1
900	данную вещь и	1	1
901	надо было бы	1	1
902	между прочим и	1	1
903	и явление есть	1	1
904	спорить не приходится	1	1
905	сказать даже больше	2	1
906	но что же	2	1
907	так и останется	1	1
908	раз уж мы	1	1
909	и значит что	3	1
910	если она не	2	1
911	указание на то	1	1
912	не имеющий никакого	1	1
913	не просто теоретически	1	1
914	они находятся в	1	1
915	мы говорим об	1	1
916	если вещь существует	1	1
917	в настоящем смысле	1	1
918	связанные между собою	1	1
919	самой обыкновенной и	1	1
920	на такой точке	1	1
921	значит не только	4	1
922	от вещи и	2	1
923	в отрыве от	3	1
924	сущность ни только	1	1
925	поэтому когда мы	1	1
926	то не только	3	1
927	только и возможна	1	1
928	вовсе не потому	1	1
929	вещь существует только	1	1
930	этой точке зрения	1	1
931	но эта точка	1	1
932	конечно ничто не	1	1
933	следовательно вообще не	1	1
934	собой если же	1	1
935	не есть материя	1	1
936	всякому известно и	1	1
937	есть она сама	2	1
938	на точке зрения	1	1
939	и есть не	3	1
940	то что для	1	1
941	по существу и	1	1
942	этого предмета который	1	1
943	же есть не	1	1
944	для себя свое	1	1
945	любые вещи и	1	1
946	чем мы имеем	1	1
947	не в смысле	1	1
948	в свое время	2	1
949	то что я	2	1
950	он говорит о	1	1
951	не есть треугольник	1	1
952	перевести на язык	1	1
953	если бы оно	1	1
954	относится к смысловой	1	1
955	только лишь как	1	1
956	не есть сама	1	1
957	только в своей	1	1
958	что несмотря на	1	1
959	только впервые и	1	1
960	свой смысл и	1	1
961	ведь всякий согласится	1	1
962	самой вещи в	2	1
